Data, Open, High, Low, Close, Volume
3/18/2010,49.44,49.44,49.08,49.33,1000
3/19/2010,49.28,50.01,49.28,49.86,62700
3/22/2010,50.36,50.36,49.29,49.46,36800
3/23/2010,49.34,49.71,49.34,49.58,1500
3/24/2010,49.58,49.58,49.58,49.58,0
3/25/2010,49.02,49.09,48.58,48.67,64700
3/26/2010,49.12,49.12,49.12,49.12,900
3/29/2010,49.23,49.47,49.23,49.34,700
3/30/2010,49.34,49.34,49.34,49.34,0
3/31/2010,49.55,49.55,49.55,49.55,100
4/1/2010,49.48,49.81,49.48,49.81,200
4/5/2010,49.29,49.29,49.29,49.29,200
4/6/2010,49.29,49.29,49.29,49.29,0
4/7/2010,47.57,48.54,47.56,48.53,5500
4/8/2010,48.53,48.53,48.53,48.53,0
4/9/2010,48.37,48.37,48.37,48.37,300
4/12/2010,47.96,47.96,47.96,47.96,100
4/13/2010,48.14,48.14,46.95,46.95,2400
4/14/2010,47.01,47.01,47.01,47.01,200
4/15/2010,47.01,47.01,47.01,47.01,0
4/16/2010,48.2,49.17,48.2,49.17,600
4/19/2010,49.38,49.38,49,49.22,5000
4/20/2010,48.57,49.04,48.11,48.11,1300
4/21/2010,47.97,47.97,47.3,47.3,700
4/22/2010,47.35,47.35,46.77,46.77,300
4/23/2010,46.31,46.37,45.9,45.9,800
4/26/2010,45.55,45.55,45.46,45.5,400
4/27/2010,46.11,47.03,46.11,47.03,200
4/28/2010,46.74,46.94,46.67,46.89,1400
4/29/2010,46.03,46.03,45.03,45.03,800
4/30/2010,45.87,45.96,45.87,45.9,400
5/3/2010,45.1,45.56,44.76,44.9,2400
5/4/2010,45.93,46.33,45.81,45.95,1800
5/5/2010,46.7,46.95,45.82,46.7,2700
5/6/2010,47.01,53.01,46.75,51.4,3600
5/7/2010,41.12,50.75,41.12,49.27,3800
5/10/2010,46.3,46.75,44.47,46.75,18900
5/11/2010,46.59,46.59,45.48,45.48,2000
5/12/2010,45.86,45.86,45.73,45.73,1600
5/13/2010,45.6,45.68,45.6,45.68,300
5/14/2010,47.04,47.47,46.98,47.47,900
