Data, Open, High, Low, Close, Volume
2/2/2007,792.45,798.28,792.45,796.45,500
2/5/2007,795.19,795.19,793.36,794.73,400
2/6/2007,803.09,807.2,802.4,802.4,500
2/7/2007,792.1,792.1,784.67,789.82,300
2/8/2007,792.33,794.05,783.98,783.98,700
2/9/2007,787.76,812.12,787.76,807.09,800
2/12/2007,814.75,817.16,811.44,816.81,200
2/13/2007,808.92,811.89,805.37,811.89,100
2/14/2007,798.17,798.4,787.87,789.36,400
2/15/2007,787.41,788.44,781.81,784.21,500
2/16/2007,790.27,791.65,790.27,791.65,0
2/20/2007,796.91,797.94,784.55,784.55,300
2/21/2007,786.73,786.73,783.64,783.64,0
2/22/2007,773.23,782.95,772.77,782.95,1000
2/23/2007,778.72,781.58,776.55,778.49,1000
2/26/2007,783.3,795.08,783.3,789.13,1300
2/27/2007,821.96,856.97,812.58,837.86,5200
2/28/2007,858,858,833.75,839.69,200
3/1/2007,875.16,875.16,848.85,853.31,200
3/2/2007,855.71,877.79,855.14,875.16,400
3/5/2007,883.17,890.72,865.32,883.51,300
3/6/2007,864.86,866.01,854.91,854.91,200
3/7/2007,854.68,858.8,854.68,858.8,0
3/8/2007,846.56,860.63,845.41,860.63,100
3/9/2007,855.37,864.75,855.25,856.28,200
3/12/2007,840.38,843.24,840.38,843.24,0
3/13/2007,846.21,874.13,846.21,872.41,300
3/14/2007,882.59,884.08,857.54,857.54,300
3/15/2007,853.31,858.23,853.31,858.23,200
3/16/2007,857.54,864.18,857.54,859.03,100
3/19/2007,851.25,853.08,844.27,846.67,100
3/20/2007,846.67,846.67,834.43,838.21,600
3/21/2007,836.95,836.95,787.99,811.78,200
3/22/2007,813.5,823.45,813.5,816.59,200
3/23/2007,817.27,819.67,814.18,819.67,200
3/26/2007,813.38,813.38,813.38,813.38,0
3/27/2007,819.67,823.79,819.67,823.68,100
3/28/2007,830.89,839.92,827,839.69,300
3/29/2007,848.27,858,845.3,845.53,300
3/30/2007,842.9,852.05,837.63,843.47,500
4/2/2007,851.13,851.13,845.64,845.64,100
4/3/2007,825.28,825.74,824.48,824.94,100
4/4/2007,818.99,818.99,818.99,818.99,0
4/5/2007,811.44,811.44,810.52,810.52,100
4/9/2007,810.52,810.52,810.52,810.52,0
4/10/2007,812.81,813.84,812.81,813.61,0
4/11/2007,818.19,825.97,818.19,825.97,0
4/12/2007,828.83,828.83,810.52,812.92,200
4/13/2007,812.92,812.92,812.92,812.92,0
4/16/2007,800.8,800.8,796.68,799.88,100
4/17/2007,794.73,795.08,792.45,792.45,100
4/18/2007,800.57,806.06,795.08,795.88,100
4/19/2007,809.61,809.61,792.22,797.25,500
4/20/2007,783.07,788.21,779.63,786.27,100
4/23/2007,789.36,790.96,789.36,790.04,100
4/24/2007,779.06,779.06,771.97,776.66,100
4/25/2007,771.4,775.17,761.67,763.05,500
4/26/2007,758.01,758.81,754.58,754.58,200
4/27/2007,756.53,756.53,756.53,756.53,0
4/30/2007,760.99,768.54,755.15,768.54,200
5/1/2007,778.95,778.95,768.88,768.88,200
5/2/2007,768.88,768.88,768.88,768.88,0
5/3/2007,755.04,755.04,745.89,751.38,100
5/4/2007,744.51,744.51,740.74,744.51,200
5/7/2007,744.51,744.51,744.51,744.51,0
5/8/2007,746.23,746.23,738.91,738.91,100
5/9/2007,747.26,747.26,736.16,736.16,0
5/10/2007,742.11,752.64,742.11,752.18,100
5/11/2007,752.64,752.64,737.08,739.71,200
5/14/2007,739.71,739.71,739.71,739.71,0
5/15/2007,736.28,754.01,736.28,749.66,100
5/16/2007,748.86,755.72,739.48,739.48,100
5/17/2007,742,745.31,742,743.26,0
5/18/2007,742.68,743.6,737.08,737.08,100
5/21/2007,731.01,731.01,722.78,729.3,100
5/22/2007,726.21,726.21,707.68,723.92,100
5/23/2007,724.49,735.93,724.38,735.93,100
5/24/2007,744.97,768.42,740.97,765.91,300
5/25/2007,760.53,760.53,748.75,751.61,200
5/29/2007,746.12,746.12,737.19,737.99,100
5/30/2007,745.31,745.31,728.27,728.96,200
5/31/2007,723.01,727.24,718.54,723.01,100
6/1/2007,709.39,717.29,709.39,717.29,0
6/4/2007,718.09,718.09,718.09,718.09,0
6/5/2007,718.09,726.78,718.09,723.35,100
6/6/2007,723.69,731.59,723.69,726.9,300
6/7/2007,733.99,758.24,733.99,758.24,200
6/8/2007,754.81,754.81,734.45,737.19,100
6/11/2007,735.7,735.7,733.3,733.42,0
6/12/2007,744.97,750.23,743.71,748.63,400
6/13/2007,742.23,748.17,734.33,734.33,100
6/14/2007,724.15,724.15,718.66,718.66,100
6/15/2007,709.28,710.31,706.3,709.39,100
6/18/2007,702.64,704.82,702.64,702.76,0
6/19/2007,706.19,710.77,703.33,703.33,100
6/20/2007,700.36,712.71,700.36,712.37,500
6/21/2007,720.72,720.72,703.33,704.82,100
6/22/2007,704.82,704.82,704.82,704.82,0
6/25/2007,723.46,726.9,708.71,724.04,100
6/26/2007,720.81,727.92,719.06,726.63,300
6/27/2007,726.75,726.75,710.67,710.67,100
6/28/2007,705.66,706.82,704.49,704.49,100
6/29/2007,702.86,719.64,702.28,714.28,500
7/2/2007,705.77,705.77,705.77,705.77,0
7/3/2007,698.08,698.08,694.7,694.7,100
7/5/2007,692.84,692.84,685.61,685.61,100
7/6/2007,687.01,687.01,678.85,679.55,0
7/9/2007,679.79,679.79,679.79,679.79,0
7/10/2007,679.79,679.79,679.79,679.79,0
7/11/2007,689.69,689.69,686.43,686.43,0
7/12/2007,676.52,677.34,655.43,656.94,700
7/13/2007,657.18,659.51,653.45,653.45,200
7/16/2007,654.5,654.5,651,654.26,0
7/17/2007,648.32,650.07,644.24,644.24,0
7/18/2007,657.64,665.57,656.71,656.71,200
7/19/2007,642.73,642.73,634.1,634.1,200
7/20/2007,643.54,655.66,643.54,651.82,400
7/23/2007,645.29,648.32,640.39,648.32,0
7/24/2007,657.53,669.41,647.5,668.6,200
7/25/2007,666.03,674.77,666.03,669.53,300
7/26/2007,677.45,704.14,670.7,684.21,700
7/27/2007,689.92,708.69,683.98,708.69,200
7/30/2007,715.33,715.56,701.23,701.23,400
7/31/2007,693.42,725.35,690.86,725.35,400
8/1/2007,729.9,738.29,716.38,731.88,400
8/2/2007,710.09,710.09,702.39,702.39,500
8/3/2007,705.07,726.75,705.07,724.54,400
8/6/2007,734.21,744.93,722.79,722.79,500
8/7/2007,722.56,732.11,721.16,721.16,200
8/8/2007,704.84,706.24,688.18,704.49,300
8/9/2007,705.31,726.17,696.92,719.64,300
8/10/2007,750.53,754.02,723.72,728.5,400
8/13/2007,713.7,719.53,713.23,719.53,100
8/14/2007,737.47,745.05,733.04,743.88,100
8/15/2007,744.47,770.45,739.1,769.06,300
8/16/2007,782.57,823.13,775,786.3,2100
8/17/2007,745.86,770.92,745.86,751.57,2000
8/20/2007,758.68,761.83,750.88,757.4,300
8/21/2007,754.26,755.3,754.26,755.3,0
8/22/2007,736.54,737.94,725.47,732.46,400
8/23/2007,728.38,737.71,724.54,733.86,200
8/24/2007,734.56,734.56,706.01,710.9,200
8/27/2007,710.67,712.88,710.67,712.88,0
8/28/2007,726.63,748.08,726.17,748.08,200
8/29/2007,735.38,736.19,711.48,715.68,600
8/30/2007,706.82,707.41,689.23,703.68,400
8/31/2007,692.6,694.47,682.23,683.86,100
9/4/2007,684.1,684.1,657.88,661.49,600
9/5/2007,674.77,684.68,669.88,677.69,400
9/6/2007,679.44,683.86,669.88,672.68,300
9/7/2007,697.97,710.09,697.5,700.06,600
9/10/2007,692.02,714.28,692.02,699.25,800
9/11/2007,694.82,694.82,678.97,681.65,300
9/12/2007,686.43,689.92,677.57,681.65,200
9/13/2007,688.88,689.57,688.88,689.57,0
9/14/2007,701,701,697.5,697.62,200
9/17/2007,701,704.61,701,704.61,100
9/18/2007,695.87,709.74,676.52,676.52,300
9/19/2007,666.5,672.33,663.7,668.83,200
9/20/2007,666.5,672.09,663.59,672.09,300
9/21/2007,672.09,672.09,672.09,672.09,0
9/24/2007,657.88,662.07,648.32,660.32,400
9/25/2007,660.22,660.22,646.77,647.37,200
9/26/2007,634.88,643.09,634.88,643.09,200
9/27/2007,636.31,639.87,635,639.87,0
9/28/2007,637.73,642.37,637.73,642.25,100
10/1/2007,633.09,633.09,621.44,623.46,400
10/2/2007,623.7,625.24,623.7,624.05,0
10/3/2007,633.45,639.99,630,638.33,200
10/4/2007,639.4,643.92,638.8,638.8,400
10/5/2007,627.26,629.64,619.53,620.6,200
10/8/2007,620.36,620.36,613.11,613.11,200
10/9/2007,609.06,613.11,603.71,607.28,300
10/10/2007,605.14,608.35,602.28,602.28,200
10/11/2007,597.76,625.48,590.39,616.92,600
10/12/2007,616.2,616.2,606.21,608.71,1000
10/15/2007,611.44,620.25,611.44,616.8,100
10/16/2007,616.44,619.06,609.78,616.8,400
10/17/2007,603.59,615.84,595.86,604.19,400
10/18/2007,599.67,608.47,593.84,594.55,400
10/19/2007,606.68,629.88,606.68,628.1,600
10/22/2007,631.67,631.67,615.73,615.84,600
10/23/2007,605.38,612.99,597.41,599.67,600
10/24/2007,608.47,633.09,608.47,612.75,1000
10/25/2007,612.99,625.72,604.9,620.13,1500
10/26/2007,594.67,597.41,589.55,591.82,2000
10/29/2007,583.96,588.84,580.4,583.73,700
10/30/2007,588.6,588.6,575.99,582.89,1100
10/31/2007,578.25,578.49,559.1,562.08,600
11/1/2007,570.88,580.04,564.45,578.37,1000
11/2/2007,572.78,584.32,569.57,570.52,500
11/5/2007,581.11,581.11,568.62,571.24,2100
11/6/2007,568.62,577.42,561.12,561.12,600
11/7/2007,573.38,590.74,570.76,590.63,1400
11/8/2007,600.74,657.96,595.03,636.42,8000
11/9/2007,693.64,693.64,654.27,673.78,7200
11/12/2007,689.96,699.95,668.54,699.23,5500
11/13/2007,679.49,680.68,644.16,644.16,3400
11/14/2007,644.16,674.01,603.23,674.01,2600
11/15/2007,694.24,694.24,656.53,673.3,2900
11/16/2007,686.86,686.86,656.65,659.15,4900
11/19/2007,678.06,679.13,655.58,674.97,4100
11/20/2007,671.64,693.88,652.25,674.85,2700
11/21/2007,695.07,698.04,668.54,685.43,2300
11/23/2007,701.73,701.73,673.66,676.51,1300
11/26/2007,678.06,711.25,664.26,711.25,3800
11/27/2007,749.79,749.79,683.53,688.53,2600
11/28/2007,707.8,707.8,640.23,652.36,3500
11/29/2007,636.42,649.75,634.52,639.16,2100
11/30/2007,620.01,663.43,620.01,654.74,3800
12/3/2007,651.89,667.23,649.51,665.69,1000
12/4/2007,669.73,673.3,661.29,672.59,2000
12/5/2007,674.49,674.49,633.81,636.78,1800
12/6/2007,635.23,635.23,618.46,618.46,1100
12/7/2007,618.34,625.72,617.75,620.6,600
12/10/2007,634.52,634.52,610.13,612.63,1400
12/11/2007,625,639.04,601.09,639.04,1400
12/12/2007,642.37,642.37,608.83,624.17,1800
12/13/2007,625.72,634.76,623.93,624.89,1800
12/14/2007,620.6,638.92,620.6,637.49,700
12/17/2007,642.25,665.57,642.25,665.09,1600
12/18/2007,667.71,674.37,645.82,658.91,1200
12/19/2007,652.36,663.67,650.34,653.08,400
12/20/2007,640.58,648,634.71,636.5,700
12/21/2007,620.1,623.09,615.19,615.19,2100
12/24/2007,605.73,608.24,603.69,603.69,900
12/26/2007,607.52,612.91,600.58,601.42,800
12/27/2007,609.68,623.45,605.97,623.45,400
12/28/2007,616.98,629.8,615.79,621.3,400
12/31/2007,627.16,644.17,627.16,644.17,500
1/2/2008,637.82,669.44,634.95,661.41,3500
1/3/2008,662.13,674.23,657.46,668.24,1100
1/4/2008,691.71,728.12,688.72,721.05,3500
1/7/2008,723.09,760.09,723.09,739.73,9000
1/8/2008,745.36,788.83,724.88,788.83,5000
1/9/2008,807.99,807.99,751.95,753.15,12400
1/10/2008,763.69,768,731.35,747.52,3600
1/11/2008,769.07,790.63,739.61,774.82,11800
1/14/2008,775.3,775.3,730.51,747.64,6800
1/15/2008,749.67,772.19,742.97,768.36,6500
1/16/2008,796.38,823.44,778.42,802.13,14000
1/17/2008,779.01,834.94,778.42,828.71,6700
1/18/2008,814.34,833.74,780.81,823.92,11700
1/22/2008,914.22,934.1,850.39,880.09,21500
1/23/2008,936.01,970.03,870.03,870.03,22200
1/24/2008,850.03,861.77,804.4,814.34,9400
1/25/2008,790.75,849.07,773.03,845.24,10200
1/28/2008,862.48,873.98,837.22,842.72,3700
1/29/2008,822.01,860.21,804.04,839.25,2800
1/30/2008,834.58,851.83,811.11,851.47,7800
1/31/2008,862.48,894.7,811.11,834.7,9200
2/1/2008,822.13,832.54,802.37,802.37,3200
2/4/2008,797.1,832.9,797.1,832.9,2300
2/5/2008,856.26,882.96,850.27,882.96,6800
2/6/2008,879.97,910.15,860.09,910.15,6800
2/7/2008,944.4,982,884.64,911.1,14800
2/8/2008,924.4,933.38,879.01,885,6300
2/11/2008,874.34,885.84,860.93,864.4,4100
2/12/2008,845.72,879.37,838.29,871.11,6000
2/13/2008,877.33,877.33,820.33,820.33,5100
2/14/2008,808.47,858.53,808.35,857.93,5600
2/15/2008,868.11,876.73,859.25,868.47,3300
2/19/2008,865.12,890.99,849.55,887.27,4500
2/20/2008,905.12,920.92,850.27,873.38,5600
2/21/2008,848.23,877.45,830.27,871.59,6700
2/22/2008,869.31,899.85,866.56,869.43,5200
2/25/2008,871.83,877.21,850.27,856.02,3600
2/26/2008,876.38,876.38,823.32,837.45,6800
2/27/2008,841.41,856.86,815.78,823.8,3600
2/28/2008,846.68,846.68,816.26,845.36,3000
2/29/2008,867.39,883.8,850.27,862.24,3100
3/3/2008,878.41,903.56,878.41,890.99,5200
3/4/2008,910.03,920.57,882.72,885.96,6100
3/5/2008,869.91,889.55,860.45,889.55,2900
3/6/2008,872.54,907.15,868.59,907.15,2400
3/7/2008,930.51,930.51,879.01,901.05,6800
3/10/2008,911.7,924.16,892.18,922,7400
3/11/2008,904.16,907.63,850.39,865.72,6900
3/12/2008,841.65,867.87,837.1,867.15,4000
3/13/2008,885.12,900.57,850.99,862.96,3500
3/14/2008,856.5,910.99,849.19,894.34,14600
3/17/2008,922.24,931.46,889.79,922.12,14000
3/18/2008,903.92,903.92,835.9,836.86,10900
3/19/2008,832.19,883.56,832.19,881.41,7200
3/20/2008,895.3,895.3,778.42,859.25,5600
