Data, Open, High, Low, Close, Volume
1/12/2012,38.14,38.9,37.35,37.75,10100
1/13/2012,38.23,39.24,37.88,38.06,5200
1/17/2012,37.94,37.94,36.65,37.75,4900
1/18/2012,37.99,39.11,37.13,37.16,24500
1/19/2012,38.2,39.19,38.19,38.66,1200
1/20/2012,38.73,38.73,38.63,38.63,200
1/23/2012,38.81,38.81,38.81,38.81,300
1/24/2012,38.52,38.75,37.69,38.67,21400
1/25/2012,39.23,40.32,39.08,39.12,20800
1/26/2012,39.22,39.23,39.01,39.03,10000
1/27/2012,39,39.04,38.81,38.81,1200
1/30/2012,38.57,38.61,38.53,38.53,9900
1/31/2012,38.76,38.76,38.76,38.76,1000
2/1/2012,38.74,38.74,38.74,38.74,1000
2/2/2012,38.74,38.74,38.74,38.74,0
2/3/2012,39.24,39.24,39.24,39.24,200
2/6/2012,39.24,39.24,39.24,39.24,0
2/7/2012,39.24,39.24,39.24,39.24,0
2/8/2012,39.24,39.24,39.24,39.24,0
2/9/2012,39.53,39.55,39.46,39.51,1800
2/10/2012,39.28,39.33,39.28,39.33,1300
2/13/2012,39.33,39.33,39.33,39.33,0
2/14/2012,39.25,39.25,39.25,39.25,200
2/15/2012,39.25,39.25,39.25,39.25,0
2/16/2012,39.76,39.76,39.55,39.55,500
2/17/2012,39.55,39.55,39.55,39.55,0
2/21/2012,39.75,39.75,39.75,39.75,100
2/22/2012,39.54,39.61,39.54,39.61,1100
2/23/2012,39.61,39.61,39.61,39.61,0
2/24/2012,39.61,39.61,39.61,39.61,0
2/27/2012,38.99,38.99,38.94,38.96,1200
2/28/2012,39.06,39.06,39.06,39.06,100
2/29/2012,39.06,39.06,39.06,39.06,0
3/1/2012,39.06,39.06,39.06,39.06,0
3/2/2012,39.06,39.06,39.06,39.06,0
3/5/2012,38.61,38.61,38.21,38.21,2300
3/6/2012,38.06,38.06,38.06,38.06,100
3/7/2012,38.06,38.06,38.06,38.06,0
3/8/2012,38.63,38.79,38.63,38.79,1100
3/9/2012,38.79,38.79,38.79,38.79,0
3/12/2012,38.96,39.03,38.96,39.03,1500
3/13/2012,39.03,39.03,39.03,39.03,0
3/14/2012,40.16,40.16,40.16,40.16,200
3/15/2012,40.71,40.72,40.71,40.72,500
3/16/2012,40.72,40.72,40.72,40.72,0
3/19/2012,40.65,40.65,40.65,40.65,100
3/20/2012,40.65,40.65,40.65,40.65,0
3/21/2012,40.61,40.61,40.61,40.61,100
3/22/2012,40.29,40.29,39.99,39.99,600
3/23/2012,39.99,39.99,39.99,39.99,0
3/26/2012,39.48,39.48,39.48,39.48,100
3/27/2012,39.48,39.48,39.48,39.48,0
3/28/2012,39.48,39.48,39.48,39.48,0
3/29/2012,39.48,39.48,39.48,39.48,0
3/30/2012,39.48,39.48,39.48,39.48,0
4/2/2012,39.89,40.27,39.89,40.06,11300
4/3/2012,40.23,41.13,39.49,39.81,34700
4/4/2012,40.04,40.67,39.71,39.83,22800
4/5/2012,39.48,39.66,39.32,39.63,35700
4/9/2012,39.63,39.63,39.63,39.63,0
4/10/2012,39.63,39.63,39.63,39.63,0
4/11/2012,39.63,39.63,39.63,39.63,0
4/12/2012,39.63,39.63,39.63,39.63,0
4/13/2012,39.63,39.63,39.63,39.63,0
4/16/2012,39.63,39.63,39.63,39.63,0
4/17/2012,39.41,39.5,39.41,39.5,500
4/18/2012,39.5,39.5,39.5,39.5,0
4/19/2012,39.5,39.5,39.5,39.5,0
4/20/2012,39.16,39.16,39.16,39.16,100
4/23/2012,38.99,38.99,38.99,38.99,1000
4/24/2012,38.99,38.99,38.99,38.99,0
4/25/2012,38.99,38.99,38.99,38.99,0
4/26/2012,38.99,38.99,38.99,38.99,0
4/27/2012,39.32,39.33,39.28,39.28,2000
4/30/2012,39.2,39.27,39.17,39.23,4100
5/1/2012,39.1,39.23,39.03,39.2,7200
5/2/2012,39.05,39.07,38.94,38.94,5000
5/3/2012,39.09,39.13,38.71,38.75,5700
5/4/2012,38.55,38.56,38.37,38.54,8700
5/7/2012,38.62,38.72,38.56,38.63,13000
5/8/2012,38.6,38.61,38.48,38.55,33200
5/9/2012,38.51,38.83,38.15,38.17,18800
5/10/2012,38.38,38.73,38.25,38.25,11900
5/11/2012,37.94,38.05,37.88,38,16000
5/14/2012,37.37,37.77,37.37,37.72,17800
5/15/2012,37.75,37.88,37.66,37.7,19000
5/16/2012,37.77,37.82,37.32,37.35,23300
5/17/2012,37.17,37.65,36.94,37.25,32700
5/18/2012,37.37,37.58,37.33,37.43,37200
5/21/2012,37.65,37.8,37.6,37.71,64500
5/22/2012,38.1,38.16,37.95,37.98,55800
5/23/2012,37.63,37.73,37.4,37.73,73000
5/24/2012,37.74,37.87,37.65,37.75,36200
5/25/2012,37.65,37.96,37.54,37.95,34300
5/29/2012,37.54,37.55,37.24,37.33,57100
5/30/2012,36.8,36.93,36.52,36.83,43000
5/31/2012,36.82,37.05,36.8,37.05,5000
6/1/2012,37.18,37.18,37.08,37.12,700
6/4/2012,37.19,37.19,37.13,37.13,300
6/5/2012,37.58,37.9,37.58,37.81,1000
6/6/2012,37.95,38.27,37.95,38.03,1300
6/7/2012,38.03,38.03,38.03,38.03,0
6/8/2012,37.39,37.57,37.33,37.46,8000
6/11/2012,37.46,37.46,37.46,37.46,0
6/12/2012,37.46,37.46,37.46,37.46,0
6/13/2012,37.46,37.46,37.46,37.46,0
6/14/2012,37.46,37.46,37.46,37.46,0
6/15/2012,37.46,37.46,37.46,37.46,0
6/18/2012,37.22,37.25,37.15,37.15,2900
6/19/2012,37.27,37.48,37.27,37.48,1700
6/20/2012,38.05,38.05,37.64,37.78,4900
6/21/2012,37.25,37.25,37.25,37.25,200
6/22/2012,37.25,37.25,37.25,37.25,0
6/25/2012,37.25,37.25,37.25,37.25,0
6/26/2012,37.25,37.25,37.25,37.25,0
6/27/2012,37.25,37.25,37.25,37.25,0
6/28/2012,37.33,37.37,37.24,37.24,1500
6/29/2012,37.08,37.13,37.08,37.13,400
7/2/2012,37.13,37.13,37.13,37.13,0
7/3/2012,37.13,37.13,37.13,37.13,0
7/5/2012,37.13,37.13,37.13,37.13,0
7/6/2012,37.13,37.13,37.13,37.13,0
7/9/2012,37.13,37.13,37.13,37.13,0
7/10/2012,37.13,37.13,37.13,37.13,0
7/11/2012,37.13,37.13,37.13,37.13,0
7/12/2012,37,37,37,37,100
7/13/2012,37,37,37,37,0
7/16/2012,37.08,37.08,37.05,37.05,400
7/17/2012,37.14,37.14,36.79,36.79,800
7/18/2012,36.79,36.79,36.79,36.79,0
7/19/2012,36.79,36.79,36.79,36.79,0
7/20/2012,36.79,36.79,36.79,36.79,0
7/23/2012,37.25,37.25,37.24,37.24,800
7/24/2012,37.24,37.24,37.24,37.24,0
7/25/2012,37.24,37.24,37.24,37.24,0
7/26/2012,37.24,37.24,37.24,37.24,0
7/27/2012,37.24,37.24,37.24,37.24,0
7/30/2012,37.24,37.24,37.24,37.24,0
7/31/2012,37.24,37.24,37.24,37.24,0
8/1/2012,37.65,37.66,37.65,37.66,200
8/2/2012,37.66,37.66,37.66,37.66,0
8/3/2012,37.66,37.66,37.66,37.66,0
8/6/2012,38.05,38.05,38.05,38.05,100
8/7/2012,38.44,38.44,38.44,38.44,100
8/8/2012,38.44,38.44,38.44,38.44,0
8/9/2012,38.44,38.44,38.44,38.44,0
8/10/2012,38.03,38.03,38.03,38.03,100
8/13/2012,38.03,38.03,38.03,38.03,0
8/14/2012,38.03,38.03,38.03,38.03,0
8/15/2012,38.03,38.03,38.03,38.03,0
8/16/2012,38.03,38.03,38.03,38.03,0
8/17/2012,38.03,38.03,38.03,38.03,0
8/20/2012,37.92,37.92,37.92,37.92,100
8/21/2012,37.92,37.92,37.92,37.92,0
8/22/2012,37.64,37.64,37.64,37.64,100
8/23/2012,37.64,37.64,37.64,37.64,0
8/24/2012,37.64,37.64,37.64,37.64,0
8/27/2012,37.64,37.64,37.64,37.64,0
8/28/2012,38.05,38.2,38.05,38.2,700
8/29/2012,38.2,38.2,38.2,38.2,0
8/30/2012,37.64,37.64,37.64,37.64,100
8/31/2012,37.55,37.55,37.55,37.55,100
9/4/2012,37.55,37.55,37.55,37.55,0
9/5/2012,37.55,37.55,37.55,37.55,0
9/6/2012,38.05,38.05,38.05,38.05,100
9/7/2012,38.44,38.44,38.44,38.44,100
9/10/2012,38.44,38.44,38.44,38.44,0
9/11/2012,38.44,38.44,38.44,38.44,0
9/12/2012,38.9,38.9,38.9,38.9,900
9/13/2012,39.22,39.61,39.22,39.61,200
9/14/2012,40,40.39,40,40.39,300
9/17/2012,40.39,40.39,40.39,40.39,0
9/18/2012,40.39,40.39,40.39,40.39,0
9/19/2012,40.39,40.39,40.39,40.39,0
9/20/2012,40.12,40.12,39.59,39.59,400
9/21/2012,39.59,39.59,39.59,39.59,0
9/24/2012,39.2,39.2,39.2,39.2,100
9/25/2012,38.81,38.81,38.81,38.81,100
9/26/2012,38.81,38.81,38.81,38.81,0
9/27/2012,38.81,38.81,38.81,38.81,0
9/28/2012,38.42,38.42,38.42,38.42,100
10/1/2012,38.42,38.42,38.42,38.42,0
10/2/2012,38.42,38.42,38.42,38.42,0
10/3/2012,38.82,38.83,38.82,38.83,200
10/4/2012,39.53,39.61,39.53,39.61,400
10/5/2012,40.09,40.09,40.09,40.09,300
10/8/2012,40.09,40.09,40.09,40.09,0
10/9/2012,40.09,40.09,40.09,40.09,0
10/10/2012,39.59,39.59,39.59,39.59,100
10/11/2012,39.2,39.2,39.2,39.2,100
10/12/2012,38.81,38.81,38.81,38.81,100
10/15/2012,38.81,38.81,38.81,38.81,0
10/16/2012,38.81,38.81,38.81,38.81,0
10/17/2012,39.22,39.22,39.22,39.22,100
10/18/2012,39.61,39.61,39.61,39.61,100
10/19/2012,39.61,39.61,39.61,39.61,0
10/22/2012,39.61,39.61,39.61,39.61,0
10/23/2012,39.61,39.61,39.61,39.61,0
10/24/2012,39.61,39.61,39.61,39.61,0
10/25/2012,39.61,39.61,39.61,39.61,0
10/26/2012,39.61,39.61,39.61,39.61,0
10/31/2012,39.61,39.61,39.61,39.61,0
11/1/2012,39.61,39.61,39.61,39.61,0
11/2/2012,39.61,39.61,39.61,39.61,0
11/5/2012,39.61,39.61,39.61,39.61,0
11/6/2012,39.61,39.61,39.61,39.61,0
11/7/2012,39.61,39.61,39.61,39.61,0
11/8/2012,39.61,39.61,39.61,39.61,0
11/9/2012,39.2,39.2,39.17,39.17,200
11/12/2012,39.17,39.17,39.17,39.17,0
11/13/2012,38.81,38.81,38.81,38.81,100
11/14/2012,38.81,38.81,38.81,38.81,0
11/15/2012,38.81,38.81,38.81,38.81,0
11/16/2012,38.81,38.81,38.81,38.81,0
11/19/2012,38.81,38.81,38.81,38.81,0
11/20/2012,38.81,38.81,38.81,38.81,0
11/21/2012,38.81,38.81,38.81,38.81,0
11/23/2012,38.81,38.81,38.81,38.81,0
11/26/2012,38.81,38.81,38.81,38.81,0
11/27/2012,38.81,38.81,38.81,38.81,0
11/28/2012,38.34,38.35,38.34,38.35,600
11/29/2012,38.35,38.35,38.35,38.35,0
11/30/2012,38.35,38.35,38.35,38.35,0
12/3/2012,38.35,38.35,38.35,38.35,0
12/4/2012,38.35,38.35,38.35,38.35,0
12/5/2012,38.35,38.35,38.35,38.35,0
12/6/2012,38.35,38.35,38.35,38.35,0
12/7/2012,38.35,38.35,38.35,38.35,0
12/10/2012,38.35,38.35,38.35,38.35,0
12/11/2012,38.35,38.35,38.35,38.35,0
12/12/2012,38.35,38.35,38.35,38.35,0
12/13/2012,39.92,39.92,39.9,39.9,1300
12/14/2012,39.9,39.9,39.9,39.9,0
12/17/2012,39.9,39.9,39.9,39.9,0
12/18/2012,39.9,39.9,39.9,39.9,0
12/19/2012,39.9,39.9,39.9,39.9,0
12/20/2012,39.8,39.94,39.8,39.94,1300
12/21/2012,39.94,39.94,39.94,39.94,0
12/24/2012,39.94,39.94,39.94,39.94,0
12/26/2012,40.12,40.12,40.12,40.12,0
12/27/2012,40.12,40.12,40.12,40.12,0
12/28/2012,40.12,40.12,40.12,40.12,0
12/31/2012,39.13,39.82,38.59,39.82,5100
1/2/2013,39.97,40.06,39.96,39.96,2000
1/3/2013,39.96,39.96,39.96,39.96,0
1/4/2013,39.76,39.76,39.76,39.76,400
1/7/2013,39.76,39.76,39.76,39.76,0
1/8/2013,40.13,40.18,40.1,40.16,2400
1/9/2013,40.26,40.3,40.26,40.3,300
1/10/2013,40.3,40.3,40.3,40.3,0
1/11/2013,40.3,40.3,40.3,40.3,0
1/14/2013,39.84,39.93,39.84,39.93,300
1/15/2013,39.9,39.92,39.9,39.92,1800
1/16/2013,39.67,39.67,39.67,39.67,200
1/17/2013,39.67,39.67,39.67,39.67,0
1/18/2013,39.67,39.67,39.67,39.67,0
1/22/2013,39.67,39.67,39.67,39.67,0
1/23/2013,39.67,39.67,39.67,39.67,0
1/24/2013,39.67,39.67,39.67,39.67,0
1/25/2013,39.67,39.67,39.67,39.67,0
1/28/2013,39.67,39.67,39.67,39.67,0
1/29/2013,39.67,39.67,39.67,39.67,0
1/30/2013,39.67,39.67,39.67,39.67,0
1/31/2013,39.95,39.95,39.95,39.95,1000
2/1/2013,40.07,40.07,40.07,40.07,100
2/4/2013,40.07,40.07,40.07,40.07,0
2/5/2013,40.07,40.07,40.07,40.07,0
2/6/2013,40.07,40.07,40.07,40.07,0
2/7/2013,40.07,40.07,40.07,40.07,0
2/8/2013,40.07,40.07,40.07,40.07,0
2/11/2013,40.07,40.07,40.07,40.07,0
2/12/2013,40.07,40.07,40.07,40.07,0
2/13/2013,40.07,40.07,40.07,40.07,0
2/14/2013,40.07,40.07,40.07,40.07,0
2/15/2013,40.07,40.07,40.07,40.07,0
2/19/2013,40.07,40.07,40.07,40.07,0
2/20/2013,40.07,40.07,40.07,40.07,0
2/21/2013,39.08,39.08,39.01,39.01,200
2/22/2013,39.01,39.01,39.01,39.01,0
2/25/2013,39.43,39.43,39.43,39.43,200
2/26/2013,39.43,39.43,39.43,39.43,0
2/27/2013,39.43,39.43,39.43,39.43,0
2/28/2013,40.34,40.36,39.2,39.27,1800
3/1/2013,39.27,39.27,39.27,39.27,0
3/4/2013,39.27,39.27,39.27,39.27,0
3/5/2013,39.34,39.34,39.34,39.34,100
3/6/2013,39.34,39.34,39.34,39.34,0
3/7/2013,39.34,39.34,39.34,39.34,0
3/8/2013,39.34,39.34,39.34,39.34,0
3/11/2013,39.34,39.34,39.34,39.34,0
3/12/2013,39.34,39.34,39.34,39.34,0
3/13/2013,39.42,39.42,39.42,39.42,200
3/14/2013,39.42,39.42,39.42,39.42,0
3/15/2013,39.42,39.42,39.42,39.42,0
3/18/2013,39.42,39.42,39.42,39.42,0
3/19/2013,39.42,39.42,39.42,39.42,0
3/20/2013,39.42,39.42,39.42,39.42,0
3/21/2013,39.42,39.42,39.42,39.42,0
3/22/2013,39.42,39.42,39.42,39.42,0
3/25/2013,39.42,39.42,39.42,39.42,0
3/26/2013,39.42,39.42,39.42,39.42,0
3/27/2013,39.42,39.42,39.42,39.42,0
3/28/2013,39.42,39.42,39.42,39.42,0
4/1/2013,39.42,39.42,39.42,39.42,0
4/2/2013,39.42,39.42,39.42,39.42,0
4/3/2013,39.42,39.42,39.42,39.42,0
4/4/2013,39.42,39.42,39.42,39.42,0
4/5/2013,39.42,39.42,39.42,39.42,0
4/8/2013,39.42,39.42,39.42,39.42,0
4/9/2013,39.42,39.42,39.42,39.42,0
4/10/2013,39.42,39.42,39.42,39.42,0
4/11/2013,39.42,39.42,39.42,39.42,0
4/12/2013,39.42,39.42,39.42,39.42,0
4/15/2013,38.34,38.34,38.34,38.34,200
4/16/2013,38.34,38.34,38.34,38.34,0
4/17/2013,37.66,37.66,37.61,37.62,700
4/18/2013,37.49,37.49,36.92,36.97,1300
4/19/2013,36.97,36.97,36.97,36.97,0
4/22/2013,36.97,36.97,36.97,36.97,0
4/23/2013,36.97,36.97,36.97,36.97,0
4/24/2013,36.97,36.97,36.97,36.97,0
4/25/2013,38.05,38.15,38.05,38.15,1600
4/26/2013,38.15,38.15,38.15,38.15,0
