Data, Open, High, Low, Close, Volume
2/1/2007,33.64,33.65,33.64,33.65,400
2/2/2007,34.03,34.03,33.78,33.86,20000
2/5/2007,33.93,34.01,33.93,33.96,20400
2/6/2007,33.79,33.79,33.42,33.74,12400
2/7/2007,34.06,34.46,34.06,34.2,14000
2/8/2007,34.06,34.43,34.06,34.43,26800
2/9/2007,34.46,34.46,33.39,33.39,18800
2/12/2007,33.14,33.27,33.1,33.27,14000
2/13/2007,33.32,33.32,33.09,33.28,2000
2/14/2007,33.83,34.36,33.83,34.25,13000
2/15/2007,34.28,34.51,34.28,34.47,16400
2/16/2007,34.02,34.02,34.02,34.02,6000
2/20/2007,33.91,34.54,33.81,34.53,4600
2/21/2007,34.28,34.33,34.28,34.33,10600
2/22/2007,35.1,35.1,34.62,34.62,61200
2/23/2007,34.71,34.74,34.55,34.72,30800
2/26/2007,34.53,34.53,34.27,34.27,40400
2/27/2007,32.87,33.33,31.42,31.52,198800
2/28/2007,31.43,32.15,31.43,32.15,2600
3/1/2007,31.59,31.59,31.59,31.59,400
3/2/2007,31.53,31.53,31.28,31.28,600
3/5/2007,30.32,30.85,30.3,30.3,3400
3/6/2007,31,31.25,31,31.25,800
3/7/2007,31.24,31.31,31.08,31.08,3000
3/8/2007,31.08,31.08,31.08,31.08,0
3/9/2007,31.08,31.08,31.08,31.08,0
3/12/2007,31.77,31.84,31.77,31.84,600
3/13/2007,31.55,31.73,30.76,30.76,1000
3/14/2007,31.29,31.29,31.29,31.29,400
3/15/2007,31.3,31.3,31.22,31.22,1200
3/16/2007,31.22,31.22,31.22,31.22,0
3/19/2007,31.22,31.22,31.22,31.22,0
3/20/2007,31.71,32.13,31.71,31.88,3200
3/21/2007,32.27,33.04,32.02,33.04,7400
3/22/2007,32.89,32.89,32.72,32.72,2400
3/23/2007,32.9,32.9,32.9,32.9,400
3/26/2007,32.78,32.78,32.78,32.78,600
3/27/2007,32.78,32.78,32.78,32.78,0
3/28/2007,32.32,32.32,32.32,32.32,200
3/29/2007,32.32,32.32,32.32,32.32,0
3/30/2007,32.32,32.32,32.32,32.32,0
4/2/2007,32.32,32.32,32.32,32.32,0
4/3/2007,32.34,32.61,32.34,32.61,1400
4/4/2007,32.61,32.61,32.61,32.61,0
4/5/2007,32.61,32.61,32.61,32.61,0
4/9/2007,32.61,32.61,32.61,32.61,0
4/10/2007,33.04,33.04,32.95,33.03,800
4/11/2007,33.03,33.03,33.03,33.03,0
4/12/2007,33.03,33.03,33.03,33.03,0
4/13/2007,32.75,33.36,32.75,33.29,4200
4/16/2007,33.67,33.77,33.67,33.77,600
4/17/2007,34.07,34.07,33.95,33.95,3400
4/18/2007,33.95,34.07,33.86,33.86,12200
4/19/2007,33.83,34.04,33.8,33.8,13600
4/20/2007,34.08,34.29,34.08,34.29,2200
4/23/2007,34.36,34.36,34.35,34.35,800
4/24/2007,34.33,34.59,34.33,34.59,1400
4/25/2007,34.96,35.38,34.68,35.3,1600
4/26/2007,35.59,35.59,35.39,35.39,1800
4/27/2007,35.56,35.74,35.56,35.59,6600
4/30/2007,35.55,35.55,34.99,34.99,800
5/1/2007,34.87,35.12,34.48,35.12,9200
5/2/2007,35.33,35.55,35.33,35.55,3600
5/3/2007,36.16,36.16,35.89,35.96,1600
5/4/2007,36.16,36.25,36.05,36.25,4800
