Data, Open, High, Low, Close, Volume
1/25/2007,199.4,201.55,199.11,201.55,600
1/26/2007,201.81,201.95,201.72,201.86,3200
1/29/2007,200.4,200.4,198.74,199.83,1000
1/30/2007,197.74,197.76,197.74,197.76,100
1/31/2007,198.4,198.4,196.68,196.68,1200
2/1/2007,196.13,196.48,195.04,195.42,3600
2/2/2007,195.47,195.62,194.81,194.81,1300
2/5/2007,194.93,195.64,194.81,195.64,2500
2/6/2007,196.36,196.36,196.36,196.36,0
2/7/2007,195.1,195.1,193.41,193.41,600
2/8/2007,193.84,194.3,193.84,193.87,100
2/9/2007,193.64,196.56,193.61,195.67,2700
2/12/2007,196.16,197.08,196.16,196.19,1300
2/13/2007,195.47,195.47,195.07,195.07,200
2/14/2007,193.24,193.24,193.24,193.24,100
2/15/2007,194.56,194.56,193.72,193.72,200
2/16/2007,195.1,195.1,193.49,193.49,100
2/20/2007,191.72,191.72,191.72,191.72,100
2/21/2007,192,192,191.6,191.6,300
2/22/2007,191.2,192.23,191.12,192.23,500
2/23/2007,191.49,191.49,191.49,191.49,100
2/26/2007,192.72,192.72,192.72,192.72,0
2/27/2007,196.45,200.63,195.93,199.66,4700
2/28/2007,201.12,201.55,198.85,199.43,1700
3/1/2007,204.18,204.18,198.94,200.2,4200
3/2/2007,202.06,204.33,201.29,204.3,4600
3/5/2007,207.19,208.68,203.67,208.68,9800
3/6/2007,205.93,206.28,203.04,203.32,2500
3/7/2007,204.04,204.81,203.04,204.53,3000
3/8/2007,202.21,203.93,201.92,203.9,2500
3/9/2007,201.98,203.73,201.81,202.18,7300
3/12/2007,202.44,202.52,201.32,201.32,1200
3/13/2007,202.89,206.76,202.67,206.59,4200
3/14/2007,206.19,208.57,204.44,204.7,9000
3/15/2007,204.16,204.16,202.72,202.72,2200
3/16/2007,202.87,204.3,202.87,204.3,600
3/19/2007,202.58,202.69,201.4,202.38,600
3/20/2007,201.89,202.21,200.17,200.34,8300
3/21/2007,200.23,200.49,196.19,196.33,10800
3/22/2007,196.16,197.42,196.16,196.56,900
3/23/2007,196.56,196.65,196.1,196.1,1500
3/26/2007,196.3,198.17,196.22,196.39,4200
3/27/2007,197.36,198.48,197.36,197.85,2800
3/28/2007,199.14,200,198.51,199.17,2100
3/29/2007,198.14,200.63,198.14,199.08,6200
3/30/2007,198.37,200,197.68,198.85,1600
4/2/2007,198.71,199.08,198.31,198.31,2300
4/3/2007,196.1,196.22,195.64,195.67,1500
4/4/2007,196.33,196.33,196.33,196.33,700
4/5/2007,196.59,196.62,195.62,195.76,1000
4/9/2007,196.73,196.73,196.19,196.22,900
4/10/2007,195.24,195.73,195.13,195.62,200
4/11/2007,196.25,197.62,196.25,197.19,800
4/12/2007,197.54,198.54,195.87,195.87,1600
4/13/2007,195.73,195.99,194.61,194.81,1700
4/16/2007,192.86,193.21,191.86,191.86,1900
4/17/2007,192.23,193.24,192.23,192.43,600
4/18/2007,193.12,193.44,193.12,193.15,400
4/19/2007,195.93,195.93,194.01,195.24,3400
4/20/2007,192.72,193.87,192.61,193.01,5800
4/23/2007,192.66,193.24,192.66,193.24,600
4/24/2007,192.95,194.3,192.69,193.09,1600
4/25/2007,192.84,192.84,191.49,192.09,2300
4/26/2007,192.58,193.44,191.72,191.72,2700
4/27/2007,192.75,193.21,192.46,192.46,800
4/30/2007,193.64,196.53,193.64,196.53,500
5/1/2007,196.19,198.02,196.16,196.42,19500
5/2/2007,196.02,196.02,193.01,193.18,2700
5/3/2007,193.72,193.72,192.69,193.09,300
5/4/2007,193.12,193.61,192.29,192.29,2500
5/7/2007,192.23,192.89,191.69,192.64,3400
5/8/2007,194.07,195.04,193.15,193.18,4100
5/9/2007,194.01,194.01,191.46,191.83,2300
5/10/2007,194.07,195.84,193.21,195.84,7500
5/11/2007,194.81,194.99,193.07,193.29,9400
5/14/2007,193.01,195.41,192.86,195.13,4400
5/15/2007,195.27,197.22,193.75,197.22,8100
5/16/2007,196.93,197.85,195.59,195.59,7300
5/17/2007,196.02,197.13,196.02,196.42,7900
5/18/2007,196.45,196.96,194.5,195.1,10600
5/21/2007,195.16,195.16,191.69,192.49,7100
5/22/2007,192.52,192.98,190.77,191.12,3900
5/23/2007,190.89,192.15,189.83,192.15,5000
5/24/2007,192.86,195.64,191.72,195.36,12200
5/25/2007,193.29,194.38,193.29,193.78,6000
5/29/2007,193.07,193.07,191.57,192.09,4900
5/30/2007,193.44,193.44,190.43,190.43,10100
5/31/2007,190,190.6,189.28,190,5800
6/1/2007,189.14,189.17,187.88,188.57,5500
6/4/2007,188.85,188.88,188.11,188.19,2100
6/5/2007,189,190.11,189,189.77,1200
6/6/2007,191.15,192.15,191.12,191.46,3500
6/7/2007,192.46,195.27,191.95,195.16,17700
6/8/2007,195.19,195.99,192.29,192.78,6400
6/11/2007,193.84,194.1,192.38,193.41,2900
6/12/2007,194.56,196.45,194.27,196.1,5000
6/13/2007,195.39,195.79,193.07,193.15,5900
6/14/2007,192.95,192.95,191.98,192.46,1500
6/15/2007,189.63,190.06,189.25,190,4600
6/18/2007,189.65,190.92,189.65,190.49,4300
6/19/2007,191.32,191.32,189.77,189.77,800
6/20/2007,189.54,192.95,189.54,192.81,1200
6/21/2007,194.44,194.44,191.98,192,5200
6/22/2007,192.52,194.56,192.52,193.18,3600
6/25/2007,193.84,195.7,192.52,195.19,5300
6/26/2007,194.37,196.02,193.9,195.55,2400
6/27/2007,196.74,196.74,192.25,192.25,6600
6/28/2007,191.53,192.2,191.18,192.2,3600
6/29/2007,191.56,193.61,190.95,193.61,2000
7/2/2007,193.09,193.09,191.3,191.3,1000
7/3/2007,190.78,190.81,190.4,190.43,3500
7/5/2007,190.08,191.27,189.88,189.94,6800
7/6/2007,190.37,190.37,189.19,189.33,300
7/9/2007,189.22,189.91,189.1,189.39,700
7/10/2007,191.65,192.95,191.24,192.95,1600
7/11/2007,193.12,193.27,192.11,192.11,1400
7/12/2007,189.88,189.88,189.01,189.01,500
7/13/2007,189.56,189.91,188.73,189.16,1500
7/16/2007,194.42,194.42,189.16,190.32,1400
7/17/2007,190.43,190.43,189.56,190.23,900
7/18/2007,191.53,193.41,191.3,191.3,5300
7/19/2007,189.56,190.29,189.56,189.85,1700
7/20/2007,191.07,194.51,191.07,193.59,7100
7/23/2007,193.3,193.82,192.63,193.73,3900
7/24/2007,196.94,200.04,196.8,199.31,5600
7/25/2007,198.42,201.63,197.55,199.89,11700
