Data, Open, High, Low, Close, Volume
2/1/2007,710.73,710.73,710.73,710.73,0
2/2/2007,710.73,710.73,710.73,710.73,0
2/5/2007,708.77,708.77,708.47,708.47,100
2/6/2007,708.47,708.47,708.47,708.47,0
2/7/2007,708.36,708.36,708.36,708.36,0
2/8/2007,708.36,708.36,708.36,708.36,0
2/9/2007,708.36,708.36,708.36,708.36,0
2/12/2007,708.36,708.36,708.36,708.36,0
2/13/2007,708.36,708.36,708.36,708.36,0
2/14/2007,708.36,708.36,708.36,708.36,0
2/15/2007,708.36,708.36,708.36,708.36,0
2/16/2007,708.36,708.36,708.36,708.36,0
2/20/2007,708.36,708.36,708.36,708.36,0
2/21/2007,708.36,708.36,708.36,708.36,0
2/22/2007,708.36,708.36,708.36,708.36,0
2/23/2007,723.5,723.5,723.5,723.5,0
2/26/2007,721.03,721.03,721.03,721.03,100
2/27/2007,763.99,763.99,756.16,756.57,0
2/28/2007,756.57,756.57,756.57,756.57,0
3/1/2007,756.57,756.57,756.57,756.57,0
3/2/2007,756.57,756.57,756.57,756.57,0
3/5/2007,774.9,780.05,774.9,778.61,0
3/6/2007,778.2,778.2,777.07,777.07,0
3/7/2007,777.07,777.07,777.07,777.07,0
3/8/2007,752.45,752.45,751.32,751.32,0
3/9/2007,751.32,751.32,751.32,751.32,0
3/12/2007,751.32,751.32,751.32,751.32,0
3/13/2007,751.32,751.32,751.32,751.32,0
3/14/2007,783.45,784.07,783.45,783.66,0
3/15/2007,783.66,783.66,783.66,783.66,0
3/16/2007,779.95,779.95,779.95,779.95,0
3/19/2007,779.95,779.95,779.95,779.95,0
3/20/2007,779.95,779.95,779.95,779.95,0
3/21/2007,745.75,745.75,745.75,745.75,0
3/22/2007,745.75,745.75,745.75,745.75,0
3/23/2007,745.03,745.03,745.03,745.03,0
3/26/2007,745.03,745.03,745.03,745.03,0
3/27/2007,745.03,745.03,745.03,745.03,0
3/28/2007,763.88,763.88,763.88,763.88,0
3/29/2007,763.88,763.88,763.88,763.88,0
3/30/2007,763.88,763.88,763.88,763.88,0
4/2/2007,763.88,763.88,763.88,763.88,0
4/3/2007,763.88,763.88,763.88,763.88,0
4/4/2007,730.3,730.3,729.79,729.79,0
4/5/2007,721.03,721.03,715.88,715.88,100
4/9/2007,718.77,718.77,718.77,718.77,0
