Data, Open, High, Low, Close, Volume
2/1/2007,16.33,16.33,16.33,16.33,1200
2/2/2007,16.33,16.33,16.33,16.33,0
2/5/2007,16.38,16.38,16.36,16.37,94400
2/6/2007,16.42,16.42,16.31,16.31,24400
2/7/2007,16.36,16.39,16.34,16.39,42000
2/8/2007,16.41,16.41,16.41,16.41,20400
2/9/2007,16.42,16.44,16.26,16.26,13200
2/12/2007,16.26,16.26,16.26,16.26,0
2/13/2007,16.19,16.19,16.18,16.18,800
2/14/2007,16.39,16.39,16.39,16.39,800
2/15/2007,16.39,16.55,16.39,16.54,1600
2/16/2007,16.54,16.54,16.54,16.54,0
2/20/2007,16.39,16.39,16.39,16.39,400
2/21/2007,16.39,16.39,16.39,16.39,0
2/22/2007,16.39,16.39,16.39,16.39,0
2/23/2007,16.39,16.39,16.39,16.39,0
2/26/2007,16.16,16.16,16.16,16.16,12400
2/27/2007,15.2,15.37,15.2,15.37,2000
2/28/2007,15.47,15.62,15.47,15.5,2800
3/1/2007,15.35,15.35,15.26,15.26,3200
3/2/2007,15.26,15.26,15.26,15.26,0
3/5/2007,14.87,14.89,14.78,14.89,2400
3/6/2007,15,15.12,15,15.12,800
3/7/2007,15.12,15.12,15.12,15.12,0
3/8/2007,15.12,15.12,15.12,15.12,0
3/9/2007,15.12,15.12,15.12,15.12,0
3/12/2007,15.12,15.12,15.12,15.12,0
3/13/2007,15.13,15.13,15.13,15.13,400
3/14/2007,15.13,15.13,15.13,15.13,0
3/15/2007,14.95,14.95,14.95,14.95,1200
3/16/2007,14.95,14.95,14.95,14.95,0
3/19/2007,14.95,14.95,14.95,14.95,0
3/20/2007,15.19,15.26,15.19,15.26,2000
3/21/2007,15.4,15.52,15.4,15.52,6000
3/22/2007,15.52,15.52,15.52,15.52,0
3/23/2007,15.69,15.69,15.65,15.67,1600
3/26/2007,15.67,15.67,15.67,15.67,0
3/27/2007,15.62,15.62,15.62,15.62,400
3/28/2007,15.3,15.3,15.3,15.3,800
3/29/2007,15.36,15.36,15.36,15.36,400
3/30/2007,15.38,15.38,15.38,15.38,400
4/2/2007,15.55,15.55,15.55,15.55,1200
4/3/2007,15.55,15.55,15.55,15.55,0
4/4/2007,15.92,16.1,15.92,16.08,5600
4/5/2007,16.08,16.32,16.08,16.3,7600
4/9/2007,16.3,16.3,16.25,16.28,17200
4/10/2007,16.36,16.36,16.32,16.32,2000
4/11/2007,16.24,16.24,16.24,16.24,400
4/12/2007,16.18,16.44,16.18,16.44,2400
4/13/2007,16.83,16.96,16.77,16.94,28800
4/16/2007,17.12,17.26,17.11,17.26,45600
4/17/2007,17.45,17.53,17.38,17.4,15200
4/18/2007,17.18,17.3,17.18,17.29,6400
4/19/2007,17.34,17.43,17.29,17.39,30000
4/20/2007,17.6,17.62,17.47,17.6,18000
4/23/2007,17.58,17.65,17.57,17.58,21200
4/24/2007,17.57,17.57,17.42,17.55,11600
4/25/2007,17.55,17.71,17.43,17.71,6400
4/26/2007,17.75,17.8,17.72,17.8,7200
4/27/2007,17.67,17.74,17.59,17.68,4000
4/30/2007,17.57,17.59,17.48,17.48,50400
5/1/2007,17.46,17.57,17.45,17.57,4800
5/2/2007,17.64,17.85,17.59,17.76,5200
5/3/2007,17.76,17.81,17.75,17.81,6000
5/4/2007,17.89,17.98,17.87,17.92,8400
