Data, Open, High, Low, Close, Volume
1/25/2007,33.37,33.45,33.37,33.45,16000
1/26/2007,32.71,32.8,32.71,32.8,13000
1/29/2007,32.8,32.8,32.8,32.8,0
1/30/2007,33.83,33.83,33.69,33.69,1200
1/31/2007,33.6,34.46,33.6,34.4,8400
2/1/2007,34.61,35.04,34.54,35.04,21800
2/2/2007,35.11,35.11,34.99,34.99,600
2/5/2007,35.06,35.16,34.87,34.87,43600
2/6/2007,34.83,35.2,34.78,35.2,42000
2/7/2007,35.22,35.64,35.19,35.64,14200
2/8/2007,35.27,35.64,35.27,35.52,24400
2/9/2007,35.52,35.52,34.54,34.73,7400
2/12/2007,34.53,34.57,34.49,34.57,2600
2/13/2007,34.99,35.14,34.81,35.14,27600
2/14/2007,35.1,35.65,35.06,35.38,27200
2/15/2007,35.32,35.63,35.2,35.49,9200
2/16/2007,35.45,35.7,35.24,35.63,18000
2/20/2007,35.48,36.47,35.26,36.45,16200
2/21/2007,36.35,36.56,36.28,36.53,40000
2/22/2007,36.51,36.68,36.51,36.68,2600
2/23/2007,36.29,36.41,36.18,36.41,6000
2/26/2007,36.54,36.54,36.1,36.1,14400
2/27/2007,34.99,34.99,33.25,33.25,6800
2/28/2007,33.25,33.98,32.83,33.58,20600
3/1/2007,32.42,33.72,31.85,33.45,4800
3/2/2007,33.13,33.13,32.26,32.26,6400
3/5/2007,31.55,32.05,30.79,30.85,55200
3/6/2007,31.95,32.33,31.6,32.33,10200
3/7/2007,32.35,32.59,32.09,32.17,18400
3/8/2007,32.95,32.95,32.7,32.7,7600
3/9/2007,32.76,33.19,32.67,33.03,19200
3/12/2007,33.12,33.35,33,33.17,7400
3/13/2007,32.82,32.82,31.87,31.87,39400
3/14/2007,31.93,32.32,31.18,32.21,27400
3/15/2007,32.59,32.84,32.5,32.78,12600
3/16/2007,32.54,32.89,32.39,32.51,21800
3/19/2007,33.09,33.41,33.09,33.34,2000
3/20/2007,33.63,33.75,33.57,33.75,2400
3/21/2007,33.81,34.85,33.76,34.71,68600
