Data, Open, High, Low, Close, Volume
1/25/2007,171.46,171.46,171.46,171.46,700
1/26/2007,171.46,171.46,171.46,171.46,0
1/29/2007,172.7,172.7,172.43,172.57,0
1/30/2007,170.82,170.82,170.82,170.82,0
1/31/2007,170.82,170.82,170.82,170.82,0
2/1/2007,167.05,167.05,167.05,167.05,1000
2/2/2007,167.05,167.05,167.05,167.05,0
2/5/2007,167.69,167.69,167.69,167.69,1000
2/6/2007,168.48,168.48,168.38,168.38,1300
2/7/2007,167.61,167.61,166.87,166.87,100
2/8/2007,166.87,166.87,166.87,166.87,0
2/9/2007,168.55,168.55,168.55,168.55,0
2/12/2007,168.85,169.32,168.85,169.32,300
2/13/2007,168.95,168.95,167.84,167.84,400
2/14/2007,167.69,167.69,167.42,167.42,200
2/15/2007,167.19,167.19,167.19,167.19,0
2/16/2007,167.19,167.19,167.19,167.19,0
2/20/2007,167.19,167.19,167.19,167.19,0
2/21/2007,167.19,167.19,167.19,167.19,0
2/22/2007,167.19,167.19,167.19,167.19,0
2/23/2007,165.17,165.17,165.17,165.17,0
2/26/2007,165.17,165.17,165.17,165.17,0
2/27/2007,169.07,172.65,168.45,172.65,800
2/28/2007,170.82,171.49,170.82,170.9,200
3/1/2007,174.13,175.68,170.75,171.83,4700
3/2/2007,173.73,175.09,173.12,174.45,9200
3/5/2007,177.34,177.51,174.7,177.19,3100
3/6/2007,175.98,176.72,174.43,175.04,400
3/7/2007,174.8,175.78,174.13,174.15,2700
3/8/2007,173.59,173.93,173.12,173.93,2600
3/9/2007,173.36,174.08,173.24,173.24,1700
3/12/2007,173.24,173.24,173.24,173.24,0
3/13/2007,174.01,176.99,173.59,176.99,1300
3/14/2007,176.84,177.49,175.59,175.59,1600
3/15/2007,174.35,174.6,173.61,173.61,200
3/16/2007,174.28,174.28,174.28,174.28,0
3/19/2007,173.34,173.34,172.4,173.09,100
3/20/2007,172.82,172.82,170.9,170.9,3600
3/21/2007,171.29,171.29,168.58,168.58,1700
3/22/2007,168.8,168.82,168.28,168.82,300
3/23/2007,167.84,167.84,167.66,167.71,2700
3/26/2007,168.23,168.23,168.23,168.23,0
3/27/2007,168.23,168.23,168.23,168.23,0
3/28/2007,169.19,169.86,169.19,169.86,100
3/29/2007,169.86,169.86,169.86,169.86,0
3/30/2007,169.37,170.48,169.37,170.48,200
4/2/2007,169.02,169.02,169.02,169.02,100
4/3/2007,167.59,167.59,167.19,167.24,300
4/4/2007,167.64,167.81,167.44,167.44,200
4/5/2007,167.44,167.44,167.44,167.44,0
4/9/2007,167.14,167.14,167.14,167.14,200
4/10/2007,167.14,167.14,167.14,167.14,0
4/11/2007,167.14,167.14,167.14,167.14,0
4/12/2007,168.33,168.33,167.29,167.29,500
4/13/2007,167.14,167.14,166.55,166.55,300
4/16/2007,164.85,164.85,164.4,164.58,300
4/17/2007,164.58,164.58,164.58,164.58,0
4/18/2007,165.47,165.47,165.47,165.47,100
4/19/2007,167.51,167.51,166.33,166.63,700
4/20/2007,164.5,165.32,164.5,164.97,500
4/23/2007,164.8,164.8,164.8,164.8,0
4/24/2007,164.8,164.8,164.8,164.8,0
4/25/2007,164.38,164.38,164.06,164.06,100
4/26/2007,163.69,163.76,163.69,163.69,0
4/27/2007,163.69,163.69,163.69,163.69,0
4/30/2007,167.02,167.17,167.02,167.17,0
5/1/2007,167.29,167.29,166.58,166.58,100
5/2/2007,163.81,163.81,163.59,163.59,200
5/3/2007,163.59,163.59,163.59,163.59,0
5/4/2007,163.1,163.1,162.95,162.95,0
5/7/2007,162.97,163.12,162.97,163.12,900
5/8/2007,164.68,164.68,164.08,164.11,400
5/9/2007,163.37,163.37,162.43,162.43,3000
5/10/2007,163.89,165.24,163.89,165.07,600
5/11/2007,164.75,164.75,164.06,164.06,300
5/14/2007,163,165.29,163,165.29,600
5/15/2007,165,166.55,163.89,166.48,1600
5/16/2007,165.76,167.22,165.37,165.37,3700
5/17/2007,165.98,166.68,165.76,166.06,3000
5/18/2007,166.23,166.58,164.38,165,1200
5/21/2007,164.87,164.87,162.21,162.5,1800
5/22/2007,162.75,163.34,161.52,162.04,600
5/23/2007,161.42,162.75,160.41,162.75,1200
5/24/2007,162.9,165.44,161.67,165.44,1100
5/25/2007,164.13,164.26,163.54,163.54,100
5/29/2007,162.85,163.39,162.11,162.38,600
5/30/2007,162.11,162.11,161.67,161.67,200
5/31/2007,161,161,160.06,160.95,1100
6/1/2007,159.25,159.89,158.88,159.74,300
6/4/2007,160.13,160.13,159.57,159.57,300
6/5/2007,159.94,161.25,159.94,161.07,300
6/6/2007,161.79,163.07,161.79,162.16,1900
6/7/2007,163.27,165.54,163.15,165.15,5600
6/8/2007,165.74,165.74,164.08,164.23,3500
6/11/2007,164.26,164.26,163.34,164.01,900
6/12/2007,165.84,166.16,164.65,166.16,1200
6/13/2007,165.61,165.91,163.57,163.57,4600
6/14/2007,162.26,162.75,162.26,162.65,1300
6/15/2007,160.92,160.92,160.31,160.73,2300
6/18/2007,160.75,161.32,160.75,161.05,200
6/19/2007,162.43,162.6,160.85,160.88,200
6/20/2007,160.92,164.65,160.92,164.65,1000
6/21/2007,164.36,164.36,162.85,162.9,100
6/22/2007,162.95,164.82,162.95,164.43,600
6/25/2007,164.9,165.37,163.29,165.37,1900
6/26/2007,164.91,166.37,164.91,166.37,100
6/27/2007,165.42,165.42,163.71,163.71,100
6/28/2007,163.1,163.1,162.93,162.93,100
6/29/2007,162.93,162.93,162.93,162.93,0
7/2/2007,162.6,162.75,162.57,162.57,400
7/3/2007,161.9,162.1,161.9,162.1,200
7/5/2007,161.9,162.37,161.82,162.37,100
7/6/2007,162.37,162.37,162.37,162.37,0
7/9/2007,161.64,161.64,161.22,161.52,300
7/10/2007,162.68,163.4,162.68,163.4,200
7/11/2007,163.68,163.73,163.1,163.48,1300
7/12/2007,160.21,160.69,160.16,160.69,100
7/13/2007,160.26,160.64,159.78,160.06,900
7/16/2007,160.31,161.39,160.31,160.97,1000
7/17/2007,160.64,160.64,159.88,160.64,1500
7/18/2007,161.9,162.9,161.09,161.14,2200
7/19/2007,160.29,160.31,160.19,160.19,100
7/20/2007,162.2,163.93,162.2,162.9,1200
7/23/2007,162.68,162.68,161.9,162.5,300
7/24/2007,165.42,167.58,165.42,167.28,1000
7/25/2007,166.5,168.58,165.59,166.95,2200
7/26/2007,169.69,173.13,169.69,171.05,3900
7/27/2007,172.33,175.04,169.69,175.04,6700
7/30/2007,175.4,175.4,172.13,172.13,1900
7/31/2007,170.69,172.53,170.27,172.35,1300
8/1/2007,175.17,175.97,172.93,173.33,3700
8/2/2007,171.95,173.48,171.12,171.95,1400
8/3/2007,172.33,178.36,172.33,178.09,3800
8/6/2007,178.36,180.75,175.8,175.82,6100
8/7/2007,176.73,177.08,173.96,173.96,2400
8/8/2007,170.57,174.24,169.39,172.83,11800
8/9/2007,174.64,174.72,172.35,174.72,800
8/10/2007,177.08,177.33,171.17,172.76,3200
8/13/2007,170.64,173.64,170.57,173.64,8300
8/14/2007,173.76,177.26,173.76,177.26,2700
8/15/2007,178.24,180.4,175.42,180.4,1500
8/16/2007,179.62,183.82,176.98,177.08,2800
8/17/2007,173.76,173.76,172.3,173.21,1300
8/20/2007,173.21,174.67,172.1,172.66,1500
8/21/2007,172.28,173.08,171.93,172.45,800
8/22/2007,170.37,171.2,169.74,170.47,2500
8/23/2007,170.24,171.7,170.24,171.17,200
8/24/2007,172.5,172.5,170.39,170.39,1000
8/27/2007,170.39,171.42,170.39,171.32,300
8/28/2007,173.23,176.43,173.23,176.3,2800
8/29/2007,174.97,175.24,172.45,172.45,2700
8/30/2007,173.28,173.81,171.22,173.81,700
8/31/2007,171.02,172.68,170.52,171.27,1400
9/4/2007,170.69,170.69,168.46,168.46,300
9/5/2007,171.2,172.33,171.2,171.8,1000
9/6/2007,171.2,172.13,170.67,171.55,400
9/7/2007,174.21,175.27,173.91,175.27,600
9/10/2007,174.31,177.1,174.31,176.23,300
9/11/2007,174.47,174.47,173.89,173.96,100
9/12/2007,173.23,174.16,172.93,174.16,900
9/13/2007,174.67,174.67,172.81,173.26,1400
9/14/2007,174.72,174.72,173.51,174.21,600
9/17/2007,174.64,174.99,174.36,174.72,300
9/18/2007,173.96,173.96,166.72,167.55,1800
9/19/2007,165.64,166.14,165.36,165.82,400
9/20/2007,166.72,168.28,166.35,167.48,500
9/21/2007,167.15,167.17,166.55,167.1,100
9/24/2007,167.85,169.09,167.28,169.09,500
9/25/2007,170.6,170.88,169.86,169.89,2700
9/26/2007,168.75,168.75,167.88,167.88,500
9/27/2007,167.78,168.14,167.65,167.65,200
9/28/2007,167.7,168.77,167.7,168.77,200
10/1/2007,167.73,167.75,165.26,165.26,300
10/2/2007,165.14,165.14,164.1,164.1,700
10/3/2007,164.71,164.71,164.71,164.71,0
10/4/2007,165.39,165.39,165.26,165.26,0
10/5/2007,163.11,163.97,161.43,161.43,300
10/8/2007,163.03,163.36,163.03,163.36,100
10/9/2007,163.18,163.18,161.94,162.27,1800
10/10/2007,162.6,162.6,162.6,162.6,0
10/11/2007,161.71,164.35,161.3,164.35,4200
10/12/2007,163.87,163.87,162.88,162.88,200
10/15/2007,163.59,166.31,163.59,165.59,2300
10/16/2007,166.41,167.04,166.1,166.69,800
10/17/2007,165.59,168.8,165.59,168.8,500
10/18/2007,168.57,168.57,167.63,167.63,500
10/19/2007,168.82,172.58,168.82,172.58,700
10/22/2007,174.79,174.79,170.42,170.42,2000
10/23/2007,170.14,170.96,169.25,169.25,300
10/24/2007,170.6,173.27,169.66,169.66,1600
10/25/2007,169.46,171.74,169.05,170.78,2100
10/26/2007,168.62,169,167.27,167.27,400
10/29/2007,162.44,168.62,162.44,168.19,200
10/30/2007,168.54,169.23,168.54,169.2,300
10/31/2007,168.08,169.53,166.43,167.37,1300
11/1/2007,171.13,175.3,171.13,173.85,1600
11/2/2007,175.68,175.68,172.53,173.72,1700
11/5/2007,176.57,176.95,174.61,174.97,3300
11/6/2007,175.3,176.54,172.96,173.42,1500
11/7/2007,175.55,178.86,175.33,178.86,2100
11/8/2007,178.32,181.35,177.76,178.37,4300
11/9/2007,178.37,181.09,178.37,180.23,1800
11/12/2007,179.62,179.62,177.59,179.31,1200
11/13/2007,178.6,178.83,176.01,176.01,2100
11/14/2007,171.72,177.79,171.72,177.79,2400
11/15/2007,184.4,184.4,178.32,180.91,800
11/16/2007,180.91,182.54,180,180,400
11/19/2007,182.95,185,182.24,184.45,3000
11/20/2007,180.76,187.37,180.76,184.73,4500
11/21/2007,186.1,186.81,184.55,186.73,600
11/23/2007,184.95,185.84,183.35,183.35,1000
11/26/2007,183.18,187.37,183.18,187.34,400
11/27/2007,185.84,187.55,185.84,186,2100
11/28/2007,183.05,183.05,180.38,180.56,5300
11/29/2007,180.38,186.38,170.22,180.71,600
11/30/2007,175.3,180.58,175.3,180.58,800
12/3/2007,181.02,181.85,180.76,181.02,1200
12/4/2007,183.38,183.38,182.31,183.35,600
12/5/2007,181.27,182.11,181.02,181.93,1500
12/6/2007,178.53,178.53,176.49,176.49,600
12/7/2007,176.6,176.6,176.24,176.37,4600
12/10/2007,176.29,176.29,174.49,175.5,1500
12/11/2007,174.31,179.9,174.31,179.9,600
12/12/2007,177.08,181.52,177.08,180.89,1700
12/13/2007,182.92,182.92,180.05,180.05,200
12/14/2007,182.62,183.33,182.62,183.33,300
12/17/2007,185.69,188.08,184.7,188.08,2200
12/18/2007,185.72,189.15,184.75,189.15,900
12/19/2007,184.95,185.79,182.36,184.65,13400
12/20/2007,183.01,184.86,182.27,182.27,400
12/21/2007,178.34,178.55,178.19,178.19,500
12/24/2007,176.42,176.42,176.01,176.01,100
12/26/2007,176.83,177.04,175.14,176.01,13600
12/27/2007,177.06,179.14,177.06,178.73,2600
12/28/2007,180.91,180.91,178.96,180.17,800
12/31/2007,181.68,182.94,180.91,181.45,1900
1/2/2008,181.89,184.61,181.89,184.14,1500
1/3/2008,182.58,186.5,182.58,186.5,2500
1/4/2008,189.64,192.46,189.38,190.69,900
1/7/2008,193.79,194.36,190.4,191.12,1900
1/8/2008,190.1,196.38,189.22,196.38,800
1/9/2008,196.87,200.98,194.92,194.92,6700
1/10/2008,200.13,201.59,192.79,193.51,7200
1/11/2008,195.54,197.38,194.38,196.87,3100
1/14/2008,194,196.41,194,195.13,1000
1/15/2008,197.59,199.72,197.28,199.31,800
1/16/2008,200.16,200.46,196,198.13,1800
1/17/2008,197.33,203.47,197.33,203.47,1800
1/18/2008,202.44,206.85,200.31,204.49,4700
1/22/2008,231.57,256.61,203.42,205.16,14600
1/23/2008,225.53,256.61,197.59,198.87,9600
1/24/2008,196.56,200.16,195.02,197.67,4100
1/25/2008,195.54,211.7,195.02,208.96,4300
1/28/2008,203.65,203.65,195.61,195.61,6200
1/29/2008,195.02,195.72,193.79,193.92,2000
1/30/2008,195.41,197.08,190.66,197.08,7400
1/31/2008,201.98,201.98,189.89,192.12,9300
2/1/2008,190.02,191.02,186.61,186.68,4600
2/4/2008,188.3,189.56,188.1,189.04,4200
2/5/2008,194.92,194.92,190.82,192.97,4200
2/6/2008,194.25,196.31,191.74,196.31,1300
2/7/2008,199.62,199.62,192.77,193.82,3500
2/8/2008,194.15,194.84,192.56,194.48,1700
2/11/2008,200,200,193.23,193.56,1200
2/12/2008,192.46,193.12,191.17,192.38,5400
2/13/2008,190.4,191.38,188.48,188.48,20700
2/14/2008,188.43,192.97,188.43,192.53,3600
2/15/2008,191.79,196.05,191.79,193.97,5900
2/19/2008,190.92,194.13,190.92,193.79,4200
2/20/2008,195.38,195.67,191.15,191.15,1800
2/21/2008,190.12,195.13,189.33,194.74,2800
2/22/2008,196.31,197.74,194.92,194.92,5400
2/25/2008,194.92,195.38,189.87,190.07,4700
2/26/2008,189.89,189.89,186.79,188.35,1500
2/27/2008,189.43,189.43,187.12,187.79,500
2/28/2008,190.53,192.38,190.23,191.43,800
2/29/2008,188.79,197.49,188.79,196.67,2800
3/3/2008,199.26,199.93,196.44,197.62,1700
3/4/2008,199.39,201.05,197.69,197.85,1900
3/5/2008,199.28,199.28,192.46,198.1,1500
3/6/2008,198.51,202.59,198.51,202.59,3800
3/7/2008,206.85,206.85,194.95,203.88,2200
3/10/2008,204.13,207.91,203.67,207.57,9100
3/11/2008,198.18,205.29,197.13,199.03,8900
3/12/2008,197.44,201.8,197.44,201.8,1000
3/13/2008,204.26,205.29,197.64,197.64,3700
3/14/2008,199.13,204.08,199.13,202.39,5300
3/17/2008,205.72,207.08,203.44,205.31,3600
3/18/2008,205.08,205.08,196.54,196.74,7800
3/19/2008,194.51,201.52,194,201.52,2700
3/20/2008,205.01,205.01,196.46,197.08,3900
3/24/2008,195.28,196.28,190.25,191.25,13100
3/25/2008,191.62,192.55,190.35,190.56,4900
3/26/2008,191.98,192.8,189.5,189.5,2300
3/27/2008,188.89,194.35,184.94,194.35,2000
3/28/2008,194.04,196.1,194.04,196.1,300
3/31/2008,195.59,195.69,193.96,195.69,600
4/1/2008,195.2,195.2,189.3,189.3,1600
4/2/2008,186.9,194.04,182.93,188.11,2100
4/3/2008,189.07,189.07,187.52,187.88,4300
4/4/2008,189.99,189.99,187.6,188.22,900
4/7/2008,188.76,188.76,185.97,187.42,400
4/8/2008,188.73,189.89,188.71,189.45,1000
4/9/2008,188.37,192.49,188.37,192.08,900
4/10/2008,192.7,192.7,189.61,190.43,200
4/11/2008,193.52,195.82,192.93,195.41,1800
4/14/2008,195.82,196.13,194.43,196.02,1200
4/15/2008,192.57,196.46,192.57,194.43,300
4/16/2008,192.78,192.78,189.2,189.22,2700
4/17/2008,189.43,191.02,189.43,190.12,500
4/18/2008,186.75,187.88,185.97,187.34,4300
4/21/2008,186.21,188.81,186.21,187.7,1000
4/22/2008,190.54,192.7,190.54,191.33,2800
4/23/2008,191.95,191.95,191.95,191.95,500
4/24/2008,191.46,191.46,188.76,188.76,300
4/25/2008,187.08,188.91,185.87,185.92,400
4/28/2008,184.48,186.62,184.48,184.69,200
4/29/2008,185.64,187.52,185.64,186.23,300
4/30/2008,185.72,188.11,185.12,188.11,2500
5/1/2008,186.88,186.88,184.09,184.14,3600
5/2/2008,181.57,185.3,181.57,184.38,1100
5/5/2008,186.15,186.15,185.3,185.56,200
5/6/2008,185.61,185.77,185.61,185.77,0
5/7/2008,184.38,187.49,183.99,187.34,700
5/8/2008,187.88,188.01,187.62,187.62,200
5/9/2008,188.11,188.14,187.03,187.03,100
5/12/2008,185.43,185.43,183.96,183.96,400
5/13/2008,184.43,184.43,182.57,182.57,0
5/14/2008,181.83,183.11,180.95,182.55,300
5/15/2008,178.58,183.55,178.32,181.03,700
5/16/2008,180.9,182.01,180.9,181.05,600
5/19/2008,181.46,182.13,179.27,181.95,2300
5/20/2008,183.11,183.86,182.34,182.5,2100
5/21/2008,182.65,184.97,180.79,184.58,3700
5/22/2008,183.4,183.76,175.23,183.5,600
5/23/2008,184.09,186.82,184.09,185.33,1100
5/27/2008,184.76,184.76,183.22,183.22,500
5/28/2008,183.42,183.42,182.16,182.16,200
5/29/2008,180.79,180.79,179.22,180.33,1500
5/30/2008,181.1,181.18,179.82,179.82,1100
6/2/2008,179.66,182.96,179.66,181.8,400
6/3/2008,180.28,183.63,180.28,182.13,300
6/4/2008,182.44,182.44,179.97,180.98,100
6/5/2008,179.33,179.33,176.88,177.08,500
6/6/2008,180.12,181.57,179.82,181.44,1400
6/9/2008,182.16,183.42,181.52,183.42,600
6/10/2008,183.99,183.99,182.83,182.83,500
6/11/2008,185.74,186.64,184.76,186.64,1000
6/12/2008,185.28,186.52,183.89,186.52,8100
6/13/2008,185.61,185.61,184.27,184.3,300
6/16/2008,183.68,183.68,182.39,182.39,300
6/17/2008,181.83,182.19,181.49,182.13,4800
6/18/2008,187.26,187.26,182.62,183.91,1500
6/19/2008,183.91,183.91,182.5,182.5,1700
6/20/2008,185.54,185.59,185.54,185.59,500
6/23/2008,184.61,186.36,183.84,186.36,4000
6/24/2008,187.65,189.74,186.95,188.99,7500
6/25/2008,183.98,188.27,183.98,186.56,1100
6/26/2008,189.46,191.45,189.46,190.98,1100
6/27/2008,188.61,193,188.61,191.73,400
6/30/2008,191.99,193.57,191.63,193.57,1300
7/1/2008,196.03,197.68,194.01,194.73,1200
7/2/2008,195.02,199.28,195.02,199.28,1400
7/3/2008,201.61,201.87,199.8,200.96,1300
7/7/2008,201.61,204.79,200.08,202.18,2000
7/8/2008,203.26,204.4,196.85,196.85,10200
7/9/2008,195.53,201.58,195.53,201.58,5500
7/10/2008,197.76,202.67,197.76,201.56,1900
7/11/2008,206,207.17,198.22,199.64,2300
7/14/2008,195.56,202.59,195.56,201.92,2800
7/15/2008,204.86,206.78,200.21,200.24,3300
7/16/2008,203.11,204.04,196.67,196.67,6200
7/17/2008,195.53,196.62,194.06,194.84,9300
7/18/2008,194.34,194.55,193.78,194.27,8200
7/21/2008,193.65,194.53,193.65,193.91,3700
7/22/2008,197.89,197.89,188.12,188.12,1700
7/23/2008,186.95,189.74,186.95,188.06,3800
7/24/2008,189.41,192.41,189.41,192.41,100
7/25/2008,191.42,191.42,189.23,190.93,2100
7/28/2008,190.93,190.93,190.93,190.93,0
7/29/2008,190.86,190.86,188.61,188.61,400
7/30/2008,185.45,190.11,185.45,188.45,2800
7/31/2008,188.79,189.69,188.09,189.49,400
8/1/2008,191.79,191.79,188.97,189.02,1100
8/4/2008,188.32,191.84,188.32,191.84,200
8/5/2008,188.09,188.4,186.1,186.33,1100
8/6/2008,187.11,187.26,185.14,185.17,1500
8/7/2008,189.51,189.51,181.32,186.15,900
8/8/2008,187.26,187.26,182.48,182.89,4200
8/11/2008,178.35,182.17,174.55,178.5,2500
8/12/2008,176.43,179.87,176.43,179.59,1600
8/13/2008,180.03,181.45,178.47,178.97,3200
8/14/2008,177.83,179.9,177.73,178.4,2100
8/15/2008,176.17,179.28,175.89,178.71,1500
8/18/2008,176.17,181.24,176.17,180.26,1400
8/19/2008,182.35,184.21,182.3,184.21,700
8/20/2008,185.38,185.38,183.26,183.88,1200
8/21/2008,183.93,185.45,183.62,183.98,3600
8/22/2008,182.35,182.35,181.14,181.6,1000
8/25/2008,185.2,186.1,185.2,185.35,4200
8/26/2008,185.89,185.89,184.03,185.38,2600
8/27/2008,183.75,183.75,182.27,182.27,200
8/28/2008,181.83,182.33,179.46,179.9,8200
8/29/2008,179.82,181.68,179.82,181.68,500
9/2/2008,177.83,182.07,177.31,182.07,1500
9/3/2008,183.54,183.54,179.48,181.81,3500
9/4/2008,183.1,186.36,182.22,185.74,3300
9/5/2008,189.85,190.39,186.15,186.15,900
9/8/2008,177.05,184.01,177.05,182.38,3300
9/9/2008,182.27,186.51,180.83,186.51,8600
9/10/2008,185.43,188.04,184.57,185.12,8000
9/11/2008,188.22,188.22,184.24,184.24,1700
9/12/2008,184.83,184.83,184.83,184.83,0
9/15/2008,188.12,191.06,185.04,190.24,6700
9/16/2008,194.37,194.37,185.32,185.76,5600
