Data, Open, High, Low, Close, Volume
3/18/2010,49.45,49.6,49.45,49.6,4400
3/19/2010,50.2,51.07,50.2,50.98,10800
3/22/2010,51.63,51.63,51.63,51.63,2000
3/23/2010,49.99,50,49.99,50,2100
3/24/2010,50,50,50,50,0
3/25/2010,49.54,49.73,48.56,49.71,17100
3/26/2010,50.55,50.55,50.55,50.55,1100
3/29/2010,49.86,49.86,49.86,49.86,200
3/30/2010,49.86,49.86,49.86,49.86,0
3/31/2010,49.86,49.86,49.86,49.86,0
4/1/2010,49.86,49.86,49.86,49.86,0
4/5/2010,48.81,48.81,48.81,48.81,1000
4/6/2010,48.01,48.01,48.01,48.01,300
4/7/2010,47.98,47.98,47.98,47.98,3000
4/8/2010,48.7,48.7,48.22,48.22,700
4/9/2010,48.22,48.22,48.22,48.22,0
4/12/2010,48.09,48.09,48.09,48.09,1000
4/13/2010,48.09,48.09,48.09,48.09,0
4/14/2010,48.09,48.09,48.09,48.09,0
4/15/2010,47.95,48.04,47.95,48.01,3700
4/16/2010,48.01,48.01,48.01,48.01,0
4/19/2010,49.4,49.64,49.2,49.2,5000
4/20/2010,48.67,48.8,48.67,48.8,1800
4/21/2010,49.14,49.14,49.14,49.14,200
4/22/2010,49.55,49.96,48.95,48.95,800
4/23/2010,48.38,48.39,48.38,48.39,400
4/26/2010,47.41,47.84,47.41,47.74,3800
4/27/2010,48.67,49.32,48.67,49.1,5200
4/28/2010,49.11,49.12,48.72,48.73,5800
4/29/2010,48.57,48.59,48.44,48.46,1300
4/30/2010,48.46,48.46,48.46,48.46,0
5/3/2010,48.46,48.46,48.46,48.46,0
5/4/2010,51.58,51.58,51.31,51.31,1200
5/5/2010,52.32,52.54,51.52,51.96,2000
5/6/2010,53.99,56.03,52.94,53.47,1400
5/7/2010,53.66,54.12,52.67,54.12,500
5/10/2010,51.53,51.78,51.3,51.77,4700
5/11/2010,51.79,51.79,51.16,51.65,2100
5/12/2010,50.92,50.92,50.43,50.43,800
5/13/2010,50.38,50.38,50.38,50.38,700
5/14/2010,52.73,52.73,52.5,52.55,800
5/17/2010,52.9,53.22,52.9,53.22,800
5/18/2010,52.24,53.75,52.24,53.66,400
5/19/2010,54.03,55.25,54.03,54.6,6800
5/20/2010,56.41,56.93,55.75,56.93,3800
5/21/2010,57.69,57.69,55.32,55.32,2900
5/24/2010,55.28,55.28,55.28,55.28,200
5/25/2010,57.2,57.2,55.86,55.86,2300
5/26/2010,54.33,54.76,54.23,54.76,5100
5/27/2010,52.72,52.72,52.52,52.52,3500
5/28/2010,52.94,52.99,52.93,52.99,300
6/1/2010,54.12,55.42,54.12,55.42,600
6/2/2010,55,55,53.78,53.78,3900
6/3/2010,53.78,53.78,53.78,53.78,0
6/4/2010,58,58,56.27,56.33,600
6/7/2010,56.18,57.6,56.18,57.6,400
6/8/2010,57.55,57.55,57.09,57.09,1100
6/9/2010,55.51,56.17,55.51,56.17,200
6/10/2010,54.12,54.58,53.98,53.98,8300
6/11/2010,53.58,53.58,53.58,53.58,200
6/14/2010,52.62,52.62,52.41,52.41,600
6/15/2010,53.16,53.16,52.52,52.52,500
6/16/2010,52.55,52.55,52.13,52.26,600
6/17/2010,52.77,52.98,52.74,52.98,1400
6/18/2010,52.39,52.39,52.39,52.39,200
6/21/2010,50.46,50.46,50.46,50.46,1100
6/22/2010,51.89,53.05,51.89,53.05,700
6/23/2010,53.33,53.55,53.26,53.26,500
6/24/2010,53.57,54.15,53.51,54.15,5900
6/25/2010,53.33,53.33,53.05,53.19,800
6/28/2010,53.91,53.91,53.85,53.87,1600
6/29/2010,55.85,56.6,55.82,56.6,3900
6/30/2010,56.46,57.08,55.56,57.08,1100
7/1/2010,57.07,58.14,57.07,57.78,2600
7/2/2010,57.25,58.11,57.01,57.79,1000
7/6/2010,56.56,57.96,56.54,57.92,3800
7/7/2010,57.37,57.37,55.08,55.09,3600
7/8/2010,54.55,55.02,54.15,54.17,3200
7/9/2010,54.08,54.08,53.2,53.2,300
7/12/2010,53.64,54.01,53.64,53.92,1200
7/13/2010,53.06,53.19,52.55,52.79,8200
7/14/2010,53.2,53.23,53.2,53.23,200
7/15/2010,53.86,53.86,53.82,53.82,5600
7/16/2010,54.41,54.74,54.3,54.74,1300
7/19/2010,54.39,55.44,54.39,55.13,3500
7/20/2010,55.7,56.81,53.75,53.75,3100
7/21/2010,52.51,53.35,52.16,53.32,3300
7/22/2010,52.31,52.31,51.43,51.52,1200
7/23/2010,51.2,51.4,51.2,51.27,500
7/26/2010,50.26,50.26,50.2,50.23,300
7/27/2010,49.84,49.84,49.84,49.84,200
7/28/2010,49.84,49.84,49.84,49.84,0
7/29/2010,50.75,51.26,50.24,51.26,2200
7/30/2010,50.78,50.78,50.78,50.78,800
8/2/2010,49.27,49.27,49.07,49.07,700
8/3/2010,49.78,49.78,49.52,49.52,2200
8/4/2010,49.52,49.52,49.52,49.52,0
8/5/2010,49.49,49.49,49.49,49.49,100
8/6/2010,49.49,49.49,49.49,49.49,0
8/9/2010,49.02,49.18,48.91,48.95,2800
8/10/2010,50.05,50.05,49.55,49.61,600
8/11/2010,50.76,51.33,50.71,51.26,9200
8/12/2010,51.48,51.48,51.01,51.01,2100
8/13/2010,51.08,51.08,51.08,51.08,100
8/16/2010,51.05,51.05,50.84,50.84,300
8/17/2010,49.54,49.55,49.47,49.47,7000
8/18/2010,50.01,50.01,50.01,50.01,700
8/19/2010,49.89,50.7,49.89,50.6,6000
8/20/2010,51.01,51.45,51.01,51.45,200
8/23/2010,51.12,51.43,51.12,51.43,3100
8/24/2010,52.44,52.86,52.24,52.86,12100
8/25/2010,53.68,53.68,52.72,52.72,500
8/26/2010,52.5,52.79,52.5,52.79,600
8/27/2010,52.85,52.96,51.19,51.19,1300
8/30/2010,51.24,51.24,51.24,51.24,100
8/31/2010,51.34,51.56,51.13,51.56,700
9/1/2010,49.67,49.7,49.56,49.59,9600
9/2/2010,49.52,49.67,49.03,49.06,13900
9/3/2010,48.49,48.81,48.35,48.44,1900
9/7/2010,48.83,48.87,48.83,48.87,1000
9/8/2010,48.67,48.67,48.67,48.67,200
9/9/2010,48.07,48.86,48.07,48.7,5400
9/10/2010,48.52,48.52,48.46,48.46,1100
9/13/2010,47.87,47.87,47.57,47.58,1600
9/14/2010,47.83,47.95,47.42,47.42,4400
9/15/2010,47.98,48,47.7,47.97,4400
9/16/2010,47.33,47.5,47.33,47.5,1700
9/17/2010,47.58,47.58,47.58,47.58,500
9/20/2010,46.72,46.72,46.72,46.72,100
9/21/2010,46.99,47.04,46.97,46.97,1500
9/22/2010,46.6,46.6,46.6,46.6,800
9/23/2010,46.6,46.6,46.6,46.6,0
9/24/2010,45.89,45.94,45.89,45.94,600
9/27/2010,46.06,46.07,46.05,46.06,900
9/28/2010,45.72,45.72,45.72,45.72,100
9/29/2010,45.95,46.09,45.95,46.09,1100
9/30/2010,45.72,45.72,45.54,45.54,200
10/1/2010,45.63,45.78,45.63,45.78,600
10/4/2010,45.8,46.31,45.8,46.31,2500
10/5/2010,45.51,45.51,44.91,44.91,1700
10/6/2010,44.72,44.72,44.59,44.59,1100
10/7/2010,44.29,44.83,44.29,44.83,1300
10/8/2010,43.77,43.77,43.77,43.77,200
10/11/2010,43.72,43.8,43.72,43.8,1100
10/12/2010,43.8,43.8,43.8,43.8,0
10/13/2010,43.8,43.8,43.8,43.8,0
10/14/2010,43.22,43.22,43.22,43.22,500
