Data, Open, High, Low, Close, Volume
2/2/2007,743.56,743.56,743.56,743.56,0
2/5/2007,742.04,742.04,742.04,742.04,300
2/6/2007,742.26,742.26,742.26,742.26,100
2/7/2007,738.36,738.36,738.36,738.36,0
2/8/2007,735.64,735.64,735.64,735.64,300
2/9/2007,729.78,734.88,729.78,734.88,400
2/12/2007,734.88,734.88,734.88,734.88,0
2/13/2007,750.51,750.51,747.15,747.15,300
2/14/2007,745.52,745.52,745.52,745.52,300
2/15/2007,745.52,745.52,745.52,745.52,0
2/16/2007,745.52,745.52,745.52,745.52,0
2/20/2007,733.91,733.91,733.91,733.91,300
2/21/2007,733.91,733.91,733.91,733.91,0
2/22/2007,733.91,733.91,733.91,733.91,0
2/23/2007,731.52,733.15,731.52,733.15,200
2/26/2007,733.69,736.94,733.69,736.94,200
2/27/2007,767,802.6,762.77,791.2,2000
2/28/2007,784.91,786.75,779.16,781.87,0
3/1/2007,781.87,781.87,781.87,781.87,0
3/2/2007,798.26,798.26,798.26,798.26,0
3/5/2007,824.74,824.84,817.57,824.84,700
3/6/2007,824.84,824.84,824.84,824.84,0
3/7/2007,803.03,803.03,799.13,801.19,700
3/8/2007,792.18,792.18,785.89,791.75,700
3/9/2007,795.98,799.34,794.24,794.24,200
3/12/2007,796.09,796.09,792.61,792.61,200
3/13/2007,799.02,838.19,799.02,820.94,400
3/14/2007,824.74,829.29,821.26,821.26,500
3/15/2007,815.08,815.95,814.97,815.95,0
3/16/2007,809.76,818.22,809.76,818.22,0
3/19/2007,804.12,804.12,801.4,801.4,100
3/20/2007,794.35,796.2,785.78,785.78,600
3/21/2007,788.82,788.82,748.77,756.48,700
3/22/2007,761.47,769.28,761.14,766.9,200
3/23/2007,763.75,763.97,763.75,763.86,0
3/26/2007,777.1,777.1,764.73,764.73,100
3/27/2007,775.58,776.23,775.58,776.23,0
3/28/2007,792.94,792.94,788.92,788.92,0
3/29/2007,784.58,795.98,784.58,789.14,200
3/30/2007,786.32,786.32,784.37,785.13,200
4/2/2007,787.08,787.08,787.08,787.08,0
4/3/2007,759.19,759.19,759.19,759.19,0
4/4/2007,760.28,762.34,760.28,762.34,100
4/5/2007,761.69,761.8,754.74,754.85,100
4/9/2007,753.76,755.28,753.76,755.28,0
4/10/2007,749.97,754.52,749.97,754.52,0
4/11/2007,758,758,758,758,0
4/12/2007,759.95,759.95,759.95,759.95,0
4/13/2007,759.95,759.95,759.95,759.95,0
4/16/2007,749.21,749.21,737.81,745.08,100
4/17/2007,745.08,745.08,745.08,745.08,0
4/18/2007,745.08,745.08,745.08,745.08,0
4/19/2007,749.75,751.49,749.75,751.49,0
