Data, Open, High, Low, Close, Volume
11/25/2008,142.15,142.15,141.25,141.25,0
11/26/2008,132.8,135.1,119.55,119.55,2500
11/28/2008,129.4,135.85,129.4,133.7,2200
12/1/2008,139.5,146.1,136,146.1,2400
12/2/2008,140.7,158,140.55,156.55,1800
12/3/2008,160.3,163.15,151,160,4500
12/4/2008,167.2,184.35,160.25,183.6,10800
12/5/2008,189.55,206.75,185.25,195.9,21700
12/8/2008,179.05,184.7,168.25,170.9,17100
12/9/2008,180.05,189.85,171,187.35,5500
12/10/2008,174.2,189.6,158.15,175.95,25100
12/11/2008,159.9,160.5,134.85,144.5,36000
12/12/2008,160.55,161.5,142.65,144.75,12600
12/15/2008,130.9,157.5,128.7,157.5,12900
12/16/2008,149.1,166.85,145.5,159.15,25000
12/17/2008,160.2,173.65,153.5,165.05,18600
12/18/2008,177.05,191.45,176.95,191.35,15100
12/19/2008,194.5,201.9,180.9,185,15200
12/22/2008,187.6,208.6,182.55,208,27100
12/23/2008,205.1,227.9,203.15,217.2,35300
12/24/2008,231.95,236.8,227.25,231.25,17400
12/26/2008,249.9,249.9,220.95,224.5,36800
12/29/2008,204.85,223.55,195.7,196.5,38800
12/30/2008,205.7,213.75,196.65,197,36800
12/31/2008,207.5,207.5,151.5,158.3,201000
1/2/2009,150.15,153.15,133.85,136,160500
1/5/2009,135.4,137.3,119.95,123.35,166400
1/6/2009,115.1,123.95,112.7,120.9,165100
1/7/2009,123.75,146.55,123.7,146.55,241100
1/8/2009,149.55,158.75,146,147.1,308300
1/9/2009,156.25,164.5,151.65,155.15,177300
1/12/2009,167.9,172.6,164.85,170.55,177800
1/13/2009,168.8,171.65,153.8,158.7,229000
1/14/2009,161.3,177.45,161.3,164.6,240700
1/15/2009,167.8,189.6,167.8,175.55,223200
1/16/2009,166.3,182.05,164.35,178.9,181500
1/20/2009,189.5,196.4,168.75,193.5,232400
1/21/2009,188.35,193.3,162.1,163.7,248600
1/22/2009,178.45,190.95,165.2,173.3,190000
1/23/2009,180,183.05,140.9,148.8,329200
1/26/2009,147.4,150.85,132.05,149.85,236100
1/27/2009,159.95,177.25,158,173.3,224000
1/28/2009,175,184.5,159.4,170.35,394300
1/29/2009,181.7,183.95,170.5,177.15,205100
1/30/2009,167.1,179.9,164.6,175.75,228300
2/2/2009,185.9,189.6,173,185.6,384000
2/3/2009,190.3,190.3,178.8,179.85,192900
2/4/2009,173.45,191.2,172.15,186.9,323300
2/5/2009,187.35,193.75,177.75,181.05,354300
2/6/2009,198.25,198.25,165.55,187,473200
2/9/2009,176,192.65,168,188.85,430500
2/10/2009,175.65,210.5,175.3,206.05,531400
2/11/2009,207.95,223.4,202.3,218.55,305300
2/12/2009,225.05,231.7,216.1,221.4,356800
2/13/2009,224.15,241.15,222.75,236.35,415800
2/17/2009,262.55,279.15,260.75,278.3,256900
2/18/2009,277.5,297.2,275.8,295.95,381800
2/19/2009,275.4,298.8,251.9,259.75,449200
2/20/2009,278.15,281.25,256.25,259.25,468700
