Data, Open, High, Low, Close, Volume
1/25/2007,752.98,766.7,751.13,766.7,300
1/26/2007,769.42,769.96,768.55,768.66,200
1/29/2007,760.6,760.6,750.8,754.39,100
1/30/2007,745.14,747.64,743.83,743.83,300
1/31/2007,751.23,751.23,730.22,730.22,400
2/1/2007,713.67,726.52,713.67,721.73,900
2/2/2007,720.31,720.31,712.8,713.23,300
2/5/2007,716.93,721.4,715.95,721.4,600
2/6/2007,719.98,724.56,714.87,714.87,300
2/7/2007,715.08,715.52,707.24,707.24,100
2/8/2007,709.31,712.47,706.81,706.81,100
2/9/2007,708.77,729.13,708.77,724.67,300
2/12/2007,729.67,732.72,726.84,729.89,100
2/13/2007,721.51,724.23,717.48,717.48,100
2/14/2007,709.09,713.34,708.22,712.8,100
2/15/2007,715.52,715.52,705.17,706.92,200
2/16/2007,717.26,717.26,706.04,706.04,400
2/20/2007,706.15,706.15,693.2,693.2,0
2/21/2007,695.92,695.92,690.26,690.26,400
2/22/2007,689.38,696.46,689.38,695.7,100
2/23/2007,692.76,693.09,690.69,692.22,100
2/26/2007,695.48,702.34,694.28,699.62,300
2/27/2007,726.3,760.05,719.33,746.33,5500
2/28/2007,754.28,762.23,740.45,741.43,400
3/1/2007,776.39,783.79,743.5,752.87,600
3/2/2007,760.93,779.22,758.2,779.22,1500
3/5/2007,801.98,811.34,777.15,810.04,4200
3/6/2007,784.01,793.38,769.42,775.41,1400
3/7/2007,778.57,792.18,767.89,778.57,3200
3/8/2007,760.6,768.33,755.05,767.46,2100
3/9/2007,755.05,765.5,754.07,757.33,500
3/12/2007,764.95,764.95,751.67,751.67,700
3/13/2007,767.13,791.96,761.69,789.24,1200
3/14/2007,785.53,805.24,775.73,778.02,2700
3/15/2007,768.55,771.92,762.01,762.01,500
3/16/2007,765.61,772.14,758.75,771.49,700
3/19/2007,757.44,757.44,746.44,753.41,600
3/20/2007,753.3,757.88,738.49,738.49,600
3/21/2007,739.69,743.18,712.69,716.72,2800
3/22/2007,713.45,721.94,713.45,716.39,900
3/23/2007,713.78,714.65,706.15,708.33,500
3/26/2007,709.97,721.51,704.41,713.56,300
3/27/2007,720.09,727.93,719.22,721.62,500
3/28/2007,729.13,734.47,726.52,727.39,500
3/29/2007,720.09,738.71,718.68,724.56,1500
3/30/2007,722.6,732.51,717.04,725.1,500
4/2/2007,724.88,724.88,719.22,719.22,200
4/3/2007,714.32,714.32,703.32,703.43,1000
4/4/2007,708.55,711.05,705.17,706.26,900
4/5/2007,706.92,707.13,702.34,704.41,600
4/9/2007,705.61,711.71,703.98,706.26,1000
4/10/2007,705.17,705.17,699.29,702.23,1800
4/11/2007,712.69,718.35,708,714.1,100
4/12/2007,718.68,724.99,703.32,703.65,400
4/13/2007,703.76,709.42,699.18,699.18,300
4/16/2007,689.06,689.06,678.71,678.71,1200
4/17/2007,680.56,688.19,678.06,683.83,400
4/18/2007,688.73,692.87,684.48,688.3,1100
4/19/2007,704.09,704.09,690.04,699.29,1100
4/20/2007,682.74,687.64,678.82,681.76,1200
4/23/2007,680.89,685.9,678.06,684.05,600
4/24/2007,680.89,693.63,680.89,684.38,300
4/25/2007,676.75,684.16,670.11,672.94,400
4/26/2007,676.21,682.63,669.57,670.55,500
4/27/2007,676.21,681.22,672.4,676.54,200
4/30/2007,679.48,704.09,676.54,698.42,900
5/1/2007,703.76,794.36,694.94,695.81,1200
5/2/2007,691.45,691.67,669.68,674.47,1700
5/3/2007,673.38,677.41,669.46,671.2,900
5/4/2007,668.59,671.53,664.88,666.19,500
5/7/2007,665.86,668.26,664.23,668.26,100
5/8/2007,675.88,684.59,670.98,670.98,1000
5/9/2007,675.66,676.97,657.48,661.94,800
5/10/2007,669.89,688.51,668.8,686.55,1100
5/11/2007,678.28,681.54,668.59,669.68,2100
5/14/2007,669.24,683.29,669.24,682.52,500
5/15/2007,681.76,693.63,670.87,693.41,2400
5/16/2007,686.44,698.42,683.4,683.4,800
5/17/2007,688.08,693.3,686.12,689.49,700
5/18/2007,692.22,692.65,676.21,679.69,3700
5/21/2007,678.71,678.71,656.94,663.36,2200
5/22/2007,661.84,666.19,652.25,654.87,1400
5/23/2007,650.29,660.53,642.67,659.77,2200
5/24/2007,663.58,682.31,652.8,681.11,1200
5/25/2007,671.53,675.34,667.72,669.68,2100
5/29/2007,660.2,667.17,657.37,657.37,500
5/30/2007,667.93,670.22,649.31,649.31,500
5/31/2007,646.26,649.86,640.38,646.16,1000
6/1/2007,638.1,638.1,630.26,634.61,1500
6/4/2007,639.51,639.51,633.42,633.42,900
6/5/2007,637.01,647.9,636.57,641.36,900
6/6/2007,648.99,661.51,648.99,656.39,2000
6/7/2007,664.01,683.07,659.88,683.07,2600
6/8/2007,684.59,688.95,665.1,668.59,3400
6/11/2007,672.4,678.17,664.23,672.51,1600
6/12/2007,676.75,689.49,671.09,687.64,2500
6/13/2007,681.65,685.9,665.65,667.72,1600
6/14/2007,666.41,667.93,652.25,659.33,2200
6/15/2007,644.41,646.16,637.99,644.41,1700
6/18/2007,685.79,685.79,642.67,648.22,2200
6/19/2007,651.93,656.83,641.15,641.47,900
6/20/2007,641.58,704.52,638.53,704.52,1500
6/21/2007,670.22,674.9,653.67,656.17,4700
6/22/2007,662.82,675.66,659.33,670.76,1900
6/25/2007,672.94,683.29,664.01,677.73,1700
6/26/2007,674.69,688.46,673.15,688.46,1800
6/27/2007,692.54,693.97,664.78,664.78,1400
6/28/2007,659.6,664.67,651.45,662.91,1400
6/29/2007,658.72,672.71,652,670.73,3200
7/2/2007,664.78,664.78,653.65,653.65,800
7/3/2007,653.21,654.65,649.03,650.35,400
7/5/2007,652.22,657.95,647.04,648.7,1800
7/6/2007,647.71,654.87,642.97,648.15,1100
7/9/2007,646.05,649.14,643.41,643.41,900
7/10/2007,658.94,667.53,653.32,667.53,1000
7/11/2007,667.42,670.07,657.4,657.4,700
7/12/2007,649.25,652.66,636.58,636.69,1500
7/13/2007,640.22,641.1,632.5,633.83,1000
7/16/2007,635.7,644.84,633.72,643.08,3400
7/17/2007,640.22,640.22,631.51,639.33,700
7/18/2007,646.93,658.83,640.44,643.52,1300
7/19/2007,633.39,638.89,632.5,635.81,1000
7/20/2007,642.2,663.35,641.1,657.62,1400
7/23/2007,653.43,657.4,646.05,657.4,2000
7/24/2007,669.74,693.97,669.74,686.81,3500
7/25/2007,679.65,704.99,676.57,690.78,4300
7/26/2007,708.95,742.44,699.48,728.78,7200
7/27/2007,735.28,755.11,704.99,755.11,10800
7/30/2007,753.34,755.99,726.58,733.85,4700
7/31/2007,716,751.8,713.25,751.36,5200
8/1/2007,756.65,767.11,736.71,744.64,6000
8/2/2007,727.02,741.67,725.58,727.13,2100
8/3/2007,727.68,784.85,727.68,784.85,6500
8/6/2007,782.75,804.45,759.07,767.55,12300
8/7/2007,767.22,779.56,738.58,746.95,4700
8/8/2007,713.8,740.68,704.99,724.37,5600
8/9/2007,750.48,756.76,727.02,753.45,6300
8/10/2007,772.62,775.04,714.9,730.43,9600
8/13/2007,716.55,744.64,704.99,743.54,2400
8/14/2007,742.44,775.04,737.7,770.53,6700
8/15/2007,779.89,797.51,752.02,795.97,7600
8/16/2007,804.12,830.23,766.01,770.86,10200
8/17/2007,616.97,809.41,616.97,729.33,7200
8/20/2007,731.42,748.83,723.71,731.42,4400
8/21/2007,725.25,738.25,718.98,729.77,1900
8/22/2007,709.06,718.98,705.43,710.27,4200
8/23/2007,709.61,730.76,709.61,728.89,2000
8/24/2007,770.75,770.75,707.74,707.74,2200
8/27/2007,711.26,724.81,709.94,724.81,1100
8/28/2007,733.96,764.25,733.74,764.25,4000
8/29/2007,750.59,754.89,723.27,725.8,3300
8/30/2007,740.79,741.34,716.66,730.32,2200
8/31/2007,714.35,728.01,708.84,716.55,2200
9/4/2007,721.51,721.51,692.76,702.45,1800
9/5/2007,707.74,723.38,707.74,720.19,1400
9/6/2007,714.68,728.12,710.49,716.22,800
9/7/2007,739.68,751.25,736.71,748.28,3100
9/10/2007,739.68,776.92,736.05,757.53,2900
9/11/2007,746.29,746.29,730.1,733.74,2200
9/12/2007,731.53,741.56,727.02,741.56,1500
9/13/2007,734.73,744.75,724.26,734.84,900
9/14/2007,750.7,750.7,728.45,730.32,1300
9/17/2007,736.16,745.52,731.53,742.33,2200
9/18/2007,737.92,742.88,680.75,680.75,3000
9/19/2007,669.74,675.57,659.16,668.3,4800
9/20/2007,676.57,687.47,669.3,681.19,1500
9/21/2007,671.94,681.74,671.06,681.74,1400
9/24/2007,679.1,696.06,678,693.2,2100
9/25/2007,706.24,708.02,694.45,700.01,4000
9/26/2007,690.55,694.89,681.42,687.1,1400
9/27/2007,682.54,687.66,680.2,682.54,800
9/28/2007,684.65,698.23,680.09,697.01,700
10/1/2007,684.43,685.65,661.06,665.51,2900
10/2/2007,657.72,662.17,652.38,653.94,1900
10/3/2007,658.28,668.63,656.16,664.4,1700
10/4/2007,664.73,667.51,658.72,661.06,700
10/5/2007,645.92,652.82,632.12,634.02,2000
10/8/2007,641.03,648.48,638.69,645.14,1200
10/9/2007,642.14,652.04,635.68,637.13,1100
10/10/2007,637.69,649.15,636.91,641.36,1700
10/11/2007,633.24,660.5,630.01,654.6,3400
10/12/2007,611.2,651.82,611.2,649.82,1000
10/15/2007,646.26,671.74,646.26,665.18,1900
10/16/2007,669.41,678.42,666.96,678.2,1600
10/17/2007,664.95,689.99,662.51,678.87,1900
10/18/2007,687.77,688.21,676.97,683.76,1600
10/19/2007,687.21,719.93,687.21,719.49,2900
10/22/2007,738.96,739.85,700.46,700.57,2700
10/23/2007,689.44,706.69,686.21,691,1300
10/24/2007,702.24,724.49,695.78,696.34,2200
10/25/2007,694.89,716.37,688.32,694,1100
10/26/2007,684.65,698.34,675.19,675.19,800
10/29/2007,672.19,688.99,669.96,678.09,1100
10/30/2007,683.32,692.55,681.54,692.55,800
10/31/2007,685.54,694.22,667.07,673.3,2100
11/1/2007,705.57,730.39,695.56,726.16,4500
11/2/2007,725.05,744.19,717.59,726.27,1400
11/5/2007,770.9,770.9,732.17,745.75,4100
11/6/2007,746.75,753.1,718.37,718.37,2600
11/7/2007,750.09,769.45,679.64,762.33,6600
11/8/2007,775.13,791.38,697.78,757.55,8700
11/9/2007,765.23,789.71,716.37,776.47,5900
11/12/2007,776.47,790.15,753.99,786.15,2500
11/13/2007,804.62,804.62,740.07,748.53,2900
11/14/2007,742.75,761,733.17,752.65,5000
11/15/2007,767.9,787.93,760,774.35,3000
11/16/2007,788.04,797.94,771.01,778.36,2600
11/19/2007,762.67,821.65,762.67,819.42,4700
11/20/2007,808.74,844.46,797.94,817.75,6000
