Data, Open, High, Low, Close, Volume
2/11/2010,323.32,324.36,310.32,312.04,1200
2/12/2010,321.44,323.88,314.92,317.8,900
2/16/2010,309.52,309.76,298.36,299.48,1500
2/17/2010,296.92,297.76,293.92,295.4,1400
2/18/2010,296.56,296.56,287.2,287.76,5900
2/19/2010,289.84,291.72,283.88,286.96,14000
2/22/2010,283.88,288.88,283.88,288.48,2400
2/23/2010,289.52,296.76,285.84,296.52,8400
2/24/2010,293.52,295.12,286.88,288.6,12000
2/25/2010,301.64,303.52,292.36,292.36,11300
2/26/2010,291.84,296.6,290.12,292.36,8900
3/1/2010,288.84,289.88,284.96,285.96,5100
3/2/2010,284,286.36,281.8,286.12,7000
3/3/2010,283.56,287.44,280.8,286.24,4400
3/4/2010,284.56,285.6,282,282.2,3000
3/5/2010,280,280,271.96,272.32,20300
3/8/2010,272.24,273.44,272.24,273.36,2000
3/9/2010,273.6,273.88,269.6,272.16,5300
3/10/2010,271.4,273.64,269.6,271.64,4700
3/11/2010,272.84,275.56,268.04,268.04,6400
3/12/2010,264.68,268.96,264.68,267.08,11000
3/15/2010,267.68,270.16,265.56,265.68,3300
3/16/2010,264.44,266.92,261.76,261.76,7800
3/17/2010,260.44,260.44,256.36,259.12,4400
3/18/2010,258.04,258.32,255.16,255.52,4500
3/19/2010,258.36,260.92,252.72,258.36,9200
3/22/2010,260.96,261.32,253.56,254.48,8100
3/23/2010,253.48,254.44,247.48,247.8,8700
3/24/2010,249.68,251.68,247.96,250.96,4300
3/25/2010,246.44,251.04,243.2,250.56,7900
3/26/2010,249.2,251.92,246.32,249.8,4700
3/29/2010,247.56,247.84,245.88,246.68,5000
3/30/2010,246.88,248.08,238.16,246.44,3300
3/31/2010,247.56,250.72,246.56,249.64,8200
4/1/2010,244.56,248.48,242.6,244.4,4800
4/5/2010,242.44,244.48,240.52,241.4,3400
4/6/2010,243.52,244.08,240.52,241.68,9800
4/7/2010,243.32,248.72,241.64,246.16,5000
4/8/2010,248.32,249.48,242.48,243.72,4500
4/9/2010,242.6,243.2,239.2,239.32,4300
4/12/2010,238.2,239.32,237.08,239.16,3000
4/13/2010,239.44,242.4,236.84,238,3400
4/14/2010,235.44,235.6,231,231.24,5800
4/15/2010,232.04,232.2,229,229.64,7600
4/16/2010,230.88,240,230,237.24,11600
4/19/2010,239.4,240,232.68,232.8,6600
4/20/2010,230.68,233,229.56,231.52,4700
4/21/2010,231.12,233.68,229,230.88,6400
4/22/2010,234.92,237.16,229,229.88,5900
4/23/2010,230.32,231.04,225.68,225.72,7800
4/26/2010,223.92,225.28,222.64,225.28,3300
4/27/2010,227,239.12,221.84,238.28,11500
4/28/2010,235.12,239.64,232.88,235.12,10800
4/29/2010,231.72,231.72,225.2,227.32,5300
4/30/2010,226.12,236.92,224.04,236.52,13600
5/3/2010,232.72,233.2,225.8,227.32,5800
5/4/2010,233.72,242.92,233.72,241.08,13900
5/5/2010,246.04,247.8,239.6,244.8,24800
5/6/2010,246.92,316,200,267.64,56100
5/7/2010,270.4,288.4,263.4,278.56,52900
5/10/2010,248.96,253.32,242.08,245.6,38700
5/11/2010,251.72,252.44,239.48,248,17700
5/12/2010,245.52,245.8,236.52,236.92,10800
5/13/2010,239.24,245,235.56,244.92,12700
5/14/2010,249.08,260.84,248.2,255.76,22700
5/17/2010,254.04,268.16,252.36,254.72,24500
5/18/2010,249.8,264.8,248.32,262.64,22700
5/19/2010,266.24,276.52,262.04,267.88,30200
5/20/2010,281.96,296.88,280.48,296.76,50900
5/21/2010,308.68,310.92,285.04,285.72,49300
5/24/2010,290.84,296.72,285.36,296.72,32600
5/25/2010,315.28,321.84,297.52,297.52,56300
5/26/2010,293.92,305.76,286.4,304.44,31500
5/27/2010,288.8,291.96,277.48,277.48,33300
5/28/2010,279,290.4,278.64,287.88,21900
6/1/2010,294.28,297.16,281.08,296.84,31000
6/2/2010,292.2,295.48,276.68,276.76,27900
6/3/2010,273.56,282.88,272,276.48,14900
6/4/2010,289.96,305.48,288.4,302.16,48000
6/7/2010,300.28,313.68,298,313,37600
6/8/2010,312.4,318.2,299.96,301.68,36600
6/9/2010,296.48,306.88,289.84,304.28,33800
6/10/2010,291.2,291.2,278.44,279.68,39400
6/11/2010,286,286.2,275.44,275.44,30600
6/14/2010,269.56,277.4,266,276.6,47500
6/15/2010,271.04,272.56,259.6,260.2,34700
6/16/2010,264.08,264.76,258.36,259.4,24900
6/17/2010,257.16,266,257,257.64,22200
6/18/2010,256.48,257.92,254.04,256.12,11700
6/21/2010,247.08,260.4,245.76,256.84,43100
6/22/2010,256.44,268.4,253.2,268.12,69000
6/23/2010,266.84,272.84,261.96,267.56,28900
6/24/2010,271.4,280.32,270.52,278.72,52700
6/25/2010,276.96,284.48,274.64,277,24800
6/28/2010,277.52,282.2,274.8,279.72,34900
6/29/2010,289.6,306.56,289.28,302,74100
6/30/2010,304,312.4,298.56,310.4,32100
7/1/2010,310.92,325.04,309.6,315.04,47800
7/2/2010,313.08,325.8,310.96,319.24,35100
7/6/2010,308.24,321,302.44,313.56,24700
7/7/2010,312.52,312.84,285.68,286.76,25100
7/8/2010,280.96,285.12,275.96,275.96,55400
7/9/2010,276.32,277.48,270.72,271.12,37200
7/12/2010,272.68,274.88,269.52,269.56,16700
7/13/2010,262.16,262.36,254.56,257.84,19400
7/14/2010,259.72,262.48,255.32,257.92,35700
7/15/2010,258.08,267.16,257,258.2,25900
7/16/2010,263.28,279,262.28,277.08,43300
7/19/2010,274.32,279.6,270.56,272.96,42600
7/20/2010,284.88,284.88,266.44,267.2,33200
7/21/2010,264.16,279.44,264,275.24,27000
7/22/2010,267.36,267.44,255.48,258.84,60000
7/23/2010,259.92,261.24,249.76,250.92,51200
7/26/2010,250.12,251.64,243.6,243.84,37900
7/27/2010,240.24,245.88,240,242.88,30300
7/28/2010,244.24,247.96,242.08,245,32100
7/29/2010,241.36,253,239.6,248,33800
7/30/2010,254.36,256.16,244.88,247.76,29100
8/2/2010,238,239.4,231.72,233.2,38900
8/3/2010,235.12,237.56,233.32,235.96,33400
8/4/2010,234.2,235.52,230.36,231.88,18500
8/5/2010,235.56,236.32,232.4,232.4,20000
8/6/2010,238.92,242.52,233.4,233.6,40900
8/9/2010,231.6,233.68,229.12,230.68,21700
