Data, Open, High, Low, Close, Volume
3/14/2007,331.41,331.41,331.41,331.41,0
3/15/2007,322.21,322.56,322.21,322.56,100
3/16/2007,325.51,325.51,325.51,325.51,0
3/19/2007,321.7,321.7,321.7,321.7,0
3/20/2007,321.14,321.14,312.29,312.29,200
3/21/2007,312.9,313.31,304.05,304.05,500
3/22/2007,304.3,304.3,304.3,304.3,0
3/23/2007,300.79,300.79,300.79,300.79,0
3/26/2007,302.88,303.18,299.27,299.32,0
3/27/2007,302.32,302.32,299.98,299.98,100
3/28/2007,299.88,299.88,298.3,299.78,100
3/29/2007,298.56,302.32,297.74,297.74,100
3/30/2007,300.69,306.13,300.69,301.96,400
4/2/2007,297.79,299.01,290.88,290.88,600
4/3/2007,291.08,291.08,289.86,290.16,400
4/4/2007,290.77,293.42,290.77,292.96,200
4/5/2007,293.11,293.11,290.52,290.62,100
4/9/2007,287.72,287.72,286.55,286.6,400
4/10/2007,287.37,287.37,284.37,284.37,100
4/11/2007,283.75,286.96,283.75,286.96,500
4/12/2007,289.65,290.57,289.65,290.37,400
4/13/2007,290.37,290.37,290.37,290.37,0
4/16/2007,287.72,288.48,285.59,285.59,700
4/17/2007,284.57,284.57,282.43,282.43,100
4/18/2007,282.64,283.96,280.5,280.5,100
4/19/2007,284.92,285.33,283.65,283.75,2800
4/20/2007,278.47,281.82,278.47,279.74,600
4/23/2007,276.68,276.68,274.65,276.48,300
4/24/2007,272.97,273.48,272.82,273.12,100
4/25/2007,270.84,270.84,269.31,269.31,200
4/26/2007,269.41,272.11,269.21,272.11,500
4/27/2007,275.67,276.53,274.14,275.26,200
4/30/2007,274.24,280.04,274.09,280.04,300
5/1/2007,279.23,281.77,274.9,274.9,800
5/2/2007,274.35,274.35,271.85,272.31,200
5/3/2007,271.4,276.07,271.4,273.38,100
5/4/2007,272.97,273.99,271.85,273.38,200
5/7/2007,269.77,269.77,267.94,267.94,200
5/8/2007,271.14,272.72,271.14,271.55,300
5/9/2007,271.65,271.65,269.97,269.97,200
5/10/2007,271.85,275.67,271.4,275.16,500
5/11/2007,275.26,275.26,272.11,272.11,600
5/14/2007,270.53,272.16,269.11,270.89,400
5/15/2007,269.21,269.97,264.53,269.97,300
5/16/2007,268.04,268.75,267.17,267.63,1100
5/17/2007,268.04,269.97,268.04,269.16,5800
5/18/2007,268.5,269.16,265.9,265.9,1200
5/21/2007,266.21,267.22,264.22,266.26,900
5/22/2007,264.58,267.63,264.58,267.63,400
5/23/2007,266.61,274.19,266.51,274.04,7700
5/24/2007,275.31,288.99,274.14,288.99,4000
5/25/2007,286.5,293.32,283.04,287.87,3000
5/29/2007,287.16,287.26,281.21,285.33,1500
