Data, Open, High, Low, Close, Volume
7/13/2006,224.82,229.52,224.69,229.12,9400
7/14/2006,229.49,234.48,229.49,230.74,53600
7/17/2006,230.74,233.42,230.12,232.45,67100
7/18/2006,231.05,236.04,230.58,231.21,72500
7/19/2006,229.18,229.18,222.32,223.26,46200
7/20/2006,221.85,226.9,221.85,226.9,36700
7/21/2006,226.9,230.58,226.9,229.87,40800
7/24/2006,227.62,227.93,222.26,222.94,46000
7/25/2006,223.1,224.32,218.67,220.2,45700
7/26/2006,220.98,222.48,218.27,220.04,43800
7/27/2006,217.83,222.54,217.36,222.54,40200
7/28/2006,220.39,220.45,215.96,217.55,43500
7/31/2006,216.8,218.33,216.8,217.71,27800
8/1/2006,219.95,221.67,219.14,219.86,37400
8/2/2006,218.11,218.58,215.34,217.3,34600
8/3/2006,219.64,219.64,215.15,216.65,42600
8/4/2006,211.72,218.64,211.56,216.96,55800
8/7/2006,218.27,219.83,217.33,218.3,29800
8/8/2006,217.71,221.04,216.02,220.23,59300
8/9/2006,217.96,222.51,216.02,222.51,72000
8/10/2006,223.44,223.6,219.67,220.64,53800
8/11/2006,221.14,223.13,220.64,221.7,33200
8/14/2006,218.74,221.67,217.49,221.45,26000
8/15/2006,216.74,218.24,214.84,214.84,53800
8/16/2006,213.93,214.53,211.56,212.5,64000
8/17/2006,212.69,213.15,210.07,211.47,45600
8/18/2006,210.63,213.12,209.82,210.04,35100
8/21/2006,211.75,212.25,211.03,211.1,26600
8/22/2006,211.72,212.97,210.13,211.44,31400
8/23/2006,211.44,214.53,210.19,212.97,50900
8/24/2006,212.65,214,212.03,212.69,39600
8/25/2006,213.47,213.47,211.35,212.53,28100
8/28/2006,213.37,213.37,209.79,210.66,44900
8/29/2006,211.5,212.9,209.79,209.88,49700
8/30/2006,208.98,210.57,208.98,209.76,25600
8/31/2006,209.44,210.66,209.32,210.19,12900
9/1/2006,209.41,209.88,207.7,208.16,41300
9/5/2006,208.94,209.26,207.1,207.57,32700
9/6/2006,208.91,212.03,208.91,211.25,80600
9/7/2006,213.4,214.46,211.44,214.09,128600
9/8/2006,213.34,213.81,211.66,212.28,37600
9/11/2006,214.06,215.12,210.94,212.34,76800
9/12/2006,210.63,211.84,207.63,207.98,79100
9/13/2006,208.35,208.91,205.64,206.45,54300
9/14/2006,207.35,208.38,206.89,207.95,74300
9/15/2006,205.76,206.86,201.18,206.39,67900
9/18/2006,206.89,208.13,204.83,205.89,45100
9/19/2006,206.11,209.22,206.11,206.48,72000
9/20/2006,204.61,206.11,203.64,205.64,66900
9/21/2006,203.46,207.95,203.46,206.39,69500
9/22/2006,207.98,209.54,207.2,208.13,73600
9/25/2006,206.73,211.78,203.71,205.05,70900
9/26/2006,205.33,205.48,201.43,201.74,99100
9/27/2006,201.21,202.12,200.34,201.21,63200
