Data, Open, High, Low, Close, Volume
6/12/2008,65.59,68.43,65.59,68.43,35600
6/13/2008,68.08,68.08,68.08,68.08,100
6/16/2008,68.08,68.08,68.08,68.08,0
6/17/2008,67.12,67.15,67.12,67.15,200
6/18/2008,69.87,70.17,68.26,68.3,9500
6/19/2008,68.44,70.49,67.96,68,6300
6/20/2008,69.59,72.27,68.5,69.33,6400
6/23/2008,69.88,71.79,69.88,71.41,4600
6/24/2008,71.68,72.14,70.1,70.22,9400
6/25/2008,68.3,71.03,68.3,70.15,2700
6/26/2008,71.65,72.27,71.59,72.27,9500
6/27/2008,73.32,74.89,72.65,73.85,7300
6/30/2008,74.04,75.29,74.04,75.29,15200
7/1/2008,76.34,77.07,74.16,74.66,12100
7/2/2008,73.94,75.5,73.66,75.5,4100
7/3/2008,75.14,76.28,75.14,75.93,2100
7/7/2008,75.14,80.55,73.58,80.34,9500
7/8/2008,78.49,80.88,72.42,73,11300
7/9/2008,72.32,77.63,72.32,77.61,7600
7/10/2008,77.53,80.32,76.94,78.76,13600
7/11/2008,81.36,82.7,77.96,80.2,19600
7/14/2008,77.92,89.02,77.59,83.81,80000
7/15/2008,85.86,89.15,81.9,85.5,78700
7/16/2008,83.75,84.82,76.73,76.73,28900
7/17/2008,73.27,75.72,71.75,72.38,78400
7/18/2008,71.6,73.35,70.61,71.25,12700
7/21/2008,69.88,72.75,69.56,72.75,20400
7/22/2008,73.83,74.33,67.6,68.32,32400
7/23/2008,68.04,68.04,64.65,66.3,40200
7/24/2008,67.27,70.64,66.5,70.64,58000
7/25/2008,70.93,71.68,69.07,71.5,34800
7/28/2008,70.74,73.71,69.57,73.71,42700
7/29/2008,73.31,73.84,68.59,68.59,45800
7/30/2008,67.96,69.06,66.05,67.46,31900
7/31/2008,68.5,68.5,66.87,68.16,19200
8/1/2008,67.96,69.21,67.41,67.42,57900
8/4/2008,68.6,69.4,67.57,68.12,29600
8/5/2008,66.78,67.38,65.32,65.39,49000
8/6/2008,66.05,66.63,65.45,65.82,55700
8/7/2008,67.01,68.7,66.51,68.7,31000
8/8/2008,68.99,68.99,66.01,66.41,29300
8/11/2008,66.79,66.79,63.84,65.47,8000
8/12/2008,66.98,68.48,66.14,68.07,15100
8/13/2008,68.87,70.61,68.71,69.39,42100
8/14/2008,69.59,69.65,67.94,67.99,12500
8/15/2008,67.25,68.09,66.53,67.5,5400
8/18/2008,67.86,69.63,67.86,69.48,7500
8/19/2008,70.63,72.02,70.63,71.39,21800
8/20/2008,71.79,72.37,70.41,70.51,24700
8/21/2008,72.07,72.12,70.94,71.35,18100
8/22/2008,69.78,70.51,69.34,69.36,31600
8/25/2008,70.11,71.2,70.11,71.2,6200
8/26/2008,71.2,71.79,70.55,70.96,49300
8/27/2008,71.18,71.18,69.72,69.72,9500
8/28/2008,68.69,69.04,66.65,66.85,19400
8/29/2008,67.48,67.65,66.77,67.09,12100
9/2/2008,64.92,67.08,64.92,65.98,32300
9/3/2008,66.37,66.71,65.06,65.06,14000
9/4/2008,66.14,67.93,65.54,67.93,27200
9/5/2008,68.92,69.36,65.95,65.95,41200
9/8/2008,62.22,65.27,62.22,63.45,57400
9/9/2008,63.98,66.91,63.28,66.87,45700
9/10/2008,67.07,68.15,65.75,66.89,31500
9/11/2008,69.16,69.91,66.08,66.08,20000
9/12/2008,67.69,67.69,65.67,66.54,17200
9/15/2008,72.14,76.34,67.8,73.23,49200
9/16/2008,74.18,75.71,68.23,68.23,41200
9/17/2008,71.03,74.53,69.89,74.32,56500
9/18/2008,72.27,78.01,65.59,68.83,38200
9/19/2008,63.18,63.18,57.48,58.08,54900
9/22/2008,61.26,65.58,59.86,65.14,21300
9/23/2008,64.95,66.31,63.64,65.44,23100
9/24/2008,67.03,67.9,60.29,65.97,12100
9/25/2008,65.26,65.61,63.19,64.26,30600
9/26/2008,66.18,66.66,62.78,62.78,13900
9/29/2008,63.78,70.97,59.53,69.3,54400
9/30/2008,69.54,70.88,64.36,64.36,40300
10/1/2008,65.95,66.18,62.04,62.04,12100
10/2/2008,62.92,65.89,62.92,65.32,25400
10/3/2008,63.56,67.14,63.21,67.14,9700
10/6/2008,69.63,73.56,69.63,70.11,25400
10/7/2008,73.2,78.05,72.38,78.05,17900
10/8/2008,78.74,80.53,75.61,80.26,30700
10/9/2008,79.23,89.76,77.48,88.51,30500
10/10/2008,98.22,99.31,83.83,85.13,29400
10/13/2008,77.88,82.18,71.96,73.85,29800
10/14/2008,71.13,74.71,67.43,71.75,11300
10/15/2008,74.59,78.61,74.43,78.61,5500
10/16/2008,74.39,83.55,74.39,77.38,11100
10/17/2008,76.61,78.3,74.7,78.3,1700
10/20/2008,73.87,78.83,73.87,77.19,43900
10/21/2008,79.61,79.61,75.82,77.85,94500
10/22/2008,82.1,84.48,79.57,82.71,49200
10/23/2008,84.22,89,81.91,84.5,22100
10/24/2008,96.47,96.47,84.88,86.86,49700
10/27/2008,88.71,90.12,85.07,90.12,15100
10/28/2008,88.85,92.15,79.64,79.64,21000
10/29/2008,78.93,81.98,76.73,81.98,20000
10/30/2008,79.53,81.18,77.33,79.8,5300
10/31/2008,80.76,80.76,75.69,75.77,32900
11/3/2008,77.53,77.53,75.35,76.04,7600
11/4/2008,74.82,74.82,71.83,71.88,12100
11/5/2008,71.83,78.42,71.83,78.42,7800
11/6/2008,80.97,82.85,77.86,82.64,26400
11/7/2008,82.58,83.1,80.57,80.64,20000
11/10/2008,81.29,85.13,76.73,84.42,35100
11/11/2008,89.13,89.68,84.02,85.71,67800
11/12/2008,88.98,91.12,86.55,90.59,30400
11/13/2008,90.99,96.26,84.06,84.06,37700
11/14/2008,87.32,89.16,84.44,88.68,19000
11/17/2008,90.79,93.88,89.58,93.88,29900
11/18/2008,94.35,98.09,92.38,94.26,27200
11/19/2008,96.44,104.58,94.98,104.54,60000
11/20/2008,106.84,115.75,103.11,114.37,89500
11/21/2008,116.5,122.04,108.57,109.03,89700
11/24/2008,107.76,107.77,89.25,93.76,77000
11/25/2008,87.66,94.48,86.74,89.7,39900
11/26/2008,93.7,93.7,84.83,84.83,14900
11/28/2008,84.36,85.13,82.9,83.25,4800
12/1/2008,88.19,96.46,85.36,96.45,31600
12/2/2008,93.35,96.95,88.88,89.08,18000
12/3/2008,95.38,95.38,83.85,84.17,22600
12/4/2008,87.07,87.07,81.27,85.64,23200
12/5/2008,88.08,88.08,78.69,78.69,21000
12/8/2008,78.69,83.4,73.49,74.27,27100
12/9/2008,74.55,77.78,73.85,76.65,21400
12/10/2008,77.53,79.64,76.35,77.37,12200
12/11/2008,75.77,83.96,75.77,83.71,18600
12/12/2008,87.56,87.56,81.41,81.54,27100
12/15/2008,81.98,85.63,81.95,84.46,14300
12/16/2008,82.48,82.77,75.69,75.73,18300
12/17/2008,76.4,77.67,74.41,75.81,18600
12/18/2008,75.2,78.97,73.87,78.19,17800
12/19/2008,78.36,80.7,76.48,77.99,42700
12/22/2008,77.08,81.33,77.08,80.66,10200
12/23/2008,78.27,81.33,78.27,81.05,12000
12/24/2008,81.86,81.86,80.5,81.72,2000
12/26/2008,80.91,80.99,80.48,80.48,500
12/29/2008,80.82,82.55,80.12,81.13,3000
12/30/2008,80,80.99,78.28,78.28,3900
12/31/2008,77.48,79,75.04,76.03,15500
1/2/2009,75.72,77.32,74.64,75.17,7100
1/5/2009,75.2,76.92,74,76.65,35200
1/6/2009,76.81,76.81,74.34,75.02,9600
1/7/2009,75.98,78.48,75.98,78.48,15000
1/8/2009,80.99,80.99,77.99,78.58,51300
1/9/2009,78.05,81.12,78.05,81.12,27500
1/12/2009,81.99,86.18,81.96,85.28,39400
1/13/2009,88.49,88.49,83.42,83.76,41300
1/14/2009,85.02,88.8,85.02,88.57,47500
1/15/2009,89.7,94.95,88.46,91.63,118200
1/16/2009,89.15,97,81.06,93.75,44100
1/20/2009,98.98,106.71,97.59,106.49,67900
1/21/2009,103.08,104.95,93.36,94,137500
1/22/2009,94.92,101,94.9,98.86,48400
1/23/2009,104.51,104.51,95.08,95.93,27600
1/26/2009,95.54,99.05,92.48,97.33,18500
1/27/2009,96.49,97.42,94.5,94.94,8100
1/28/2009,90,90,83.55,84,39500
1/29/2009,87.2,90.62,85.41,90.62,33900
1/30/2009,87.75,93.67,87.75,93.13,14600
2/2/2009,96.71,96.71,91.8,92.18,19800
2/3/2009,90.8,95.36,90.8,93.3,29800
2/4/2009,92.9,95,90.1,95,41900
2/5/2009,95.97,98.31,91.32,93,14500
2/6/2009,90,90,85.89,86.9,38600
2/9/2009,86.53,87.34,84.82,85.69,15000
2/10/2009,87.11,94.22,86.34,93.8,55700
2/11/2009,93.76,94.03,89.94,89.94,13000
2/12/2009,91.78,95.53,89.96,90.5,13100
2/13/2009,92.57,93.96,88,93.23,126300
2/17/2009,95.45,101.83,95.45,101.82,50300
2/18/2009,103.9,105,99.56,101.77,69400
2/19/2009,102.46,106.78,99.77,106.49,36100
2/20/2009,111.18,116.3,104.81,107.74,103300
2/23/2009,107.27,110.76,101.55,110.7,88000
2/24/2009,109.66,111.12,99.64,99.64,118200
2/25/2009,101.81,105.38,96,100.54,99500
2/26/2009,96.89,100.2,94.74,99.59,44900
2/27/2009,105,106,101.67,105.58,60900
3/2/2009,107.9,112.09,106.92,110.38,186900
3/3/2009,106.86,114.94,106.51,112.9,225300
3/4/2009,107.01,116.28,107.01,113.53,96700
3/5/2009,117.99,125.28,115.18,123.35,96800
3/6/2009,122.29,129.52,119.07,124.66,137000
3/9/2009,127.77,128.09,120.38,123.71,88300
3/10/2009,117.97,118.06,106.89,107.43,96100
3/11/2009,104.65,107.45,102.01,105.36,103500
3/12/2009,105.94,107.05,94.89,95.49,103100
3/13/2009,94.58,98.63,91,95.02,139600
3/16/2009,93.25,97.52,90.84,97.52,100600
3/17/2009,97.62,98.94,90,90,59800
3/18/2009,92.52,92.98,83.33,83.75,104100
3/19/2009,81.53,89.13,81.02,89.05,351800
3/20/2009,89.75,93.25,89.31,92.82,75800
3/23/2009,85.68,88.99,78.43,78.43,96600
3/24/2009,81.77,83.46,78.21,83.46,181300
3/25/2009,81.4,85.75,78.81,80.27,159500
3/26/2009,79.49,81.95,78.61,79.18,78300
3/27/2009,81.17,81.49,79.08,81.28,95200
3/30/2009,85.55,88.28,84.71,87.47,102100
3/31/2009,85.5,86.58,81.8,82.86,76000
4/1/2009,84.78,84.93,80.74,81.07,84400
4/2/2009,77.14,79.56,75.12,78.86,100500
4/3/2009,79.28,79.5,75.23,75.23,50600
4/6/2009,77.61,78.22,76.3,76.82,142100
4/7/2009,79.35,79.56,77.57,79.56,124100
4/8/2009,78.73,80.53,78.12,78.79,52200
4/9/2009,73.93,74.11,68.07,68.83,180900
4/13/2009,69.43,69.9,64.88,65.61,86000
4/14/2009,66.54,70.31,65.76,70.31,183500
4/15/2009,71.4,72.01,66.57,66.74,124400
4/16/2009,66.14,68.39,65,66.23,77200
4/17/2009,66.5,67.35,64.34,65.48,171900
4/20/2009,68.09,72.15,67.88,72.1,232100
4/21/2009,75.13,75.17,66.81,66.81,206400
4/22/2009,69.11,69.11,65.38,68.68,165300
4/23/2009,67.97,69.21,66.03,66.64,407500
4/24/2009,66.68,67.09,63.75,65.14,1102700
4/27/2009,66.73,67.09,65,66.85,451100
4/28/2009,68.18,68.41,66.2,67.67,251200
4/29/2009,66.61,66.61,64.16,64.57,168500
4/30/2009,63.63,65.21,63,65.15,177700
5/1/2009,65.4,66.32,64.69,65.99,110900
5/4/2009,65.33,65.33,59.92,59.96,195800
5/5/2009,61.09,61.43,59.99,60.96,183200
5/6/2009,59.7,61.42,56.66,56.92,202700
5/7/2009,54.7,59.38,54.7,58.5,246000
5/8/2009,57.34,58.08,54.35,54.37,175500
5/11/2009,56.26,57.52,55.51,57.47,158500
5/12/2009,56.85,59.99,56.7,58.53,253000
5/13/2009,60.01,61.6,59.58,61.35,358200
5/14/2009,61.8,61.82,58.95,59.31,226200
5/15/2009,59.43,61.02,58.93,60.52,128300
5/18/2009,59.17,59.34,56.45,56.91,201000
5/19/2009,56.77,58.05,56.11,58,191000
5/20/2009,56.74,59.6,56.43,59.29,208000
5/21/2009,60.1,60.24,58.82,59.19,156100
5/22/2009,58.88,60,58.72,60,108600
5/26/2009,60.4,60.48,57.5,57.6,205400
5/27/2009,57.28,59.5,57.15,59.49,118600
5/28/2009,58.84,59.9,57.79,57.83,135400
5/29/2009,57.67,58.35,56.81,56.85,133400
6/1/2009,56.09,56.56,55.15,55.87,133400
6/2/2009,56.4,57,56.18,56.67,143200
6/3/2009,57.12,57.82,56.75,57.3,117600
6/4/2009,56.88,57.02,55.48,55.63,83200
6/5/2009,54.75,56.29,54.6,56.09,116800
6/8/2009,56.44,56.52,55.2,55.74,106800
6/9/2009,55.45,55.91,55.26,55.49,70800
6/10/2009,55.15,56.68,55.08,56.16,257700
6/11/2009,56.04,56.14,55.06,55.82,275000
6/12/2009,55.78,56.05,55.54,55.54,79700
6/15/2009,56.09,57.12,56.01,56.99,96200
6/16/2009,56.8,58.05,56.64,57.94,144600
6/17/2009,58.24,59.7,58.06,59.24,142700
6/18/2009,59.13,59.13,57.93,58.09,89100
6/19/2009,57.53,58.08,57,57.22,40300
6/22/2009,57.82,60.28,57.62,60.28,88800
6/23/2009,59.86,60.35,59.16,59.48,76000
6/24/2009,58.79,59.28,58.23,58.89,119500
6/25/2009,59.2,59.47,57.79,57.82,107900
6/26/2009,57.91,58.14,57.16,57.41,66200
6/29/2009,57.26,57.74,56.73,56.83,58300
6/30/2009,56.71,57.58,56.71,57.26,54400
7/1/2009,57.05,57.34,56.81,57.34,76700
7/2/2009,58,59.27,57.99,59.27,73200
7/6/2009,59.75,60.22,59.05,59.09,139900
7/7/2009,59.16,60.26,59.03,60.21,138300
7/8/2009,60.01,62.35,59.89,61.04,202300
7/9/2009,60.27,60.71,59.79,60.41,226600
7/10/2009,60.96,61.39,60.68,61.08,127100
7/13/2009,59.98,60.28,57.58,57.64,170200
7/14/2009,57.43,58.33,57.43,57.72,59400
7/15/2009,56.96,56.99,54.92,55.49,184300
7/16/2009,55.92,56.31,55.07,55.42,99500
7/17/2009,55.4,56.17,55.3,55.84,88100
