Data, Open, High, Low, Close, Volume
6/21/2006,56.52,56.52,55.69,55.81,4400
6/22/2006,56.1,56.48,56.06,56.25,7200
6/23/2006,56.43,56.44,55.91,56.27,8100
6/26/2006,56.3,56.38,56.05,56.09,8800
6/27/2006,56.06,56.6,56.06,56.57,17700
6/28/2006,56.49,56.66,56.28,56.28,123700
6/29/2006,55.97,55.97,55.03,55.05,54600
6/30/2006,55.01,55.13,54.95,55.13,16400
7/3/2006,55.05,55.1,54.78,54.81,21600
7/5/2006,55.19,55.44,55.17,55.21,37800
7/6/2006,55.09,55.24,54.91,55.13,36200
7/7/2006,55.28,55.63,55.1,55.53,73600
7/10/2006,55.35,55.59,55.17,55.47,30300
7/11/2006,55.61,55.82,55.18,55.19,77700
7/12/2006,55.17,55.94,55.17,55.86,113900
7/13/2006,56.14,56.65,55.99,56.61,224400
7/14/2006,56.76,57.27,56.65,56.85,192800
7/17/2006,56.94,57.13,56.71,57.03,137700
7/18/2006,56.94,57.44,56.73,56.86,113900
7/19/2006,56.78,56.78,55.78,55.86,217900
7/20/2006,55.67,56.41,55.67,56.41,49100
7/21/2006,56.41,56.89,56.4,56.78,92200
7/24/2006,56.46,56.5,55.79,55.85,125600
7/25/2006,55.9,56.06,55.36,55.57,33700
7/26/2006,55.66,55.84,55.28,55.49,37900
7/27/2006,55.27,55.88,55.25,55.82,82400
7/28/2006,56.06,56.06,55.07,55.18,50200
7/31/2006,55.32,55.4,55.17,55.19,210900
8/1/2006,55.57,55.73,55.46,55.55,82200
8/2/2006,55.33,55.33,54.95,55.21,25600
8/3/2006,55.52,55.52,54.94,55.09,22400
8/4/2006,54.44,55.43,54.32,55.2,66900
8/7/2006,55.33,55.47,55.23,55.36,18800
8/8/2006,55.24,55.69,55.06,55.61,107100
8/9/2006,55.07,55.85,55.03,55.8,44300
8/10/2006,55.82,56.04,55.5,55.61,92500
8/11/2006,55.78,55.99,55.71,55.81,46500
8/14/2006,55.37,55.79,55.26,55.69,92500
8/15/2006,55.26,55.32,54.98,55.07,46200
8/16/2006,54.73,54.89,54.52,54.59,140800
8/17/2006,54.66,54.69,54.33,54.49,54200
8/18/2006,54.53,54.69,54.33,54.36,61600
8/21/2006,54.55,54.61,54.47,54.53,45000
8/22/2006,54.61,54.7,54.37,54.53,43300
8/23/2006,54.51,54.9,54.39,54.85,68000
8/24/2006,54.67,54.86,54.61,54.69,59600
8/25/2006,54.79,54.8,54.53,54.7,44600
8/28/2006,54.69,54.8,54.36,54.44,43200
8/29/2006,54.53,54.75,54.3,54.37,48600
8/30/2006,54.37,54.45,54.25,54.37,26300
8/31/2006,54.28,54.47,54.28,54.36,44000
9/1/2006,54.36,54.37,54.09,54.12,35000
9/5/2006,54.14,54.25,54.01,54.07,56500
9/6/2006,54.34,54.67,54.32,54.64,99400
9/7/2006,54.8,54.99,54.65,54.93,65200
9/8/2006,54.85,54.91,54.57,54.69,32600
9/11/2006,54.97,55.07,54.57,54.73,50600
9/12/2006,54.58,54.77,54.09,54.13,142600
9/13/2006,54.18,54.19,53.88,53.9,54800
9/14/2006,53.98,54.16,53.98,54.04,94000
9/15/2006,53.68,53.97,53.68,53.94,50600
9/18/2006,53.94,53.99,53.68,53.86,11600
9/19/2006,53.88,54.22,53.88,53.97,75300
9/20/2006,53.7,53.88,53.61,53.7,61000
9/21/2006,53.68,54.12,53.62,53.98,84200
9/22/2006,54.12,54.34,54.11,54.19,59600
9/25/2006,54.01,54.33,53.62,53.72,71200
9/26/2006,53.69,53.72,53.3,53.3,72800
9/27/2006,53.32,53.46,53.19,53.33,81200
9/28/2006,53.29,53.48,53.21,53.29,36400
9/29/2006,53.21,53.44,53.21,53.4,56400
10/2/2006,53.38,53.68,53.36,53.65,66600
10/3/2006,53.76,53.79,53.37,53.53,59200
10/4/2006,53.53,53.57,52.86,52.88,96200
10/5/2006,52.84,52.98,52.72,52.77,135400
10/6/2006,53.11,53.11,52.87,52.87,43700
10/9/2006,52.96,53.03,52.82,52.9,37300
10/10/2006,52.84,52.99,52.77,52.83,22000
10/11/2006,53.05,53.21,52.82,52.97,24200
10/12/2006,52.75,52.82,52.44,52.49,41400
10/13/2006,52.55,52.55,52.33,52.37,20000
10/16/2006,52.44,52.44,52.26,52.29,34000
10/17/2006,52.52,52.77,52.41,52.48,170600
10/18/2006,51.68,52.62,51.68,52.45,62000
10/19/2006,52.6,52.6,52.38,52.42,47100
10/20/2006,52.4,52.57,52.35,52.36,72100
10/23/2006,52.49,52.55,52.04,52.11,86000
10/24/2006,52.09,52.24,52.07,52.09,19600
10/25/2006,52.03,52.15,51.82,51.9,105900
10/26/2006,51.7,52.02,51.63,51.66,56800
10/27/2006,51.82,52.18,51.76,52.02,46500
10/30/2006,52.11,52.27,51.99,52.11,25400
10/31/2006,51.95,52.37,51.95,52.18,40200
11/1/2006,52.05,52.61,52,52.55,76800
11/2/2006,52.67,52.75,52.55,52.63,86500
11/3/2006,52.43,52.82,52.4,52.65,45600
11/6/2006,52.52,52.56,52.05,52.15,41200
11/7/2006,52.07,52.15,51.8,51.99,59200
11/8/2006,52.23,52.26,51.8,51.91,43500
11/9/2006,51.83,52.22,51.78,52.17,54700
11/10/2006,52.18,52.3,52.07,52.09,21000
11/13/2006,52.23,52.23,51.87,51.97,19800
11/14/2006,51.9,52.19,51.6,51.65,75000
11/15/2006,51.66,51.66,51.35,51.48,52200
11/16/2006,51.36,51.48,51.34,51.41,36300
11/17/2006,51.57,51.62,51.45,51.45,10900
11/20/2006,51.4,51.52,51.3,51.48,34500
11/21/2006,51.36,51.44,51.35,51.39,23500
11/22/2006,51.19,51.39,51.17,51.23,24100
11/24/2006,51.5,51.52,51.32,51.46,13900
11/27/2006,51.61,52.24,51.6,52.24,102100
11/28/2006,52.41,52.41,52,52,358900
11/29/2006,51.87,51.87,51.48,51.52,39800
11/30/2006,51.49,51.77,51.36,51.36,21200
12/1/2006,51.46,52.07,51.46,51.73,28000
12/4/2006,51.64,51.64,51.12,51.22,327500
12/5/2006,51.14,51.22,50.98,50.98,31500
12/6/2006,51.06,51.14,50.98,51.09,24100
12/7/2006,50.94,51.31,50.94,51.25,25200
12/8/2006,51.28,51.36,51.11,51.25,35100
12/11/2006,51.22,51.23,51.06,51.19,36400
12/12/2006,51.15,51.33,51.15,51.27,8800
12/13/2006,51.07,51.16,50.99,51.14,21200
12/14/2006,51.06,51.06,50.65,50.73,180900
12/15/2006,50.52,50.67,50.51,50.63,61600
12/18/2006,50.61,50.89,50.53,50.84,84200
12/19/2006,51.1,51.14,50.69,50.75,21500
12/20/2006,50.77,50.86,50.63,50.86,44900
12/21/2006,50.77,51.15,50.72,51.04,49500
12/22/2006,51.09,51.34,51.09,51.28,123300
12/26/2006,51.36,51.38,51.09,51.1,14300
12/27/2006,50.91,50.97,50.72,50.72,52100
12/28/2006,50.8,50.98,50.74,50.87,43800
12/29/2006,50.88,51.19,50.8,51.19,55900
1/3/2007,50.89,51.57,50.74,51.28,60200
1/4/2007,51.39,51.51,51.09,51.09,23700
1/5/2007,51.29,51.69,51.29,51.52,50900
1/8/2007,51.69,51.77,51.37,51.42,10400
1/9/2007,51.32,51.72,51.32,51.43,55600
1/10/2007,51.69,51.72,51.32,51.38,56300
1/11/2007,51.31,51.36,50.95,51.05,37100
1/12/2007,51.13,51.13,50.78,50.78,13100
1/16/2007,50.78,50.82,50.78,50.82,15000
1/17/2007,50.91,50.91,50.82,50.82,14600
1/18/2007,50.91,51.14,50.91,51.09,43000
1/19/2007,51.23,51.23,50.95,51.04,105700
1/22/2007,51.07,51.38,51.03,51.31,90000
1/23/2007,51.36,51.36,51.03,51.26,60500
1/24/2007,50.97,51.03,50.74,50.79,25100
1/25/2007,50.78,51.35,50.78,51.33,16000
1/26/2007,51.16,51.87,51.16,51.41,62000
1/29/2007,51.38,51.55,51.23,51.47,397500
1/30/2007,51.37,51.44,51.17,51.17,31500
1/31/2007,51.27,51.28,50.74,50.88,31100
2/1/2007,50.72,50.79,50.52,50.56,106600
2/2/2007,50.54,50.63,50.46,50.5,35600
2/5/2007,50.59,50.67,50.46,50.53,48500
2/6/2007,50.52,50.7,50.45,50.54,54800
2/7/2007,50.49,50.54,50.36,50.5,77100
2/8/2007,50.63,50.68,50.45,50.51,61600
2/9/2007,50.45,51.08,50.45,50.9,151100
2/12/2007,50.93,51.19,50.89,51.08,60300
2/13/2007,50.99,50.99,50.68,50.72,46300
2/14/2007,50.68,50.68,50.25,50.36,99900
2/15/2007,50.29,50.41,50.25,50.31,17600
2/16/2007,50.45,50.47,50.35,50.37,24100
2/20/2007,50.42,50.63,50.23,50.26,15400
2/21/2007,50.37,50.48,50.28,50.32,90300
2/22/2007,50.21,50.54,50.19,50.4,32000
2/23/2007,50.49,50.67,50.45,50.58,36300
2/26/2007,50.39,50.82,50.39,50.68,41100
2/27/2007,51.28,52.96,51.13,52.65,354400
2/28/2007,52.25,52.54,51.78,52.26,245600
3/1/2007,53.21,53.29,52.01,52.33,329100
3/2/2007,52.57,53.06,52.35,53.06,504500
3/5/2007,53.37,53.54,52.83,53.54,478900
3/6/2007,52.96,53.2,52.59,52.67,138100
3/7/2007,52.75,52.83,52.43,52.71,123500
3/8/2007,52.38,52.55,52.15,52.41,123900
3/9/2007,52.17,52.55,52.01,52.35,111800
3/12/2007,52.45,52.57,52.15,52.3,44400
3/13/2007,52.63,53.4,52.4,53.4,205600
3/14/2007,53.2,53.91,52.84,52.84,491800
3/15/2007,53.05,53.07,52.69,52.81,87900
3/16/2007,52.8,53.18,52.66,53.07,53400
3/19/2007,52.67,52.82,52.46,52.46,64600
3/20/2007,52.52,52.55,52.14,52.15,81800
3/21/2007,52.06,52.22,51.18,51.3,249800
3/22/2007,51.24,51.45,51.14,51.23,225600
3/23/2007,51.3,51.32,51.12,51.22,41100
