Data, Open, High, Low, Close, Volume
2/1/2007,576.58,576.75,576.58,576.75,0
2/2/2007,576.75,576.75,576.75,576.75,0
2/5/2007,576.75,576.75,576.75,576.75,0
2/6/2007,576.75,576.75,576.75,576.75,0
2/7/2007,576.75,576.75,576.75,576.75,0
2/8/2007,573.59,573.59,573.59,573.59,300
2/9/2007,576.33,582.74,576.33,582.74,300
2/12/2007,582.74,582.74,582.74,582.74,0
2/13/2007,577.78,578.89,575.22,575.22,0
2/14/2007,566.92,566.92,557.09,557.09,0
2/15/2007,554.86,554.86,554.86,554.86,0
2/16/2007,557.34,557.34,557.34,557.34,0
2/20/2007,558.37,559.48,558.37,558.8,300
2/21/2007,558.8,558.8,558.8,558.8,0
2/22/2007,558.8,558.8,558.8,558.8,0
2/23/2007,559.4,559.4,559.23,559.4,100
2/26/2007,559.23,559.23,559.23,559.23,0
2/27/2007,571.97,598.05,571.97,595.91,1900
2/28/2007,598.56,598.56,588.3,588.3,100
3/1/2007,616.26,616.26,594.88,594.88,0
3/2/2007,597.7,615.66,595.14,607.54,600
3/5/2007,618.23,621.22,603.6,612.92,100
3/6/2007,612.92,612.92,612.92,612.92,0
3/7/2007,612.92,612.92,612.92,612.92,0
3/8/2007,612.92,612.92,612.92,612.92,0
3/9/2007,590.44,599.76,590.18,599.76,200
3/12/2007,587.19,587.19,587.19,587.19,0
3/13/2007,607.11,613.61,607.11,613.61,100
3/14/2007,614.55,626.69,604.89,604.89,400
3/15/2007,602.15,602.15,598.56,598.56,100
3/16/2007,597.62,607.45,597.62,602.92,200
3/19/2007,590.44,592.57,590.44,592.57,100
3/20/2007,586.93,589.75,586.93,588.13,100
3/21/2007,583.85,583.85,570.94,570.94,100
3/22/2007,571.03,571.03,568.89,568.89,0
3/23/2007,568.89,568.89,568.89,568.89,0
3/26/2007,568.89,568.89,568.89,568.89,0
3/27/2007,575.47,575.47,574.19,574.87,0
3/28/2007,582.31,585.73,581.46,584.71,0
3/29/2007,578.89,583,578.89,583,0
3/30/2007,583,583,583,583,0
4/2/2007,584.19,584.19,582.4,582.4,100
4/3/2007,575.73,575.73,570.08,570.08,0
4/4/2007,572.05,572.05,572.05,572.05,0
4/5/2007,572.05,572.05,572.05,572.05,0
4/9/2007,566.66,566.66,566.66,566.66,0
4/10/2007,570,570,570,570,0
4/11/2007,577.1,577.95,577.1,577.95,0
4/12/2007,583.59,583.59,566.92,566.92,100
4/13/2007,566.07,566.07,566.07,566.07,0
4/16/2007,561.79,561.79,558.37,559.23,100
4/17/2007,558.37,559.82,558.37,559.82,0
4/18/2007,558.54,558.54,556.83,556.92,100
4/19/2007,561.45,561.45,554.01,554.01,0
4/20/2007,544,547.08,542.89,546.74,200
4/23/2007,542.38,542.38,542.38,542.38,0
4/24/2007,548.71,548.71,548.71,548.71,0
4/25/2007,541.44,543.75,539.13,539.56,0
4/26/2007,538.7,538.7,536.05,536.05,0
4/27/2007,535.54,535.54,523.65,523.65,300
4/30/2007,527.16,534.77,527.16,534.68,0
5/1/2007,538.45,538.53,532.97,532.97,0
5/2/2007,522.37,522.71,519.72,522.63,0
5/3/2007,520.66,520.66,516.98,516.98,0
5/4/2007,515.44,518.35,515.44,518.35,0
5/7/2007,518.35,518.35,518.35,518.35,0
5/8/2007,521.43,521.43,520.58,520.58,0
5/9/2007,515.87,515.87,509.03,509.03,0
5/10/2007,515.44,521.86,515.44,521.86,200
5/11/2007,517.15,517.15,513.22,513.22,100
5/14/2007,515.19,520.66,515.1,518.87,100
5/15/2007,512.11,512.11,510.49,510.91,0
5/16/2007,515.19,518.27,512.62,512.62,100
5/17/2007,512.79,512.79,512.62,512.62,0
5/18/2007,508.6,508.6,508.6,508.6,0
5/21/2007,509.46,509.46,503.56,503.64,800
5/22/2007,508.01,508.01,503.39,503.39,200
5/23/2007,503.22,503.64,498.09,503.64,100
5/24/2007,503.22,511.94,498.26,511,700
5/25/2007,506.55,507.15,502.19,504.5,400
5/29/2007,504.5,504.5,504.5,504.5,0
5/30/2007,502.36,502.36,493.98,493.98,100
5/31/2007,490.39,490.39,485.43,486.97,300
6/1/2007,480.56,485.94,480.56,485.94,0
6/4/2007,484.92,484.92,484.92,484.92,0
6/5/2007,486.8,491.33,486.8,487.57,100
6/6/2007,494.67,501.93,494.67,497.83,300
6/7/2007,499.8,515.79,498.09,515.79,1500
6/8/2007,518.44,518.61,476.54,500.74,1000
6/11/2007,501.16,504.24,495.61,499.63,400
6/12/2007,499.63,499.63,499.63,499.63,0
6/13/2007,502.7,502.7,491.59,491.59,0
6/14/2007,487.48,487.48,483.46,484.83,0
6/15/2007,477.91,479.7,476.45,479.62,500
6/18/2007,481.41,481.41,481.16,481.16,0
6/19/2007,482.78,485.43,476.45,477.56,100
6/20/2007,472.61,478.85,472.61,478.85,0
6/21/2007,488.42,488.42,480.47,480.47,100
6/22/2007,482.61,488.85,482.61,488.85,400
6/25/2007,488.85,495.95,482.87,493.38,300
6/26/2007,491.41,498.3,491.41,498.3,100
6/27/2007,505.79,507.01,492.72,492.72,400
6/28/2007,491.68,491.68,489.06,489.15,0
6/29/2007,484.36,495.86,484.36,491.68,700
7/2/2007,484.01,484.79,482.18,483.05,100
7/3/2007,480.17,480.17,480.17,480.17,0
7/5/2007,480.7,480.7,479.04,479.04,100
7/6/2007,481.04,481.04,473.72,473.72,100
7/9/2007,472.94,473.11,467.54,471.46,700
7/10/2007,478.43,484.7,477.99,484.09,100
7/11/2007,487.14,487.14,477.73,477.73,100
7/12/2007,470.15,470.85,461.09,461.09,500
7/13/2007,456.47,456.47,456.47,456.47,0
7/16/2007,453.77,453.77,447.75,452.02,100
7/17/2007,447.49,447.49,442.61,446.45,100
7/18/2007,449.93,456.64,446.45,450.19,600
7/19/2007,445.31,445.31,443.75,443.75,0
7/20/2007,452.46,458.39,450.11,454.9,100
7/23/2007,450.19,450.28,450.19,450.28,0
7/24/2007,459.95,466.66,454.03,465.79,400
7/25/2007,468.93,474.51,468.93,469.02,0
7/26/2007,471.72,497.08,471.72,487.67,500
7/27/2007,490.37,501.09,484.7,501.09,1000
7/30/2007,503.27,503.27,486.71,489.06,200
7/31/2007,479.3,497.51,478.69,497.51,300
8/1/2007,496.82,508.93,496.47,496.47,1300
8/2/2007,490.19,492.37,487.23,487.23,200
8/3/2007,491.85,510.15,490.19,510.15,0
8/6/2007,507.54,515.64,497.95,497.95,600
8/7/2007,504.75,504.75,495.16,495.95,0
8/8/2007,485.14,496.64,483.22,496.64,100
8/9/2007,497.43,513.46,496.73,512.15,700
8/10/2007,530.54,550.76,510.32,512.42,800
8/13/2007,505.36,506.14,504.75,505.97,0
8/14/2007,516.69,529.76,516.69,529.76,400
8/15/2007,527.67,554.68,525.84,553.81,400
8/16/2007,564.7,592.59,557.73,557.73,3300
8/17/2007,518.52,545.18,445.84,533.42,2000
8/20/2007,528.97,535.77,522.53,522.53,100
8/21/2007,527.84,527.84,518.34,524.01,0
8/22/2007,511.54,511.81,505.44,505.53,100
8/23/2007,500.83,516.42,499.95,516.42,300
8/24/2007,509.71,509.89,499.26,501.35,300
8/27/2007,503.27,504.66,502.05,503.61,0
8/28/2007,511.98,530.63,510.76,530.37,300
8/29/2007,525.14,525.14,509.1,509.1,100
8/30/2007,510.67,511.11,505.01,511.11,0
8/31/2007,505.44,505.44,496.73,501.52,300
9/4/2007,496.12,497.51,487.49,491.41,100
9/5/2007,505.88,507.54,501.78,501.87,200
9/6/2007,506.23,507.97,496.73,496.82,100
9/7/2007,512.42,518.26,509.28,513.64,2400
9/10/2007,514.86,529.85,514.16,516.08,2300
9/11/2007,516.34,519.48,505.88,508.15,1700
9/12/2007,511.46,511.72,502.31,505.79,500
9/13/2007,503.7,504.92,495.95,497.25,400
9/14/2007,505.44,505.44,496.47,496.47,0
9/17/2007,502.66,506.58,501.44,503.27,100
9/18/2007,497.95,498.91,440.35,470.59,800
9/19/2007,463.18,467.97,461.96,466.23,200
9/20/2007,472.76,473.2,468.15,473.2,600
9/21/2007,470.06,470.06,470.06,470.06,0
9/24/2007,469.89,478.43,467.8,478.43,200
9/25/2007,484.28,484.28,472.75,472.93,200
9/26/2007,468.96,469.76,467.11,467.11,0
9/27/2007,464.74,467.03,462.71,462.71,100
9/28/2007,463.06,464.83,461.57,464.83,300
10/1/2007,457.43,457.43,448.18,450.74,200
