Data, Open, High, Low, Close, Volume
3/22/2011,40.15,40.15,40,40,7700
3/23/2011,40.16,40.16,40,40,5900
3/24/2011,40.03,40.03,39.93,39.93,1700
3/25/2011,39.99,39.99,39.95,39.97,3600
3/28/2011,40.02,40.02,39.92,39.93,99800
3/29/2011,39.96,40.02,39.8,39.84,41500
3/30/2011,39.94,39.94,39.84,39.85,67400
3/31/2011,39.9,39.91,39.86,39.91,20300
4/1/2011,39.86,39.9,39.79,39.9,58400
4/4/2011,39.89,39.89,39.65,39.68,51100
4/5/2011,39.76,39.76,39.62,39.63,61000
4/6/2011,39.65,39.66,39.58,39.59,86900
4/7/2011,39.61,39.62,39.54,39.54,40000
4/8/2011,39.56,39.62,39.53,39.59,35000
4/11/2011,39.57,39.57,39.54,39.55,2400
4/12/2011,39.57,39.74,39.57,39.62,24200
4/13/2011,39.64,39.64,39.57,39.57,2300
4/14/2011,39.54,39.68,39.54,39.66,13300
4/15/2011,39.65,39.65,39.57,39.62,28800
4/18/2011,39.75,39.76,39.72,39.75,3400
4/19/2011,39.72,39.72,39.66,39.66,1900
4/20/2011,39.55,39.55,39.45,39.45,200
4/21/2011,39.48,39.48,39.37,39.37,600
4/25/2011,39.36,39.38,39.33,39.34,3100
4/26/2011,39.35,39.35,39.32,39.32,6100
4/27/2011,39.31,39.31,39.28,39.28,3700
4/28/2011,39.27,39.27,39.24,39.24,1500
4/29/2011,39.17,39.21,39.15,39.17,4200
5/2/2011,39.15,39.15,39.08,39.11,2800
5/3/2011,39.1,39.14,39.1,39.14,900
5/4/2011,39.17,39.2,39.1,39.14,6300
5/5/2011,39.2,39.24,39.19,39.23,20900
5/6/2011,39.13,39.13,39.08,39.08,12800
5/9/2011,39.08,39.11,39.04,39.04,11000
5/10/2011,39.05,39.05,38.97,39,18900
5/11/2011,38.99,39.06,38.98,39.04,16900
5/12/2011,39.07,39.09,38.96,39,20000
5/13/2011,39.04,39.1,39.01,39.1,2700
5/16/2011,39.03,39.09,39.02,39.02,8900
5/17/2011,39.09,39.13,39,39,13600
5/18/2011,38.97,38.98,38.94,38.94,4100
5/19/2011,38.96,38.96,38.92,38.96,9600
5/20/2011,38.96,38.96,38.93,38.93,2500
5/23/2011,39.08,39.12,39.07,39.07,6300
5/24/2011,39.08,39.19,39.08,39.19,4800
5/25/2011,39.2,39.2,39.16,39.16,6400
5/26/2011,39.23,39.23,39.22,39.23,900
5/27/2011,39.2,39.21,39.09,39.09,149500
5/31/2011,38.91,39.05,38.91,38.98,7500
6/1/2011,39.02,39.15,39.01,39.15,3700
6/2/2011,39.21,39.21,39.18,39.19,3500
6/3/2011,39.42,39.42,39.33,39.38,2800
6/6/2011,39.39,39.52,39.32,39.51,17000
6/7/2011,39.45,39.54,39.39,39.54,12200
6/8/2011,39.57,39.72,39.51,39.72,19700
6/9/2011,39.69,39.71,39.6,39.67,10900
6/10/2011,39.7,39.99,39.66,39.94,27700
6/13/2011,39.87,40.08,39.76,40.07,61700
6/14/2011,41.92,41.92,39.75,39.8,14000
6/15/2011,39.95,40,39.85,40,105000
6/16/2011,39.99,40.78,39.89,40.67,188500
6/17/2011,40.23,40.48,40.08,40.22,123700
6/20/2011,40.21,40.21,39.9,39.9,18600
6/21/2011,39.85,39.87,39.64,39.67,34300
6/22/2011,39.76,39.92,39.62,39.92,46100
6/23/2011,40,40.16,39.7,39.77,151200
6/24/2011,39.67,39.99,39.67,39.95,86800
6/27/2011,39.9,39.95,39.88,39.93,9200
6/28/2011,39.78,39.82,39.77,39.8,11600
6/29/2011,39.66,39.66,39.33,39.35,104500
6/30/2011,39.31,39.31,38.95,39.02,211200
7/1/2011,38.69,39.02,38.69,38.78,41500
7/5/2011,38.75,38.98,38.75,38.84,28300
7/6/2011,38.88,38.94,38.76,38.76,4900
7/7/2011,38.7,38.73,38.6,38.6,77900
7/8/2011,38.88,38.88,38.71,38.74,6800
7/11/2011,38.9,39.11,38.9,39.08,158500
7/12/2011,39.12,39.21,39.08,39.21,36500
7/13/2011,39.02,39.07,38.89,38.92,48900
7/14/2011,38.84,38.94,38.79,38.93,6100
7/15/2011,38.89,38.95,38.89,38.93,26400
7/18/2011,38.96,39.13,38.91,39.04,263300
7/19/2011,39.04,39.04,38.8,38.82,161700
7/20/2011,38.84,38.84,38.61,38.83,33400
7/21/2011,38.67,38.69,38.55,38.56,132300
7/22/2011,38.58,38.64,38.5,38.5,11000
7/25/2011,38.55,38.71,38.54,38.68,33800
7/26/2011,38.67,38.73,38.57,38.63,74000
7/27/2011,38.73,38.9,38.62,38.9,76600
7/28/2011,38.88,38.93,38.76,38.9,83200
7/29/2011,38.96,39.1,38.84,38.84,12100
8/1/2011,38.69,38.93,38.59,38.77,85500
8/2/2011,38.81,39.2,38.79,39.19,21300
8/3/2011,39.16,39.52,39.1,39.22,41400
8/4/2011,39.37,40.39,39.37,40.39,73900
8/5/2011,40.11,41.28,39.8,40.41,311600
8/8/2011,42,42.42,41.37,42.11,258200
8/9/2011,41.6,42.12,40.79,40.79,138900
8/10/2011,41.05,41.66,40.15,41.4,86400
8/11/2011,41.78,41.78,40.65,40.71,64600
8/12/2011,40.66,40.91,40.52,40.88,20800
8/15/2011,40.59,40.65,40.19,40.19,97000
8/16/2011,40.41,40.53,40,40.46,32700
8/17/2011,40.24,40.26,40.05,40.09,17400
8/18/2011,40.5,41.78,40.5,40.6,116100
8/19/2011,40.85,40.98,40.34,40.93,165600
8/22/2011,40.6,40.85,40.4,40.85,56900
8/23/2011,40.93,41.11,40.52,40.52,23500
8/24/2011,40.58,40.89,40.52,40.69,136200
8/25/2011,40.55,41.02,40.35,41.01,145600
8/26/2011,41.1,41.28,40.54,40.56,20900
8/29/2011,40.45,40.45,40.17,40.23,58400
8/30/2011,40.31,40.31,40.01,40.11,7100
8/31/2011,39.78,39.78,39.45,39.46,76400
9/1/2011,39.52,39.67,39.52,39.65,17000
9/2/2011,40.19,40.19,39.6,39.74,114800
9/6/2011,40.34,40.36,40.16,40.21,138600
9/7/2011,40.08,40.09,39.88,40.07,24600
9/8/2011,40.05,40.05,39.89,39.94,45300
9/9/2011,40.08,40.37,39.9,40.37,123700
9/12/2011,41.05,41.05,40.48,40.54,56200
9/13/2011,40.52,40.57,40.23,40.25,182300
9/14/2011,40.2,40.35,39.93,39.94,48600
9/15/2011,39.92,39.96,39.76,39.76,19500
9/16/2011,39.7,39.89,39.7,39.76,20400
9/19/2011,39.88,39.98,39.76,39.86,17100
9/20/2011,39.82,39.88,39.67,39.8,128900
9/21/2011,39.72,40.06,39.65,40.06,93700
9/22/2011,40.57,40.72,40.44,40.67,179000
9/23/2011,40.78,40.78,40.37,40.56,405200
9/26/2011,40.56,40.63,40.23,40.42,219600
9/27/2011,40.14,40.39,40.14,40.39,116900
9/28/2011,40.34,40.83,40.34,40.81,46000
9/29/2011,40.66,40.92,40.56,40.85,80300
9/30/2011,41.23,41.62,41.12,41.62,260700
10/3/2011,42.07,42.47,41.56,42.14,118100
10/4/2011,42.98,43.75,42.28,42.28,420300
10/5/2011,42.21,42.34,41.63,41.74,183100
10/6/2011,41.6,41.76,41.12,41.18,349600
10/7/2011,40.85,41.38,40.82,41.05,537700
10/10/2011,40.87,40.87,40.15,40.15,44700
10/11/2011,40.21,40.6,40.21,40.6,295100
10/12/2011,40.59,40.59,39.6,39.65,322900
10/13/2011,39.8,40.12,39.76,39.84,110200
10/14/2011,39.66,39.78,39.5,39.61,195100
10/17/2011,39.85,39.85,39.7,39.77,23000
10/18/2011,39.83,39.99,39.46,39.55,19700
10/19/2011,39.46,39.67,39.16,39.65,80600
10/20/2011,39.51,39.53,39.37,39.38,19500
10/21/2011,39.09,39.11,38.75,38.82,218400
10/24/2011,38.73,38.73,37.67,37.83,119900
10/25/2011,38.04,38.42,38,38.4,403000
10/26/2011,38.16,38.45,38.15,38.28,69600
10/27/2011,37.51,37.83,37.24,37.65,97500
10/28/2011,37.61,37.92,37.61,37.81,12500
10/31/2011,37.98,38.19,37.98,38.14,25400
11/1/2011,38.76,38.95,38.5,38.8,51600
11/2/2011,38.65,38.66,38.41,38.53,82600
11/3/2011,38.15,38.35,38,38.03,53700
11/4/2011,38.25,38.34,38.08,38.1,10400
11/7/2011,38.18,38.37,38.15,38.18,23700
11/8/2011,38.11,38.27,38.08,38.15,6600
11/9/2011,38.52,38.94,38.45,38.94,94100
11/10/2011,38.61,38.85,38.59,38.85,42300
11/11/2011,38.66,39.12,38.32,38.37,102900
11/14/2011,38.52,38.76,38.48,38.64,50200
