Data, Open, High, Low, Close, Volume
2/1/2007,1070.41,1070.88,1067.76,1067.76,0
2/2/2007,1067.76,1067.76,1067.76,1067.76,0
2/5/2007,1064.65,1064.65,1061.69,1061.69,200
2/6/2007,1049.24,1049.24,1048.46,1048.46,100
2/7/2007,1038.81,1038.81,1038.81,1038.81,0
2/8/2007,1052.2,1053.44,1046.91,1050.49,400
2/9/2007,1042.86,1079.9,1042.86,1071.65,800
2/12/2007,1080.68,1084.26,1077.26,1080.68,400
2/13/2007,1074.3,1074.3,1062.94,1064.03,700
2/14/2007,1043.64,1046.44,1043.01,1044.42,400
2/15/2007,1043.64,1046.28,1043.48,1045.35,100
2/16/2007,1049.86,1049.86,1047.06,1047.06,0
2/20/2007,1051.26,1052.2,1033.05,1033.05,200
2/21/2007,1043.48,1044.57,1036.48,1036.48,200
2/22/2007,1037.1,1052.35,1037.1,1050.64,500
2/23/2007,1057.8,1075.7,1057.8,1070.1,700
2/26/2007,1067.45,1097.65,1067.45,1089.09,700
2/27/2007,1106.68,1197.73,1090.33,1162.87,10300
2/28/2007,1159.6,1183.1,1136.25,1153.06,4100
3/1/2007,1201.62,1207.85,1141.39,1156.64,2500
3/2/2007,1157.26,1182.94,1154.93,1182.94,1400
3/5/2007,1212.52,1245.05,1183.72,1222.32,5300
3/6/2007,1187.61,1201.93,1169.56,1174.38,2100
3/7/2007,1178.28,1189.33,1168.47,1185.28,1900
3/8/2007,1162.71,1169.56,1147.77,1168.94,4600
3/9/2007,1149.01,1171.27,1149.01,1157.88,1600
3/12/2007,1168.94,1179.68,1161.15,1164.89,2400
3/13/2007,1182.94,1240.54,1182.79,1240.22,6700
3/14/2007,1245.2,1279.6,1214.07,1220.92,10600
3/15/2007,1225.75,1225.75,1185.12,1200.22,3600
3/16/2007,1198.51,1219.83,1185.28,1211.12,5900
3/19/2007,1198.67,1207.85,1183.1,1190.88,3700
3/20/2007,1184.03,1188.08,1164.42,1172.36,2900
3/21/2007,1161.46,1172.98,1094.54,1115.39,4600
3/22/2007,1111.66,1133.91,1105.12,1129.71,5100
3/23/2007,1127.84,1132.05,1114.46,1125.35,1900
3/26/2007,1129.25,1157.11,1129.25,1138.58,3100
3/27/2007,1150.57,1161.46,1146.99,1158.97,2200
3/28/2007,1175.16,1186.99,1163.18,1178.74,4500
3/29/2007,1165.82,1186.99,1159.75,1170.18,3200
3/30/2007,1171.27,1188.08,1153.84,1172.05,2800
4/2/2007,1182.94,1196.17,1181.23,1185.9,2200
4/3/2007,1170.34,1170.34,1151.81,1157.26,3800
4/4/2007,1152.59,1166.6,1151.81,1162.71,1100
4/5/2007,1165.2,1167.69,1152.44,1159.6,1000
4/9/2007,1161.93,1174.23,1157.42,1163.8,1600
4/10/2007,1159.29,1167.69,1149.17,1156.48,1300
4/11/2007,1160.06,1183.26,1159.6,1174.7,2400
4/12/2007,1206.29,1206.29,1171.74,1171.74,2100
4/13/2007,1171.74,1174.7,1161.93,1162.09,1200
4/16/2007,1137.18,1137.18,1115.24,1120.84,3900
4/17/2007,1118.35,1120.84,1101.38,1110.57,3600
4/18/2007,1099.67,1105.12,1085.82,1098.43,4900
4/19/2007,1105.12,1111.5,1091.27,1099.36,2200
4/20/2007,1087.53,1094.22,1082.71,1086.75,1300
4/23/2007,1081.46,1097.34,1079.59,1095.94,800
4/24/2007,1097.03,1112.9,1097.03,1098.89,900
4/25/2007,1088,1100.14,1073.99,1073.99,1700
4/26/2007,1077.57,1088,1072.12,1083.17,1500
4/27/2007,1090.49,1091.89,1071.19,1084.42,800
4/30/2007,1087.84,1101.23,1079.44,1101.23,1400
5/1/2007,1095.94,1116.33,1093.29,1101.07,1800
5/2/2007,1096.4,1096.4,1079.9,1086.6,1400
5/3/2007,1081.62,1090.18,1070.1,1072.9,1000
5/4/2007,1067.45,1070.41,1060.6,1068.23,1200
5/7/2007,1059.05,1066.05,1058.42,1065.27,900
5/8/2007,1069.48,1077.57,1064.34,1064.34,800
5/9/2007,1069.01,1069.01,1053.29,1056.24,500
5/10/2007,1069.79,1083.33,1060.14,1083.33,1100
5/11/2007,1074.61,1074.61,1064.96,1069.79,1000
5/14/2007,1062.94,1083.8,1062.94,1078.66,900
5/15/2007,1073.06,1088.46,1061.38,1087.84,2200
5/16/2007,1075.55,1082.08,1068.54,1071.65,1000
5/17/2007,1070.1,1077.41,1070.1,1071.97,400
5/18/2007,1068.39,1074.46,1066.21,1072.59,500
5/21/2007,1075.86,1075.86,1063.56,1070.88,1000
5/22/2007,1067.92,1070.1,1056.09,1059.67,600
5/23/2007,1056.71,1065.58,1049.55,1065.58,1700
5/24/2007,1070.88,1093.45,1058.89,1090.02,2400
5/25/2007,1085.51,1091.42,1082.55,1084.73,900
5/29/2007,1070.56,1080.22,1068.39,1070.25,700
5/30/2007,1080.53,1080.53,1055.62,1058.74,1100
5/31/2007,1043.01,1062.94,1035.08,1058.42,2000
6/1/2007,1051.42,1058.42,1050.17,1054.84,1000
6/4/2007,1058.42,1059.05,1053.75,1053.75,700
6/5/2007,1064.18,1072.74,1060.45,1068.07,800
6/6/2007,1073.21,1091.42,1073.21,1087.22,3700
6/7/2007,1093.29,1126.13,1089.55,1126.13,5400
6/8/2007,1120.68,1132.36,1098.89,1105.28,3600
6/11/2007,1107.45,1112.75,1089.55,1097.65,3100
6/12/2007,1106.99,1122.24,1092.51,1119.13,2200
6/13/2007,1113.99,1115.86,1086.29,1086.6,3600
6/14/2007,1084.73,1092.67,1078.35,1092.51,1600
6/15/2007,1068.07,1082.08,1035.23,1081.46,1800
6/18/2007,1081.15,1086.44,1074.61,1085.97,800
6/19/2007,1088.46,1089.55,1076.32,1076.95,1800
6/20/2007,1076.32,1112.28,1076.32,1110.1,3600
6/21/2007,1119.75,1150.88,1109.01,1110.72,4400
6/22/2007,1120.68,1148.08,1120.53,1142.16,7000
6/25/2007,1143.72,1170.8,1127.69,1157.88,9300
6/26/2007,1158.89,1169.59,1144.74,1167.23,12400
6/27/2007,1189.41,1199.31,1142.69,1144.26,17400
6/28/2007,1112.81,1153.23,1112.81,1146.15,5300
6/29/2007,1143.95,1179.65,1131.37,1163.92,5300
7/2/2007,1156.85,1157.48,1136.71,1137.19,5200
7/3/2007,1131.21,1131.21,1118.31,1126.49,3600
7/5/2007,1127.12,1140.65,1122.4,1132.62,2200
7/6/2007,1134.98,1144.74,1123.5,1128.85,3200
7/9/2007,1132.47,1138.76,1127.28,1136.4,3600
7/10/2007,1160.15,1190.51,1157.63,1190.51,7100
7/11/2007,1193.81,1197.27,1168.33,1177.61,17600
7/12/2007,1160.78,1162.35,1128.54,1131.05,9900
7/13/2007,1138.44,1138.44,1117.53,1121.46,11700
7/16/2007,1126.18,1132.62,1112.33,1132.47,6200
7/17/2007,1127.43,1133.41,1117.21,1130.27,7100
7/18/2007,1160.46,1191.45,1144.42,1158.42,17900
7/19/2007,1149.77,1175.72,1143.32,1167.7,7100
7/20/2007,1164.4,1219.13,1162.82,1211.27,13900
7/23/2007,1195.7,1215.04,1192.24,1215.04,17600
7/24/2007,1249.49,1294,1233.76,1284.88,21800
7/25/2007,1255.15,1297.62,1228.1,1267.42,43400
7/26/2007,1304.54,1362.11,1289.75,1323.41,94700
7/27/2007,1383.18,1383.18,1299.82,1352.67,86000
7/30/2007,1292.9,1376.26,1292.9,1329.08,28900
7/31/2007,1289.91,1377.84,1262.23,1377.84,33900
8/1/2007,1431.31,1441.38,1352.83,1368.4,121500
8/2/2007,1329.08,1382.55,1325.14,1358.96,27600
8/3/2007,1369.18,1462.77,1354.71,1448.46,46600
8/6/2007,1445.15,1494.23,1338.51,1350.62,61300
8/7/2007,1364.94,1368.4,1277.17,1313.98,65600
8/8/2007,1286.77,1309.42,1222.12,1263.17,74100
8/9/2007,1321.05,1341.03,1276.23,1336.94,59800
8/10/2007,1384.13,1403,1314.45,1335.84,66400
8/13/2007,1296.67,1376.26,1242.73,1376.26,44200
8/14/2007,1372.33,1442.32,1366.51,1442.32,63700
8/15/2007,1462.77,1474.88,1374.85,1456.01,93200
8/16/2007,1486.05,1517.82,1345.43,1360.53,126100
8/17/2007,1305.48,1333.32,1197.27,1280.95,82700
8/20/2007,1258.3,1327.19,1245.87,1290.54,52300
8/21/2007,1301.39,1305.01,1255.62,1266.32,25200
8/22/2007,1254.52,1289.75,1237.22,1255.15,38100
8/23/2007,1239.11,1284.41,1239.11,1270.09,29200
8/24/2007,1276.07,1292.9,1255.31,1257.35,21100
8/27/2007,1264.59,1293.69,1264.59,1289.75,19400
8/28/2007,1313.35,1377.84,1305.48,1368.56,47900
8/29/2007,1352.67,1386.17,1314.13,1314.13,50500
8/30/2007,1348.89,1374.69,1321.21,1344.8,40400
8/31/2007,1312.72,1329.55,1292.11,1303.91,38800
9/4/2007,1319.64,1319.64,1264.12,1282.83,21500
9/5/2007,1297.62,1335.68,1297.62,1320.11,28800
9/6/2007,1321.05,1355.34,1321.05,1340.87,33600
9/7/2007,1370.13,1384.13,1345.28,1366.67,48700
9/10/2007,1369.97,1415.58,1338.99,1382.4,52600
9/11/2007,1384.13,1384.13,1337.1,1347.16,36300
9/12/2007,1360.53,1368.24,1326.4,1350.31,26900
9/13/2007,1349.52,1349.52,1305.01,1318.22,36300
9/14/2007,1326.56,1338.04,1307.53,1308.31,25800
9/17/2007,1316.18,1341.82,1316.18,1329.71,32600
9/18/2007,1311.46,1330.96,1210.32,1215.51,105900
9/19/2007,1203.25,1214.41,1169.74,1198.53,81100
9/20/2007,1205.45,1247.44,1202.46,1238.16,41900
9/21/2007,1223.69,1245.87,1222.44,1241,30400
9/24/2007,1236.28,1265.53,1232.97,1258.3,24700
9/25/2007,1278.05,1292.6,1266.19,1269.98,22000
9/26/2007,1265.24,1277.1,1243.1,1249.58,40600
9/27/2007,1265.24,1265.24,1234.4,1237.25,22800
9/28/2007,1241.67,1254.64,1237.72,1248.32,16200
10/1/2007,1265.24,1265.24,1195.02,1198.81,47200
10/2/2007,1197.23,1197.23,1173.51,1173.51,38200
10/3/2007,1186.32,1186.32,1163.55,1175.09,29200
10/4/2007,1167.03,1177.62,1156.11,1167.97,23200
10/5/2007,1177.15,1177.15,1131.76,1147.41,32400
10/8/2007,1153.58,1167.66,1147.26,1167.66,13200
10/9/2007,1157.06,1173.04,1139.35,1139.35,21700
10/10/2007,1142.51,1172.72,1142.51,1163.39,18900
10/11/2007,1154.53,1181.73,1138.87,1170.35,34400
10/12/2007,1172.72,1179.68,1160.86,1172.24,20500
10/15/2007,1184.58,1232.5,1184.58,1211.94,37900
10/16/2007,1230.45,1265.87,1230.29,1262.55,68500
