Data, Open, High, Low, Close, Volume
2/11/2010,1283.84,1284.32,1283.84,1284.32,0
2/12/2010,1270.4,1270.4,1270.4,1270.4,0
2/16/2010,1153.28,1153.28,1142.08,1142.08,0
2/17/2010,1129.12,1136.64,1118.4,1126.56,500
2/18/2010,1108.8,1116.16,1100.64,1100.64,200
2/19/2010,1098.88,1108.16,1076.8,1082.24,500
2/22/2010,1067.68,1089.28,1066.4,1075.36,500
2/23/2010,1087.04,1126.4,1083.2,1126.4,1400
2/24/2010,1114.08,1118.72,1087.68,1091.52,1700
2/25/2010,1134.4,1146.72,1084.96,1087.68,1400
2/26/2010,1085.12,1110.24,1081.6,1087.84,2200
3/1/2010,1074.88,1074.88,1031.36,1031.36,1100
3/2/2010,1017.92,1020.32,997.6,1007.2,600
3/3/2010,996.16,1004.64,978.88,997.6,1800
3/4/2010,990.08,1003.04,983.52,994.08,200
3/5/2010,977.92,980.96,950.72,952.16,300
3/8/2010,951.84,951.84,941.76,946.08,700
3/9/2010,954.24,954.24,929.6,943.36,300
3/10/2010,943.36,943.68,922.08,922.08,300
3/11/2010,933.28,936.16,907.2,908.16,600
3/12/2010,902.08,915.84,902.08,902.88,200
3/15/2010,902.88,925.28,902.56,916,400
3/16/2010,896.16,897.76,877.76,877.76,1200
3/17/2010,866.72,866.72,848.96,858.56,200
3/18/2010,857.44,870.88,852.8,869.44,300
3/19/2010,896.96,897.6,861.44,896.96,700
3/22/2010,913.92,913.92,862.72,866.08,1300
3/23/2010,863.52,873.76,843.2,843.68,200
3/24/2010,852,865.12,851.04,865.12,800
3/25/2010,845.92,883.84,842.72,882.56,400
3/26/2010,870.72,896.64,866.4,885.44,1100
3/29/2010,873.92,876.32,865.44,865.44,400
3/30/2010,860.96,871.36,852.16,861.44,100
3/31/2010,868.64,877.44,853.44,877.44,400
4/1/2010,858.24,868,843.68,850.88,400
4/5/2010,838.72,843.68,809.76,809.76,300
4/6/2010,818.72,818.72,796.96,797.44,300
4/7/2010,801.12,822.72,800.8,813.76,100
4/8/2010,824,838.4,815.04,816.16,400
4/9/2010,815.04,823.04,795.52,795.52,300
4/12/2010,793.76,795.36,789.44,792.48,200
4/13/2010,796,796.96,781.6,781.6,100
4/14/2010,768.32,773.44,746.56,746.72,400
4/15/2010,749.28,751.2,739.36,746.24,200
4/16/2010,756.8,788.16,756.8,775.36,400
4/19/2010,784.64,808,769.12,780.16,1100
4/20/2010,769.44,771.36,751.04,751.04,900
4/21/2010,747.68,753.92,741.12,742.56,100
4/22/2010,767.36,768.96,716.64,716.64,200
4/23/2010,714.24,722.88,695.2,695.84,400
4/26/2010,699.68,704.8,695.68,704.8,0
4/27/2010,706.4,758.4,701.6,754.08,1700
4/28/2010,742.24,760.8,739.2,750.08,1200
4/29/2010,735.36,738.08,712.32,716.64,900
4/30/2010,709.12,759.2,709.12,759.2,600
5/3/2010,748.16,748.16,721.76,724,700
