Data, Open, High, Low, Close, Volume
2/5/2015,40.05,40.05,39.83,39.83,200
2/6/2015,40.16,40.16,39.7,39.7,1100
2/9/2015,39.7,39.7,39.57,39.57,400
2/10/2015,39.29,39.77,39.29,39.77,200
2/11/2015,39.41,39.41,39.41,39.41,100
2/12/2015,39.41,39.41,39.41,39.41,0
2/13/2015,39.45,39.54,39.45,39.54,200
2/17/2015,40.4,40.4,39.66,39.74,1700
2/18/2015,40.4,40.4,39.59,39.59,500
2/19/2015,39.59,39.59,39.59,39.59,0
2/20/2015,39.6,39.6,39.42,39.42,400
2/23/2015,39.52,39.52,39.52,39.52,600
2/24/2015,39.92,39.99,39.92,39.97,900
2/25/2015,40.11,40.11,39.99,40.04,4100
2/26/2015,40.04,40.04,40.04,40.04,0
2/27/2015,40.13,40.13,39.87,40.06,2300
3/2/2015,39.87,39.92,39.82,39.92,900
3/3/2015,39.68,39.83,39.68,39.79,1200
3/4/2015,39.49,39.49,39.31,39.42,1100
3/5/2015,39.34,39.34,39.26,39.26,400
3/6/2015,38.61,38.68,38.61,38.62,400
3/9/2015,38.62,38.62,38.62,38.62,0
3/10/2015,38.68,38.68,38.68,38.68,300
3/11/2015,38.56,38.56,38.56,38.56,100
3/12/2015,38.56,38.56,38.56,38.56,0
3/13/2015,39.32,39.36,39.29,39.36,400
3/16/2015,39.36,39.36,39.36,39.36,0
3/17/2015,39.59,39.59,39.58,39.58,300
3/18/2015,39.58,39.58,39.58,39.58,0
3/19/2015,39.92,39.92,39.92,39.92,0
3/20/2015,39.6,40.58,39.6,40.58,300
3/23/2015,40.74,40.8,40.74,40.8,300
3/24/2015,40.71,40.71,40.53,40.64,3300
3/25/2015,40.49,40.49,40.08,40.08,1400
3/26/2015,40.08,40.08,40.08,40.08,0
3/27/2015,39.94,39.96,39.94,39.96,400
3/30/2015,40.47,40.47,40.47,40.47,200
3/31/2015,40.25,40.25,40.21,40.23,500
4/1/2015,40.17,40.17,39.96,39.96,400
4/2/2015,39.96,39.96,39.96,39.96,0
4/6/2015,40.99,40.99,40.53,40.53,600
4/7/2015,40.12,40.12,40.12,40.12,400
4/8/2015,40.1,40.14,40.1,40.14,600
4/9/2015,39.86,39.86,39.86,39.86,200
4/10/2015,40.07,40.07,40.07,40.07,200
4/13/2015,40.07,40.07,40.07,40.07,0
4/14/2015,39.97,39.99,39.97,39.98,2500
4/15/2015,40.33,40.33,40.24,40.24,800
4/16/2015,40.2,40.35,40.2,40.26,1600
4/17/2015,39.7,39.84,39.64,39.67,1100
4/20/2015,39.67,39.67,39.67,39.67,0
4/21/2015,40.05,40.1,40.05,40.1,800
4/22/2015,39.79,39.99,39.79,39.97,1300
4/23/2015,39.97,39.97,39.97,39.97,0
4/24/2015,40.15,40.15,40.05,40.09,1700
4/27/2015,40.32,40.32,40.32,40.32,100
4/28/2015,40.32,40.32,40.32,40.32,0
4/29/2015,39.87,39.87,39.87,39.87,300
4/30/2015,39.2,39.22,39.2,39.22,300
5/1/2015,39.15,39.15,39.12,39.12,400
5/4/2015,39.6,39.6,39.38,39.38,700
5/5/2015,39.2,39.2,39.2,39.2,300
5/6/2015,38.75,38.82,38.73,38.82,1700
5/7/2015,39.15,39.22,39.11,39.18,4400
5/8/2015,39.14,39.14,39.13,39.13,400
5/11/2015,39.13,39.13,39.13,39.13,0
5/12/2015,39.13,39.13,39.13,39.13,0
5/13/2015,38.85,39.03,38.85,39.03,1500
5/14/2015,39.03,39.03,39.03,39.03,0
5/15/2015,39.8,39.8,39.43,39.43,4400
5/18/2015,39.43,39.43,39.43,39.43,0
5/19/2015,39.43,39.43,39.43,39.43,0
5/20/2015,39.7,39.7,39.68,39.69,500
5/21/2015,39.61,39.61,39.49,39.6,2200
5/22/2015,39.67,39.67,39.55,39.55,800
5/26/2015,38.98,38.98,38.93,38.93,300
5/27/2015,39.14,39.14,39.12,39.12,300
5/28/2015,39.34,39.42,39.34,39.42,700
5/29/2015,39.42,39.42,39.42,39.42,0
6/1/2015,41.75,41.75,39.34,39.4,300
6/2/2015,39.5,39.5,39.48,39.5,600
6/3/2015,40.41,40.41,39.77,39.77,1600
6/4/2015,39.77,39.77,39.45,39.45,2200
6/5/2015,39.28,39.28,39.28,39.28,100
6/8/2015,39.28,39.28,39.28,39.28,0
6/9/2015,39.64,39.64,39.64,39.64,500
6/10/2015,39.64,39.64,39.64,39.64,0
6/11/2015,40.1,40.16,40.08,40.16,500
6/12/2015,40,40.03,40,40.03,400
6/15/2015,40.03,40.03,40.03,40.03,0
