Data, Open, High, Low, Close, Volume
6/18/2009,232.36,232.36,232.36,232.36,0
6/19/2009,225.08,227.24,225.08,227.24,0
6/22/2009,240.84,248.6,240.84,248.6,100
6/23/2009,256.04,256.04,251.4,252.72,100
6/24/2009,232.16,237.2,232.16,237.2,0
6/25/2009,226.48,226.48,222.16,222.16,100
6/26/2009,221.24,221.24,220.88,220.88,0
6/29/2009,220.88,220.88,220.88,220.88,0
6/30/2009,215,215,215,215,0
7/1/2009,214.48,214.64,212.6,212.6,1000
7/2/2009,223.6,225.08,223.08,225.08,100
7/6/2009,229.84,232.76,227.6,229.6,600
7/7/2009,232.2,242,232.2,241.52,600
7/8/2009,243.04,253.48,243.04,247.52,43500
7/9/2009,241.64,246.36,241.28,246.28,6300
7/10/2009,251,251,247.04,247.04,10100
7/13/2009,248,248.28,243.24,243.64,800
7/14/2009,238.8,239.24,234.24,237.36,400
7/15/2009,228.84,228.84,205.72,206.88,2300
7/16/2009,208.28,211.8,203.28,204.04,1500
7/17/2009,204.04,204.04,204.04,204.04,0
7/20/2009,187.88,190.72,187.84,189.24,1800
7/21/2009,191,194.52,191,192.32,400
7/22/2009,192.2,192.2,185.68,185.68,200
7/23/2009,179.44,179.44,175.52,176.88,200
7/24/2009,178.76,178.76,177.64,178.16,900
7/27/2009,177.68,181.68,174.84,180.88,9300
7/28/2009,181.36,181.52,178.68,181.52,300
7/29/2009,181.84,184.44,181.48,184.44,300
7/30/2009,178.16,178.16,177.56,177.56,0
7/31/2009,179.36,179.36,175,175,0
8/3/2009,166.8,166.8,162.48,163.12,300
8/4/2009,160.52,161.04,160.52,161.04,100
8/5/2009,164.48,164.48,156.36,158.32,300
8/6/2009,160.44,160.44,160.44,160.44,0
8/7/2009,153.6,154.04,151.32,152.76,600
8/10/2009,152.76,152.76,150.72,150.72,100
8/11/2009,156.12,159.4,156.12,158.72,200
8/12/2009,156.32,156.32,155.48,155.48,200
8/13/2009,152.24,152.24,150.16,150.16,400
8/14/2009,155.96,155.96,153.36,153.36,0
8/17/2009,164.72,165.48,162.48,163.16,800
8/18/2009,159.96,160,158.48,158.48,200
8/19/2009,162.72,162.72,155.16,155.16,300
8/20/2009,155.72,155.96,150.88,150.88,500
8/21/2009,146.04,147.24,144.64,145.2,500
8/24/2009,143.4,143.4,143.4,143.4,0
8/25/2009,143.2,143.2,143.2,143.2,0
8/26/2009,150.92,152.88,150.92,152.88,500
8/27/2009,154.32,154.52,154.32,154.52,0
8/28/2009,154.52,154.52,154.52,154.52,0
8/31/2009,152.04,152.04,152.04,152.04,0
9/1/2009,158.96,167.6,154.68,167.4,1500
