Data, Open, High, Low, Close, Volume
2/2/2007,806.49,806.49,806.49,806.49,0
2/5/2007,801.99,801.99,801.99,801.99,200
2/6/2007,801.99,801.99,801.99,801.99,0
2/7/2007,801.99,801.99,801.99,801.99,0
2/8/2007,805.78,805.78,799.74,799.74,700
2/9/2007,799.74,799.74,799.74,799.74,0
2/12/2007,801.76,801.76,801.76,801.76,0
2/13/2007,779.5,779.5,775.47,775.47,0
2/14/2007,770.14,770.14,761.5,763.4,200
2/15/2007,755.7,755.82,755.58,755.58,0
2/16/2007,755.35,755.46,755.35,755.46,0
2/20/2007,755.46,755.46,755.46,755.46,0
2/21/2007,739.36,739.36,733.32,733.32,0
2/22/2007,728.47,735.46,723.02,735.46,400
2/23/2007,734.39,737.11,732.61,734.03,200
2/26/2007,710.83,728.23,710.83,728.23,100
2/27/2007,764.58,807.44,756.77,801.16,9500
2/28/2007,792.28,796.07,774.17,774.17,400
3/1/2007,817.03,823.89,784.23,792.76,300
3/2/2007,795.13,824.37,793.23,821.53,300
3/5/2007,846.51,868.77,811.11,850.18,1800
3/6/2007,820.46,823.66,805.31,810.4,600
3/7/2007,807.56,816.32,802.82,816.32,500
3/8/2007,795.6,797.02,787.9,794.53,700
3/9/2007,781.39,795.13,779.5,787.31,200
3/12/2007,781.04,790.03,774.64,783.76,200
3/13/2007,785.18,820.7,780.92,820.58,200
3/14/2007,809.81,837.27,804.36,804.36,200
3/15/2007,775.47,784.35,771.21,781.63,200
3/16/2007,784.94,796.9,784.94,792.76,0
3/19/2007,781.39,781.39,773.7,773.7,100
3/20/2007,766,767.3,756.53,764.94,200
3/21/2007,760.32,760.55,736.99,741.85,0
3/22/2007,739.36,745.52,738.18,741.26,0
3/23/2007,743.03,746.94,739.72,742.2,0
3/26/2007,748.83,754.87,727.76,727.76,200
3/27/2007,739.95,746.58,737.23,746.35,200
3/28/2007,751.79,761.98,751.79,756.53,0
3/29/2007,745.87,758.9,745.87,749.78,100
3/30/2007,747.53,759.84,745.87,756.06,200
4/2/2007,749.43,754.16,744.45,744.45,0
4/3/2007,741.14,741.14,731.43,731.43,0
4/4/2007,731.43,731.43,724.56,724.56,100
4/5/2007,729.18,729.18,715.68,722.67,100
4/9/2007,708.58,708.58,702.9,707.99,0
4/10/2007,708.23,716.39,708.23,713.79,0
4/11/2007,721.01,727.88,721.01,727.64,0
4/12/2007,718.64,718.64,715.8,715.8,0
4/13/2007,711.18,711.18,706.57,706.69,0
4/16/2007,696.86,699.11,671.4,688.93,800
4/17/2007,692.36,698.4,690.82,696.39,100
4/18/2007,705.62,708.23,700.77,705.15,100
4/19/2007,724.09,724.09,710.95,710.95,100
4/20/2007,700.53,703.49,697.1,699.7,0
4/23/2007,691.29,691.29,686.68,686.68,0
4/24/2007,700.06,700.06,700.06,700.06,0
4/25/2007,686.68,687.62,677.68,680.28,100
4/26/2007,683.48,694.61,683.48,684.19,300
4/27/2007,696.15,696.15,689.52,689.52,0
4/30/2007,693.9,710.95,691.29,710.95,0
5/1/2007,719.47,733.44,719.12,723.73,300
5/2/2007,698.04,702.42,698.04,702.42,100
5/3/2007,691.06,696.15,689.4,689.4,0
5/4/2007,682.77,690.11,681.35,687.98,100
5/7/2007,668.92,670.58,667.38,667.38,0
5/8/2007,668.68,676.73,663.59,663.59,100
5/9/2007,664.89,664.89,655.19,655.19,0
5/10/2007,665.37,681.82,664.66,676.73,600
5/11/2007,666.31,668.09,658.03,659.57,700
5/14/2007,657.91,672,657.91,666.08,200
5/15/2007,661.22,661.46,643.7,658.97,200
5/16/2007,663.83,668.92,658.26,658.38,500
5/17/2007,663.47,668.09,653.53,654.12,100
5/18/2007,649.98,649.98,642.52,645.36,200
5/21/2007,644.06,645.24,637.07,645.24,0
5/22/2007,643.11,651.28,641.57,647.37,200
5/23/2007,640.03,644.06,609.84,643.94,900
5/24/2007,652.46,670.58,651.16,669.27,400
5/25/2007,655.78,658.74,649.03,649.03,300
5/29/2007,648.32,653.41,638.37,653.41,400
5/30/2007,662.29,662.53,634.35,634.35,100
5/31/2007,624.88,628.67,620.97,625.35,400
6/1/2007,613.98,616,613.27,616,0
6/4/2007,620.02,620.02,616,616,0
6/5/2007,619.31,627.13,619.31,620.38,300
6/6/2007,631.98,642.28,631.63,636.36,300
6/7/2007,636.36,666.79,636.36,666.43,900
6/8/2007,675.79,676.02,643.11,643.11,1600
