Data, Open, High, Low, Close, Volume
6/25/2009,1535.6,1540.4,1464,1465.8,3200
6/26/2009,1481.4,1500.8,1457.4,1476.6,6300
6/29/2009,1464,1483.2,1430,1432.6,6600
6/30/2009,1434.2,1500.4,1418.6,1467.6,15200
7/1/2009,1450,1455,1408.6,1452.2,15900
7/2/2009,1508.4,1572.2,1507.6,1568,14400
7/6/2009,1615.6,1629.8,1564,1564.4,24900
7/7/2009,1572.8,1661.6,1571.4,1658.8,29300
7/8/2009,1634,1720.2,1620.2,1658.6,44600
7/9/2009,1631.8,1668,1615.2,1655,28900
7/10/2009,1680.6,1699.4,1637.8,1666,34500
7/13/2009,1648.6,1685.4,1541.2,1542.2,39300
7/14/2009,1528.8,1562.6,1514.2,1515.2,40100
7/15/2009,1456.4,1463.6,1372.2,1382.4,53500
7/16/2009,1396.6,1402.4,1328.8,1346,45200
7/17/2009,1349.4,1369.8,1337.6,1345.4,36600
7/20/2009,1320.4,1342,1295.4,1304,57100
7/21/2009,1272.6,1330.2,1270.4,1284.2,69100
7/22/2009,1308.6,1311,1261.2,1283,71800
7/23/2009,1282.2,1283.8,1181.6,1199.6,132000
7/24/2009,1215.2,1233.4,1180.6,1184.8,56600
7/27/2009,1187.2,1209.2,1171,1173.2,82000
7/28/2009,1196.8,1219.2,1172.4,1184.8,124900
7/29/2009,1207,1222,1188.2,1199.4,81200
7/30/2009,1154.2,1163,1118.2,1156.8,102000
7/31/2009,1160.6,1170,1132.2,1155,70100
8/3/2009,1117.2,1136.8,1095.2,1100.4,108300
8/4/2009,1111.8,1119.2,1084.6,1090,103100
8/5/2009,1087,1125.2,1084.2,1101.4,109100
8/6/2009,1084,1130.8,1078.8,1115.4,94000
8/7/2009,1079.6,1099,1044.6,1072,102900
8/10/2009,1086.6,1100.8,1071.4,1078.8,73100
8/11/2009,1092.8,1127,1091.2,1121.4,70900
8/12/2009,1122.8,1124.8,1056.8,1082.6,125600
8/13/2009,1068,1100,1056.8,1058,95700
8/14/2009,1058.2,1116,1057.8,1083.4,88000
8/17/2009,1145.2,1168,1141.4,1164.2,80900
8/18/2009,1154.2,1160,1121.4,1131.4,81000
8/19/2009,1161,1162,1093.4,1101.8,120800
8/20/2009,1100,1106.2,1063,1069.2,73600
8/21/2009,1043.8,1049.2,1001.2,1007,84200
8/24/2009,994.2,1017.4,977.8,1007.2,89300
8/25/2009,995.4,1007.8,972.2,1002.8,103100
8/26/2009,1010.2,1020.2,987.2,1000.6,98700
8/27/2009,1002.6,1036.6,984.4,991,110600
8/28/2009,969.6,1014.8,966.6,995.8,93900
8/31/2009,1024.2,1040,1016.8,1019.6,127400
9/1/2009,1037.4,1094.6,997.4,1090.4,182500
9/2/2009,1103,1109,1081,1100.8,91300
9/3/2009,1081.8,1108,1069.6,1075.4,70500
9/4/2009,1065.4,1076.6,1028,1028,97300
9/8/2009,999,1018.4,997.6,1001.6,73600
9/9/2009,996.4,1005.4,968,978,71800
9/10/2009,976.8,993,946.4,948.2,94300
9/11/2009,944,962.2,935,948.8,72300
9/14/2009,973,973.6,930.2,933.2,72200
9/15/2009,929.4,948,912.6,923.6,87700
9/16/2009,911.8,924.6,880.2,880.8,123000
9/17/2009,884.6,899.2,862.4,884.8,127800
9/18/2009,873,891.8,872.6,880.6,109200
9/21/2009,903.2,909,883.4,889.2,98400
9/22/2009,873,885.8,866.8,873.6,89400
9/23/2009,866.8,900.4,850.8,894.8,127400
9/24/2009,890.2,936.2,884,925.2,145200
9/25/2009,931.6,949.2,916.8,939.6,117900
9/28/2009,927.8,929.8,884,890,82200
9/29/2009,884.4,903,872.4,897,92800
9/30/2009,888.4,931.8,886.4,908.8,195200
10/1/2009,915.4,975,914.2,974.4,144600
10/2/2009,1002,1004.2,971.2,986.4,166300
10/5/2009,976.8,985.8,936.2,943.2,97400
10/6/2009,923.6,925,888,903.6,136900
10/7/2009,910.8,914.6,893.6,896.2,87200
10/8/2009,874.8,887.8,861.8,875.8,102700
10/9/2009,876,881.2,860,860.8,57400
10/12/2009,846.6,859.4,840.2,847.4,61200
10/13/2009,857,871.2,850.4,854,75700
10/14/2009,824,835.8,808,810.4,109000
10/15/2009,821.4,823,802,804,78000
10/16/2009,821.6,833.6,811.4,817.8,142000
10/19/2009,814.6,822.4,791.6,798.2,115100
10/20/2009,794.6,823,794.6,810.4,107900
10/21/2009,816,834.8,787,833.2,135900
10/22/2009,835,850.2,800.4,807.4,159900
10/23/2009,799.4,845,798.4,835.2,155100
10/26/2009,833.6,869.2,807,863.6,219100
10/27/2009,860,880.2,850.8,874.2,194700
10/28/2009,881,925.6,873.2,923,171300
10/29/2009,903.8,909.4,859.2,864.6,155900
10/30/2009,871.8,941.8,865.2,936,309300
11/2/2009,924.8,952.4,889.4,919,290400
11/3/2009,934.8,939.4,907,909.2,208800
11/4/2009,886.8,910.2,866.2,905,221300
11/5/2009,883.2,889.4,851.2,854,189500
11/6/2009,868,872,839.8,845.6,177700
11/9/2009,826.4,828.2,786.4,786.4,120900
11/10/2009,794,800.8,780.8,787.4,142300
11/11/2009,772,787,761.4,775,141300
11/12/2009,778.8,805.4,766.8,800.2,141200
11/13/2009,793.2,805.2,776.4,785.6,156500
11/16/2009,770.4,771.2,741.8,751.4,148800
11/17/2009,758,766.6,748.6,749.4,120000
11/18/2009,750.2,764.6,747.2,749.8,113500
11/19/2009,766,793.6,764.8,779.4,168800
11/20/2009,792.6,797,781,785.4,136300
11/23/2009,760,762.6,740.8,756.4,158000
11/24/2009,754.2,772.8,751.4,754.8,176100
11/25/2009,750.8,757.6,743.6,745.8,81500
11/27/2009,806.6,808.4,767.4,782.8,134800
11/30/2009,784.2,794.4,770,774.4,141100
12/1/2009,751.8,757.6,738.6,748,153600
12/2/2009,746.4,753.2,731.4,746.8,106300
12/3/2009,740.4,766.4,728,762.6,139400
12/4/2009,733.8,771.2,723,750.4,285400
12/7/2009,753.4,761.4,740.6,755,186300
12/8/2009,770.4,787.4,766.4,778.6,185000
12/9/2009,780,792,767.4,769.8,214500
12/10/2009,756,761.8,748,757.4,169000
12/11/2009,748,758.4,743.2,745.6,149600
12/14/2009,732,742.6,730.4,731.8,113800
12/15/2009,740.8,749.6,732,742.4,98100
12/16/2009,733.2,744.2,727,738.8,101800
