Data, Open, High, Low, Close, Volume
2/11/2010,1287.52,1300,1220.96,1231.68,3200
2/12/2010,1268.32,1269.28,1215.2,1221.44,3300
2/16/2010,1194.88,1214.88,1174.4,1178.08,2900
2/17/2010,1162.4,1179.84,1156.64,1160,2900
2/18/2010,1158.56,1164,1128.8,1132.16,2600
2/19/2010,1142.4,1151.68,1120,1135.2,2800
2/22/2010,1122.88,1154.88,1122.08,1142.24,1900
2/23/2010,1144.64,1200.64,1144.48,1188.16,3300
2/24/2010,1167.68,1172.96,1136.96,1151.04,4100
2/25/2010,1187.36,1209.6,1143.04,1143.04,3500
2/26/2010,1152,1163.04,1132.96,1136.8,2800
3/1/2010,1123.52,1124.32,1083.2,1086.72,3400
3/2/2010,1076.8,1084.96,1058.88,1078.4,1300
3/3/2010,1074.56,1086.56,1060,1078.4,1700
3/4/2010,1072.48,1087.36,1061.12,1064.96,2800
3/5/2010,1038.4,1045.44,1012.48,1017.76,3700
3/8/2010,1011.04,1012.96,1003.2,1009.44,1700
3/9/2010,1018.24,1018.24,976,992,5000
3/10/2010,983.2,984.96,961.76,968.16,3400
3/11/2010,974.08,979.2,958.08,958.72,4100
3/12/2010,946.56,966.24,946.56,957.28,3300
3/15/2010,963.84,982.24,956.48,963.04,3400
3/16/2010,954.56,962.4,941.12,944.48,3100
3/17/2010,941.28,944,924.32,940,4400
3/18/2010,934.56,940.8,924.96,928.8,3600
3/19/2010,945.6,953.76,918.08,945.6,5400
3/22/2010,954.4,958.4,907.36,919.04,9000
3/23/2010,914.24,925.28,897.6,900.8,6700
3/24/2010,905.28,918.24,904.16,910.4,7700
3/25/2010,890.88,919.04,880,917.92,8300
3/26/2010,905.76,927.52,894.88,912.32,5800
3/29/2010,899.84,907.04,892.48,900.48,4700
3/30/2010,892.64,907.2,884,891.68,3200
3/31/2010,901.28,908.32,888.8,901.44,6700
4/1/2010,893.12,923.68,875.52,903.36,5400
4/5/2010,899.04,904.32,872.8,878.4,7100
4/6/2010,885.12,888.8,863.52,871.36,5700
4/7/2010,877.6,890.72,865.6,875.84,6800
4/8/2010,884.96,897.12,867.84,872.8,4000
4/9/2010,869.6,876.32,854.88,856.32,4700
4/12/2010,853.92,858.56,847.04,853.6,4900
4/13/2010,856.48,861.12,839.04,840.16,8700
4/14/2010,827.2,830.4,810.4,810.88,9000
4/15/2010,810.88,810.88,797.92,800.96,7900
4/16/2010,808.48,843.2,800.16,826.24,16000
4/19/2010,837.44,859.36,823.04,829.76,15400
4/20/2010,816,832.64,811.36,818.56,8700
4/21/2010,800.8,816.48,795.52,802.24,9800
4/22/2010,826.08,838.72,787.36,789.76,19400
4/23/2010,790.56,797.76,777.76,780.16,6900
4/26/2010,778.08,788.48,773.28,785.44,8400
4/27/2010,793.6,840.48,784,833.6,17700
4/28/2010,820,851.68,820,832.32,32100
4/29/2010,820.8,820.8,784.96,789.28,17500
4/30/2010,790.56,837.6,786.72,836,16500
5/3/2010,825.76,826.24,788.8,800.48,14800
5/4/2010,830.4,888.64,830.08,872.96,28500
5/5/2010,897.12,914.4,868.8,884.64,30200
5/6/2010,902.88,1206.56,760.8,974.72,46500
5/7/2010,996.8,1104.8,959.84,1038.56,47200
5/10/2010,910.72,916.48,884,887.68,35000
5/11/2010,910.24,916.8,851.36,886.72,25000
5/12/2010,874.4,877.12,835.2,838.4,17700
5/13/2010,848.32,881.92,828.64,877.28,16500
5/14/2010,897.28,957.76,896.8,927.36,26300
5/17/2010,920.64,977.76,908.32,920.32,17800
5/18/2010,896,967.84,890.24,956.16,17600
5/19/2010,966.72,1010.72,944.48,979.04,35600
5/20/2010,1033.28,1093.76,1028.96,1074.72,38900
5/21/2010,1139.52,1151.52,1027.84,1062.88,47700
5/24/2010,1055.04,1064.96,1018.56,1055.36,26600
5/25/2010,1134.72,1165.12,1056.8,1063.52,48800
5/26/2010,1045.6,1101.76,1000.32,1095.04,25000
5/27/2010,1020.16,1030.56,972,972,29300
5/28/2010,969.44,1014.4,965.44,989.92,30400
6/1/2010,998.88,1019.84,947.52,1018.4,23500
6/2/2010,999.2,1019.52,942.24,946.08,18000
6/3/2010,937.12,953.44,912.8,917.76,26800
6/4/2010,975.36,1020,940.32,1009.92,45900
6/7/2010,993.92,1068,987.36,1065.6,32800
6/8/2010,1059.04,1114.88,1051.84,1070.72,47600
6/9/2010,1051.2,1107.68,1020.64,1099.36,35600
6/10/2010,1057.12,1067.2,1001.12,1003.2,42000
6/11/2010,1034.08,1035.04,973.44,976.8,37100
6/14/2010,948.96,980.8,928.8,979.2,23800
6/15/2010,961.92,963.84,894.56,899.36,27300
6/16/2010,904.64,909.44,873.6,885.12,28600
6/17/2010,872.96,900.96,870.4,873.92,18500
6/18/2010,871.52,882.56,856.8,873.44,14800
6/21/2010,842.56,912,838.72,896.16,44800
6/22/2010,886.88,923.2,867.36,917.92,42400
6/23/2010,915.04,951.52,906.24,928.96,34900
6/24/2010,941.92,980,934.08,976.16,29700
6/25/2010,963.84,996.8,952.8,975.2,17400
6/28/2010,975.2,1006.4,960,986.4,20700
6/29/2010,1032.32,1121.44,1029.44,1095.52,48700
6/30/2010,1111.52,1157.6,1078.4,1149.28,41900
7/1/2010,1141.76,1226.56,1131.84,1160.16,63200
