Data, Open, High, Low, Close, Volume
2/1/2007,3765.02,3768.27,3724.89,3724.89,0
2/2/2007,3730.86,3736.28,3694.53,3694.53,0
2/5/2007,3687.48,3692.91,3672.3,3686.4,100
2/6/2007,3635.43,3650.61,3585.55,3585.55,100
2/7/2007,3611.03,3611.03,3463.56,3463.56,100
2/8/2007,3497.17,3525.37,3450.54,3524.28,1000
2/9/2007,3509.1,3755.26,3500.97,3620.79,500
2/12/2007,3691.82,3768.27,3691.82,3757.43,800
2/13/2007,3760.68,3899.48,3624.59,3624.59,1000
2/14/2007,3672.84,3672.84,3605.61,3662,300
2/15/2007,3654.41,3658.2,3574.71,3612.12,200
2/16/2007,3630.01,3702.12,3630.01,3656.04,300
2/20/2007,3663.63,3692.36,3573.08,3584.47,4200
2/21/2007,3608.32,3639.77,3608.32,3616.46,1400
2/22/2007,3605.61,3672.84,3602.36,3656.58,900
2/23/2007,3691.28,3778.03,3691.28,3774.23,1000
2/26/2007,3752,3941.77,3750.92,3824.12,1600
2/27/2007,3901.11,4093.59,3901.11,4093.59,1300
2/28/2007,4012.26,4283.36,3919,4039.37,400
3/1/2007,4210.16,4234.56,3981.9,4030.15,300
3/2/2007,4129.92,4500.24,4071.9,4218.29,1600
3/5/2007,4391.8,4546.87,4327.28,4530.06,1300
3/6/2007,4378.24,4383.66,4199.32,4242.69,1100
3/7/2007,4256.25,4363.6,4190.64,4363.6,900
3/8/2007,4223.72,4250.28,4152.69,4231.85,1600
3/9/2007,4145.1,4192.81,4104.98,4142.39,900
3/12/2007,4155.94,4185.76,4039.91,4101.18,500
3/13/2007,4158.65,4338.12,4147.27,4337.58,1300
3/14/2007,4321.31,4467.7,4248.11,4258.96,1900
3/15/2007,4245.4,4343,4135.88,4197.69,1600
3/16/2007,4218.29,4264.38,4169.5,4254.62,700
3/19/2007,4202.03,4217.21,4137.51,4150.52,400
3/20/2007,4183.05,4207.99,4119.61,4141.3,500
3/21/2007,4174.92,4209.08,3992.2,4012.26,700
3/22/2007,3981.35,4052.92,3981.35,4027.44,300
3/23/2007,4023.1,4023.65,3959.12,4006.84,500
3/26/2007,4023.1,4229.14,4015.51,4145.1,1600
3/27/2007,4184.14,4268.18,4180.34,4254.08,900
3/28/2007,4337.58,4367.94,4223.72,4288.78,1100
3/29/2007,4261.67,4315.89,4202.03,4269.26,800
3/30/2007,4273.06,4279.02,4174.92,4192.27,400
4/2/2007,4191.18,4204.2,4109.85,4131,600
4/3/2007,4077.32,4086,4012.26,4039.91,800
4/4/2007,4056.72,4135.34,4046.42,4099.55,500
4/5/2007,4087.08,4097.93,4070.82,4090.88,100
4/9/2007,4101.72,4102.81,4075.7,4102.81,400
4/10/2007,4068.11,4096.84,4026.9,4071.9,1700
4/11/2007,4080.58,4226.97,4080.58,4206.91,1800
4/12/2007,4272.51,4283.36,4231.31,4249.74,900
4/13/2007,4246.49,4266.55,4145.1,4160.28,1400
4/16/2007,4125.04,4206.37,4097.93,4141.3,700
4/17/2007,4141.84,4141.84,3999.25,4033.95,1700
4/18/2007,4061.6,4074.07,4030.69,4063.77,600
4/19/2007,4133.71,4133.71,4093.59,4128.83,400
4/20/2007,4051.84,4087.08,4036.12,4066.48,600
4/23/2007,3991.11,4098.47,3947.2,3973.76,1600
4/24/2007,3981.9,4077.32,3981.9,4037.2,500
4/25/2007,3959.67,4108.77,3959.12,4037.74,600
4/26/2007,4011.72,4076.78,3993.82,4033.4,400
4/27/2007,4059.43,4062.68,3985.15,4025.27,300
4/30/2007,4044.79,4199.32,4037.74,4199.32,500
5/1/2007,4205.82,4331.61,4190.1,4267.63,1800
5/2/2007,4257.33,4257.87,4144.01,4151.6,1300
5/3/2007,4136.96,4164.62,4115.82,4140.22,300
5/4/2007,4145.1,4245.4,4145.1,4224.26,1500
5/7/2007,4184.68,4213.96,4175.46,4206.37,500
5/8/2007,4226.97,4264.92,4208.53,4245.4,600
5/9/2007,4228.6,4239.98,4109.31,4151.06,1300
5/10/2007,4191.18,4280.1,4160.82,4273.06,800
5/11/2007,4211.79,4211.79,4154.31,4166.79,1200
5/14/2007,4125.58,4225.88,4125.58,4224.26,300
5/15/2007,4215.58,4359.27,4165.16,4339.75,1500
5/16/2007,4337.58,4487.22,4334.32,4424.33,2400
5/17/2007,4527.35,4591.87,4515.42,4591.87,2200
5/18/2007,4627.65,4737.18,4599.46,4684.04,3500
5/21/2007,4688.92,4688.92,4515.42,4606.51,4100
5/22/2007,4571.81,4605.96,4451.98,4512.71,2500
5/23/2007,4456.86,4585.36,4409.69,4585.36,3700
5/24/2007,4662.35,4838.57,4582.65,4720.91,3100
5/25/2007,4676.45,4739.89,4565.84,4667.23,2500
5/29/2007,4461.2,4465.54,4338.12,4375.53,4500
5/30/2007,4343,4356.55,4136.96,4153.23,5100
5/31/2007,4116.36,4215.04,4039.91,4171.12,3600
6/1/2007,4120.7,4216.67,4111.48,4169.5,1600
6/4/2007,4147.81,4157.57,4088.17,4128.83,1600
6/5/2007,4174.92,4274.14,4158.65,4274.14,3800
6/6/2007,4315.89,4372.82,4267.09,4318.06,3700
6/7/2007,4428.67,4595.12,4386.92,4590.24,5000
6/8/2007,4594.04,4657.47,4458.49,4459.03,4100
6/11/2007,4546.32,4613.56,4446.02,4609.76,2500
6/12/2007,4684.04,4789.77,4653.14,4787.06,4000
6/13/2007,4723.62,4734.47,4556.62,4561.5,2200
6/14/2007,4548.49,4666.69,4524.09,4656.39,1800
6/15/2007,4572.89,4572.89,4486.68,4549.58,3900
6/18/2007,4578.31,4691.09,4446.02,4676.99,4100
6/19/2007,4770.25,4771.33,4660.18,4661.27,3500
6/20/2007,4684.04,4865.68,4662.9,4863.51,2900
6/21/2007,4923.15,5052.19,4865.68,4879.77,6400
6/22/2007,4912.31,5004.48,4895.5,4935.08,5000
6/25/2007,4955.68,5148.16,4935.08,5123.22,4000
6/26/2007,5100.44,5190.92,5055.19,5156.04,7400
6/27/2007,5232.89,5239.44,4878.04,4905.84,12000
6/28/2007,4933.09,4979.43,4824.07,4971.25,2400
6/29/2007,4934.73,5081.9,4827.34,5033.39,4900
7/2/2007,4975.61,4983.24,4769.56,4780.47,5800
7/3/2007,4765.2,4821.35,4710.69,4805,1800
7/5/2007,4856.78,4857.32,4562.43,4654.55,11300
7/6/2007,4688.89,4745.04,4606.04,4661.64,3400
7/9/2007,4709.06,4739.58,4658.91,4682.35,1700
7/10/2007,4668.72,4947.27,4668.72,4926.55,6200
7/11/2007,4976.7,5061.19,4955.44,4969.61,4500
7/12/2007,4968.52,4968.52,4827.34,4827.34,5700
7/13/2007,4835.52,4864.96,4703.06,4724.32,3600
7/16/2007,4712.88,4777.2,4618.03,4772.84,4000
7/17/2007,4794.09,4851.33,4731.41,4833.89,2100
7/18/2007,4953.81,5045.93,4892.21,4895.48,5800
7/19/2007,4879.67,4879.67,4790.82,4848.06,2300
7/20/2007,4899.3,5082.99,4872.04,5020.85,5700
7/23/2007,5002.32,5200.73,4987.6,5196.92,5400
7/24/2007,5197.46,5488,5197.46,5452.02,7400
7/25/2007,5412.23,5622.64,5262.87,5501.62,13500
7/26/2007,5592.66,5911.53,5592.66,5725.66,10600
7/27/2007,5887.01,6009.65,5606.83,6009.65,9400
7/30/2007,6029.27,6097.41,5832.5,5919.17,10000
7/31/2007,5750.73,6009.65,5582.3,6009.65,12000
8/1/2007,6017.83,6349.24,5846.12,5899,15700
8/2/2007,5815.6,5846.67,5631.36,5733.29,8300
8/3/2007,5821.59,6120.31,5760.54,6105.04,11500
8/6/2007,6050.53,6396.67,5808.51,5825.41,15600
8/7/2007,5892.46,5977.49,5587.75,5725.66,10600
8/8/2007,5617.73,5617.73,5232.89,5303.76,12800
8/9/2007,5614.46,5614.46,5211.09,5355.54,14500
8/10/2007,5448.21,5694.59,5429.13,5604.1,11500
8/13/2007,5532.15,5777.99,5020.31,5768.18,6900
8/14/2007,5873.92,6241.32,5810.15,6230.41,12300
8/15/2007,6277.84,6426.65,5892.46,6421.2,19700
8/16/2007,6432.1,6611.43,5925.71,5995.48,26000
8/17/2007,5791.61,5832.5,5257.42,5696.77,23500
8/20/2007,5646.07,5687.5,5404.05,5478.73,14300
8/21/2007,5531.6,5559.95,5314.66,5317.93,7000
8/22/2007,5290.13,5350.09,5156.58,5273.78,12700
8/23/2007,5228.53,5414.95,5192.01,5378.98,10800
8/24/2007,5396.97,5501.62,5338.64,5401.87,8000
8/27/2007,5430.76,5599.74,5396.97,5587.2,6700
8/28/2007,5637.35,5950.78,5637.35,5936.06,9900
8/29/2007,5884.28,5913.17,5620.46,5648.8,10800
8/30/2007,5732.2,5799.25,5498.9,5541.96,10800
8/31/2007,5389.88,5462.38,5217.63,5333.19,11200
9/4/2007,5357.72,5406.78,5092.26,5186.56,7800
9/5/2007,5246.52,5478.19,5246.52,5439.48,10400
9/6/2007,5408.41,5548.5,5359.9,5405.14,7300
9/7/2007,5581.75,5667.88,5510.89,5589.93,11700
9/10/2007,5574.67,5832.5,5552.86,5712.58,9400
9/11/2007,5682.05,5696.22,5559.95,5570.85,7400
9/12/2007,5595.93,5654.8,5491.81,5552.32,7800
9/13/2007,5505.44,5538.15,5268.32,5341.91,11600
9/14/2007,5429.67,5480.37,5287.95,5288.49,8700
9/17/2007,5314.66,5428.04,5299.4,5326.65,7400
9/18/2007,5288.49,5328.28,4964.16,4976.7,18900
9/19/2007,4873.13,4894.39,4721.05,4834.98,16800
9/20/2007,4834.98,5001.23,4827.89,4970.7,10500
9/21/2007,4905.29,4987.06,4887.31,4957.62,4300
9/24/2007,4957.08,4960.35,4818.08,4839.34,5700
9/25/2007,4946.3,5015.55,4926.51,5012.26,7600
9/26/2007,4968.28,5010.61,4890.23,4890.23,7800
9/27/2007,4836.37,4914.97,4824.28,4824.28,6400
9/28/2007,4872.65,4935.86,4852.86,4897.93,5000
10/1/2007,4871.55,4889.13,4680.82,4680.82,9400
10/2/2007,4699.51,4699.51,4517.57,4556.6,9000
10/3/2007,4580.23,4630.25,4538.46,4565.39,7000
10/4/2007,4553.85,4641.24,4524.17,4524.17,4800
10/5/2007,4478.55,4534.61,4339.49,4360.92,8500
10/8/2007,4391.7,4478,4391.7,4469.75,4100
10/9/2007,4452.71,4556.6,4397.2,4397.2,7300
10/10/2007,4411.49,4496.69,4375.21,4400.5,8700
10/11/2007,4368.07,4532.96,4361.47,4519.77,8300
10/12/2007,4501.63,4573.09,4459.86,4551.1,6000
10/15/2007,4590.68,4792.4,4589.58,4741.83,11200
10/16/2007,4831.42,4917.72,4819.33,4912.77,10400
10/17/2007,4830.32,5128.23,4814.38,4941.35,14100
10/18/2007,4990.82,5096.35,4814.93,4914.42,12300
10/19/2007,4975.43,5254.1,4975.43,5254.1,15000
10/22/2007,5309.07,5385.47,5086.46,5105.7,16700
10/23/2007,4989.17,5123.84,4968.28,5019.4,9600
10/24/2007,5067.77,5256.85,5038.64,5076.02,12200
10/25/2007,5023.8,5200.79,4952.34,5062.27,13600
10/26/2007,5001.81,5112.84,4866.05,4977.08,11800
10/29/2007,4916.62,5073.27,4879.79,5035.34,5600
10/30/2007,5054.03,5069.97,4913.87,4980.93,4000
10/31/2007,4891.88,5026,4816.03,4820.43,12900
11/1/2007,5012.26,5183.2,4977.08,5144.17,26000
11/2/2007,5173.85,5520.68,5144.17,5422.3,21100
11/5/2007,5716.36,5716.36,5385.47,5513.54,14500
11/6/2007,5485.51,5623.47,5400.31,5400.31,9100
11/7/2007,5259.05,5782.87,5259.05,5771.32,11900
11/8/2007,5686.68,5912.03,5615.77,5689.43,20800
11/9/2007,5949.96,5949.96,5627.31,5771.32,27500
11/12/2007,5771.32,5805.4,5525.63,5744.39,6300
11/13/2007,5633.91,5659.74,5329.4,5378.87,7800
11/14/2007,5225.52,5530.03,5127.68,5530.03,12800
11/15/2007,5606.43,5716.36,5472.31,5595.44,8000
11/16/2007,5710.86,5840.03,5525.63,5768.57,10600
11/19/2007,5819.69,6035.15,5804.3,6035.15,21400
11/20/2007,5984.04,6480.92,5822.44,6190.16,23800
11/21/2007,6439.15,6540.83,6211.04,6274.25,17200
11/23/2007,6224.23,6238.53,6029.66,6112.11,7100
11/26/2007,6208.29,6683.19,6112.11,6650.76,24700
11/27/2007,6623.28,6724.96,6417.16,6430.9,17400
11/28/2007,6197.85,6259.41,5853.77,5867.51,28100
11/29/2007,5991.18,6102.76,5798.81,5854.32,16000
11/30/2007,5523.98,5785.06,5503.09,5661.39,13600
12/3/2007,5661.39,5869.16,5661.39,5743.84,7300
12/4/2007,5721.85,6062.09,5721.85,6035.15,8300
12/5/2007,5908.74,5949.41,5675.13,5692.17,14900
