Data, Open, High, Low, Close, Volume
2/11/2010,1630.4,1630.8,1533.6,1535.4,800
2/12/2010,1564.4,1570.4,1527.8,1527.8,600
2/16/2010,1450.6,1472.2,1403.4,1403.4,200
2/17/2010,1380.2,1401.6,1379,1379,600
2/18/2010,1381,1382.4,1342,1342,800
2/19/2010,1360,1362.4,1323.6,1335.8,600
2/22/2010,1311.6,1335.8,1311.6,1318.2,400
2/23/2010,1331.8,1382.2,1328.8,1372.2,2200
2/24/2010,1357.4,1362,1316.8,1347.4,1900
2/25/2010,1389.6,1398.8,1333,1338.8,2100
2/26/2010,1330.6,1370,1326.6,1347.6,4600
3/1/2010,1315.8,1315.8,1255,1259,6200
3/2/2010,1243.8,1246,1210,1227.8,2500
3/3/2010,1211.4,1226.4,1188,1213.8,1700
3/4/2010,1199,1219.8,1194.2,1196.8,1200
3/5/2010,1175,1178.8,1119.4,1125.6,2600
3/8/2010,1124.8,1124.8,1109,1115.2,1800
3/9/2010,1126.2,1126.2,1081.2,1106.2,3900
3/10/2010,1096,1096,1061,1077,8300
3/11/2010,1094,1105,1063.2,1066.4,24600
3/12/2010,1061.2,1089.6,1061.2,1068,4500
3/15/2010,1076.8,1101,1067,1077.6,3600
3/16/2010,1063.8,1082.4,1051,1051,3000
3/17/2010,1042.4,1042.4,1014.6,1031.8,4100
3/18/2010,1032.8,1046.6,1019.6,1041.2,3000
3/19/2010,1081.6,1090.6,1047.2,1081.6,5000
3/22/2010,1104.2,1110.4,1031.8,1036.2,8600
3/23/2010,1031.6,1043.2,995,996.8,6200
3/24/2010,1008,1029.4,1001.8,1029.2,6900
3/25/2010,1003.4,1051.2,981.6,1050,9200
3/26/2010,1031.6,1060.8,1018.2,1049.2,6200
3/29/2010,1036.6,1048.8,1027.6,1031.6,900
3/30/2010,1025.6,1044.2,1008.8,1026.8,2600
3/31/2010,1035.8,1050,1005,1048.4,6200
4/1/2010,1024,1050.2,1009.2,1022.4,7300
4/5/2010,1011.2,1018.4,962.4,963.2,5500
4/6/2010,971.2,975.4,938.8,946,6200
4/7/2010,947.8,970.6,938.8,953.8,8700
4/8/2010,964.8,983.8,944.4,953.4,2500
4/9/2010,952.2,964.4,940.2,941,2900
4/12/2010,938.2,943.8,924,931.8,2000
4/13/2010,932.8,948.6,919.6,922,3200
4/14/2010,904,904.8,862.4,863,3600
4/15/2010,862,865.2,849,854.4,4900
4/16/2010,861.4,905.4,854,887.8,10900
4/19/2010,904.4,937.8,879.2,901.4,13900
4/20/2010,885.6,896.2,863,863.4,9500
4/21/2010,864.6,867.8,841.6,846.4,5200
4/22/2010,873,884.2,814.8,818.2,9800
4/23/2010,815.4,827.4,791,792,8600
4/26/2010,790.8,802,778.4,802,6100
4/27/2010,811.2,861,790,856.8,14700
4/28/2010,840.2,861.8,836.2,852.8,10600
4/29/2010,833,845.2,798,798.2,7700
4/30/2010,797.2,868.8,797,868.8,7400
5/3/2010,851.8,852.2,809.2,810.6,12700
5/4/2010,846,899.8,845.8,886.4,15100
5/5/2010,907.8,943,887,925.6,21300
5/6/2010,944.8,1410.2,656,1028.6,21300
5/7/2010,1057.4,1150.4,1014.2,1116,15400
5/10/2010,953.8,984,928.6,928.8,10400
5/11/2010,964,968.4,868.4,909.8,10600
5/12/2010,894.8,896.8,824,826.2,15300
5/13/2010,832,861.2,810.2,850.2,11200
5/14/2010,867.4,931.6,865.2,900.4,13800
5/17/2010,880.8,968,859.2,893.6,10200
5/18/2010,857,953.2,851.6,941.4,14400
5/19/2010,959,1016.2,928,978,11100
5/20/2010,1056.2,1129.4,1042.2,1127.2,17900
5/21/2010,1185.2,1196.8,1048.4,1074.2,20600
5/24/2010,1104.2,1123.2,1061,1118,10200
5/25/2010,1194.2,1250.4,1120.4,1121.6,21200
5/26/2010,1106,1129,1029.4,1113.8,10100
5/27/2010,1028,1052.8,967.6,969.2,13800
5/28/2010,976.6,1020.6,967,1004.6,8600
6/1/2010,1037.8,1099,996,1096.6,12000
6/2/2010,1074,1105.8,1000.4,1002.6,9100
6/3/2010,994.4,1009.4,956.4,964.6,13700
6/4/2010,1042.6,1116.2,1016.2,1107.2,21100
6/7/2010,1090.6,1195.6,1078.8,1192.4,11000
6/8/2010,1182.6,1263.4,1154.8,1197.6,23200
6/9/2010,1166.4,1213,1107.2,1191.8,18100
6/10/2010,1126.2,1141.6,1068.2,1068.6,17900
6/11/2010,1109.4,1111.8,1021.8,1022.4,20000
6/14/2010,986.4,1013.6,951.4,1007.2,11200
6/15/2010,981.8,991,922.2,934.2,7900
6/16/2010,954.4,960,914,940.8,6600
6/17/2010,924.4,971.4,923,939.2,8200
6/18/2010,931.6,952,914.2,938,6100
6/21/2010,891,982.2,887,964.6,5900
6/22/2010,954.2,1029,923.4,1024.8,7700
6/23/2010,1032.4,1068.6,1001.2,1034.4,16000
6/24/2010,1059.6,1089.4,1035.6,1083.2,12500
6/25/2010,1071.8,1099.2,1013.2,1028.2,10400
6/28/2010,1029.6,1060,997.6,1042.8,5300
6/29/2010,1096.2,1184,1095.6,1164.2,17300
6/30/2010,1173.2,1211.4,1116.8,1202.6,16600
7/1/2010,1199.4,1319,1186.6,1228.2,24500
7/2/2010,1212,1291.4,1202.2,1268,14800
7/6/2010,1200.4,1337.8,1170.8,1316.6,20600
7/7/2010,1303.6,1307,1175.2,1180,12300
7/8/2010,1138.4,1180.4,1119.6,1127.4,10100
7/9/2010,1126,1133.6,1074.4,1074.4,7400
7/12/2010,1082.4,1140.6,1062.4,1107.2,7600
7/13/2010,1062.2,1076.6,991.2,1005.8,13000
7/14/2010,1012,1036,994.6,1014,9000
7/15/2010,1007.8,1078,1007.8,1041.2,15700
7/16/2010,1065.2,1164,1060.8,1153.8,15600
7/19/2010,1144,1206.8,1132.2,1141.8,11200
7/20/2010,1188.8,1203,1076.8,1083,14400
7/21/2010,1055.2,1146,1050.4,1137.8,15700
7/22/2010,1089,1089,1006,1018.4,12200
7/23/2010,1033.6,1039.8,936.8,942,11200
7/26/2010,931,944.6,876,877.6,8700
7/27/2010,856.2,896.6,843.2,888.4,12500
7/28/2010,890.6,945,880,931.2,10200
7/29/2010,906.4,980.6,895,936.4,12600
7/30/2010,975.6,986.6,911.2,932.4,15100
8/2/2010,885.2,909,870,889.6,13100
8/3/2010,895.2,927.2,872.4,903.4,8900
8/4/2010,889.2,903.4,872.2,880.2,10100
8/5/2010,904,911.4,883.4,905.6,8100
8/6/2010,953.6,978.6,916.8,925,13200
8/9/2010,906.4,924.4,885.4,895.4,5200
8/10/2010,921.6,964,913.4,941.2,12500
8/11/2010,1002.8,1063.2,1000.8,1051,10700
8/12/2010,1119.2,1123,1051.6,1068.6,10100
8/13/2010,1085,1112.6,1076.6,1107.8,7700
8/16/2010,1129.8,1144,1060.6,1081.2,7900
8/17/2010,1043.4,1063.2,999,1026.8,9600
8/18/2010,1030.8,1057.4,985.8,1015.4,6400
8/19/2010,1025.6,1104.2,1020.2,1096,12400
8/20/2010,1112.4,1149.2,1093.2,1097,7900
8/23/2010,1072,1141.2,1055,1137,7800
8/24/2010,1192.2,1225.8,1140,1176.6,12900
8/25/2010,1208.8,1220,1117.6,1125.8,8900
8/26/2010,1112.4,1162,1085.4,1151.6,7500
8/27/2010,1109.2,1178,1050.6,1056.6,14300
8/30/2010,1074.8,1128.4,1058,1125.6,10800
8/31/2010,1138.4,1162,1094.4,1130,15600
9/1/2010,1076,1085,1001,1001.6,21900
9/2/2010,1004,1013.2,961,968.4,10100
9/3/2010,924.6,950.2,908.8,919.2,10500
9/7/2010,927.2,977,925.8,968.2,13500
9/8/2010,961.8,961.8,927.6,950.4,6400
9/9/2010,906.4,970,904.8,949,6900
9/10/2010,937.2,955.8,922.8,939.8,13900
9/13/2010,906.6,911.6,862.6,873.4,9100
9/14/2010,878,890.4,857.4,881,8700
9/15/2010,889.2,908.4,860.4,869,8300
9/16/2010,874,904.8,865.2,882.8,7400
9/17/2010,863.6,909,860,871.6,14200
9/20/2010,864.4,880,793.2,798.8,12400
9/21/2010,797.4,815,784,812.2,7600
9/22/2010,819.8,859,803.2,839.4,9900
9/23/2010,862.2,881,823.6,869.2,12200
9/24/2010,833.4,839.2,784.8,787,11300
9/27/2010,787.4,803,780,791.6,5700
9/28/2010,785.6,830,763.2,771.4,9600
9/29/2010,772.4,779.2,752,759.2,7500
9/30/2010,744.4,784.8,731.8,768.4,11000
10/1/2010,745,774,742.6,754.2,8300
10/4/2010,759,800.4,746.8,785.4,10400
10/5/2010,758.4,774,712.4,720,14900
10/6/2010,719.2,736.4,711.2,723.4,9800
10/7/2010,711.4,744,709.8,729.6,8700
10/8/2010,727.8,738.4,691.4,702.2,6400
10/11/2010,699.8,706,685.8,699.8,4800
10/12/2010,705.8,728.4,686.6,694.8,7300
10/13/2010,680.8,687.2,646.6,662.4,10100
10/14/2010,662,682,653.2,665.2,8900
10/15/2010,645.8,681.2,644.4,671.8,6500
