Data, Open, High, Low, Close, Volume
2/1/2007,1122.95,1122.95,1122.95,1122.95,0
2/2/2007,1122.95,1122.95,1122.95,1122.95,0
2/5/2007,1079.04,1096.54,1077.58,1087.14,300
2/6/2007,1103.83,1103.83,1099.62,1099.62,0
2/7/2007,1091.52,1093.14,1061.38,1080.01,0
2/8/2007,1093.3,1094.43,1081.96,1081.96,100
2/9/2007,1057.81,1120.04,1057,1120.04,200
2/12/2007,1131.54,1140.78,1128.62,1140.78,0
2/13/2007,1135.59,1135.59,1135.59,1135.59,0
2/14/2007,1085.68,1092,1082.12,1082.28,300
2/15/2007,1085.68,1085.68,1085.68,1085.68,100
2/16/2007,1080.33,1080.66,1076.93,1076.93,400
2/20/2007,1102.05,1103.34,1076.61,1076.77,100
2/21/2007,1098.65,1098.65,1090.71,1090.71,100
2/22/2007,1049.87,1057.32,1043.71,1043.71,200
2/23/2007,1035.45,1041.44,1028.97,1037.72,300
2/26/2007,1043.07,1055.22,1041.93,1041.93,500
2/27/2007,1076.77,1109.66,1059.11,1103.99,500
2/28/2007,1105.13,1120.04,1092.49,1092.49,0
3/1/2007,1176.75,1176.75,1125.54,1138.99,300
3/2/2007,1147.1,1193.12,1146.45,1193.12,500
3/5/2007,1190.2,1200.57,1162.65,1200.25,400
3/6/2007,1166.7,1174,1151.8,1156.82,200
3/7/2007,1159.25,1174.97,1156.98,1174.97,0
3/8/2007,1142.4,1147.42,1132.67,1144.83,1200
3/9/2007,1110.31,1132.67,1110.31,1132.67,100
3/12/2007,1121.01,1121.17,1103.67,1110.47,500
3/13/2007,1122.79,1156.82,1122.79,1156.82,500
3/14/2007,1153.25,1170.27,1151.31,1151.31,0
3/15/2007,1153.42,1157.14,1147.91,1148.07,1000
3/16/2007,1144.99,1171.73,1144.99,1159.74,100
3/19/2007,1176.1,1176.1,1173.19,1173.83,900
3/20/2007,1174.48,1174.48,1152.61,1162.49,200
3/21/2007,1161.52,1161.52,1119.71,1119.71,200
3/22/2007,1124.41,1135.92,1124.41,1135.92,200
3/23/2007,1138.67,1138.67,1119.71,1125.22,900
3/26/2007,1124.57,1159.41,1124.57,1135.43,100
3/27/2007,1141.1,1141.1,1141.1,1141.1,0
3/28/2007,1161.52,1177.24,1160.55,1175.78,400
3/29/2007,1196.84,1218.56,1195.71,1195.71,400
3/30/2007,1186.31,1194.57,1176.26,1187.93,300
4/2/2007,1183.07,1203.49,1183.07,1192.63,200
4/3/2007,1182.91,1182.91,1165.89,1174.16,200
4/4/2007,1155.68,1155.68,1155.04,1155.04,0
4/5/2007,1136.24,1139.8,1135.59,1135.92,0
4/9/2007,1130.08,1140.61,1121.17,1121.17,0
4/10/2007,1119.39,1127.65,1102.7,1102.7,100
4/11/2007,1118.09,1121.33,1112.42,1121.33,0
4/12/2007,1128.46,1133.81,1105.13,1113.23,100
4/13/2007,1125.22,1125.22,1113.23,1116.47,0
4/16/2007,1109.18,1109.83,1095.08,1095.57,0
4/17/2007,1095.08,1097.51,1088.92,1092,100
4/18/2007,1068.51,1068.51,1038.04,1052.63,300
4/19/2007,1049.22,1049.22,1012.6,1022.65,500
4/20/2007,1010.66,1032.37,1010.66,1013.57,300
4/23/2007,1018.43,1032.37,1018.43,1028.16,200
4/24/2007,996.07,1004.5,972.25,984.89,400
4/25/2007,981,982.3,959.13,961.88,200
4/26/2007,959.78,975.98,959.78,966.26,0
4/27/2007,973.71,991.86,970.96,985.22,300
4/30/2007,1003.36,1017.79,992.18,1017.79,100
5/1/2007,1017.3,1036.91,1003.85,1009.2,1000
5/2/2007,1004.5,1004.5,986.84,989.27,700
5/3/2007,979.71,982.46,972.09,972.25,100
5/4/2007,982.95,982.95,967.07,973.87,0
5/7/2007,969.01,974.68,969.01,973.39,0
5/8/2007,994.45,995.91,977.28,977.28,100
5/9/2007,982.46,982.46,938.39,938.39,200
5/10/2007,943.57,973.87,942.28,969.01,500
5/11/2007,956.05,962.85,950.05,950.05,200
5/14/2007,941.63,962.85,938.39,957.02,100
5/15/2007,952.81,975.82,952.81,973.39,200
5/16/2007,984.41,995.42,974.85,974.85,200
5/17/2007,976.14,989.92,975.49,980.84,0
5/18/2007,971.77,992.02,971.77,982.95,100
5/21/2007,975.98,987.16,956.05,983.27,300
5/22/2007,975.98,988.46,962.04,970.31,200
5/23/2007,975.01,1001.74,973.06,1001.74,500
5/24/2007,1004.5,1044.04,992.51,1041.12,300
5/25/2007,1028.48,1033.34,1017.3,1023.62,300
5/29/2007,1020.87,1020.87,1005.96,1009.68,500
5/30/2007,1034.48,1041.12,1024.75,1024.75,800
5/31/2007,1011.63,1017.95,996.4,996.4,400
6/1/2007,977.11,982.62,968.2,979.87,200
6/4/2007,993.97,993.97,980.19,982.3,100
6/5/2007,993.8,1011.14,993.8,1002.88,100
6/6/2007,1010.66,1027.35,997.37,1025.73,200
6/7/2007,1035.13,1057.32,1019.57,1057.32,1100
6/8/2007,1040.31,1050.2,1003.36,1004.82,600
6/11/2007,999.15,1011.63,996.72,1001.91,100
