Data, Open, High, Low, Close, Volume
6/21/2006,30.57,30.97,30.55,30.84,554600
6/22/2006,30.66,30.66,30.3,30.51,273200
6/23/2006,30.33,30.79,30.25,30.51,89200
6/26/2006,30.52,30.7,30.41,30.68,75400
6/27/2006,30.78,30.78,30.14,30.14,229400
6/28/2006,30.23,30.49,30.06,30.41,85200
6/29/2006,30.84,31.7,30.79,31.7,133600
6/30/2006,31.92,31.96,31.68,31.68,181200
7/3/2006,31.85,32.11,31.81,32.11,56800
7/5/2006,31.77,31.82,31.44,31.68,148000
7/6/2006,31.79,32.01,31.68,31.78,233200
7/7/2006,31.55,31.82,31.26,31.42,142200
7/10/2006,31.68,31.8,31.36,31.47,144000
7/11/2006,31.33,31.76,31.08,31.74,385000
7/12/2006,31.71,31.72,30.99,31.11,256400
7/13/2006,30.7,30.85,30.15,30.17,347600
7/14/2006,30.08,30.17,29.54,29.9,302200
7/17/2006,29.95,30.11,29.67,29.87,113800
7/18/2006,30.08,30.47,29.38,29.92,409800
7/19/2006,30.19,31.14,30.19,30.95,438000
7/20/2006,31.23,31.27,30.52,30.58,230600
7/21/2006,30.32,30.45,29.98,30.1,256800
7/24/2006,30.39,31.11,30.39,31.05,266800
7/25/2006,30.99,31.61,30.85,31.45,342800
7/26/2006,31.24,31.72,31.11,31.51,276400
7/27/2006,31.74,31.83,31.08,31.21,358000
7/28/2006,31.36,32.03,31.34,31.92,225800
7/31/2006,31.92,31.92,31.71,31.83,113600
8/1/2006,31.49,31.72,31.25,31.55,104600
8/2/2006,31.86,32.15,31.71,31.79,146600
8/3/2006,31.49,32.18,31.49,31.95,180200
8/4/2006,32.65,32.67,31.66,31.94,344200
8/7/2006,31.74,31.9,31.62,31.76,98200
8/8/2006,32,32.06,31.36,31.5,115400
8/9/2006,31.79,32.12,31.23,31.26,139400
8/10/2006,31.18,31.59,31.06,31.54,323800
8/11/2006,31.49,31.49,31.1,31.31,243800
8/14/2006,31.7,32.24,31.33,31.42,193200
