Data, Open, High, Low, Close, Volume
10/4/2011,9.87,10.52,9.82,10.52,81200
10/5/2011,10.88,11.41,10.86,11.35,35600
10/6/2011,11.36,11.58,11.2,11.58,22400
10/7/2011,11.8,11.8,11.19,11.67,72800
10/10/2011,11.88,12.15,11.85,12.15,60000
10/11/2011,12.06,12.41,12.06,12.31,65600
10/12/2011,12.79,13.38,12.75,13.17,55200
10/13/2011,13,13.07,12.73,13.07,58400
10/14/2011,13.85,13.94,13.5,13.94,52800
10/17/2011,13.73,13.73,12.4,12.4,42400
10/18/2011,12.38,13.07,12.07,12.84,41600
10/19/2011,12.95,12.95,11.8,11.98,79200
10/20/2011,11.91,11.91,11.46,11.88,41200
10/21/2011,12.32,12.46,12.16,12.46,30000
10/24/2011,12.73,13.27,12.73,13.27,41200
10/25/2011,13.06,13.06,12.36,12.36,73600
10/26/2011,12.82,12.88,12.21,12.78,89600
10/27/2011,14.18,14.64,13.91,14.46,127600
10/28/2011,14.21,14.69,14.15,14.69,92400
10/31/2011,13.94,14.04,13.11,13.11,190800
11/1/2011,11.1,11.63,10.77,11.16,541600
11/2/2011,11.62,11.62,11.17,11.53,88800
11/3/2011,11.86,12.11,11.16,12.09,248800
11/4/2011,11.76,12.05,11.38,11.85,214400
11/7/2011,11.76,11.94,11.51,11.93,82400
11/8/2011,12.11,12.5,11.77,12.5,146800
11/9/2011,11.55,11.66,10.06,10.1,277200
11/10/2011,10.69,10.75,10.18,10.73,195600
11/11/2011,11.15,11.31,11.11,11.19,294800
11/14/2011,11.03,11.04,10.72,10.91,102000
11/15/2011,10.71,11.11,10.63,11.02,483200
11/16/2011,10.67,11.07,10.44,10.5,349600
11/17/2011,10.39,10.47,9.79,9.99,843600
11/18/2011,10.25,10.32,9.99,10.31,863600
11/21/2011,9.77,10.26,9.75,10.21,474800
11/22/2011,10.11,10.43,10.06,10.42,415600
11/23/2011,10.19,10.23,9.93,9.94,583600
11/25/2011,9.94,10.1,9.78,9.81,138400
11/28/2011,10.46,10.49,10.16,10.25,294000
11/29/2011,10.35,10.52,10.22,10.44,271600
11/30/2011,11.15,11.4,11.07,11.4,353600
12/1/2011,11.39,11.74,11.36,11.64,450400
12/2/2011,11.98,12.17,11.68,11.69,373600
12/5/2011,12.12,12.15,11.6,11.7,227600
12/6/2011,11.7,11.91,11.65,11.75,190800
12/7/2011,11.61,11.61,11.11,11.39,323600
12/8/2011,11.07,11.17,10.76,10.87,371200
12/9/2011,11,11.63,11,11.61,463200
12/12/2011,11.34,11.53,11.11,11.53,474000
12/13/2011,11.87,12.03,11.37,11.56,548400
12/14/2011,11.57,11.76,11.33,11.56,510000
12/15/2011,12.02,12.14,11.86,11.99,409200
12/16/2011,12.39,12.4,11.93,12.09,312400
12/19/2011,12.19,12.44,12.09,12.18,314000
12/20/2011,12.74,12.97,12.64,12.93,589600
12/21/2011,13.11,13.83,12.86,13.81,522800
12/22/2011,14.11,14.38,13.6,13.74,481200
12/23/2011,13.93,13.96,13.32,13.43,196400
12/27/2011,13.41,13.64,13.41,13.51,151200
12/28/2011,13.6,13.6,12.93,12.93,52000
12/29/2011,13.15,13.29,13.14,13.26,34000
12/30/2011,13.27,13.32,13.07,13.07,52800
1/3/2012,13.65,13.8,13.59,13.72,105200
1/4/2012,13.57,13.99,13.4,13.98,84800
1/5/2012,13.7,14.31,13.65,14.31,68800
1/6/2012,14.42,14.66,14.15,14.54,76800
1/9/2012,14.66,14.78,14.56,14.74,28400
1/10/2012,15.16,15.3,15,15.02,59200
1/11/2012,14.88,14.92,14.75,14.77,69600
1/12/2012,14.84,15.01,14.32,14.98,53200
1/13/2012,14.59,14.62,14.14,14.6,112400
1/17/2012,15.1,15.32,14.65,14.72,245600
1/18/2012,14.79,15.26,14.68,15.24,118000
1/19/2012,15.48,15.66,15.35,15.66,105200
1/20/2012,15.57,16.14,15.54,16.13,124000
1/23/2012,16.15,16.62,16.14,16.53,584800
1/24/2012,16.11,16.55,16.07,16.45,378800
1/25/2012,16.44,17.23,16.32,17.19,179200
1/26/2012,17.58,17.58,16.92,17.12,76800
1/27/2012,16.91,17.56,16.91,17.56,17200
