Data, Open, High, Low, Close, Volume
2/1/2007,211.67,211.67,211.67,211.67,0
2/2/2007,211.67,211.67,211.67,211.67,0
2/5/2007,210.72,211.46,210.72,211.46,1300
2/6/2007,211.46,211.46,211.46,211.46,0
2/7/2007,211.46,211.46,211.46,211.46,0
2/8/2007,211.46,211.46,211.46,211.46,0
2/9/2007,211.46,211.46,211.46,211.46,0
2/12/2007,211.46,211.46,211.46,211.46,0
2/13/2007,213.06,213.06,213.06,213.06,1200
2/14/2007,213.06,213.06,213.06,213.06,0
2/15/2007,213.06,213.06,213.06,213.06,0
2/16/2007,213.06,213.06,213.06,213.06,0
2/20/2007,213.06,213.06,213.06,213.06,0
2/21/2007,213.06,213.06,213.06,213.06,0
2/22/2007,211.15,211.15,210.66,210.66,100
2/23/2007,211.18,211.18,211.18,211.18,0
2/26/2007,211.18,211.18,211.18,211.18,0
2/27/2007,225.88,225.88,225.17,225.32,1300
2/28/2007,222.77,222.77,221.5,221.59,100
3/1/2007,227.39,227.39,222.58,222.58,200
3/2/2007,224,225.72,223.72,225.72,200
3/5/2007,229.54,229.54,227.14,228.28,200
3/6/2007,227.85,227.85,225.01,225.01,500
3/7/2007,225.01,225.01,225.01,225.01,0
3/8/2007,225.01,225.01,225.01,225.01,0
3/9/2007,221.07,221.07,221.07,221.07,0
3/12/2007,221.13,222.09,220.39,220.39,600
3/13/2007,220.39,220.39,220.39,220.39,0
3/14/2007,228.03,233.4,228,228.47,400
3/15/2007,228.47,228.47,228.47,228.47,0
3/16/2007,224.98,227.17,224.98,227.17,0
3/19/2007,224.8,224.8,223.1,223.1,100
3/20/2007,222.92,222.92,221.59,221.59,100
3/21/2007,221.59,221.59,221.59,221.59,0
3/22/2007,221.59,221.59,221.59,221.59,0
3/23/2007,215.22,216.11,215.19,216.11,0
3/26/2007,217.68,217.68,217.68,217.68,100
3/27/2007,220.08,220.08,219.9,219.9,100
3/28/2007,219.9,219.9,219.9,219.9,0
