Data, Open, High, Low, Close, Volume
8/20/2009,49.3,49.33,49.14,49.15,0
8/21/2009,49.28,50.17,49.28,50.17,0
8/24/2009,50.47,50.47,49.31,49.43,0
8/25/2009,49.35,51.12,48.98,48.98,0
8/26/2009,48.96,49.04,48.66,48.82,16400
8/27/2009,48.99,49.04,48.76,49.02,12400
8/28/2009,49.35,49.38,48.76,48.76,29800
8/31/2009,48.85,49.04,48.56,48.59,13900
9/1/2009,48.99,49.2,48.54,48.73,17200
9/2/2009,48.8,48.93,48,48.05,270000
9/3/2009,48.42,48.44,48.25,48.4,64400
9/4/2009,48.55,49.21,48.48,49.2,97200
9/8/2009,49.56,49.56,49.09,49.49,142200
9/9/2009,49.8,49.97,49.56,49.56,20200
9/10/2009,49.23,49.24,48.28,48.57,45200
9/11/2009,48.26,48.35,47.85,48.33,44700
9/14/2009,48.66,48.82,48.36,48.8,19500
9/15/2009,49.06,49.12,48.76,49.07,32300
9/16/2009,48.96,49.27,48.7,48.93,39800
9/17/2009,48.77,48.85,48.26,48.28,23600
9/18/2009,48.55,48.96,48.37,48.75,49600
9/21/2009,48.56,48.97,48.41,48.7,37200
9/22/2009,48.85,48.86,48.4,48.5,10900
9/23/2009,48.65,48.93,48.34,48.44,64600
9/24/2009,48.35,48.44,48.1,48.2,34600
9/25/2009,47.93,48.12,47.58,47.63,37700
9/28/2009,47.47,47.52,47.15,47.17,65300
9/29/2009,47.48,47.48,47.04,47.18,68200
9/30/2009,47.31,47.35,47.08,47.26,34900
10/1/2009,46.97,47.04,46.5,46.69,47900
10/2/2009,46.36,47.03,46.36,46.97,118200
10/5/2009,46.78,47.05,46.62,46.94,272500
10/6/2009,47.01,47.4,47,47.37,140800
10/7/2009,47.06,47.07,46.75,46.83,41500
10/8/2009,46.57,47.52,46.56,47.42,590000
10/9/2009,47.66,48.65,47.54,48.43,203400
10/12/2009,48.53,48.54,48.23,48.31,66600
10/13/2009,48.08,48.18,47.9,48.12,62300
10/14/2009,48.58,48.82,48.32,48.8,104900
10/15/2009,49.03,49.8,48.6,49,199500
10/16/2009,48.73,48.88,48.5,48.51,92100
10/19/2009,48.47,48.59,48.16,48.2,50100
10/20/2009,47.77,47.97,47.65,47.93,69400
10/21/2009,48.09,48.46,48.09,48.09,88000
10/22/2009,48.5,48.53,48.33,48.4,56300
10/23/2009,48.81,48.82,48.53,48.77,55500
10/26/2009,49.03,49.46,48.95,49.41,65300
10/27/2009,49.28,49.28,48.65,48.72,350400
10/28/2009,48.66,48.66,48.29,48.46,299800
10/29/2009,48.79,49.21,48.66,49,158400
10/30/2009,48.62,48.69,48.17,48.27,163100
11/2/2009,48.28,48.6,48.21,48.42,101600
11/3/2009,48.35,49.02,48.33,48.99,650500
11/4/2009,49.24,49.59,48.97,49.34,162200
11/5/2009,49.57,49.6,49.34,49.38,203400
11/6/2009,49.27,49.77,49.23,49.32,213500
11/9/2009,49.33,49.37,49.05,49.26,324000
11/10/2009,48.89,49.49,48.85,49.35,83500
11/11/2009,49.06,49.21,48.86,49.09,39100
11/12/2009,49.26,49.79,49.12,49.21,99100
11/13/2009,49.05,49.19,48.89,48.98,61700
11/16/2009,48.6,48.63,48.18,48.31,75400
11/17/2009,48.35,48.45,47.98,48.11,52600
11/18/2009,48.16,48.48,48.13,48.4,32800
11/19/2009,48.18,48.42,47.93,48.29,173300
11/20/2009,48.35,48.52,48.19,48.3,36600
11/23/2009,48.51,48.65,48.29,48.35,35500
11/24/2009,48.24,48.3,48,48.05,58500
11/25/2009,48.09,48.32,47.73,47.81,132400
11/27/2009,47.66,47.77,47.56,47.58,45000
11/30/2009,47.76,47.79,47.51,47.52,80100
12/1/2009,47.79,48.06,47.75,48.06,31400
12/2/2009,47.98,48.15,47.67,47.96,78300
12/3/2009,48.41,48.5,48.21,48.47,89700
12/4/2009,49.05,49.2,48.84,49.07,189500
12/7/2009,49.97,49.97,48.84,49.05,1141500
12/8/2009,48.64,48.96,48.46,48.91,299900
12/9/2009,48.82,49.32,48.62,49.02,131800
12/10/2009,49.34,49.66,49.26,49.62,148700
12/11/2009,49.79,50.02,49.56,49.69,171100
12/14/2009,49.54,49.62,49.43,49.58,144500
12/15/2009,49.92,49.95,49.7,49.83,131400
12/16/2009,49.74,49.98,49.56,49.82,85200
12/17/2009,49.4,49.5,48.96,48.96,258000
12/18/2009,48.99,49.28,48.8,49.25,144600
12/21/2009,49.63,50.07,49.52,50.07,139200
12/22/2009,50.29,50.46,50.22,50.34,274700
12/23/2009,50.19,50.42,49.92,50.37,99100
12/24/2009,50.54,50.92,50.5,50.89,68500
12/28/2009,51.02,51.07,50.88,50.99,157000
12/29/2009,50.92,50.94,50.55,50.63,138900
12/30/2009,50.53,50.56,50.22,50.28,134300
12/31/2009,50.6,50.96,50.4,50.51,182900
1/4/2010,50.56,50.7,50.42,50.56,207200
1/5/2010,50.45,50.45,50.1,50.18,133200
1/6/2010,50.28,50.93,50.28,50.89,186500
1/7/2010,50.92,50.93,50.63,50.85,114400
1/8/2010,50.72,51.11,50.72,50.82,160700
1/11/2010,51.02,51.15,50.8,51.06,155800
1/12/2010,50.32,50.49,50.17,50.2,318300
1/13/2010,50.46,50.81,50.22,50.75,80800
1/14/2010,50.57,50.64,50.08,50.1,303100
1/15/2010,49.81,49.83,49.63,49.83,143300
1/19/2010,49.99,50.08,49.75,49.91,118600
1/20/2010,49.63,49.63,49.35,49.43,104100
1/21/2010,49.52,49.52,49.03,49.13,168300
1/22/2010,49.23,49.33,49.07,49.21,283400
1/25/2010,49.48,49.49,49.25,49.41,217000
1/26/2010,49.18,49.52,49.12,49.4,73800
1/27/2010,49.34,49.45,49.14,49.4,119500
1/28/2010,49.72,49.72,49.34,49.42,251700
1/29/2010,49.46,49.53,48.95,49.02,598500
2/1/2010,49.11,49.49,49.11,49.44,155800
2/2/2010,49.45,49.5,49.3,49.36,135800
2/3/2010,49.65,49.93,49.58,49.88,94700
2/4/2010,49.55,49.55,49.02,49.07,94900
2/5/2010,49.26,49.32,48.72,48.99,90200
2/8/2010,49.03,49.11,48.89,48.9,231300
2/9/2010,49.07,49.38,48.87,49.36,69000
2/10/2010,49.25,49.9,49.18,49.83,106600
2/11/2010,49.93,50.37,49.88,50.14,131000
2/12/2010,49.87,50.04,49.8,49.94,63500
2/16/2010,50.16,50.16,49.77,49.8,124000
2/17/2010,50.09,50.49,49.97,50.34,127700
2/18/2010,50.31,50.77,50.25,50.58,205700
2/19/2010,50.43,50.59,50.25,50.34,124100
2/22/2010,50.49,50.56,50.38,50.45,126400
2/23/2010,50.36,50.36,49.66,49.71,207600
2/24/2010,49.67,49.85,49.48,49.59,143800
2/25/2010,49.33,49.43,49.25,49.31,204200
2/26/2010,49.15,49.26,48.83,49.04,644900
3/1/2010,49.01,49.23,48.92,49.02,85500
3/2/2010,49.27,49.37,49.08,49.1,118700
3/3/2010,49.19,49.37,49.18,49.21,85500
3/4/2010,49.26,49.31,48.89,49.01,52400
3/5/2010,49.28,49.68,49.27,49.66,98200
3/8/2010,49.83,49.89,49.76,49.88,103700
3/9/2010,49.78,50.03,49.73,49.82,102600
3/10/2010,50.02,50.15,49.88,49.93,94800
3/11/2010,50.03,50.05,49.67,49.78,73100
3/12/2010,49.86,49.86,49.37,49.46,236800
3/15/2010,49.5,49.67,49.44,49.47,119500
3/16/2010,49.39,49.39,49.1,49.12,190000
3/17/2010,48.93,49.1,48.86,48.86,390300
3/18/2010,48.86,49.11,48.86,49.02,66500
3/19/2010,48.97,49.2,48.83,48.97,114200
3/22/2010,48.92,48.99,48.86,48.93,64800
3/23/2010,49.11,49.15,48.96,49.11,230500
3/24/2010,49.71,50.15,49.53,50.01,686500
3/25/2010,50.19,50.52,50.08,50.37,284700
3/26/2010,50.49,50.49,50.13,50.21,202500
3/29/2010,50.34,50.58,50.3,50.43,311200
3/30/2010,50.45,50.59,50.22,50.26,316800
3/31/2010,50.08,50.2,49.89,49.91,300300
4/1/2010,50.13,50.28,49.95,50.02,167300
4/5/2010,50.6,50.91,50.49,50.85,622500
4/6/2010,50.67,50.92,50.65,50.79,899500
4/7/2010,50.87,50.93,49.99,50.11,498800
4/8/2010,50.03,50.2,49.88,50.08,278800
4/9/2010,50.13,50.28,49.93,49.96,170300
4/12/2010,49.84,49.88,49.62,49.67,188000
4/13/2010,49.46,49.63,49.38,49.51,187300
4/14/2010,49.47,49.88,49.45,49.88,213400
4/15/2010,50.03,50.08,49.66,49.79,197700
4/16/2010,49.68,49.78,49.38,49.43,238800
4/19/2010,49.39,49.61,49.33,49.58,89300
4/20/2010,49.44,49.54,49.36,49.39,313000
4/21/2010,49.2,49.2,48.75,48.9,841200
4/22/2010,48.81,49.12,48.72,49.08,179800
4/23/2010,49.21,49.32,49.13,49.28,122000
4/26/2010,49,49.33,48.96,49.22,168100
4/27/2010,48.87,48.9,48.28,48.47,252400
4/28/2010,48.65,48.97,48.55,48.89,162000
4/29/2010,48.77,48.97,48.62,48.72,114600
4/30/2010,48.55,48.64,48.1,48.13,181700
5/3/2010,48.31,48.36,48.13,48.16,159600
5/4/2010,47.59,47.68,47.24,47.29,367500
5/5/2010,46.94,47.29,46.51,47.04,663000
5/6/2010,46.92,47.07,28.94,45.6,740200
5/7/2010,45.97,46.22,44.92,46.06,891800
5/10/2010,47.25,47.28,46.88,47.04,456700
5/11/2010,46.9,47.34,46.85,47.13,170400
5/12/2010,47.3,47.51,47.22,47.51,64700
5/13/2010,47.23,47.69,47.05,47.21,269500
5/14/2010,46.8,46.8,46.07,46.37,402700
5/17/2010,46.43,46.56,45.95,46.53,376400
5/18/2010,46.36,46.4,45.71,45.83,120400
5/19/2010,45.8,45.83,45.39,45.67,173500
5/20/2010,44.89,45.03,44.59,44.71,453100
5/21/2010,44.09,44.9,44.03,44.68,306100
5/24/2010,44.52,44.88,44.44,44.82,254100
5/25/2010,44.11,44.63,43.95,44.55,350800
5/26/2010,44.74,45.1,44.66,44.67,170800
5/27/2010,45.39,45.76,45.28,45.68,187300
5/28/2010,45.5,45.71,45.34,45.52,64900
6/1/2010,44.94,45.42,44.93,45.15,76100
6/2/2010,45.09,45.6,45.04,45.59,83500
6/3/2010,45.9,45.96,45.59,45.9,290300
6/4/2010,45.1,45.21,44.62,44.68,184100
6/7/2010,44.84,44.86,44.31,44.31,86100
6/8/2010,44.64,44.68,44.29,44.55,660700
6/9/2010,44.72,44.94,44.54,44.61,223500
6/10/2010,44.96,45.41,44.89,45.36,216500
6/11/2010,44.94,45.18,44.64,44.81,136000
6/14/2010,45.3,45.32,44.97,45.01,71600
6/15/2010,44.96,45.39,44.88,45.22,116900
6/16/2010,44.86,45.26,44.86,44.97,82100
6/17/2010,44.88,44.88,44.41,44.58,139000
6/18/2010,44.57,44.69,44.47,44.61,63900
6/21/2010,45.19,45.21,44.68,44.76,311100
6/22/2010,44.65,44.7,44.21,44.23,185200
6/23/2010,44.18,44.22,43.75,43.94,227500
6/24/2010,43.84,44.3,43.75,44.17,128200
6/25/2010,44.35,44.37,43.88,43.99,139900
6/28/2010,43.77,43.81,43.56,43.57,163100
6/29/2010,43.41,43.45,43.04,43.07,589400
6/30/2010,42.96,43.19,42.79,42.81,271300
7/1/2010,42.75,42.81,42.26,42.73,406900
7/2/2010,42.96,43.12,42.81,43.07,110700
7/6/2010,43.02,43.07,42.63,42.71,104000
7/7/2010,42.77,43.22,42.75,43.21,135200
7/8/2010,43.48,43.57,43.31,43.49,114700
7/9/2010,43.66,43.74,43.58,43.73,99400
7/12/2010,43.69,43.75,43.44,43.73,46400
7/13/2010,43.84,44.15,43.84,44.1,276100
7/14/2010,43.91,44.03,43.56,43.62,146900
7/15/2010,43.46,43.47,43.09,43.19,160300
7/16/2010,43.18,43.2,42.88,42.98,83400
7/19/2010,43.05,43.3,43.01,43.23,38600
7/20/2010,43.01,43.23,42.95,43.18,120200
7/21/2010,43.09,43.14,42.38,42.46,77100
7/22/2010,42.69,42.95,42.68,42.93,70300
7/23/2010,42.93,43.44,42.86,43.37,64100
7/26/2010,43.43,43.72,43.38,43.47,154300
7/27/2010,43.79,43.9,43.64,43.89,81400
7/28/2010,43.96,44.02,43.7,43.72,126500
7/29/2010,44.12,44.18,43.7,43.73,100000
7/30/2010,43.2,43.29,43,43.05,100700
8/2/2010,43.42,43.63,43.39,43.59,102100
8/3/2010,43.41,43.51,43.22,43.39,70200
8/4/2010,43.27,43.7,43.26,43.7,139800
8/5/2010,43.33,43.56,43.32,43.51,90100
8/6/2010,43.17,43.26,42.95,43,170600
8/9/2010,43.11,43.2,43.06,43.14,62300
8/10/2010,42.98,43.21,42.61,43.07,148400
8/11/2010,42.87,42.87,42.44,42.47,1105300
8/12/2010,42.33,42.64,42.19,42.57,178200
8/13/2010,42.32,42.38,41.96,42.05,216300
8/16/2010,41.24,41.3,40.98,41,283700
8/17/2010,41,41.32,40.99,41.23,344200
8/18/2010,40.93,41.13,40.67,41.09,411200
8/19/2010,41.01,41.07,40.32,40.47,227400
8/20/2010,40.38,40.6,40.22,40.54,226900
8/23/2010,40.69,40.8,40.47,40.48,113000
8/24/2010,40.14,40.26,39.71,39.86,360500
8/25/2010,39.49,40.08,39.26,39.96,566000
8/26/2010,39.92,40,39.56,39.57,171900
8/27/2010,39.83,40.75,39.6,40.73,595700
8/30/2010,40.38,40.52,39.96,39.96,410200
8/31/2010,39.61,39.83,39.47,39.47,153300
9/1/2010,39.96,40.6,39.93,40.29,286800
9/2/2010,40.6,40.88,40.58,40.71,294900
9/3/2010,41.57,41.58,41.09,41.19,568900
9/7/2010,40.63,40.71,40.34,40.37,223800
9/8/2010,40.63,40.87,40.58,40.7,106100
9/9/2010,41.12,41.54,41.08,41.46,205800
9/10/2010,41.72,41.85,41.5,41.67,331900
9/13/2010,41.88,41.91,41.35,41.48,227000
9/14/2010,41.38,41.39,41.06,41.07,121200
9/15/2010,41.45,41.68,41.28,41.62,113100
9/16/2010,41.96,42.19,41.84,42,156000
9/17/2010,41.82,42.02,41.69,41.88,114600
9/20/2010,41.7,41.87,41.59,41.66,217600
9/21/2010,41.5,41.6,40.93,41.05,291600
9/22/2010,40.73,40.94,40.51,40.68,138600
9/23/2010,40.37,40.79,40.35,40.55,86000
9/24/2010,40.91,41.11,40.88,41.11,192700
9/27/2010,40.73,40.74,40.36,40.42,150100
9/28/2010,40.39,40.39,40.03,40.16,213500
9/29/2010,40.09,40.39,40.04,40.27,177300
9/30/2010,40.36,40.84,40.22,40.25,804400
10/1/2010,40.63,40.66,40.29,40.47,285800
10/4/2010,40.49,40.54,40.34,40.36,138700
10/5/2010,40.44,40.7,40.38,40.59,117100
10/6/2010,40.35,40.37,39.88,40.1,229200
10/7/2010,40.24,40.4,40.14,40.4,135800
10/8/2010,40.35,40.58,40.12,40.56,182200
10/11/2010,40.6,40.67,40.52,40.53,108500
10/12/2010,40.52,40.95,40.36,40.95,102000
10/13/2010,41.33,41.44,41,41,668900
10/14/2010,40.95,41.67,40.81,41.64,367400
10/15/2010,41.97,42.31,41.83,42.16,581100
10/18/2010,41.8,41.94,41.66,41.79,407300
10/19/2010,42.04,42.04,41.42,41.54,286300
10/20/2010,41.7,41.76,41.32,41.45,122500
10/21/2010,41.54,41.94,41.46,41.94,508900
10/22/2010,42.07,42.08,41.65,41.67,90200
10/25/2010,41.37,41.58,41.3,41.55,196700
10/26/2010,41.86,42.2,41.8,42.2,339500
10/27/2010,42.39,42.58,42.17,42.56,649200
10/28/2010,42.43,42.59,42.32,42.44,719300
10/29/2010,42.31,42.37,42.01,42.06,284500
11/1/2010,41.73,42.28,41.72,42.14,595100
11/2/2010,41.87,41.87,41.57,41.62,689700
11/3/2010,41.34,42.68,41.09,42.47,767600
11/4/2010,42.39,42.39,42.06,42.14,408600
11/5/2010,42.71,42.85,42.53,42.85,406800
11/8/2010,42.58,42.96,42.49,42.71,868500
11/9/2010,42.65,43.65,42.64,43.6,692900
11/10/2010,43.6,44.19,43.44,43.57,684900
11/11/2010,43.58,43.7,43.47,43.62,618800
11/12/2010,43.67,43.81,43.43,43.77,288400
11/15/2010,44.08,44.73,43.88,44.73,669200
11/16/2010,44.25,44.66,43.58,43.66,564200
11/17/2010,43.83,43.99,43.36,43.85,466100
11/18/2010,43.9,44.25,43.72,43.72,407000
11/19/2010,43.7,45.3,43.49,43.52,489900
11/22/2010,43.09,43.6,43,43.3,429600
11/23/2010,42.98,43.1,42.82,43.03,1378400
11/24/2010,43.36,43.85,43.24,43.8,309200
11/26/2010,43.38,43.42,43.2,43.2,186500
11/29/2010,43,43.17,42.79,42.84,163700
11/30/2010,42.27,42.73,42.2,42.63,312700
12/1/2010,43.24,43.53,43,43.52,170300
12/2/2010,43.48,43.7,43.25,43.64,229500
12/3/2010,43.33,43.98,43.32,43.98,332400
12/6/2010,43.7,43.75,43.38,43.39,205800
12/7/2010,44.07,44.73,43.97,44.31,681900
12/8/2010,44.5,45.23,44.45,44.71,1336600
12/9/2010,44.57,44.95,44.22,44.53,481600
12/10/2010,44.71,44.76,44.43,44.75,272600
12/13/2010,44.82,45.04,44.36,44.65,857200
12/14/2010,45.11,45.59,44.83,45.25,901500
12/15/2010,45.29,46.05,45.2,45.82,1016700
12/16/2010,45.76,46,45.5,45.54,800300
12/17/2010,45.39,45.39,44.4,44.69,419400
12/20/2010,44.42,44.9,44.17,44.69,316600
12/21/2010,44.72,44.98,44.4,44.43,169600
12/22/2010,44.53,44.78,44.5,44.7,183900
12/23/2010,44.7,44.98,44.66,44.83,136100
12/27/2010,44.88,45.08,44.35,44.4,257400
12/28/2010,44.61,45.39,44.59,45.26,236900
12/29/2010,45.2,45.32,44.34,44.51,375900
12/30/2010,44.6,44.79,44.42,44.5,201200
12/31/2010,44.32,44.35,43.81,44.25,306900
1/3/2011,44.44,44.57,43.95,44.3,255200
1/4/2011,44.35,44.57,44.17,44.29,272600
1/5/2011,44.79,45.39,44.69,45.25,402500
1/6/2011,45.23,45.4,44.93,45.06,463800
1/7/2011,45.2,45.42,44.65,44.84,599800
1/10/2011,44.7,44.87,44.49,44.58,654800
1/11/2011,44.76,45.07,44.69,44.81,394400
1/12/2011,45.11,45.21,44.87,45.11,201300
1/13/2011,45.15,45.23,44.59,44.78,424800
1/14/2011,44.55,45.05,44.55,45.03,151700
1/18/2011,45.32,45.55,45.11,45.21,180400
1/19/2011,45.27,45.27,44.9,44.9,235500
1/20/2011,45.16,45.71,45.11,45.51,321300
1/21/2011,45.61,45.68,45.16,45.18,172700
1/24/2011,45.01,45.23,44.99,45.15,235100
1/25/2011,44.98,45.24,44.48,44.72,482600
1/26/2011,44.82,45.43,44.79,45.34,363700
1/27/2011,45.38,45.52,45.06,45.17,241700
1/28/2011,45.49,45.49,44.75,44.94,586300
1/31/2011,45.04,45.31,44.89,45.25,203400
2/1/2011,45.42,45.61,45.29,45.45,300600
2/2/2011,45.27,45.74,45.2,45.46,208500
2/3/2011,45.7,45.85,45.43,45.83,398400
2/4/2011,45.99,46.34,45.88,46.3,851100
2/7/2011,46.38,46.44,46.07,46.1,461900
2/8/2011,46.05,46.55,45.95,46.5,481600
2/9/2011,46.38,46.67,45.87,46.12,591200
2/10/2011,46.27,46.62,46.16,46.61,406100
2/11/2011,46.19,46.32,45.94,45.96,1019100
2/14/2011,45.99,46.01,45.68,45.86,1214500
2/15/2011,45.86,45.96,45.67,45.73,528400
2/16/2011,45.7,46,45.51,45.85,677400
2/17/2011,45.65,45.81,45.56,45.79,643600
2/18/2011,45.97,46.12,45.87,45.88,486800
2/22/2011,45.68,45.74,45.13,45.22,860700
2/23/2011,45.06,45.22,44.83,45.02,538200
2/24/2011,44.8,44.87,44.59,44.74,978600
2/25/2011,44.74,44.77,44.46,44.49,192000
2/28/2011,44.48,44.56,44.35,44.41,350400
3/1/2011,44.7,44.71,44.24,44.29,221500
3/2/2011,44.53,44.95,44.46,44.95,270200
3/3/2011,45.18,45.44,45.07,45.39,314700
3/4/2011,45.39,45.43,45,45.03,204900
3/7/2011,45.44,45.49,45,45.3,279600
3/8/2011,45.35,45.58,45.29,45.58,161800
3/9/2011,45.39,45.48,44.75,45.14,264400
3/10/2011,44.99,45.08,44.37,44.39,394100
3/11/2011,44.39,44.74,44.39,44.62,512800
3/14/2011,44.68,44.73,44.45,44.67,265900
3/15/2011,44.04,44.23,43.9,44.01,642000
3/16/2011,43.78,43.89,43,43.5,561700
3/17/2011,43.8,44.01,43.49,43.8,530900
3/18/2011,44.05,44.05,43.7,43.72,368500
3/21/2011,43.82,44.08,43.82,43.96,297700
3/22/2011,44.01,44.02,43.78,43.83,345200
