Data, Open, High, Low, Close, Volume
5/22/2008,280,286.11,279.72,282.83,40100
5/23/2008,280.48,280.84,277.57,279.68,31400
5/27/2008,283.87,284.47,281.68,283.79,27600
5/28/2008,288.66,290.38,287.02,290.06,40000
5/29/2008,291.93,297.56,291.25,293.61,81600
5/30/2008,290.54,291.21,288.18,290.14,42500
6/2/2008,289.26,299.23,284.83,286.9,31400
6/3/2008,292.13,292.13,280.48,282.91,34400
6/4/2008,282.48,289.26,279.84,287.86,26400
6/5/2008,289.5,292.41,288.82,291.49,26500
6/6/2008,285.59,286.94,281.92,283.67,37200
6/9/2008,286.47,287.54,280.48,284.27,32200
6/10/2008,285.99,291.09,284.47,288.86,31100
6/11/2008,288.22,291.25,284.63,288.98,43300
6/12/2008,293.29,296.84,289.74,295.16,82600
6/13/2008,296.16,297.64,292.65,297.28,38600
6/16/2008,295.24,298.36,295.24,296.6,36200
6/17/2008,295.04,298.16,294.05,295.2,15900
6/18/2008,295.04,295.04,289.26,289.98,33000
6/19/2008,293.25,295.52,291.17,294.37,35600
6/20/2008,289.3,290.93,288.02,290.14,33000
6/23/2008,289.1,289.86,286.55,289.06,22300
6/24/2008,286.27,287.7,284.07,284.47,75100
6/25/2008,284.87,290.06,284.67,285.11,39400
6/26/2008,283.27,284.55,279.88,281.44,49900
6/27/2008,278.29,279.96,273.5,274.22,102000
6/30/2008,275.17,275.49,272.26,273.58,55800
7/1/2008,270.75,276.73,269.87,275.93,48200
7/2/2008,273.42,275.13,271.74,273.26,26400
7/3/2008,277.29,277.33,273.06,274.42,21700
7/7/2008,274.9,276.85,268.03,272.1,47200
7/8/2008,271.82,271.82,267.99,268.43,50700
7/9/2008,269.27,269.27,265.32,265.32,47200
7/10/2008,266.24,268.83,264.36,265.84,79800
7/11/2008,265.8,275.41,264.72,273.7,94000
7/14/2008,272.38,274.62,267.12,268.31,85700
7/15/2008,268.11,270.35,265.92,268.75,60600
7/16/2008,274.5,279.08,273.14,278.49,60600
7/17/2008,278.77,283.27,277.29,282.08,85600
7/18/2008,282.87,284.23,279.32,284.19,40500
7/21/2008,283.43,285.75,281.36,281.36,45500
7/22/2008,282.87,286.27,282.32,284.91,67400
7/23/2008,284.63,288.42,284.63,286.15,64700
7/24/2008,283.99,283.99,278.21,279.92,63300
7/25/2008,283.27,286.47,281.28,285.39,37700
7/28/2008,281.2,282,277.29,279.92,41600
7/29/2008,282.64,284.39,280.28,282.4,20100
7/30/2008,285.39,286.47,278.61,281.24,24400
7/31/2008,276.17,278.29,275.25,275.53,35000
8/1/2008,277.69,277.93,274.9,274.94,34600
8/4/2008,277.33,277.81,274.1,276.29,18400
8/5/2008,275.49,281.16,274.02,281.16,33500
8/6/2008,281.96,285.23,281.56,282.87,33800
8/7/2008,280.48,281.64,272.3,273.42,66200
8/8/2008,272.02,274.58,271.34,271.86,42200
8/11/2008,273.74,280.12,273.7,276.33,55200
8/12/2008,272.9,273.34,271.26,271.9,31500
8/13/2008,270.63,274.7,269.39,273.78,51500
8/14/2008,270.27,271.42,267.99,269.79,67100
8/15/2008,267.79,271.3,265.52,265.92,60400
8/18/2008,266.04,266.04,262.57,263.32,35200
