Data, Open, High, Low, Close, Volume
4/5/2011,40.14,40.14,40.14,40.14,200
4/6/2011,40.26,40.61,40.26,40.4,10600
4/7/2011,41.53,41.53,40.36,40.47,14400
4/8/2011,40.73,40.73,40.5,40.53,4000
4/11/2011,40.52,40.83,40.39,40.83,3500
4/12/2011,40.51,40.51,40.24,40.24,13400
4/13/2011,40.35,40.55,40.14,40.14,13100
4/14/2011,40.18,40.24,40.12,40.23,1700
4/15/2011,39.86,40.17,39.86,39.98,1100
4/18/2011,40,40.09,39.81,39.99,8800
4/19/2011,39.7,39.82,39.7,39.82,500
4/20/2011,39.88,39.93,39.87,39.92,3400
4/21/2011,39.85,39.87,39.78,39.85,1800
4/25/2011,39.88,39.88,39.81,39.81,2600
4/26/2011,39.74,39.75,39.68,39.68,4200
4/27/2011,39.68,40.17,39.68,40.17,8400
4/28/2011,39.61,39.72,39.53,39.6,4000
4/29/2011,39.56,39.67,39.5,39.5,7400
5/2/2011,39.55,39.62,39.55,39.62,300
5/3/2011,39.52,39.52,39.35,39.35,1300
5/4/2011,39.38,39.43,39.23,39.43,6100
5/5/2011,39.21,39.21,39.17,39.17,1800
5/6/2011,39.16,39.24,39.13,39.24,2100
5/9/2011,39.02,39.17,39.02,39.17,8400
5/10/2011,38.99,39.2,38.99,39.2,3900
5/11/2011,39.21,39.22,39.06,39.08,1600
5/12/2011,39.06,39.24,39.05,39.05,17000
5/13/2011,39.14,39.14,38.98,39.03,3400
5/16/2011,38.9,39.02,38.9,38.97,2000
5/17/2011,38.79,38.79,38.75,38.77,4200
5/18/2011,38.79,38.81,38.79,38.81,1600
5/19/2011,39.19,39.19,39.03,39.1,4100
5/20/2011,38.95,38.95,38.78,38.78,7000
5/23/2011,38.74,38.74,38.65,38.65,5900
5/24/2011,38.85,38.85,38.73,38.73,1400
5/25/2011,38.72,38.73,38.72,38.73,400
5/26/2011,38.59,38.59,38.43,38.56,700
5/27/2011,38.5,38.55,38.5,38.55,800
5/31/2011,38.59,38.62,38.41,38.41,5800
6/1/2011,38.11,38.19,38.11,38.14,10400
6/2/2011,38.29,38.29,38.22,38.22,1900
