Data, Open, High, Low, Close, Volume
4/5/2011,40.19,40.27,40.14,40.27,2700
4/6/2011,40.33,40.49,40.33,40.49,18600
4/7/2011,40.5,40.51,40.25,40.34,9400
4/8/2011,40.7,40.7,40.37,40.39,2800
4/11/2011,40.54,40.54,40.27,40.39,8300
4/12/2011,40.39,40.39,40,40,5100
4/13/2011,40.15,40.15,39.85,39.87,2800
4/14/2011,39.77,39.99,39.77,39.99,1100
4/15/2011,39.7,39.78,39.69,39.71,5000
4/18/2011,39.58,39.58,39.41,39.52,9800
4/19/2011,39.45,39.5,39.39,39.46,3900
4/20/2011,39.46,39.66,39.46,39.65,5900
4/21/2011,39.56,39.64,39.56,39.62,5100
4/25/2011,39.55,39.55,39.44,39.48,3300
4/26/2011,39.45,39.45,39.25,39.25,3600
4/27/2011,39.39,39.47,39.3,39.3,18000
4/28/2011,39.13,39.13,39.11,39.11,700
4/29/2011,39.17,39.18,38.99,38.99,6700
5/2/2011,39.02,39.1,39.02,39.1,1100
5/3/2011,38.76,39.02,38.76,38.86,1900
5/4/2011,38.77,38.77,38.68,38.72,1500
5/5/2011,38.68,38.68,38.59,38.59,1100
5/6/2011,38.52,38.7,38.42,38.42,5200
5/9/2011,38.33,38.33,38.33,38.33,100
5/10/2011,38.6,38.68,38.48,38.67,3700
5/11/2011,38.59,38.59,38.5,38.58,2200
5/12/2011,38.41,38.76,38.39,38.76,21000
5/13/2011,38.76,38.76,38.76,38.76,0
5/16/2011,38.76,38.76,38.76,38.76,0
5/17/2011,38.76,38.76,38.76,38.76,0
5/18/2011,38.31,38.35,38.21,38.35,3300
5/19/2011,38.67,38.67,38.36,38.45,3700
5/20/2011,38.27,38.27,38.19,38.24,1700
5/23/2011,38.24,38.24,38.24,38.24,0
5/24/2011,38.3,38.3,38.16,38.16,300
5/25/2011,38.18,38.18,38.05,38.1,2900
5/26/2011,38,38,37.82,37.9,3200
5/27/2011,37.87,37.87,37.75,37.75,1900
5/31/2011,37.67,37.74,37.47,37.7,2400
6/1/2011,37.38,37.4,37.37,37.4,800
6/2/2011,37.42,37.6,37.42,37.6,1700
6/3/2011,37.47,37.47,37.44,37.45,3100
6/6/2011,37.5,37.5,37.5,37.5,300
6/7/2011,37.45,37.45,37.45,37.45,2000
6/8/2011,37.04,37.08,37.01,37.08,800
6/9/2011,37.09,37.38,37.09,37.38,500
6/10/2011,37.18,37.2,37.15,37.15,1100
6/13/2011,37.33,37.34,37.22,37.34,2400
6/14/2011,37.78,37.78,37.6,37.6,400
6/15/2011,37.71,37.71,37.22,37.22,1300
6/16/2011,37.13,37.17,37.05,37.17,4700
6/17/2011,37.23,37.23,37.1,37.13,1700
6/20/2011,37.18,37.22,37.17,37.21,4900
6/21/2011,37.2,37.2,37.2,37.2,200
6/22/2011,37.1,37.2,37.06,37.08,23200
6/23/2011,36.86,37.13,36.85,36.88,2500
6/24/2011,36.83,36.83,36.66,36.66,800
6/27/2011,36.66,36.66,36.66,36.66,0
6/28/2011,37.14,37.53,36.99,37.5,22500
6/29/2011,37.59,37.64,37.47,37.56,1200
6/30/2011,37.56,37.87,37.56,37.65,3600
7/1/2011,37.9,38.04,37.85,37.99,4100
7/5/2011,37.67,37.72,37.65,37.69,1700
7/6/2011,37.49,37.51,37.43,37.43,1100
7/7/2011,37.44,37.64,37.42,37.42,1300
7/8/2011,37.31,37.31,37,37,300
7/11/2011,37,37,36.65,36.67,1400
7/12/2011,36.59,36.81,36.59,36.78,3000
7/13/2011,36.78,36.78,36.78,36.78,0
7/14/2011,36.75,36.78,36.5,36.53,2800
7/15/2011,36.64,36.64,36.64,36.64,200
7/18/2011,36.79,36.79,36.55,36.7,3600
7/19/2011,36.63,36.63,36.63,36.63,200
7/20/2011,36.63,36.63,36.63,36.63,0
7/21/2011,36.77,37.01,36.77,37.01,2600
7/22/2011,36.9,36.9,36.9,36.9,500
7/25/2011,37.03,37.03,36.55,36.72,5500
7/26/2011,36.62,36.65,36.62,36.62,1000
7/27/2011,36.8,37.1,36.74,37.1,4100
7/28/2011,36.68,36.74,36.68,36.74,1100
7/29/2011,36.47,36.56,36.28,36.29,5000
8/1/2011,36.36,36.36,36.03,36.27,4200
8/2/2011,36.02,36.08,35.45,35.7,6400
8/3/2011,35.56,35.7,35.52,35.6,4000
8/4/2011,35.45,35.62,35.22,35.22,4700
8/5/2011,35.44,35.79,35.44,35.73,3500
8/8/2011,36.86,36.86,35.25,35.52,5200
8/9/2011,35.69,35.69,34.44,35.01,7600
8/10/2011,35.47,35.47,34.58,34.71,2600
8/11/2011,34.99,34.99,34.42,34.56,4500
8/12/2011,35,35.05,34.71,34.71,7200
8/15/2011,34.72,34.87,34.39,34.87,2700
8/16/2011,34.77,34.81,34.61,34.81,900
8/17/2011,34.75,34.75,34.54,34.54,900
8/18/2011,34.5,34.53,34.24,34.49,5900
8/19/2011,34.3,34.46,34.3,34.45,2500
8/22/2011,34.79,34.79,34.53,34.53,300
8/23/2011,34.53,34.53,34.53,34.53,100
8/24/2011,34.53,34.53,34.53,34.53,0
8/25/2011,34.53,34.53,34.53,34.53,0
8/26/2011,34.66,34.66,34.66,34.66,100
8/29/2011,34.9,34.9,34.82,34.82,1300
8/30/2011,34.55,34.55,34.55,34.55,200
8/31/2011,34.53,34.53,34.53,34.53,200
9/1/2011,34.53,34.69,34.42,34.42,500
9/2/2011,34.41,35,34.41,34.9,1300
9/6/2011,34.8,34.8,34.44,34.49,900
9/7/2011,34.76,34.78,34.76,34.78,1600
9/8/2011,34.78,34.78,34.78,34.78,0
9/9/2011,34.25,34.28,34.25,34.28,400
9/12/2011,34.33,34.33,34.07,34.11,1600
9/13/2011,34.43,34.51,34.43,34.51,200
9/14/2011,34.38,34.55,34.3,34.3,1200
