Data, Open, High, Low, Close, Volume
4/1/2008,492.82,492.82,492.82,492.82,0
4/2/2008,492.82,492.82,492.82,492.82,0
4/3/2008,492.82,492.82,492.82,492.82,0
4/4/2008,492.82,492.82,492.82,492.82,0
4/7/2008,492.82,492.82,492.82,492.82,0
4/8/2008,489.31,489.31,487.19,487.19,0
4/9/2008,487.19,487.19,487.19,487.19,0
4/10/2008,514.54,514.54,507.96,507.96,100
4/11/2008,507.96,507.96,507.96,507.96,0
4/14/2008,507.96,507.96,507.96,507.96,0
4/15/2008,507.96,507.96,507.96,507.96,0
4/16/2008,507.96,507.96,507.96,507.96,0
4/17/2008,507.96,507.96,507.96,507.96,0
4/18/2008,507.96,507.96,507.96,507.96,0
4/21/2008,507.96,507.96,507.96,507.96,0
4/22/2008,506.13,506.13,506.13,506.13,0
4/23/2008,506.13,506.13,506.13,506.13,0
4/24/2008,473.22,473.22,463.27,463.27,0
4/25/2008,463.27,463.27,463.27,463.27,0
4/28/2008,450.98,450.98,450.98,450.98,0
4/29/2008,449.67,449.67,447.18,447.18,100
4/30/2008,447.18,447.18,447.18,447.18,0
5/1/2008,447.18,447.18,447.18,447.18,0
5/2/2008,447.18,447.18,447.18,447.18,0
5/5/2008,447.18,447.18,447.18,447.18,0
5/6/2008,447.18,447.18,447.18,447.18,0
5/7/2008,447.18,447.18,447.18,447.18,0
5/8/2008,447.18,447.18,447.18,447.18,0
5/9/2008,447.18,447.18,447.18,447.18,0
5/12/2008,447.18,447.18,447.18,447.18,0
5/13/2008,447.18,447.18,447.18,447.18,0
5/14/2008,447.18,447.18,447.18,447.18,0
5/15/2008,411.05,411.05,403.22,403.22,0
5/16/2008,396.42,396.42,396.42,396.42,0
5/19/2008,396.42,396.42,396.42,396.42,0
5/20/2008,402.27,402.27,402.27,402.27,0
5/21/2008,402.27,402.27,402.27,402.27,0
5/22/2008,402.27,402.27,402.27,402.27,0
5/23/2008,402.27,402.27,402.27,402.27,0
5/27/2008,402.27,402.27,402.27,402.27,0
5/28/2008,416.1,416.1,406.66,406.66,0
5/29/2008,406.66,406.66,406.66,406.66,0
5/30/2008,390.42,390.42,390.42,390.42,0
6/2/2008,394.96,401.54,394.96,397.66,100
6/3/2008,397.66,397.66,397.66,397.66,0
6/4/2008,399.05,399.05,399.05,399.05,0
6/5/2008,399.05,399.05,399.05,399.05,0
6/6/2008,399.05,399.05,399.05,399.05,0
6/9/2008,399.05,399.05,399.05,399.05,0
6/10/2008,418.44,418.44,415.51,415.95,100
6/11/2008,425.46,425.46,425.46,425.46,100
6/12/2008,426.7,427.29,426.7,427.29,100
6/13/2008,436.06,436.06,433.36,434.31,100
6/16/2008,437.01,438.84,436.65,438.84,100
6/17/2008,428.16,428.16,428.16,428.16,100
6/18/2008,447.18,447.33,445.28,445.28,0
6/19/2008,445.28,445.28,445.28,445.28,0
6/20/2008,457.49,457.49,457.49,457.49,0
6/23/2008,462.61,471.61,462.61,471.61,100
6/24/2008,475.66,475.66,469.43,469.43,100
6/25/2008,463.86,463.86,463.86,463.86,0
6/26/2008,470.82,482.56,470.82,482.56,100
6/27/2008,495.69,495.83,495.69,495.83,0
6/30/2008,488.5,488.5,471.48,471.48,0
