Data, Open, High, Low, Close, Volume
3/27/2014,38.99,38.99,38.94,38.94,1000
3/28/2014,40.68,40.68,39.14,39.19,10900
3/31/2014,39.29,39.4,39.29,39.36,6600
4/1/2014,39.4,39.62,39.4,39.62,1700
4/2/2014,39.58,39.76,39.54,39.62,3400
4/3/2014,39.63,39.63,39.58,39.58,13100
4/4/2014,39.79,39.84,39.59,39.59,9000
4/7/2014,39.58,40.56,39.36,39.38,11900
4/8/2014,39.33,39.65,39.33,39.57,1100
4/9/2014,39.73,39.94,39.64,39.94,1500
4/10/2014,39.82,40.15,39.78,39.88,4200
4/11/2014,39.46,39.56,39.46,39.53,1700
4/14/2014,39.63,39.63,39.63,39.63,500
4/15/2014,39.66,39.66,39.52,39.63,1200
4/16/2014,39.98,40.1,39.98,40.08,700
4/17/2014,40.06,40.25,40.06,40.2,1600
4/21/2014,40.84,40.84,40.39,40.48,5900
4/22/2014,40.29,40.33,40.25,40.32,4200
4/23/2014,40.24,40.35,40.23,40.23,3500
4/24/2014,40.12,40.16,40.12,40.16,900
4/25/2014,40.36,41.29,40.13,40.13,800
4/28/2014,40.11,41.69,40,40.18,5000
4/29/2014,40.4,40.42,40.39,40.39,1200
4/30/2014,40.44,40.44,40.44,40.44,800
5/1/2014,40.76,40.76,40.66,40.66,2400
5/2/2014,40.76,41.62,40.68,41.62,2200
5/5/2014,40.55,40.9,40.51,40.9,3300
5/6/2014,40.94,40.97,40.87,40.9,11700
5/7/2014,40.99,41.24,40.99,41.24,32000
5/8/2014,41.23,41.23,40.95,40.95,6900
5/9/2014,40.84,40.84,40.8,40.83,1700
5/12/2014,41.03,41.06,40.98,41.06,2800
5/13/2014,41.04,41.04,40.97,40.98,1300
5/14/2014,41.17,41.17,41.17,41.17,200
5/15/2014,41.1,41.11,40.98,40.98,2800
5/16/2014,41.12,41.19,41.07,41.19,3100
5/19/2014,41.29,41.29,41.21,41.21,2200
5/20/2014,41.18,41.18,41.02,41.09,2500
5/21/2014,41.25,41.25,41.25,41.25,200
