Data, Open, High, Low, Close, Volume
2/10/2011,40.14,40.43,40.14,40.43,3700
2/11/2011,40.33,40.33,40.07,40.14,8600
2/14/2011,40.56,40.56,40.06,40.08,3900
2/15/2011,40.09,40.09,39.94,40.02,3900
2/16/2011,40.07,40.1,40.07,40.1,600
2/17/2011,40.1,40.1,39.76,39.76,2000
2/18/2011,39.94,39.94,39.5,39.5,2900
2/22/2011,38.95,38.96,38.71,38.72,5300
2/23/2011,38.32,38.32,38.32,38.32,500
2/24/2011,38.05,38.16,37.96,38.16,10700
2/25/2011,38.1,38.12,37.88,37.88,16600
2/28/2011,37.88,37.98,37.83,37.83,8800
3/1/2011,38.23,38.23,37.78,37.78,3200
3/2/2011,37.65,37.76,37.51,37.74,9000
3/3/2011,37.97,38.13,37.97,38.13,5900
3/4/2011,37.89,37.89,37.83,37.83,2300
3/7/2011,37.52,37.59,37.51,37.59,7400
3/8/2011,37.58,37.6,37.58,37.6,400
3/9/2011,37.66,37.66,37.66,37.66,100
3/10/2011,37.28,37.34,37.28,37.34,900
3/11/2011,37.07,37.19,37.06,37.19,9300
3/14/2011,37.19,37.19,37.15,37.19,1500
3/15/2011,36.83,37.04,36.83,37.02,2100
3/16/2011,36.56,36.56,36.29,36.48,4500
3/17/2011,36.67,36.67,36.46,36.46,700
3/18/2011,36.46,36.46,36.46,36.46,0
3/21/2011,36.62,36.69,36.62,36.69,2000
3/22/2011,36.92,36.92,36.92,36.92,200
3/23/2011,37.07,37.07,37.07,37.07,100
3/24/2011,37.18,37.18,36.98,36.98,1000
3/25/2011,36.97,37.28,36.97,37.28,1100
3/28/2011,37.34,37.34,37.34,37.34,100
3/29/2011,37.29,37.5,37.29,37.36,6600
3/30/2011,37.42,37.46,37.23,37.23,18900
3/31/2011,36.94,37.03,36.94,37.03,10300
4/1/2011,37.29,37.29,36.89,36.89,20700
4/4/2011,36.78,36.81,36.59,36.6,47400
4/5/2011,36.7,36.71,36.49,36.65,8200
4/6/2011,37.02,37.02,37.02,37.02,100
4/7/2011,37.06,37.06,37.06,37.06,100
4/8/2011,37,37.14,36.79,36.83,47800
4/11/2011,36.85,36.97,36.77,36.81,22800
4/12/2011,36.65,36.65,36.6,36.6,600
4/13/2011,36.71,36.72,36.32,36.38,23000
4/14/2011,36.39,36.45,36.31,36.42,24800
4/15/2011,36,36,36,36,500
4/18/2011,36,36.01,35.9,35.9,800
4/19/2011,35.9,35.9,35.9,35.9,0
4/20/2011,35.9,35.9,35.9,35.9,0
4/21/2011,35.96,35.96,35.96,35.96,200
4/25/2011,35.93,35.97,35.93,35.93,3000
4/26/2011,35.79,35.79,35.61,35.61,1300
4/27/2011,35.8,35.8,35.8,35.8,900
4/28/2011,35.8,35.8,35.8,35.8,0
4/29/2011,35.8,35.8,35.8,35.8,0
5/2/2011,35.19,35.25,35.19,35.25,400
5/3/2011,35.25,35.25,35.25,35.25,0
5/4/2011,35.1,35.1,35,35.1,1900
5/5/2011,35.17,35.24,35.14,35.14,10900
5/6/2011,35.14,35.14,35.14,35.14,0
5/9/2011,35.1,35.1,34.97,34.97,1400
5/10/2011,35.09,35.12,35.09,35.12,600
5/11/2011,35.12,35.12,35.12,35.12,0
5/12/2011,35.34,35.5,35.23,35.5,15000
5/13/2011,35.51,35.51,35.5,35.5,11000
5/16/2011,35.5,35.57,35.45,35.45,2100
5/17/2011,35.45,35.45,35.45,35.45,0
5/18/2011,35.45,35.45,35.45,35.45,0
5/19/2011,35.45,35.45,35.45,35.45,0
5/20/2011,35.45,35.45,35.45,35.45,0
5/23/2011,35.47,35.47,35.47,35.47,200
5/24/2011,35.26,35.26,35.25,35.25,1100
5/25/2011,35.25,35.25,35.25,35.25,0
5/26/2011,35.18,35.18,35.18,35.18,300
5/27/2011,35.18,35.18,35.18,35.18,0
5/31/2011,35.18,35.18,35.18,35.18,0
6/1/2011,34.76,34.76,34.69,34.69,700
6/2/2011,34.9,34.9,34.9,34.9,100
6/3/2011,34.78,34.78,34.78,34.78,400
6/6/2011,34.86,34.87,34.86,34.87,600
6/7/2011,34.86,34.86,34.8,34.8,400
6/8/2011,34.61,34.61,34.61,34.61,100
6/9/2011,34.72,34.73,34.72,34.73,600
6/10/2011,34.58,34.58,34.58,34.58,500
6/13/2011,34.67,34.84,34.67,34.82,500
6/14/2011,34.82,34.82,34.82,34.82,0
6/15/2011,34.51,34.51,34.51,34.51,300
6/16/2011,34.51,34.51,34.51,34.51,0
6/17/2011,34.51,34.51,34.51,34.51,0
6/20/2011,34.51,34.51,34.51,34.51,0
6/21/2011,34.51,34.51,34.51,34.51,0
6/22/2011,34.51,34.51,34.51,34.51,0
6/23/2011,34.68,34.68,34.48,34.49,6300
6/24/2011,34.11,34.11,34.04,34.04,300
6/27/2011,34.23,34.23,34.23,34.23,5000
6/28/2011,34.14,34.17,34.13,34.17,10100
6/29/2011,34.17,34.17,34.17,34.17,0
6/30/2011,34.17,34.17,34.17,34.17,0
7/1/2011,34.17,34.17,34.17,34.17,0
7/5/2011,34.17,34.17,34.17,34.17,0
7/6/2011,34.17,34.17,34.17,34.17,0
7/7/2011,34.17,34.17,34.17,34.17,0
7/8/2011,33.8,33.8,33.8,33.8,200
7/11/2011,33.8,33.8,33.8,33.8,0
7/12/2011,33.8,33.8,33.8,33.8,0
7/13/2011,33.42,33.42,33.19,33.19,10700
7/14/2011,33.25,33.25,33.25,33.25,500
7/15/2011,33.25,33.25,33.25,33.25,0
7/18/2011,33.38,33.38,33.28,33.28,4000
7/19/2011,33.28,33.28,33.28,33.28,0
7/20/2011,33.31,33.31,33.31,33.31,300
7/21/2011,33.31,33.31,33.31,33.31,0
7/22/2011,33.3,33.3,33.05,33.05,12000
7/25/2011,33.05,33.05,33.05,33.05,0
7/26/2011,33.05,33.05,33.05,33.05,0
7/27/2011,33.05,33.05,33.05,33.05,0
7/28/2011,32.86,32.86,32.86,32.86,300
7/29/2011,32.07,32.07,32.07,32.07,100
8/1/2011,32.07,32.07,32.07,32.07,0
8/2/2011,32.14,32.14,31.48,31.48,600
8/3/2011,31.48,31.48,31.48,31.48,0
8/4/2011,31.7,31.7,31.7,31.7,600
8/5/2011,31.7,31.7,31.7,31.7,0
8/8/2011,34.32,34.32,31.6,31.62,2400
8/9/2011,30.34,30.34,29.85,30.17,800
8/10/2011,28.47,30.38,28.47,29.7,4600
8/11/2011,29.7,30.7,29.7,30.7,3900
8/12/2011,30.36,30.36,30.36,30.36,200
8/15/2011,30.36,30.36,30.36,30.36,0
8/16/2011,30.86,30.86,30.86,30.86,1000
8/17/2011,31.11,31.11,30.61,30.61,400
8/18/2011,30.61,30.61,30.61,30.61,0
8/19/2011,30.59,30.59,30.59,30.59,300
8/22/2011,30.59,30.59,30.59,30.59,0
8/23/2011,30.59,30.59,30.59,30.59,0
8/24/2011,31.2,31.55,31.2,31.55,3000
8/25/2011,31,31.14,31,31.06,5700
8/26/2011,31.06,31.06,31.06,31.06,0
8/29/2011,31.65,31.65,31.37,31.37,200
8/30/2011,31.02,31.07,31.02,31.02,300
8/31/2011,31.11,31.28,30.97,31.28,1000
9/1/2011,31.04,31.04,31.04,31.04,500
9/2/2011,30.19,30.19,30.19,30.19,200
9/6/2011,30.11,30.61,30.05,30.61,600
9/7/2011,30.61,30.61,30.61,30.61,0
9/8/2011,30.61,30.61,30.61,30.61,0
9/9/2011,30.39,30.41,30.15,30.2,13700
9/12/2011,30.09,30.39,30.09,30.39,12800
9/13/2011,30.71,30.71,30.71,30.71,1000
9/14/2011,30.75,30.75,30.75,30.75,1200
9/15/2011,30.84,30.84,30.84,30.84,200
9/16/2011,30.84,30.84,30.84,30.84,0
9/19/2011,30.53,30.53,30.53,30.53,100
9/20/2011,30.53,30.53,30.53,30.53,0
9/21/2011,30.27,30.4,30.27,30.4,4000
9/22/2011,30.44,30.44,30.44,30.44,400
9/23/2011,30.65,31,30.65,31,300
9/26/2011,31,31,31,31,0
9/27/2011,31.28,31.33,31.25,31.25,1500
9/28/2011,31.32,31.32,31.16,31.16,4400
9/29/2011,31.09,31.09,31,31,600
9/30/2011,31,31,31,31,0
10/3/2011,31.11,31.11,30.56,30.57,9400
10/4/2011,30.57,30.57,30.57,30.57,0
10/5/2011,30.71,30.78,30.71,30.78,600
10/6/2011,30.88,30.88,30.8,30.8,200
10/7/2011,30.75,30.75,30.75,30.75,200
10/10/2011,30.99,30.99,30.99,30.99,100
10/11/2011,30.99,30.99,30.99,30.99,0
10/12/2011,31.36,31.83,31.36,31.83,33300
10/13/2011,31.83,31.83,31.83,31.83,0
10/14/2011,31.83,31.83,31.83,31.83,0
10/17/2011,31.14,31.14,31.13,31.13,600
10/18/2011,31.13,31.13,31.13,31.13,0
10/19/2011,31.13,31.13,31.13,31.13,0
10/20/2011,31.13,31.13,31.13,31.13,0
10/21/2011,31.13,31.13,31.13,31.13,0
10/24/2011,31.13,31.13,31.13,31.13,0
10/25/2011,31.13,31.13,31.13,31.13,0
10/26/2011,31.13,31.13,31.13,31.13,0
10/27/2011,31.13,31.13,31.13,31.13,0
10/28/2011,31.13,31.13,31.13,31.13,0
10/31/2011,31.13,31.13,31.13,31.13,0
11/1/2011,31.13,31.13,31.13,31.13,0
11/2/2011,29.34,29.34,29.34,29.34,400
11/3/2011,29.34,29.34,29.34,29.34,0
11/4/2011,29.34,29.34,29.34,29.34,0
11/7/2011,29.1,29.1,29,29,1200
11/8/2011,29.11,29.11,29.11,29.11,1200
11/9/2011,28.88,29.26,28.88,29.26,400
11/10/2011,29.26,29.26,29.26,29.26,0
11/11/2011,29.26,29.26,29.26,29.26,0
11/14/2011,29.49,29.49,29.49,29.49,200
11/15/2011,29.66,29.66,29.66,29.66,100
11/16/2011,29.64,29.64,29.64,29.64,200
11/17/2011,29.64,29.64,29.64,29.64,0
11/18/2011,29.64,29.64,29.64,29.64,0
11/21/2011,29.64,29.64,29.64,29.64,0
11/22/2011,29.64,29.64,29.64,29.64,0
11/23/2011,29.64,29.64,29.64,29.64,0
11/25/2011,29.64,29.64,29.64,29.64,0
11/28/2011,29.64,29.64,29.64,29.64,0
11/29/2011,29.64,29.64,29.64,29.64,0
11/30/2011,29.59,29.59,29.57,29.57,6100
12/1/2011,29.57,29.57,29.57,29.57,0
12/2/2011,29.57,29.57,29.57,29.57,0
12/5/2011,29.57,29.57,29.57,29.57,0
12/6/2011,29.57,29.57,29.57,29.57,0
12/7/2011,29.69,29.69,29.69,29.69,200
12/8/2011,29.41,29.41,29.41,29.41,200
12/9/2011,29.41,29.41,29.41,29.41,0
12/12/2011,29.41,29.41,29.41,29.41,0
12/13/2011,29.41,29.41,29.41,29.41,0
12/14/2011,29.41,29.41,29.41,29.41,0
12/15/2011,29.41,29.41,29.41,29.41,0
12/16/2011,29.41,29.41,29.41,29.41,0
12/19/2011,29.41,29.41,29.41,29.41,0
12/20/2011,29.23,29.23,29.23,29.23,200
12/21/2011,29.23,29.23,29.23,29.23,0
12/22/2011,29.23,29.23,29.23,29.23,0
12/23/2011,29.62,29.62,29.62,29.62,200
12/27/2011,29.62,29.62,29.62,29.62,0
12/28/2011,29.62,29.62,29.62,29.62,0
12/29/2011,29.62,29.62,29.62,29.62,0
12/30/2011,29.62,29.62,29.62,29.62,0
1/3/2012,29.62,29.62,29.62,29.62,0
1/4/2012,29.62,29.62,29.62,29.62,0
1/5/2012,29.43,29.43,29.43,29.43,100
1/6/2012,29.2,29.2,29.2,29.2,200
1/9/2012,29.2,29.2,29.2,29.2,0
1/10/2012,29.2,29.2,29.2,29.2,0
1/11/2012,29.13,29.28,29.13,29.28,200
1/12/2012,29.28,29.28,29.28,29.28,0
1/13/2012,29.28,29.28,29.28,29.28,0
1/17/2012,29.28,29.28,29.28,29.28,0
1/18/2012,29.28,29.28,29.28,29.28,0
1/19/2012,29.28,29.28,29.28,29.28,0
1/20/2012,29.43,29.43,29.43,29.43,200
1/23/2012,29.52,29.52,29.52,29.52,200
1/24/2012,29.54,29.54,29.54,29.54,100
1/25/2012,29.54,29.54,29.54,29.54,0
1/26/2012,28.79,28.79,28.69,28.69,300
1/27/2012,28.69,28.69,28.69,28.69,0
1/30/2012,28.69,28.69,28.69,28.69,0
1/31/2012,28.29,28.29,28.29,28.29,100
2/1/2012,28.29,28.29,28.29,28.29,0
2/2/2012,28.21,28.21,28.21,28.21,100
2/3/2012,28.21,28.21,28.21,28.21,0
2/6/2012,28.52,28.52,28.52,28.52,200
2/7/2012,28.56,28.56,28.56,28.56,200
2/8/2012,28.56,28.56,28.56,28.56,0
2/9/2012,28.56,28.56,28.56,28.56,0
2/10/2012,28.56,28.56,28.56,28.56,0
2/13/2012,28.56,28.56,28.56,28.56,0
2/14/2012,28.56,28.56,28.56,28.56,0
