Data, Open, High, Low, Close, Volume
2/11/2010,9.76,10.43,9.73,10.38,144000
2/12/2010,10.1,10.51,10.04,10.42,358400
2/16/2010,10.67,10.85,10.5,10.82,400800
2/17/2010,10.97,11.01,10.8,11.01,799200
2/18/2010,11,11.28,10.93,11.22,1619200
2/19/2010,11.14,11.36,11.06,11.22,1936800
2/22/2010,11.35,11.35,11.01,11.14,1062400
2/23/2010,11.08,11.14,10.56,10.7,1713600
2/24/2010,10.89,11.15,10.83,11.03,1471200
2/25/2010,10.67,11.1,10.46,11.02,1900800
2/26/2010,10.99,11.2,10.88,11.16,1200000
3/1/2010,11.3,11.68,11.3,11.64,592800
3/2/2010,11.74,11.96,11.67,11.71,1008800
3/3/2010,11.84,11.94,11.66,11.77,999200
3/4/2010,11.81,11.92,11.63,11.9,613600
3/5/2010,12.15,12.48,12.09,12.43,560000
3/8/2010,12.44,12.58,12.44,12.49,528000
3/9/2010,12.42,12.91,12.41,12.71,967200
3/10/2010,12.73,13.1,12.72,13.03,835200
3/11/2010,12.95,13.16,12.86,13.15,1123200
3/12/2010,13.29,13.29,13.02,13.18,752800
3/15/2010,13.09,13.18,12.81,13.09,883200
3/16/2010,13.22,13.37,13.08,13.33,970400
3/17/2010,13.37,13.62,13.32,13.43,829600
3/18/2010,13.47,13.61,13.38,13.56,1087200
3/19/2010,13.32,13.71,13.18,13.32,834400
3/22/2010,13.17,13.84,13.12,13.68,1224800
3/23/2010,13.78,14,13.56,13.97,1152800
3/24/2010,13.87,13.9,13.68,13.77,1859200
3/25/2010,14.11,14.25,13.67,13.68,1956800
3/26/2010,13.88,14.02,13.54,13.76,1756000
3/29/2010,13.96,14.09,13.84,13.94,792800
3/30/2010,14.06,14.21,13.8,14.09,831200
3/31/2010,13.93,14.12,13.8,13.9,1240800
4/1/2010,14.06,14.32,13.56,13.87,2429600
4/5/2010,13.97,14.36,13.87,14.27,1408000
4/6/2010,14.17,14.51,14.08,14.38,1223200
4/7/2010,14.33,14.49,14.05,14.3,2213600
4/8/2010,14.16,14.44,13.94,14.35,1451200
4/9/2010,14.4,14.65,14.29,14.61,1210400
4/12/2010,14.66,14.78,14.57,14.67,1016800
4/13/2010,14.62,14.91,14.49,14.89,1400800
4/14/2010,15.1,15.43,15.07,15.42,1272800
4/15/2010,15.4,15.68,15.39,15.62,953600
4/16/2010,15.46,15.61,14.78,15.07,2697600
4/19/2010,14.92,15.18,14.5,15.04,2348800
4/20/2010,15.28,15.37,14.99,15.26,1168800
4/21/2010,15.57,15.67,15.24,15.53,1749600
4/22/2010,15.08,15.82,14.82,15.76,2559200
4/23/2010,15.78,16.02,15.59,15.97,1716000
4/26/2010,15.98,16.1,15.78,15.85,1677600
4/27/2010,15.7,15.87,14.75,14.88,2786400
4/28/2010,15.1,15.12,14.55,14.91,2605600
4/29/2010,15.12,15.75,15.12,15.67,1765600
4/30/2010,15.65,15.72,14.71,14.75,1844000
5/3/2010,14.92,15.57,14.92,15.35,1096000
5/4/2010,14.77,14.77,13.66,13.99,2859200
5/5/2010,13.55,14.01,13.3,13.76,2885600
5/6/2010,13.48,13.87,8.5,12.41,4537600
5/7/2010,12.09,12.54,10.71,11.51,5172000
5/10/2010,12.96,13.27,12.89,13.23,3943200
5/11/2010,12.85,13.75,12.78,13.22,3063200
5/12/2010,13.4,13.96,13.35,13.93,2261600
5/13/2010,13.8,14.09,13.22,13.3,2199200
5/14/2010,12.98,12.99,12.06,12.48,3212000
5/17/2010,12.6,12.79,11.85,12.65,2851200
5/18/2010,12.96,13.03,11.95,12.17,3971200
5/19/2010,11.96,12.25,11.42,11.85,4953600
5/20/2010,11.13,11.21,10.43,10.65,5687200
5/21/2010,10,11.06,9.89,10.73,4881600
5/24/2010,10.79,11.19,10.7,10.82,3229600
5/25/2010,10.02,10.78,9.7,10.74,3596800
5/26/2010,10.91,11.36,10.33,10.41,4340000
5/27/2010,11.11,11.57,11.02,11.54,3608800
5/28/2010,11.61,11.65,11.06,11.38,3472800
6/1/2010,11.26,11.84,11,11.06,4223200
6/2/2010,11.25,11.84,11.01,11.84,2363200
6/3/2010,11.93,12.22,11.7,12.15,2392800
6/4/2010,11.39,11.84,10.79,10.95,5124000
6/7/2010,11.06,11.18,10.3,10.31,3515200
6/8/2010,10.39,10.46,9.85,10.26,5540000
6/9/2010,10.46,10.76,9.92,10.03,4780000
6/10/2010,10.38,10.88,10.3,10.86,3240000
6/11/2010,10.53,11.19,10.53,11.15,2611200
6/14/2010,11.48,11.7,11.11,11.15,4737600
6/15/2010,11.34,12.1,11.3,11.97,4168800
6/16/2010,11.96,12.37,11.9,12.21,3299200
6/17/2010,12.4,12.42,12.01,12.33,3396800
6/18/2010,12.39,12.61,12.24,12.36,2908000
6/21/2010,12.82,12.87,11.84,12.04,4581600
6/22/2010,12.18,12.44,11.69,11.75,3741600
6/23/2010,11.8,11.92,11.33,11.6,4681600
6/24/2010,11.46,11.56,10.97,11.04,4988000
6/25/2010,11.18,11.3,10.79,11.03,3699200
6/28/2010,11.04,11.2,10.69,10.93,3420000
6/29/2010,10.42,10.43,9.42,9.71,9129600
6/30/2010,9.56,9.84,9.15,9.23,3826400
7/1/2010,9.28,9.36,8.6,9.14,5256800
7/2/2010,9.16,9.27,8.81,9.09,3070400
7/6/2010,9.44,9.61,8.91,9.14,3261600
7/7/2010,9.22,10.03,9.19,10,3349600
7/8/2010,10.24,10.28,9.82,10.17,4320000
7/9/2010,10.14,10.5,10.09,10.45,2972000
7/12/2010,10.42,10.73,10.35,10.57,2060800
