Data, Open, High, Low, Close, Volume
3/29/2012,98.68,98.92,98.56,98.56,200
3/30/2012,97.76,104,97.76,102.12,11000
4/2/2012,100.32,102.4,100,101.68,16400
4/3/2012,100.04,106.76,99.2,106.6,26800
4/4/2012,103.4,104.48,102,102,8800
4/5/2012,99.8,101.52,99.8,100.16,6700
4/9/2012,93.08,93.8,92.64,93.2,10900
4/10/2012,92.04,92.36,89.12,90,9500
4/11/2012,92.64,93.16,91.88,92.52,6400
4/12/2012,92.64,94.64,92.48,94.32,4400
4/13/2012,91.52,91.56,89.72,89.76,13100
4/16/2012,90.2,90.2,88.28,89.52,5300
4/17/2012,90.6,91.04,89.96,90.76,2000
4/18/2012,89.68,89.76,89.28,89.72,1900
4/19/2012,88.52,89.08,88.44,88.84,2700
4/20/2012,90.32,90.88,89.12,89.12,3700
4/23/2012,86.8,87.48,86.16,87.36,4900
4/24/2012,87.84,89.08,87.8,88.96,2500
4/25/2012,90.52,92.2,89.56,90.4,12900
4/26/2012,88.28,90,88.2,88.8,13200
4/27/2012,88.88,89.64,88.48,88.6,4900
4/30/2012,87.96,88.72,87.52,88.44,5200
5/1/2012,87.64,90.6,87.32,89.8,2700
5/2/2012,88,88.84,87.72,87.92,7100
5/3/2012,89.36,89.4,87.72,88.12,3000
5/4/2012,87.24,87.28,85.88,85.96,6100
5/7/2012,85.52,85.96,85.24,85.92,2200
5/8/2012,84.52,84.56,82.96,84.52,5600
5/9/2012,83.04,84.88,82.88,84.4,4900
5/10/2012,86.2,87.16,84.8,85.28,4300
5/11/2012,82.92,84,82.76,83.04,9200
5/14/2012,79.92,80.44,79.12,79.4,13000
5/15/2012,79.92,79.92,78.44,78.52,11500
5/16/2012,79.88,80.12,77.48,77.84,7600
5/17/2012,77.28,77.28,73.48,73.6,32000
5/18/2012,75.32,75.48,73.24,73.56,25600
5/21/2012,74.04,74.44,73.2,73.96,6900
5/22/2012,76.08,77.36,75.92,76.32,28000
5/23/2012,74.6,74.64,72.76,74.52,19700
5/24/2012,74.8,75.64,74.6,75.4,3800
5/25/2012,74.88,75.08,74.52,74.6,1300
5/29/2012,74.72,75.24,74.2,75.24,9400
5/30/2012,71.12,71.16,69.44,69.68,26600
5/31/2012,68.28,68.64,64.84,67.56,70200
6/1/2012,64.88,65.4,62.56,62.76,53300
6/4/2012,64.08,64.4,63.04,64.08,7400
6/5/2012,65.32,66.76,65.32,66.76,12000
6/6/2012,66.68,70.44,66.68,70.44,35100
6/7/2012,71.2,71.6,69.52,70.2,91500
6/8/2012,67.72,71.24,67.36,70.24,10800
6/11/2012,71.08,71.08,68.6,69.32,30800
6/12/2012,70.6,71.4,69.72,71.2,53300
6/13/2012,71.16,71.52,68.64,69,35900
6/14/2012,68.96,70.04,68.8,69.72,19400
6/15/2012,67.92,68.64,67.52,68.08,26800
6/18/2012,67,67.72,66.8,67.12,6700
6/19/2012,68.32,69.72,68.28,69.72,9200
6/20/2012,71.16,71.88,68.36,68.64,31600
6/21/2012,68.8,68.84,66.96,67.76,11500
6/22/2012,68.92,70.32,68.48,70.28,7400
6/25/2012,68.12,68.12,67.16,67.32,14600
6/26/2012,68.44,68.64,67.4,68.12,16600
6/27/2012,67.84,68.24,67.52,67.88,5700
6/28/2012,66.56,67.2,66.32,67.2,15900
6/29/2012,70.12,70.56,69.28,69.76,9400
7/2/2012,69.08,69.08,65.96,67.52,33300
7/3/2012,67.96,68.88,67.92,68.8,10100
7/5/2012,68.96,68.96,67.4,68.04,11400
7/6/2012,66.72,66.72,65.88,66.08,10500
7/9/2012,65.8,65.8,64.32,64.6,9100
7/10/2012,64.88,64.96,63.68,64.08,4300
7/11/2012,63.76,64.16,62.68,63.72,7100
7/12/2012,63.08,63.08,62.36,62.56,11300
7/13/2012,63.12,63.68,62.88,62.96,14000
7/16/2012,61.32,62.2,60.76,62.04,25100
7/17/2012,62.88,63.52,62,63.44,25900
7/18/2012,62.64,63.28,62.64,63.24,4900
7/19/2012,63.88,64.28,63.08,63.84,7500
7/20/2012,62.2,62.32,61.24,61.72,9700
7/23/2012,59.72,60.72,59.6,60.52,30100
7/24/2012,61.08,61.12,58.76,59.04,30100
7/25/2012,59.32,59.36,58.64,58.68,14700
7/26/2012,59.48,60.28,59.16,60.28,9400
7/27/2012,61.56,65.56,61.44,63.36,29000
7/30/2012,63.72,63.72,62,62.04,6200
7/31/2012,61.52,63.04,61.28,61.52,9400
8/1/2012,62.84,63.96,61.72,62.36,6000
8/2/2012,61.24,61.84,59.8,61.36,11000
8/3/2012,63.72,65.24,63.48,64.24,12000
8/6/2012,63.96,64.32,63.24,64.2,14200
8/7/2012,66.48,67.2,66.32,66.64,19200
8/8/2012,66.2,67.84,65.96,67.6,19900
8/9/2012,68.36,69.6,67.64,67.92,24500
8/10/2012,66.12,66.92,65.92,66.76,6100
8/13/2012,66.2,66.88,65.84,66.88,6300
8/14/2012,69.64,69.84,68.96,69.84,23600
8/15/2012,71.16,73.04,70.84,72.6,32600
8/16/2012,72.52,75.52,72.04,74.56,44900
8/17/2012,73.96,73.96,72.68,73.48,35300
8/20/2012,73.64,73.68,72.6,73.12,22400
8/21/2012,73.8,75.28,72.16,72.2,22400
8/22/2012,70.16,70.52,68.36,68.48,21000
8/23/2012,68,68.12,67.4,67.68,7800
8/24/2012,66.84,67.96,66.76,67.96,14200
8/27/2012,67.08,67.08,66.32,66.72,10300
8/28/2012,66.32,66.6,65.52,66.28,13800
8/29/2012,66.64,67.56,66.6,67.12,11400
8/30/2012,65.52,66.08,65.32,66.08,23800
8/31/2012,66.08,66.08,63.4,63.44,24400
9/4/2012,64.08,64.2,63.08,63.68,7300
9/5/2012,64.24,64.6,63.8,64.4,15200
9/6/2012,66.16,67.68,66.16,67.64,25600
9/7/2012,65.16,68.56,65.04,68.56,19300
9/10/2012,69.04,69.08,68.04,68.12,8800
9/11/2012,68.52,69.36,68.4,69.36,24500
9/12/2012,71.64,72.4,71.28,71.88,19100
9/13/2012,71.2,74.68,70.24,72.72,32200
9/14/2012,75.92,79,75.8,78.6,50200
9/17/2012,77.64,77.64,75.52,75.88,25300
9/18/2012,73.88,75.16,73.6,74.64,6700
9/19/2012,72.88,74,72.72,73.36,9900
9/20/2012,71.36,73.32,71.08,72.6,53000
9/21/2012,73.76,73.96,72.24,72.32,5600
9/24/2012,71.24,71.24,70.32,70.64,6600
9/25/2012,70.24,71.2,68.56,68.56,15000
9/26/2012,67.2,67.24,66.32,66.36,27200
9/27/2012,67.16,68.28,66.88,67.8,10600
9/28/2012,66.76,68.08,66.04,67.68,14800
