Data, Open, High, Low, Close, Volume
1/25/2007,784.4,804.24,784.4,804.24,800
1/26/2007,807.2,814.5,793.29,795.12,2300
1/29/2007,796.37,797.17,779.84,783.83,4300
1/30/2007,780.98,786.68,773,773.8,1800
1/31/2007,782.92,784.4,763.42,771.86,2900
2/1/2007,761.94,767.76,754.07,755.33,3000
2/2/2007,754.07,758.75,751.11,753.73,1500
2/5/2007,757.95,761.94,751.57,757.27,3100
2/6/2007,754.76,764.22,752.48,752.82,1800
2/7/2007,751.68,754.76,740.85,740.85,2100
2/8/2007,744.95,749.86,739.94,741.19,3000
2/9/2007,740.51,765.82,740.51,755.67,6200
2/12/2007,758.75,768.44,757.72,761.14,4300
2/13/2007,755.9,758.52,748.72,748.72,2900
2/14/2007,749.06,750.08,738.91,748.03,3600
2/15/2007,747.46,750.65,740.85,744.61,1700
2/16/2007,748.15,754.42,738.23,740.05,1400
2/20/2007,744.5,751.11,723.18,726.6,4400
2/21/2007,733.1,734.81,723.63,725.34,4900
2/22/2007,724.43,732.75,718.96,720.33,3600
2/23/2007,724.43,732.53,723.41,723.98,2800
2/26/2007,722.04,741.08,721.81,731.27,2100
2/27/2007,758.75,809.26,753.39,798.88,29500
2/28/2007,798.88,806.29,777.45,787.59,12900
3/1/2007,817.46,827.04,782.24,792.84,14600
3/2/2007,801.5,826.47,795.92,826.47,11000
3/5/2007,837.76,862.39,815.98,862.39,26000
3/6/2007,835.59,839.13,805.84,812.9,25800
3/7/2007,815.53,825.22,808,821.46,16500
3/8/2007,804.81,813.82,796.71,804.92,18500
3/9/2007,796.94,812.79,795.69,795.69,16500
3/12/2007,801.62,806.98,791.47,793.41,11600
3/13/2007,804.92,837.64,801.05,835.71,20400
3/14/2007,832.51,853.26,816.1,816.21,35100
3/15/2007,817.12,817.12,802.42,805.04,14900
3/16/2007,804.7,819.29,800.36,814.04,17000
3/19/2007,803.9,804.24,791.24,795.23,15200
3/20/2007,800.14,801.62,783.72,784.29,14300
3/21/2007,783.15,786.8,752.02,755.33,27300
3/22/2007,753.5,762.4,751.57,754.64,17900
3/23/2007,755.21,756.7,750.2,751.91,6500
3/26/2007,753.5,769.01,749.86,757.04,15300
3/27/2007,762.17,770.72,761.26,764.79,9600
3/28/2007,772.89,786,768.44,777.67,14300
3/29/2007,769.69,788.39,763.77,773.34,13700
3/30/2007,770.61,784.4,761.49,768.67,13400
4/2/2007,768.67,775.96,765.7,766.16,5400
4/3/2007,760.23,760.69,745.98,750.2,12800
4/4/2007,752.25,758.06,750.43,753.16,5600
4/5/2007,753.96,754.07,746.09,750.65,5000
4/9/2007,748.49,756.47,748.49,752.48,4800
4/10/2007,753.16,754.53,742.67,747.69,8400
4/11/2007,750.65,767.3,749.63,758.29,20400
4/12/2007,760.91,769.92,746.32,746.78,12300
4/13/2007,746.89,754.19,737.77,738.57,10900
4/16/2007,731.16,731.16,717.48,717.82,12200
4/17/2007,721.24,727.85,717.02,722.15,16100
4/18/2007,728.42,733.21,723.41,732.53,9100
4/19/2007,744.16,748.26,731.16,739.71,16800
4/20/2007,725,731.96,721.58,723.06,17000
4/23/2007,724.77,730.25,719.07,725.12,9300
4/24/2007,723.86,740.05,723.52,725.23,14700
4/25/2007,723.98,729.68,712.57,719.87,20200
4/26/2007,720.55,728.31,713.03,714.85,13100
4/27/2007,721.81,729.22,718.96,721.35,22900
4/30/2007,723.29,752.82,723.29,752.48,17000
5/1/2007,748.03,774.14,745.41,746.78,34900
5/2/2007,746.78,746.89,721.35,726.03,32600
5/3/2007,725.46,730.02,719.87,725.91,20500
5/4/2007,723.29,727.74,717.13,717.13,16200
5/7/2007,720.55,722.49,713.6,720.67,8000
5/8/2007,728.88,738.91,721.01,725.69,36800
5/9/2007,731.39,732.07,709.61,718.62,25500
5/10/2007,725.34,745.18,723.98,738.23,36300
5/11/2007,735.38,737.88,723.18,725.23,21100
5/14/2007,726.26,740.51,721.69,737.2,20900
5/15/2007,738.23,753.62,726.03,750.2,43000
5/16/2007,748.72,795.8,730.59,740.28,31100
