Data, Open, High, Low, Close, Volume
8/7/2014,38.8,38.8,38.71,38.71,1200
8/8/2014,39.03,39.03,39.03,39.03,100
8/11/2014,39.16,39.23,39.15,39.16,5300
8/12/2014,38.96,38.97,38.89,38.89,4700
8/13/2014,39.03,39.14,39.01,39.14,5800
8/14/2014,39.16,39.19,39.16,39.19,1500
8/15/2014,39.21,39.21,39.21,39.21,5000
8/18/2014,39.21,39.21,39.21,39.21,0
8/19/2014,39.3,39.3,39.3,39.3,100
8/20/2014,39.3,39.3,39.3,39.3,0
8/21/2014,39.3,39.3,39.3,39.3,0
8/22/2014,39.3,39.3,39.3,39.3,0
8/25/2014,39.3,39.3,39.3,39.3,0
8/26/2014,39.38,39.38,39.36,39.36,200
8/27/2014,39.36,39.36,39.36,39.36,0
8/28/2014,39.36,39.36,39.36,39.36,0
8/29/2014,39.36,39.36,39.36,39.36,0
9/2/2014,39.41,39.42,39.14,39.14,19200
9/3/2014,39.16,39.16,39.16,39.16,500
9/4/2014,39.16,39.16,39.16,39.16,0
9/5/2014,39.16,39.16,39.16,39.16,0
9/8/2014,39.16,39.16,39.16,39.16,0
9/9/2014,39.16,39.16,39.16,39.16,0
9/10/2014,39.16,39.16,39.16,39.16,0
9/11/2014,39.16,39.16,39.16,39.16,0
9/12/2014,39.16,39.16,39.16,39.16,0
9/15/2014,39.16,39.16,39.16,39.16,0
9/16/2014,39.16,39.16,39.16,39.16,0
9/17/2014,39.16,39.16,39.16,39.16,0
9/18/2014,39.16,39.16,39.16,39.16,0
9/19/2014,39.16,39.16,39.16,39.16,0
9/22/2014,39.16,39.16,39.16,39.16,0
9/23/2014,39.16,39.16,39.16,39.16,0
9/24/2014,39.33,39.33,39.33,39.33,0
9/25/2014,38.62,38.62,38.62,38.62,200
9/26/2014,38.62,38.62,38.62,38.62,0
9/29/2014,38.62,38.62,38.62,38.62,0
9/30/2014,38.62,38.62,38.62,38.62,0
10/1/2014,38.62,38.62,38.62,38.62,0
10/2/2014,38.62,38.62,38.62,38.62,0
10/3/2014,38.62,38.62,38.62,38.62,0
10/6/2014,38.62,38.62,38.62,38.62,0
10/7/2014,38.62,38.62,38.62,38.62,0
10/8/2014,38.87,39.08,38.84,39.08,1100
10/9/2014,39.06,39.06,38.77,38.79,4200
10/10/2014,38.78,38.78,38.66,38.66,300
10/13/2014,38.66,38.66,38.66,38.66,0
10/14/2014,38.37,38.47,38.37,38.47,1000
10/15/2014,38.47,38.47,38.47,38.47,0
10/16/2014,38.47,38.47,38.47,38.47,0
10/17/2014,38.47,38.47,38.47,38.47,0
10/20/2014,38.47,38.47,38.47,38.47,0
10/21/2014,39,39,39,39,200
10/22/2014,38.98,38.98,38.98,38.98,100
10/23/2014,38.98,38.98,38.98,38.98,0
10/24/2014,38.98,38.98,38.98,38.98,0
10/27/2014,38.98,38.98,38.98,38.98,0
10/28/2014,38.98,38.98,38.98,38.98,0
10/29/2014,39.14,39.14,39.13,39.14,2100
10/30/2014,39.16,39.16,39.16,39.16,400
10/31/2014,39.16,39.16,39.16,39.16,0
11/3/2014,39.16,39.16,39.16,39.16,0
11/4/2014,39.16,39.16,39.16,39.16,0
11/5/2014,39.31,39.31,39.31,39.31,500
11/6/2014,39.31,39.31,39.31,39.31,0
11/7/2014,39.31,39.31,39.31,39.31,0
11/10/2014,39.37,39.37,39.37,39.37,1400
11/11/2014,39.37,39.37,39.37,39.37,0
11/12/2014,39.37,39.37,39.37,39.37,0
11/13/2014,39.37,39.37,39.37,39.37,0
11/14/2014,39.37,39.37,39.37,39.37,0
11/17/2014,39.37,39.37,39.37,39.37,0
11/18/2014,39.37,39.37,39.37,39.37,0
11/19/2014,39.13,39.14,39.13,39.13,3400
11/20/2014,39.13,39.13,39.13,39.13,0
11/21/2014,39.35,39.35,39.35,39.35,300
11/24/2014,39.35,39.35,39.35,39.35,0
11/25/2014,39.58,39.58,39.58,39.58,100
11/26/2014,39.58,39.58,39.58,39.58,0
11/28/2014,39.58,39.58,39.58,39.58,0
12/1/2014,39.58,39.58,39.58,39.58,0
12/2/2014,39.58,39.58,39.58,39.58,0
12/3/2014,39.56,39.56,39.56,39.56,100
12/4/2014,39.45,39.45,39.45,39.45,5600
12/5/2014,39.45,39.45,39.45,39.45,0
12/8/2014,39.18,39.19,39.16,39.16,4500
12/9/2014,39.16,39.16,39.16,39.16,0
12/10/2014,38.95,38.95,38.92,38.92,3900
12/11/2014,38.96,39.02,38.96,39.02,2100
12/12/2014,38.72,38.72,38.5,38.5,22100
12/15/2014,38.53,38.53,38.53,38.53,1100
12/16/2014,38.3,38.47,38.3,38.41,2600
12/17/2014,38.77,38.97,38.77,38.97,4700
12/18/2014,39.2,39.2,39.04,39.04,46600
12/19/2014,39.2,39.33,39.2,39.33,15100
12/22/2014,39.27,39.27,39.26,39.26,2100
12/23/2014,39.33,39.33,39.33,39.33,500
12/24/2014,39.33,39.33,39.33,39.33,0
12/26/2014,39.33,39.33,39.33,39.33,0
12/29/2014,39.33,39.33,39.33,39.33,0
12/30/2014,39.27,39.27,39.27,39.27,100
12/31/2014,39.27,39.27,39.27,39.27,0
1/2/2015,39.27,39.27,39.27,39.27,0
1/5/2015,39.27,39.27,39.27,39.27,0
1/6/2015,39.27,39.27,39.27,39.27,0
1/7/2015,39.27,39.27,39.27,39.27,0
1/8/2015,39.27,39.27,39.27,39.27,0
1/9/2015,39.27,39.27,39.27,39.27,0
1/12/2015,39.27,39.27,39.27,39.27,0
1/13/2015,39.13,39.13,39.04,39.04,600
1/14/2015,39.04,39.04,39.04,39.04,0
1/15/2015,39.04,39.04,39.04,39.04,500
1/16/2015,39.04,39.04,39.04,39.04,0
1/20/2015,39.04,39.04,39.04,39.04,0
1/21/2015,39.09,39.09,39.09,39.09,1500
1/22/2015,39.09,39.09,39.09,39.09,0
1/23/2015,39.09,39.09,39.09,39.09,0
1/26/2015,39.09,39.09,39.09,39.09,0
1/27/2015,39.09,39.09,39.09,39.09,0
1/28/2015,39.32,39.32,39.32,39.32,100
1/29/2015,39.32,39.32,39.32,39.32,0
1/30/2015,39.17,39.18,39.17,39.17,4200
2/2/2015,39.17,39.17,39.17,39.17,0
2/3/2015,39.17,39.17,39.17,39.17,0
2/4/2015,39.44,39.44,39.44,39.44,400
2/5/2015,39.44,39.44,39.44,39.44,0
2/6/2015,39.44,39.44,39.44,39.44,0
2/9/2015,39.44,39.44,39.44,39.44,0
2/10/2015,39.44,39.44,39.44,39.44,0
2/11/2015,39.44,39.44,39.44,39.44,0
2/12/2015,39.44,39.44,39.44,39.44,0
2/13/2015,39.44,39.44,39.44,39.44,0
2/17/2015,39.44,39.44,39.44,39.44,0
2/18/2015,39.44,39.44,39.44,39.44,0
2/19/2015,39.44,39.44,39.44,39.44,0
2/20/2015,39.44,39.44,39.44,39.44,0
2/23/2015,39.44,39.44,39.44,39.44,0
2/24/2015,39.44,39.44,39.44,39.44,0
2/25/2015,39.44,39.44,39.44,39.44,0
2/26/2015,39.44,39.44,39.44,39.44,0
2/27/2015,39.44,39.44,39.44,39.44,0
3/2/2015,39.44,39.44,39.44,39.44,0
3/3/2015,39.71,39.71,39.71,39.71,100
3/4/2015,39.71,39.71,39.71,39.71,0
3/5/2015,39.71,39.71,39.71,39.71,0
3/6/2015,39.71,39.71,39.71,39.71,0
3/9/2015,39.71,39.71,39.71,39.71,0
3/10/2015,39.71,39.71,39.71,39.71,0
3/11/2015,39.71,39.71,39.71,39.71,0
3/12/2015,39.43,39.43,39.43,39.43,100
3/13/2015,39.33,39.33,39.33,39.33,1000
3/16/2015,39.33,39.33,39.33,39.33,0
3/17/2015,39.33,39.33,39.33,39.33,0
3/18/2015,39.49,39.49,39.49,39.49,1100
3/19/2015,39.49,39.49,39.49,39.49,0
3/20/2015,39.49,39.49,39.49,39.49,0
3/23/2015,39.59,39.6,39.59,39.6,1200
3/24/2015,39.6,39.6,39.6,39.6,0
3/25/2015,39.6,39.63,39.59,39.59,900
3/26/2015,39.59,39.59,39.59,39.59,0
3/27/2015,39.59,39.59,39.59,39.59,0
3/30/2015,39.64,39.64,39.64,39.64,200
3/31/2015,39.64,39.64,39.64,39.64,0
4/1/2015,39.79,39.79,39.79,39.79,200
4/2/2015,39.79,39.79,39.79,39.79,0
4/6/2015,39.79,39.79,39.79,39.79,0
4/7/2015,40.02,40.02,40.02,40.02,200
4/8/2015,40.02,40.02,40.02,40.02,0
4/9/2015,40.02,40.02,40.02,40.02,0
4/10/2015,40.02,40.02,40.02,40.02,0
4/13/2015,40.02,40.02,40.02,40.02,0
