Data, Open, High, Low, Close, Volume
6/23/2015,20.2,20.43,19.67,20.05,98900
6/24/2015,20,20.07,19.04,19.15,119900
6/25/2015,19.4,19.52,18.59,18.9,101900
6/26/2015,19.1,19.1,17.93,18.45,62800
6/29/2015,17.79,18.28,16.7,16.72,97700
6/30/2015,17.48,17.93,17.05,17.83,219800
7/1/2015,18.69,18.69,17.68,17.95,254800
7/2/2015,18.22,18.22,17.68,17.99,46100
7/6/2015,17.62,18.75,17.49,18.24,90700
7/7/2015,18.45,18.48,17.4,18.41,77900
7/8/2015,17.86,17.92,16.74,16.85,135700
7/9/2015,17.64,17.77,17.27,17.44,100500
7/10/2015,18.24,18.28,17.54,18.2,196200
7/13/2015,18.8,19.34,18.79,19.21,261500
7/14/2015,19.35,20.64,19.2,20.49,349400
7/15/2015,21.36,21.96,20.74,20.88,462100
7/16/2015,21.5,21.89,21.07,21.75,232000
7/17/2015,21.89,22.1,21.31,22.05,132000
7/20/2015,22.36,22.66,22,22.17,195400
7/21/2015,22,22.27,21.01,21.74,128900
7/22/2015,20.77,21.75,20.69,21.62,139800
7/23/2015,21.51,22.05,21.25,21.45,164800
7/24/2015,20.38,20.68,18.74,18.91,500400
7/27/2015,17.9,18.61,17.76,18.24,276400
7/28/2015,18.84,19.63,18.24,19.56,585200
7/29/2015,19.84,19.94,18.35,18.78,309300
7/30/2015,18.71,19.07,17.7,18.88,156000
7/31/2015,19.32,19.9,19.08,19.5,191800
8/3/2015,19.66,19.94,18.93,19.43,119500
8/4/2015,19.68,20.1,19.46,19.7,152700
