Data, Open, High, Low, Close, Volume
5/7/2010,100,101.2,92,97.12,4400
5/10/2010,115.56,115.56,110.8,114.92,6200
5/11/2010,111.84,115,109.52,109.52,2200
5/12/2010,113,113.32,111.44,112.76,200
5/13/2010,111.08,111.08,111.08,111.08,300
5/14/2010,107.16,107.16,102,103.68,4700
5/17/2010,103.68,103.72,97.4,101.8,900
5/18/2010,106.12,106.2,94.96,95.52,2400
5/19/2010,93.36,93.36,86.88,90.56,1800
5/20/2010,83,86.56,79.6,83,4100
5/21/2010,82.16,89.36,82.16,89.36,8500
5/24/2010,90.28,91.24,87,87,6200
5/25/2010,78.4,85,77.96,85,7900
5/26/2010,88,92.2,84.84,84.84,3000
5/27/2010,92.92,96.72,92.92,96.72,2800
5/28/2010,95.36,97.08,93.64,95.56,5900
6/1/2010,94.84,99.16,94.08,94.92,2000
6/2/2010,95.92,99.68,94.2,99.64,2600
6/3/2010,100.08,100.08,93.76,97.72,2000
6/4/2010,94.2,95.76,90.48,90.52,3000
6/7/2010,92.12,92.36,88,88,1600
6/8/2010,89.32,92.84,88.32,92.8,4900
6/9/2010,95.48,97,91.96,92,4500
6/10/2010,98.04,100.44,98,100.4,3700
6/11/2010,97.76,101.44,97.76,101.44,500
6/14/2010,104.8,104.8,100.28,100.56,5100
6/15/2010,101.96,106.16,101.76,105.68,1400
6/16/2010,104.64,108.04,103.6,105.6,900
6/17/2010,107.08,107.16,103.52,105.32,5200
6/18/2010,106.08,107.92,105.64,106.4,800
6/21/2010,112.24,112.24,108.28,109.04,2600
6/22/2010,110.24,112.16,105.48,105.48,3100
6/23/2010,104.8,106,99.32,106,6500
6/24/2010,105.12,105.12,101.08,102.24,4100
6/25/2010,103.56,106.32,101.76,106.16,2200
6/28/2010,106.6,106.6,104.12,104.32,3200
6/29/2010,97.96,97.96,92,93.16,6700
6/30/2010,93.84,97.08,91.6,91.68,2700
7/1/2010,91.76,94.04,87.96,94.04,4700
7/2/2010,96.04,96.88,93.48,96.76,2100
7/6/2010,99.44,100.64,94.8,96,4700
7/7/2010,98.24,103.08,98.24,103.08,3300
7/8/2010,104,105.44,101.72,105.12,3000
7/9/2010,105.8,108.84,105.8,108.48,4100
7/12/2010,105.84,106.24,101.48,102.88,5100
7/13/2010,105.28,106.64,104.64,106,3400
7/14/2010,103.48,105.92,102.44,104.24,5000
7/15/2010,101.64,102.8,100.6,102.8,1100
7/16/2010,100,100,97.12,97.16,6700
7/19/2010,98.92,100.56,98.4,100.4,5100
7/20/2010,100.6,106.4,100.6,106.36,5700
7/21/2010,108.52,108.52,104.04,104.6,3000
7/22/2010,109.04,112.8,109.04,111.92,8900
7/23/2010,111.2,113.84,109.84,113.84,13300
7/26/2010,113.08,113.64,111.72,113.2,2000
7/27/2010,114.76,114.76,111.76,112.44,3200
7/28/2010,112.44,114.28,112.44,113.12,2100
7/29/2010,116.96,116.96,112.52,114.24,1600
7/30/2010,112.76,117.56,112.28,116.96,3400
8/2/2010,120.96,123.08,120.36,122.56,6000
8/3/2010,119.16,121.64,118.24,121.4,4200
8/4/2010,120.56,121.28,118,121.28,2600
8/5/2010,119.88,121.04,119.44,120.8,1400
8/6/2010,120,121.04,117.36,118.6,3500
8/9/2010,120.16,120.48,119,119,1900
8/10/2010,115.88,118,114.88,116.44,2400
8/11/2010,113.04,113.04,109.08,109.36,6600
8/12/2010,107.2,110.16,106.56,110.16,1800
8/13/2010,111.12,111.56,110.92,110.96,2900
8/16/2010,112.76,114.4,112.4,114.12,400
8/17/2010,117.92,117.92,116.6,117.4,500
8/18/2010,116.04,118.12,116.04,117.72,5100
8/19/2010,116.56,116.92,113.2,114.32,1600
8/20/2010,110.8,113.4,110.8,113.4,2000
8/23/2010,114.2,114.2,109.08,109.08,1000
8/24/2010,106,107.44,105.04,106.88,1600
8/25/2010,104,105.48,102.76,105.48,1400
8/26/2010,106.64,106.64,103.6,103.6,500
8/27/2010,103.2,103.2,103.2,103.2,200
8/30/2010,108.24,109,104.8,104.8,1500
8/31/2010,105.76,108.56,105.76,107.12,1900
9/1/2010,111.68,116.48,111.68,116,5100
9/2/2010,116.32,116.92,113.88,116.92,4400
9/3/2010,120.16,120.56,116.72,116.72,1300
9/7/2010,115.72,115.72,112.76,114,3000
9/8/2010,115.6,117.36,115.6,115.84,1400
9/9/2010,117.56,117.56,115.8,116.6,900
9/10/2010,117.44,117.6,117.44,117.6,100
9/13/2010,120.96,123.52,120.6,123.52,5000
9/14/2010,123.56,124.92,122.2,123.12,2700
9/15/2010,120.36,121.36,120,121.36,1500
9/16/2010,121.28,122.24,121.28,122.04,200
9/17/2010,122.36,122.8,118.32,120.16,1200
9/20/2010,119.64,122.48,119.64,122.44,900
9/21/2010,121.56,123.44,119.76,123.44,8000
9/22/2010,124.4,126,123.96,125.04,1500
9/23/2010,124.24,130.56,124.04,127.36,1700
9/24/2010,129.24,131.12,126.12,126.84,1100
9/27/2010,127.68,129.88,125.52,128.6,10100
9/28/2010,130.48,132.36,126.96,132.16,5800
9/29/2010,132.2,135.56,131.92,134.8,11900
9/30/2010,137.72,137.96,135.08,137.6,6400
10/1/2010,140.84,142.08,138.92,141.72,6300
10/4/2010,141.8,141.8,139.96,140.76,6300
10/5/2010,143.96,148.2,142.6,146.76,6900
10/6/2010,146.72,147.32,142.84,143.8,14400
10/7/2010,145.76,145.76,137.36,139.56,9300
10/8/2010,140.24,145.92,140.24,145.44,9300
10/11/2010,146.64,148.32,145.88,145.96,10100
10/12/2010,144.8,146.24,141.52,145.8,3200
10/13/2010,149.36,152.8,148.92,152.48,6000
10/14/2010,151.08,152.52,149.36,150.52,10000
10/15/2010,153.16,153.16,148.36,150.44,6600
10/18/2010,148.12,151.56,147.76,150.12,5300
10/19/2010,141.76,143.4,137.4,139.4,7600
10/20/2010,140.32,144.6,140.32,142.64,4200
10/21/2010,141.56,143.28,133.52,135.96,11200
10/22/2010,138.72,138.72,132.4,133.56,4500
10/25/2010,137.68,138.08,135.64,136.44,8600
10/26/2010,135.56,140.8,134.96,139.32,9500
10/27/2010,138.4,138.4,132.68,134.44,6500
10/28/2010,137.32,137.84,133.4,135.72,3600
10/29/2010,136.76,137.68,136,137.08,2400
11/1/2010,138.72,143.12,138.72,140.64,7600
11/2/2010,144.2,145.28,142.44,144.84,10700
11/3/2010,144.88,145.52,141.8,145.36,8900
11/4/2010,149.16,154,149.16,153.32,6300
11/5/2010,153.04,153.04,149.8,152.24,5000
11/8/2010,148.88,151.04,147.8,150.68,4300
11/9/2010,151.4,152,141.64,144.6,4400
11/10/2010,144.48,145.12,139.48,143.6,7000
11/11/2010,140.04,140.88,139.08,140.2,1900
11/12/2010,137.16,139.12,133.6,135.84,4200
11/15/2010,138.28,138.8,135.96,135.96,4600
11/16/2010,132.52,132.84,126,128.32,6200
11/17/2010,130,132.68,129.32,130,4800
11/18/2010,135.12,137.6,134.44,136.8,5900
11/19/2010,135.6,137.24,134.32,136.68,2500
11/22/2010,134,136.08,130.8,133.8,3400
11/23/2010,127.52,128.84,124.76,126.28,18700
11/24/2010,130.72,133.52,130.72,132.6,10600
11/26/2010,127,129.32,127,128.68,2800
11/29/2010,127,130.16,122.76,130.16,13300
11/30/2010,126.8,130.96,126,128.52,6500
12/1/2010,132.96,135.12,132.16,134.2,13900
12/2/2010,135.48,137.6,135.48,137.08,9100
12/3/2010,135.92,139.92,135.84,139.64,3600
12/6/2010,138.6,139.52,137.6,138.76,3600
12/7/2010,141.2,141.32,134.96,134.96,8900
12/8/2010,134.2,134.2,131,132.08,5900
12/9/2010,131.88,131.92,127.6,128.36,8200
12/10/2010,128.36,130.36,127.72,130.36,2000
12/13/2010,133.16,136.2,132.4,134.84,12600
12/14/2010,133.4,135.92,133.28,135.2,8600
12/15/2010,132.68,133.28,129.56,129.92,12100
12/16/2010,131.04,131.16,128.68,129.12,9800
