Data, Open, High, Low, Close, Volume
1/21/2010,34.27,34.96,34.27,34.96,83200
1/22/2010,34.83,34.95,34.6,34.79,128800
1/25/2010,34.46,34.67,34.42,34.43,114000
1/26/2010,34.47,34.53,34.26,34.29,19400
1/27/2010,34.55,34.82,34.31,34.49,48000
1/28/2010,34.12,34.51,34.11,34.36,179400
1/29/2010,34.3,35.02,34.24,34.97,128600
2/1/2010,34.79,34.79,34.3,34.41,122600
2/2/2010,34.5,34.56,34.31,34.52,64200
2/3/2010,34.06,34.18,33.69,33.72,123400
2/4/2010,34.22,34.82,34.16,34.78,177400
2/5/2010,34.44,35.26,34.39,34.91,147800
2/8/2010,34.87,35.06,34.8,35.06,34400
2/9/2010,34.78,35.09,34.3,34.35,200200
2/10/2010,34.44,34.65,33.61,33.69,149000
2/11/2010,33.61,33.64,32.96,33.31,178000
2/12/2010,33.68,33.7,33.48,33.57,159200
2/16/2010,33.24,33.75,33.23,33.7,182400
2/17/2010,33.39,33.51,32.73,32.98,163200
2/18/2010,32.95,32.95,32.33,32.67,169800
2/19/2010,32.88,33.06,32.63,33,144400
2/22/2010,32.79,32.89,32.63,32.8,105400
2/23/2010,32.95,33.81,32.93,33.78,73800
2/24/2010,33.82,34.06,33.58,33.91,35000
2/25/2010,34.24,34.39,34.12,34.31,27400
2/26/2010,34.58,34.98,34.51,34.66,80000
3/1/2010,34.53,34.76,34.39,34.7,18000
3/2/2010,34.35,34.58,34.22,34.58,22800
3/3/2010,34.41,34.43,34.2,34.43,34800
3/4/2010,34.3,34.84,34.3,34.69,15600
3/5/2010,34.24,34.27,33.69,33.82,108200
3/8/2010,33.5,33.57,33.41,33.46,45400
3/9/2010,33.58,33.58,33.41,33.52,5600
3/10/2010,33.23,33.38,33.09,33.38,26200
3/11/2010,33.17,33.69,33.17,33.55,69400
3/12/2010,33.43,34.08,33.43,33.96,106800
3/15/2010,33.92,33.98,33.7,33.95,39800
3/16/2010,34.16,34.44,34.16,34.43,51200
3/17/2010,34.62,34.72,34.45,34.72,38800
3/18/2010,34.69,34.7,34.41,34.47,16600
3/19/2010,34.61,34.8,34.37,34.61,45400
3/22/2010,34.66,34.69,34.64,34.68,13600
3/23/2010,34.53,34.55,34.33,34.35,78000
3/24/2010,33.53,33.78,32.92,33.11,348200
3/25/2010,32.87,33.02,32.45,32.66,87600
3/26/2010,32.53,32.9,32.52,32.85,95000
3/29/2010,32.71,32.73,32.4,32.62,134400
3/30/2010,32.5,32.82,32.35,32.8,90600
3/31/2010,33.1,33.28,33,33.24,84200
4/1/2010,32.98,33.1,32.78,33.1,19600
4/5/2010,32.3,32.45,31.94,32.01,74800
4/6/2010,32.24,32.24,31.9,32.08,48600
4/7/2010,32.03,33.03,31.89,32.89,50400
4/8/2010,33.02,33.17,32.73,32.94,59000
4/9/2010,32.78,33.13,32.69,33.06,119800
4/12/2010,33.27,33.5,33.18,33.44,108000
4/13/2010,33.77,33.77,33.53,33.65,60400
4/14/2010,33.65,33.69,33.17,33.17,87000
4/15/2010,32.91,33.45,32.87,33.31,18600
4/16/2010,33.41,33.85,33.32,33.77,66000
4/19/2010,33.86,33.86,33.53,33.6,8600
4/20/2010,33.78,33.83,33.67,33.82,10600
4/21/2010,34.07,34.47,34.07,34.38,45200
4/22/2010,34.49,34.64,34.15,34.15,107800
4/23/2010,34.09,34.1,33.77,33.93,86000
4/26/2010,34.26,34.33,33.83,34.01,32800
4/27/2010,34.52,35.31,34.43,35.02,173800
4/28/2010,34.69,34.81,34.24,34.4,184800
4/29/2010,34.52,34.7,34.26,34.64,30600
4/30/2010,34.82,35.49,34.73,35.47,90400
5/3/2010,35.17,35.42,35.13,35.4,43200
5/4/2010,36.3,36.7,36.13,36.63,67000
5/5/2010,37.11,37.79,36.68,37.06,115200
5/6/2010,37.24,40.62,37.1,39.25,138400
5/7/2010,38.6,40.35,38.17,38.35,482000
5/10/2010,36.42,37,36.36,36.72,97800
5/11/2010,37.07,37.08,36.38,36.63,66600
5/12/2010,36.29,36.47,36.01,36.01,67000
5/13/2010,36.51,36.69,35.75,36.43,254200
5/14/2010,37.22,38.24,37.18,37.8,215600
5/17/2010,37.66,38.42,37.47,37.49,124800
5/18/2010,37.77,38.74,37.74,38.62,71600
5/19/2010,38.62,39.38,38.6,38.93,103000
5/20/2010,40.21,40.67,39.9,40.53,192000
5/21/2010,41.6,41.67,40.31,40.64,286600
5/24/2010,40.9,40.93,40.17,40.35,90000
5/25/2010,41.65,41.76,40.62,40.78,100400
5/26/2010,40.37,40.58,39.88,40.54,92800
5/27/2010,39.27,39.39,38.62,38.68,107200
5/28/2010,39.06,39.23,38.77,39.03,41600
6/1/2010,39.97,40.08,39.16,39.59,79000
6/2/2010,39.49,39.79,38.71,38.79,90000
6/3/2010,38.27,38.81,38.16,38.28,100000
6/4/2010,39.66,40.45,39.46,40.36,168600
6/7/2010,40.17,40.95,39.95,40.95,29000
6/8/2010,40.46,40.88,40.32,40.56,25400
6/9/2010,40.2,40.59,39.97,40.47,24800
6/10/2010,39.87,39.9,38.92,38.97,88200
6/11/2010,39.76,40.23,39.38,39.99,63400
6/14/2010,39.1,39.65,39.04,39.61,56000
6/15/2010,39.75,39.8,38.89,39.19,40400
6/16/2010,39.69,39.78,39.19,39.62,21800
6/17/2010,39.77,40.57,39.74,40.32,98600
6/18/2010,40.39,40.52,40.11,40.21,36000
6/21/2010,39.14,40.08,39.14,39.96,44800
6/22/2010,40.2,40.92,40.12,40.91,59400
6/23/2010,40.94,41.7,40.94,41.52,68400
6/24/2010,41.54,41.75,40.75,40.98,123600
6/25/2010,40.73,41.55,40.73,41.33,74400
6/28/2010,41.8,42.12,41.72,42.11,71400
6/29/2010,42.44,43.09,42.35,43.06,83200
6/30/2010,43.33,43.64,42.82,43.59,36400
7/1/2010,43.73,44.65,43.59,43.78,103200
7/2/2010,43.32,43.5,42.96,42.99,92200
7/6/2010,43.14,43.86,43.06,43.73,43000
