Data, Open, High, Low, Close, Volume
2/2/2007,34.85,34.85,34.85,34.85,0
2/5/2007,34.85,34.85,34.85,34.85,10200
2/6/2007,34.85,34.85,34.85,34.85,0
2/7/2007,34.85,34.85,34.85,34.85,0
2/8/2007,35.17,35.17,35.12,35.12,20000
2/9/2007,34.43,34.51,34.43,34.51,400
2/12/2007,34.51,34.51,34.51,34.51,0
2/13/2007,34.51,34.51,34.51,34.51,0
2/14/2007,34.51,34.51,34.51,34.51,0
2/15/2007,35.04,35.04,35.04,35.04,200
2/16/2007,35.04,35.04,35.04,35.04,0
2/20/2007,35.29,35.29,35.29,35.29,10000
2/21/2007,35.29,35.29,35.29,35.29,0
2/22/2007,35.29,35.29,35.29,35.29,0
2/23/2007,35.49,35.49,35.41,35.41,8000
2/26/2007,35.34,35.34,35.2,35.2,6000
2/27/2007,33.98,33.98,32.52,32.72,75800
2/28/2007,32.72,32.72,32.72,32.72,0
3/1/2007,32.85,32.86,32.75,32.86,14200
3/2/2007,32.86,32.86,32.86,32.86,0
3/5/2007,31.65,31.65,31.22,31.22,4600
3/6/2007,31.81,32.04,31.81,32.04,400
3/7/2007,32.26,32.26,32.05,32.05,600
3/8/2007,32.76,32.76,32.5,32.5,600
3/9/2007,32.5,32.5,32.5,32.5,0
3/12/2007,32.5,32.5,32.5,32.5,0
3/13/2007,32.5,32.5,32.5,32.5,0
3/14/2007,32.5,32.5,32.5,32.5,0
3/15/2007,32.5,32.5,32.5,32.5,0
3/16/2007,32.5,32.5,32.5,32.5,0
3/19/2007,32.57,32.57,32.29,32.29,2600
3/20/2007,32.29,32.29,32.29,32.29,0
3/21/2007,32.29,32.29,32.29,32.29,0
3/22/2007,32.29,32.29,32.29,32.29,0
3/23/2007,32.29,32.29,32.29,32.29,0
3/26/2007,32.29,32.29,32.29,32.29,0
3/27/2007,33.51,33.51,33.39,33.39,2800
3/28/2007,32.89,32.89,32.89,32.89,1600
3/29/2007,32.89,32.89,32.89,32.89,0
3/30/2007,32.89,32.89,32.89,32.89,0
4/2/2007,32.89,32.89,32.89,32.89,0
4/3/2007,34,34.16,34,34.11,2200
4/4/2007,34.11,34.11,34.11,34.11,0
4/5/2007,34.01,34.19,34,34.19,5200
4/9/2007,34.19,34.19,34.19,34.19,0
4/10/2007,34.35,34.35,34.35,34.35,200
4/11/2007,34,34,33.86,34,10600
4/12/2007,34.26,34.26,34.26,34.26,4000
4/13/2007,34.38,34.38,34.38,34.38,4000
4/16/2007,34.92,34.92,34.92,34.92,1400
4/17/2007,34.92,34.92,34.92,34.92,0
4/18/2007,34.96,34.96,34.96,34.96,4000
4/19/2007,34.96,34.96,34.96,34.96,0
4/20/2007,34.96,34.96,34.96,34.96,0
4/23/2007,35.04,35.04,35.02,35.02,5400
4/24/2007,35.02,35.02,35.02,35.02,0
4/25/2007,35.35,35.35,35.35,35.35,200
4/26/2007,35.35,35.35,35.35,35.35,0
4/27/2007,35.35,35.35,35.35,35.35,0
4/30/2007,34.55,34.55,34.55,34.55,4000
5/1/2007,34.12,34.12,34.01,34.01,4200
5/2/2007,34.93,34.93,34.93,34.93,4000
5/3/2007,34.52,34.54,34.52,34.54,2400
5/4/2007,34.54,34.54,34.54,34.54,0
5/7/2007,34.54,34.54,34.54,34.54,0
5/8/2007,34.54,34.54,34.54,34.54,0
5/9/2007,34.54,34.54,34.54,34.54,0
5/10/2007,34.54,34.54,34.54,34.54,0
5/11/2007,34.31,34.31,34.31,34.31,200
5/14/2007,34.31,34.31,34.31,34.31,0
5/15/2007,34.35,34.35,34.35,34.35,4000
5/16/2007,34.35,34.35,34.35,34.35,0
5/17/2007,34.35,34.35,34.35,34.35,0
5/18/2007,35.02,35.03,35.02,35.03,4600
5/21/2007,35.31,35.31,35.18,35.18,600
5/22/2007,35.18,35.18,35.18,35.18,0
5/23/2007,35.18,35.18,35.18,35.18,0
5/24/2007,35.18,35.18,35.18,35.18,0
5/25/2007,35.18,35.18,35.18,35.18,0
5/29/2007,35.18,35.18,35.18,35.18,0
5/30/2007,35.18,35.18,35.18,35.18,0
5/31/2007,35.18,35.18,35.18,35.18,0
6/1/2007,36.11,36.39,36.11,36.23,800
6/4/2007,36.38,36.45,36.29,36.45,3000
6/5/2007,35.93,35.97,35.93,35.97,400
6/6/2007,35.16,35.37,35.16,35.37,1000
6/7/2007,34.7,34.94,34.27,34.27,1000
6/8/2007,34.26,34.81,34.26,34.81,400
6/11/2007,34.81,34.81,34.81,34.81,0
6/12/2007,34.49,34.5,34.49,34.5,800
6/13/2007,34.44,34.44,34.44,34.44,400
6/14/2007,34.77,34.77,34.77,34.77,600
6/15/2007,34.77,34.77,34.77,34.77,0
6/18/2007,34.77,34.77,34.77,34.77,0
6/19/2007,34.74,34.74,34.74,34.74,1400
6/20/2007,34.72,34.72,34.72,34.72,600
6/21/2007,34.72,34.72,34.72,34.72,0
6/22/2007,34.72,34.72,34.72,34.72,0
6/25/2007,34.21,34.48,34.21,34.48,5200
6/26/2007,34.64,34.64,34.64,34.64,0
6/27/2007,33.62,34.22,33.62,34.21,13200
6/28/2007,34.43,34.43,34.4,34.4,6000
6/29/2007,34.4,34.4,34.4,34.4,0
7/2/2007,34.58,34.58,34.58,34.58,400
7/3/2007,34.54,34.54,34.54,34.54,200
7/5/2007,34.54,34.54,34.54,34.54,0
7/6/2007,34.54,34.54,34.54,34.54,0
7/9/2007,34.54,34.54,34.54,34.54,0
7/10/2007,34.54,34.54,34.54,34.54,0
7/11/2007,34.54,34.54,34.54,34.54,0
7/12/2007,34.54,34.54,34.54,34.54,0
7/13/2007,34.54,34.54,34.54,34.54,0
7/16/2007,34.54,34.54,34.54,34.54,0
7/17/2007,34.54,34.54,34.54,34.54,0
7/18/2007,34.54,34.54,34.54,34.54,0
7/19/2007,34.54,34.54,34.54,34.54,0
7/20/2007,34.54,34.54,34.54,34.54,0
7/23/2007,34.54,34.54,34.54,34.54,0
7/24/2007,34.54,34.54,34.54,34.54,0
7/25/2007,34.54,34.54,34.54,34.54,0
7/26/2007,34.54,34.54,34.54,34.54,0
7/27/2007,30.83,31.44,30.83,31.14,600
7/30/2007,30.77,31.06,30.77,31.06,4800
7/31/2007,31.81,31.81,30.46,30.46,3400
8/1/2007,30.3,30.34,30.3,30.34,400
8/2/2007,30.79,31.12,30.79,30.99,800
8/3/2007,30.8,30.8,30.71,30.71,2600
8/6/2007,30.71,30.71,30.71,30.71,0
8/7/2007,30.71,31.12,30.71,31.12,2400
8/8/2007,31.96,31.96,31.59,31.59,3000
8/9/2007,31.59,31.59,31.59,31.59,0
8/10/2007,29.46,30.12,29.46,30.12,1400
8/13/2007,30.88,30.88,30.47,30.47,1000
8/14/2007,29.38,29.38,29,29,5000
8/15/2007,28.44,29.22,28.44,29.22,4800
8/16/2007,27.66,27.67,27.26,27.26,3800
8/17/2007,28.35,28.79,28.31,28.79,13200
8/20/2007,29.17,29.17,28.54,28.63,1800
8/21/2007,28.86,29.32,28.86,29.23,1600
8/22/2007,29.23,29.23,29.23,29.23,0
8/23/2007,29.88,29.89,29.88,29.89,3000
8/24/2007,30.2,30.82,30.2,30.82,2400
8/27/2007,30.42,30.48,30.42,30.48,1200
8/28/2007,29.59,29.59,29.5,29.5,800
8/29/2007,29.5,29.5,29.5,29.5,0
8/30/2007,30.07,30.24,30.04,30.24,5600
8/31/2007,31.23,31.23,31.23,31.23,200
9/4/2007,31,31.18,31,31.02,3600
9/5/2007,30.48,30.48,30.15,30.15,1000
9/6/2007,30.42,30.53,30,30.46,8000
9/7/2007,29.67,29.67,29.24,29.24,14000
