Data, Open, High, Low, Close, Volume
11/25/2008,98.4,98.4,96.56,96.56,400
11/26/2008,98.16,101.8,96.96,100.6,6900
11/28/2008,97.84,97.88,95.4,96.2,3500
12/1/2008,92.36,92.36,90.88,91.48,1400
12/2/2008,91.16,91.16,89.64,89.64,300
12/3/2008,86.36,87.68,85.2,86.2,2100
12/4/2008,84,84,78,78,4800
12/5/2008,76.8,76.8,73.56,74.44,2900
12/8/2008,77.92,79.84,77,79.84,5900
12/9/2008,77.72,92.52,76.2,77.48,6200
12/10/2008,80.64,82,78.76,80.2,3900
12/11/2008,82.48,86.04,82.36,84,8900
12/12/2008,78.6,83.8,78.6,83.2,5400
12/15/2008,86.04,86.52,82.04,82.84,4300
12/16/2008,83.24,85.72,82.8,85.56,3200
12/17/2008,86.08,87.04,82.92,84.88,7100
12/18/2008,84.2,84.2,81.6,81.8,4100
12/19/2008,81,82.12,80,80.72,5400
12/22/2008,81.96,81.96,79.52,79.8,2200
12/23/2008,79.84,80.8,78,80.8,2300
12/24/2008,79.56,79.88,78.28,79.88,2300
12/26/2008,80.64,82.92,79.32,82,2500
12/29/2008,88.08,94,82,83.8,3700
12/30/2008,83.24,84.28,82.2,84.28,1600
12/31/2008,82.72,88.92,82.72,88.6,2700
1/2/2009,89.12,93.92,89.12,93.92,7400
1/5/2009,100.08,100.08,82.92,94,3700
1/6/2009,98.68,99.92,95.96,98.36,9500
1/7/2009,96.04,97.04,90.68,90.76,5200
1/8/2009,90.72,90.72,88,89.2,8800
1/9/2009,94.92,94.92,88.04,90.08,7600
1/12/2009,86.68,86.68,81.96,82.04,6300
1/13/2009,82.08,84.4,81,83.36,6700
1/14/2009,82,82,78.64,80,3500
1/15/2009,79.32,79.64,77.04,79.52,2400
1/16/2009,81.68,83.36,80.4,81.92,3300
1/20/2009,80.08,81.6,77.2,78.2,4800
1/21/2009,78.04,80.4,76.96,80.4,2400
1/22/2009,77.92,77.92,75.08,77.6,3000
1/23/2009,77.48,82.2,77.48,81.8,2600
1/26/2009,84.52,87,82.52,83.88,4800
1/27/2009,81.52,81.8,78.08,78.64,6800
1/28/2009,79.68,80.2,77.8,78.92,6000
1/29/2009,77.52,78.84,77.24,77.88,1600
1/30/2009,78.28,79.96,77.92,78.76,3600
2/2/2009,77.4,78.32,76.04,77.8,2500
2/3/2009,77.04,77.6,76.2,77.6,1000
2/4/2009,79.28,79.8,77.72,77.72,2900
2/5/2009,77.88,80.4,77.24,80.12,2900
2/6/2009,79.6,83.12,79.2,81.76,5300
2/9/2009,83.2,83.92,80.92,81.68,5800
2/10/2009,82.6,82.8,78.12,78.44,2900
2/11/2009,78.2,79.04,77,78.44,3800
2/12/2009,76,76.64,75.2,76.2,2100
2/13/2009,74.8,76.32,74.28,74.8,3400
2/17/2009,71.44,71.44,68.4,68.84,11500
2/18/2009,68.72,68.72,66.36,67.16,5200
2/19/2009,68,69,66.32,67.84,1400
2/20/2009,66.04,67.56,65.64,67.08,4200
2/23/2009,70.08,70.08,66.16,66.4,3400
2/24/2009,67.64,68.84,66.76,68.56,3800
2/25/2009,68.44,70.8,68.44,70.8,2400
2/26/2009,71.12,72.64,71.12,72,1900
2/27/2009,70.6,71.24,69.36,71,1900
3/2/2009,69.8,69.8,65.4,65.8,3700
3/3/2009,67.68,67.72,65.8,67.72,2900
3/4/2009,71.36,72.56,70.2,72.04,9800
3/5/2009,70.16,71.6,69.2,69.2,5500
3/6/2009,71.36,71.36,69.52,70.44,10700
3/9/2009,69.92,72.96,69.04,69.32,6900
3/10/2009,71.28,72.52,68.88,69.4,5700
3/11/2009,68.6,69.48,66.36,66.48,2600
3/12/2009,67.24,71.32,67.24,71.32,3500
3/13/2009,72.56,72.84,70.4,70.64,2400
3/16/2009,70,73.04,69.4,72.52,4800
3/17/2009,72.84,73.52,72.68,73.44,2800
3/18/2009,73.92,74.32,70.76,74.12,6100
3/19/2009,77.36,80.36,77.36,79.24,45700
3/20/2009,79.88,81.52,79,79.96,21100
3/23/2009,81.68,82.92,81,81.96,14000
3/24/2009,81.92,81.92,79.04,80.28,8100
3/25/2009,78.72,80.44,78.2,79.32,5800
3/26/2009,81.28,81.56,79.2,79.84,11100
3/27/2009,77.68,77.68,75.88,76,10900
3/30/2009,74,74,71.44,72.36,11400
3/31/2009,71.4,76,71.4,75.32,6900
4/1/2009,74.2,74.2,72.56,73.92,12700
4/2/2009,75.92,79.08,75.92,78.52,11200
4/3/2009,77.48,80.72,77.48,80.6,7000
4/6/2009,79.64,79.64,77,77.84,7500
4/7/2009,76.08,77.48,76.08,76.16,3100
4/8/2009,76.36,81,74.2,77.28,11000
4/9/2009,80.64,80.84,79.04,79.68,8200
4/13/2009,79.56,81,78.48,80.48,7400
4/14/2009,79.84,81.48,79.16,79.68,5300
4/15/2009,80.72,81.12,79.76,80.96,3000
4/16/2009,80.92,80.92,79.52,80.12,9400
4/17/2009,81,81,80.16,80.68,2300
4/20/2009,76.4,76.76,74.32,74.32,12400
4/21/2009,72.08,75.64,72.08,75.2,5900
4/22/2009,74.88,75.6,74.32,75.16,9100
4/23/2009,75.04,75.96,74.4,74.48,16500
4/24/2009,76.04,76.72,76.04,76.72,10300
4/27/2009,74,75.64,71.04,73.2,11500
4/28/2009,70.24,72.76,70.24,71.52,4400
4/29/2009,73.36,76,73.32,74.6,4000
4/30/2009,75.48,76,74.4,75.96,4600
5/1/2009,77.24,80.88,77.24,80.44,13400
5/4/2009,82.12,83.92,82.12,83.32,13400
5/5/2009,83.52,83.6,81.56,82.08,6700
5/6/2009,84.04,87.2,83.76,87.16,23200
5/7/2009,89.44,90.16,86.6,87.48,28300
5/8/2009,89.96,90.76,88.48,90.76,12900
5/11/2009,89.08,89.76,88,89.32,8800
5/12/2009,93.12,93.12,89.56,91.16,18100
5/13/2009,91.2,91.2,87.88,88.2,9000
5/14/2009,87.4,89.6,86.8,89.2,5600
5/15/2009,87.48,88.84,85.16,85.36,13700
5/18/2009,85.88,88.92,85.88,88.92,7900
5/19/2009,90,90,88.08,88.72,6200
5/20/2009,90.44,91.44,89.52,90.84,9100
5/21/2009,87.96,88.32,86.4,88.04,6900
5/22/2009,89.48,90.36,88.52,89.72,10500
5/26/2009,87.8,91,86.2,91,6200
5/27/2009,90.32,91.6,89.92,90.48,4300
5/28/2009,90.48,94.72,90.48,93.24,28100
5/29/2009,96,96.96,95,96.2,15400
6/1/2009,100.24,102.96,99.72,102.88,17900
6/2/2009,101,102.4,100,101.72,20900
6/3/2009,100,100,93.12,94.4,17700
6/4/2009,97.96,101.08,96.08,100.84,21200
6/5/2009,102.04,102.04,97.24,98.4,12500
6/8/2009,96.88,99.24,96.56,97.8,7900
6/9/2009,100.08,102.32,99.16,101.28,28400
6/10/2009,103.28,103.28,99.64,100.8,70100
6/11/2009,101.4,105.76,101.4,105.16,15700
6/12/2009,102.92,102.92,101.2,101.8,7900
6/15/2009,98.72,98.76,95.96,97.12,18900
6/16/2009,99.8,101.04,95.48,96.28,32000
6/17/2009,95.36,98.04,94.76,97.76,10300
6/18/2009,97.08,98.2,96.92,96.92,11900
6/19/2009,98.2,98.48,94.36,94.92,11800
6/22/2009,91.04,93.04,88.36,88.72,24800
6/23/2009,89.88,91.92,89.08,91.88,32600
6/24/2009,93.08,94,92.04,92.44,8400
6/25/2009,93.8,95.72,93.6,95.36,5300
6/26/2009,95.12,95.12,93.2,93.84,1400
6/29/2009,95.08,95.48,94.6,95.16,3100
6/30/2009,95.68,95.68,89.04,91.68,3200
7/1/2009,95.4,95.4,92.08,92.6,9200
7/2/2009,89.12,89.8,86.8,89.04,48400
7/6/2009,85.24,85.68,82.84,84.8,7500
7/7/2009,85.12,85.16,81.04,81.04,15800
7/8/2009,80.32,80.68,77.52,77.92,16100
7/9/2009,78.32,80,78.2,79.92,7000
7/10/2009,77.2,79.16,77.2,78.68,8400
7/13/2009,78.88,79.36,77.08,79.36,6300
7/14/2009,81.24,82.12,80.64,81.12,4300
7/15/2009,84,84.44,83.64,84.28,5200
7/16/2009,82.8,85.08,82.8,84.64,2300
7/17/2009,86.44,88.04,86.44,87.16,4400
7/20/2009,89.08,90.08,88.36,89.68,10300
7/21/2009,91.08,91.08,87.28,88.48,12100
7/22/2009,87.12,90.04,86.92,89.36,3300
7/23/2009,89.36,92.4,89.36,91.4,22600
7/24/2009,91.88,92.84,91.28,91.84,7700
7/27/2009,92.4,92.92,91.72,92.52,17800
7/28/2009,91.8,92,89.56,90.72,9600
7/29/2009,88.44,88.44,85.52,86.12,13800
7/30/2009,88.96,92.92,88.6,92,16100
7/31/2009,92,96.64,91.76,96.08,13500
8/3/2009,101.88,104.4,101.4,103.4,14700
8/4/2009,102.4,105.44,101.84,103.84,6700
8/5/2009,105.92,106.52,103.36,106.08,13400
8/6/2009,105.92,105.92,100.84,101.92,21400
8/7/2009,104.16,104.96,101.16,101.68,19100
8/10/2009,103.08,103.36,100.6,101.48,15200
8/11/2009,100.12,100.16,98.84,99.48,4000
8/12/2009,99.36,102.04,99.08,101.84,5200
8/13/2009,104.2,105.8,103,103.36,8200
8/14/2009,102.04,102.04,97,97.48,3600
8/17/2009,93.44,93.92,91.64,93.72,19700
8/18/2009,92.64,95.36,92.64,95.12,5200
8/19/2009,92.4,97.24,92.4,97,5200
8/20/2009,96.84,97,94.08,95.36,3800
8/21/2009,97.2,99.28,97.2,97.96,12300
8/24/2009,99.4,99.84,98.28,98.96,23500
8/25/2009,98.8,100.04,95.8,96.16,4200
8/26/2009,95.16,96.2,94.84,96.12,3400
8/27/2009,95.56,96.72,93.28,96.72,3500
8/28/2009,98.44,98.52,97,98,3600
8/31/2009,94,94,92.12,93.72,4700
9/1/2009,94.72,95.88,90.72,90.88,5300
9/2/2009,89.76,91.84,89.52,91.12,3200
9/3/2009,92.24,92.4,90.88,91.08,2100
9/4/2009,89.08,90.84,89.08,90,600
9/8/2009,93.24,95.32,93.24,93.88,7900
9/9/2009,93.88,95.44,93.48,93.68,1700
9/10/2009,91.96,94.76,91.52,94.76,3700
9/11/2009,95.72,97,90.96,91.28,6300
9/14/2009,90.36,92.04,90.36,92.04,4300
9/15/2009,93.2,96.32,92.44,95.84,6200
9/16/2009,97.48,100.24,96.92,99.92,6400
9/17/2009,99.36,100.72,98.48,98.64,10500
9/18/2009,99.44,99.44,96.28,96.28,9600
9/21/2009,93.76,94.16,92.88,93.04,3800
9/22/2009,96.52,96.68,95.36,96.68,3200
9/23/2009,95.24,95.24,92.8,93.72,9000
9/24/2009,92.76,92.96,89.64,90.4,10800
9/25/2009,90,91.44,90,90.48,3600
9/28/2009,89.6,91.48,89.44,90.8,2200
9/29/2009,91.08,91.56,90.44,91.16,800
9/30/2009,92.76,96.6,90.92,96.28,2600
10/1/2009,95.6,95.6,92,93.04,4000
10/2/2009,90.44,92.2,90.24,91,4400
10/5/2009,90.92,94.16,90.92,93.6,1300
10/6/2009,96.72,98.16,95.64,96.2,15200
10/7/2009,97.44,98.04,95.2,95.96,1500
10/8/2009,97.96,101.4,97.04,100.36,12800
10/9/2009,100,100.44,98.96,99.36,5300
10/12/2009,102.08,102.96,100.68,102.36,5000
10/13/2009,102.04,102.04,100.6,102,2900
10/14/2009,104,104,102.48,103.12,4700
10/15/2009,103.12,105.36,102.32,104.96,5300
10/16/2009,104.8,106.76,104.4,106.72,900
10/19/2009,107.92,110.44,107.44,110.08,7200
10/20/2009,110.8,110.8,107.6,108.96,4800
10/21/2009,109.32,114.6,109.08,113.12,7300
10/22/2009,113.12,113.12,111.04,112.56,5300
10/23/2009,113.76,113.76,110.72,110.8,3300
10/26/2009,112.64,113.28,106.76,107.48,5000
10/27/2009,107.08,108.28,105.52,107.36,12700
10/28/2009,105.32,105.56,101.52,101.8,5500
10/29/2009,103.84,107.48,103.84,107.28,7000
10/30/2009,106.28,106.28,101.88,102.52,5100
11/2/2009,103.32,104.36,102.44,104.28,2700
11/3/2009,102.08,107.08,102.08,106.96,5300
11/4/2009,108.6,109.04,106.48,107.2,3400
11/5/2009,106.88,107.04,105.16,105.64,9900
11/6/2009,103.56,103.84,100.96,101.4,3100
11/9/2009,103.96,105.04,103.92,104.8,13000
11/10/2009,105.08,105.08,101.84,103.44,12200
11/11/2009,105.28,106.48,104.32,104.64,8900
11/12/2009,102.56,103.88,100,101.28,3500
11/13/2009,100,102.2,100,101.92,4000
11/16/2009,103.32,109.08,103.32,108.44,15200
11/17/2009,107.6,109.48,107.6,109.4,6000
11/18/2009,110.76,111.28,108.4,108.96,5000
11/19/2009,107.68,107.68,104,106.84,8800
11/20/2009,105,106.8,105,106.8,1000
11/23/2009,109,111,106.68,106.84,2000
11/24/2009,106.8,106.8,104.12,105.36,1000
11/25/2009,107,110.48,106.84,110.28,4100
11/27/2009,101.8,107.96,101.72,107.68,14300
11/30/2009,106.2,109.24,106,108.8,1600
12/1/2009,110.44,111.84,110.24,110.24,2000
12/2/2009,111.2,111.24,108.8,109.16,2100
12/3/2009,109.32,109.64,107.84,107.84,1100
12/4/2009,110,110,105.48,105.68,2800
12/7/2009,109,109,105.32,105.96,4500
12/8/2009,105.12,105.12,103.88,103.92,2900
12/9/2009,104.68,105.16,100.48,101.2,9700
12/10/2009,101.16,102.92,101.16,102.64,800
12/11/2009,103.4,103.56,102.36,103.56,600
12/14/2009,104.76,105.72,104.76,105.68,1700
12/15/2009,105.68,106.4,105.6,106.36,2100
12/16/2009,108.28,109.64,108.28,109.12,7700
12/17/2009,105.56,106.6,105.56,105.68,700
12/18/2009,108.56,108.56,106.04,106.76,200
