Data, Open, High, Low, Close, Volume
11/25/2008,445,445,432.8,434.6,400
11/26/2008,452.4,540.8,433.6,498,3900
11/28/2008,467.6,472,437,448,2300
12/1/2008,432.4,437.8,397.6,400.4,6700
12/2/2008,413.2,413.6,362,370,7800
12/3/2008,363,375.8,355,362.4,7200
12/4/2008,348.8,364,307.6,314,12300
12/5/2008,296.6,308,269.6,289.8,16500
12/8/2008,310.6,320.8,297.8,318.4,15600
12/9/2008,309.6,318,285.2,291.2,12000
12/10/2008,310.4,336.8,284.8,312.8,33700
12/11/2008,339.6,380,330.2,357,30400
12/12/2008,323.6,361.2,310.6,354.8,27500
12/15/2008,395.8,395.8,321.4,331.6,31900
12/16/2008,347,352,306.2,322.6,45800
12/17/2008,317.4,333.6,291,303,67900
12/18/2008,291.8,291.8,256,267,111700
12/19/2008,263.6,276.2,256.2,272,95800
12/22/2008,272.8,274.4,237,237.8,95700
12/23/2008,247,247,215.6,228.2,105300
12/24/2008,213.2,217.2,206.8,213.8,57300
12/26/2008,201.8,212,195,209,84600
12/29/2008,227.8,237.2,210.4,236.2,95900
12/30/2008,226.4,236,216.2,234.6,38900
12/31/2008,225,297.8,223.8,273.8,152800
1/2/2009,283.4,317,278.4,313.2,105000
1/5/2009,315.4,350.8,310.6,343.2,108000
1/6/2009,367,373,340.6,350,111400
1/7/2009,340,341,274,275,161000
1/8/2009,270,276.2,252.2,274.2,170400
1/9/2009,256.4,264.8,242.8,259,213600
1/12/2009,240,243.4,230.2,234,258400
1/13/2009,237.2,256.4,231.6,248.6,348700
1/14/2009,245,246.2,222,240.2,309100
1/15/2009,237.2,237.2,205.2,225.4,601100
1/16/2009,239.8,240.6,216.2,221.2,307400
1/20/2009,208,234,200,203.4,460500
1/21/2009,209.8,236.4,202.6,234.2,303000
1/22/2009,215.6,233.2,198,221.6,471000
1/23/2009,213,266.2,207.6,254.6,450800
1/26/2009,255.8,283.8,250.6,252,403400
1/27/2009,236,239.2,208,212,605500
1/28/2009,210,227.4,200.2,214,1097100
1/29/2009,200.8,214.4,198.2,206.4,694600
1/30/2009,217.6,220.4,202.4,207.2,455700
2/2/2009,196,211,192.2,195.8,1048300
2/3/2009,191.8,202.4,191,200.8,622100
2/4/2009,208.4,209.4,189.4,193.8,720100
2/5/2009,193.8,202.8,186.6,199.2,541400
2/6/2009,180.6,216.8,180.4,193,1271100
2/9/2009,206.6,211.8,188.2,191.2,810400
2/10/2009,202.6,203.6,170.6,174.2,1493600
2/11/2009,172.6,176.8,159.6,164,847700
2/12/2009,159.8,165.6,154.2,162,844400
2/13/2009,160,161,148.2,150.6,927900
2/17/2009,134.2,135.8,123.8,125,723500
2/18/2009,124.8,126,115.8,117,795600
2/19/2009,124.8,133.8,115.4,131,889700
2/20/2009,120.4,131.6,118.4,129.4,772500
2/23/2009,138.4,138.4,121.6,124.4,609600
2/24/2009,130.6,135.4,124.6,133.6,526300
2/25/2009,138,148.6,131.8,145.6,933800
2/26/2009,155,165,153.6,160.2,1150700
2/27/2009,152.2,162.2,147.6,157,635500
3/2/2009,142,144.2,128.6,129.8,573000
3/3/2009,139.2,140.4,127.2,138.8,409700
3/4/2009,152.6,162,150.2,158,740700
3/5/2009,156.6,158.4,144.8,149.2,431400
3/6/2009,160,164.6,151.4,163.6,478400
3/9/2009,161.4,176,161.2,165.8,632500
3/10/2009,172.4,174,156,157.2,638400
3/11/2009,152,158.4,137,141.2,751500
3/12/2009,140.6,164.6,140.2,161.2,718100
3/13/2009,163.4,169.4,153.8,154.8,526600
3/16/2009,148,165,144.4,161.6,533500
3/17/2009,166.2,180.4,164,174,569200
3/18/2009,174.4,180.6,160.6,177,403200
3/19/2009,190,193.2,182.4,186,549100
3/20/2009,185.8,195.4,184.4,191,342900
3/23/2009,189.8,205,188,203.4,485400
3/24/2009,195.4,205.2,193.4,200.4,330900
3/25/2009,193.8,206.2,189.2,196.6,471300
3/26/2009,207,207.6,198.6,205.4,426100
3/27/2009,193.4,194.6,187,190.6,310300
3/30/2009,176.6,178.6,161.4,164.2,406000
3/31/2009,164,173.4,159.2,168.4,310200
4/1/2009,157.8,163.8,155.2,162.6,381800
4/2/2009,187.2,192.8,182.8,189,574800
4/3/2009,186.8,191.2,179.6,189.2,252700
4/6/2009,177.4,186.6,171.2,180.2,260100
4/7/2009,169.4,173,165.4,167,264600
4/8/2009,160.6,180.6,158.8,171,394000
4/9/2009,184.6,186.2,176,183.8,273200
4/13/2009,166.4,182.8,164.6,173,401800
4/14/2009,173.4,178.6,167.8,168,261500
4/15/2009,166.8,170.8,163,168.6,286300
4/16/2009,170.2,170.8,165.4,167,205800
4/17/2009,171.4,172,166,168,141700
4/20/2009,150,152,144,145.4,757800
4/21/2009,136,148.4,136,144.8,599800
4/22/2009,143,145.6,139.4,143.8,319700
4/23/2009,146.4,147,141.2,146.6,219600
4/24/2009,155.8,157.8,153.4,155.8,382900
4/27/2009,139,154.2,139,148.4,505100
4/28/2009,141.4,147.2,141,144,329000
4/29/2009,149.8,153.8,148.6,151.8,311300
4/30/2009,149.8,154.6,148.8,151.8,195800
5/1/2009,157.2,167.4,156.6,163.4,327700
5/4/2009,168.8,176,168.6,175.6,342400
5/5/2009,174.6,176.8,169.8,170.4,248700
5/6/2009,178.8,184.8,176,184,423300
5/7/2009,196.4,197.6,179.2,184.6,409800
5/8/2009,193.4,199,189.2,196.2,235400
5/11/2009,193,197.2,189.4,194.4,178900
5/12/2009,200.4,201.6,193.4,197.6,211700
5/13/2009,196.4,204,189.4,192.2,261100
5/14/2009,190,199,186.8,195,208600
5/15/2009,190.2,195.2,179,181.6,177000
5/18/2009,190.8,198.8,189.4,197.8,193400
5/19/2009,198.8,202,192.4,199,178100
5/20/2009,207.6,214.4,207,211.4,340400
5/21/2009,202.8,209.2,198.6,206.2,149600
5/22/2009,207.2,210.8,202.8,210.2,128700
5/26/2009,198,216,197.2,214.2,212600
5/27/2009,220.4,225,214.4,220.4,251800
5/28/2009,225.6,236.4,224.2,230.8,338400
5/29/2009,243.2,244,234.8,244,261000
6/1/2009,252.2,260.2,249.4,258,231200
6/2/2009,254,263,251.6,261.2,239000
6/3/2009,255.2,256,232,241.8,275800
6/4/2009,253.4,266,251,260.8,241600
6/5/2009,260.8,265.2,251,256.8,322800
6/8/2009,256.2,261.4,253,259,167300
6/9/2009,266,269.6,260.6,267.4,146400
6/10/2009,275.8,280.8,272.2,278,251400
6/11/2009,284,292,282.2,287.4,202200
6/12/2009,281,286.6,279,283.8,162000
6/15/2009,278.8,278.8,264.4,272,199600
6/16/2009,283.8,285,266,271.4,191000
6/17/2009,267.4,276.6,261,274.2,192100
6/18/2009,271.2,279.4,268,275.4,132700
6/19/2009,278.6,281.2,258,264,228500
6/22/2009,252,252,238,240,291400
6/23/2009,245.6,258.8,239.4,255,233700
6/24/2009,253.8,260,249.8,251.2,189600
6/25/2009,257.6,268,255,264.2,206700
6/26/2009,262.2,262.6,252.8,256.6,130400
6/29/2009,264.4,275.4,264.2,272.4,202800
6/30/2009,270,273.8,253.4,263.2,253200
7/1/2009,272.4,275,251.2,255.8,327600
7/2/2009,241,241.8,237.2,238.2,226200
7/6/2009,219.2,224.8,217,220,289300
7/7/2009,218,218.8,207.8,208.2,213800
7/8/2009,206.2,206.8,193,194.2,350700
7/9/2009,197.2,198.2,188.4,196,251300
7/10/2009,188.4,193.6,185.6,191.2,209500
7/13/2009,188.2,192.2,182.2,190.8,219900
7/14/2009,196.8,198.4,186.8,188.6,218200
7/15/2009,197.8,205.4,194,204,279900
7/16/2009,197.6,206.2,197,205,191000
7/17/2009,209.2,218,208.4,213.6,216100
7/20/2009,220,222.2,213.4,221,188400
7/21/2009,227,227.8,215.6,222.2,193600
7/22/2009,211.2,223,209.8,220.6,192800
7/23/2009,215,234.6,214.6,233.2,215600
7/24/2009,232,239.6,229,238.6,159400
7/27/2009,240,242.2,235.6,240.2,177900
7/28/2009,232.6,236.6,227.8,232.8,160500
7/29/2009,221.8,222.6,202.2,203.8,322600
