Data, Open, High, Low, Close, Volume
2/11/2010,12.99,12.99,12.98,12.99,16200
2/12/2010,12.94,12.95,12.81,12.94,34800
2/16/2010,13.6,13.81,13.53,13.81,25200
2/17/2010,14.07,14.14,14.02,14.11,103800
2/18/2010,14.16,14.52,14.15,14.47,81000
2/19/2010,14.39,14.66,14.29,14.52,163200
2/22/2010,14.67,14.67,14.41,14.43,136800
2/23/2010,14.36,14.54,14.03,14.09,80400
2/24/2010,14.22,14.46,14.13,14.41,112800
2/25/2010,13.79,14.22,13.64,14.18,248400
2/26/2010,14.24,14.31,14.01,14.25,212400
3/1/2010,14.37,14.57,14.33,14.52,134400
3/2/2010,14.68,14.75,14.5,14.52,110400
3/3/2010,14.61,14.82,14.46,14.5,142200
3/4/2010,14.62,14.73,14.57,14.73,123600
3/5/2010,14.96,15.23,14.88,15.23,77400
3/8/2010,15.23,15.29,15.14,15.16,76800
3/9/2010,15.22,15.43,15.14,15.22,100800
3/10/2010,15.3,15.39,15.14,15.25,131400
3/11/2010,15.19,15.45,15.04,15.45,58200
3/12/2010,15.62,15.62,15.43,15.5,65400
3/15/2010,15.47,15.59,15.35,15.59,31200
3/16/2010,15.68,15.83,15.52,15.82,48000
3/17/2010,15.92,16.13,15.92,15.96,42600
3/18/2010,16.05,16.22,16.01,16.2,60600
3/19/2010,16.01,16.36,15.85,16.01,120600
3/22/2010,15.84,16.33,15.84,16.22,144000
3/23/2010,16.31,16.71,16.26,16.69,62400
3/24/2010,16.56,16.64,16.42,16.47,53400
3/25/2010,16.75,16.97,16.45,16.48,61200
3/26/2010,16.59,16.77,16.4,16.53,51000
3/29/2010,16.67,16.78,16.66,16.72,90600
3/30/2010,16.84,16.93,16.63,16.8,60600
3/31/2010,16.67,16.75,16.45,16.56,69600
4/1/2010,16.89,16.99,16.63,16.88,49800
4/5/2010,17.03,17.13,16.88,17.09,73800
4/6/2010,16.98,17.15,16.93,17.06,74400
4/7/2010,16.95,17.05,16.55,16.78,213600
4/8/2010,16.61,17,16.53,16.9,62400
4/9/2010,17,17.23,16.94,17.23,90000
4/12/2010,17.28,17.34,17.22,17.28,31800
4/13/2010,17.25,17.4,17.11,17.34,90000
4/14/2010,17.5,17.82,17.44,17.81,120600
4/15/2010,17.74,17.93,17.7,17.93,72600
4/16/2010,17.85,17.97,17.12,17.34,223800
4/19/2010,17.17,17.67,17.17,17.64,112800
4/20/2010,17.81,17.85,17.63,17.75,88800
4/21/2010,17.79,17.93,17.61,17.79,77400
4/22/2010,17.52,17.92,17.34,17.92,90000
4/23/2010,17.84,18.2,17.77,18.19,352200
4/26/2010,18.24,18.4,18.2,18.21,88200
4/27/2010,18.06,18.27,17.11,17.18,368400
4/28/2010,17.4,17.56,17.06,17.43,232200
4/29/2010,17.64,18.13,17.64,17.99,134400
4/30/2010,18.06,18.12,17.23,17.24,192600
5/3/2010,17.49,18.02,17.49,17.89,228000
5/4/2010,17.42,17.42,16.6,16.85,349200
5/5/2010,16.45,16.92,16.36,16.57,235800
5/6/2010,16.49,16.64,12.23,14.97,953400
5/7/2010,14.88,15.25,13.9,14.45,426000
5/10/2010,15.95,16.28,15.73,16.12,399000
5/11/2010,15.7,16.47,15.66,15.96,225000
5/12/2010,16.13,16.68,16.1,16.66,174600
5/13/2010,16.52,16.74,16.09,16.1,242400
5/14/2010,15.81,15.91,15.04,15.39,235800
5/17/2010,15.48,15.57,14.64,15.42,294600
5/18/2010,15.76,15.79,14.82,14.93,217200
5/19/2010,14.74,14.99,14.18,14.66,313800
5/20/2010,13.88,13.98,13.06,13.06,1323000
5/21/2010,12.56,13.59,12.46,13.58,792000
5/24/2010,13.36,13.49,13.02,13.05,316800
5/25/2010,12.22,13.01,11.94,12.97,778800
5/26/2010,13.18,13.47,12.64,12.73,467400
5/27/2010,13.36,13.84,13.24,13.84,289800
5/28/2010,13.79,13.79,13.17,13.31,753600
6/1/2010,13.01,13.63,12.88,12.88,249000
6/2/2010,13.09,13.76,12.99,13.76,163200
6/3/2010,13.93,14.01,13.46,13.78,357600
6/4/2010,13.1,13.18,12.32,12.45,541200
6/7/2010,12.6,12.64,12.03,12.04,436200
6/8/2010,12.08,12.54,11.83,12.51,400800
6/9/2010,12.67,12.97,12.27,12.36,423000
6/10/2010,12.93,13.41,12.92,13.35,376200
6/11/2010,13.04,13.56,13.04,13.52,438600
6/14/2010,13.84,14.01,13.44,13.44,306600
6/15/2010,13.76,14.32,13.68,14.27,204600
6/16/2010,14.08,14.4,14.03,14.34,132000
6/17/2010,14.45,14.45,13.95,14.44,387000
6/18/2010,14.5,14.61,14.44,14.5,124800
6/21/2010,15.02,15.1,14.31,14.45,390000
6/22/2010,14.5,14.67,13.82,13.85,457200
6/23/2010,13.88,14.13,13.59,13.88,435000
6/24/2010,13.66,13.71,13.2,13.29,398400
6/25/2010,13.37,13.45,13.02,13.35,403200
