Data, Open, High, Low, Close, Volume
2/1/2007,32.6,32.6,32.6,32.6,400
2/2/2007,32.6,32.6,32.6,32.6,0
2/5/2007,32.74,32.74,32.65,32.65,60400
2/6/2007,32.56,32.65,32.56,32.65,1000
2/7/2007,32.46,32.62,32.46,32.62,10200
2/8/2007,32.24,32.24,32.24,32.24,400
2/9/2007,32.24,32.24,32.24,32.24,0
2/12/2007,32.24,32.24,32.24,32.24,0
2/13/2007,32.34,32.44,32.34,32.44,30000
2/14/2007,32.44,32.44,32.44,32.44,0
2/15/2007,32.95,32.95,32.95,32.95,200
2/16/2007,32.95,32.95,32.95,32.95,0
2/20/2007,32.95,32.95,32.95,32.95,0
2/21/2007,32.95,32.95,32.95,32.95,0
2/22/2007,32.95,32.95,32.95,32.95,0
2/23/2007,32.95,32.95,32.95,32.95,0
2/26/2007,32.95,32.95,32.95,32.95,0
2/27/2007,32.35,32.35,30.55,30.63,3200
2/28/2007,31.25,31.25,31.11,31.11,20200
3/1/2007,31.11,31.11,31.11,31.11,0
3/2/2007,30.55,30.55,30.47,30.47,800
3/5/2007,30.03,30.03,30.03,30.03,200
3/6/2007,30.03,30.03,30.03,30.03,0
3/7/2007,30.03,30.03,30.03,30.03,0
3/8/2007,30.99,30.99,30.99,30.99,200
3/9/2007,30.99,30.99,30.99,30.99,0
3/12/2007,30.99,30.99,30.99,30.99,0
3/13/2007,30.57,30.57,30.05,30.05,6600
3/14/2007,30.05,30.05,30.05,30.05,0
3/15/2007,30.58,30.59,30.58,30.59,600
3/16/2007,30.59,30.59,30.59,30.59,0
3/19/2007,30.59,30.59,30.59,30.59,0
3/20/2007,30.59,30.59,30.59,30.59,0
3/21/2007,31.26,31.67,31.26,31.67,1600
3/22/2007,31.67,31.67,31.67,31.67,0
3/23/2007,31.67,31.67,31.67,31.67,0
3/26/2007,31.67,31.67,31.67,31.67,0
3/27/2007,31.67,31.67,31.67,31.67,0
3/28/2007,31.67,31.67,31.67,31.67,0
3/29/2007,31.67,31.67,31.67,31.67,0
3/30/2007,31.54,31.54,31.54,31.54,200
4/2/2007,31.54,31.54,31.54,31.54,0
4/3/2007,31.54,31.54,31.54,31.54,0
4/4/2007,31.54,31.54,31.54,31.54,0
4/5/2007,31.54,31.54,31.54,31.54,0
4/9/2007,31.54,31.54,31.54,31.54,0
4/10/2007,31.54,31.54,31.54,31.54,0
4/11/2007,32.55,32.63,32.55,32.62,800
4/12/2007,32.62,32.62,32.62,32.62,0
4/13/2007,32.87,33.02,32.84,33,3000
4/16/2007,33.43,33.43,33.35,33.35,1000
4/17/2007,33.8,33.8,33.75,33.75,400
4/18/2007,33.75,33.75,33.75,33.75,0
4/19/2007,33.75,33.75,33.75,33.75,0
4/20/2007,33.75,33.75,33.75,33.75,0
4/23/2007,34.15,34.15,34.15,34.15,200
4/24/2007,34.03,34.03,34.03,34.03,4400
4/25/2007,34.41,34.41,34.41,34.41,200
4/26/2007,34.41,34.41,34.41,34.41,0
4/27/2007,34.41,34.41,34.41,34.41,0
4/30/2007,34.41,34.41,34.41,34.41,0
5/1/2007,34.41,34.41,34.41,34.41,0
5/2/2007,34.41,34.41,34.41,34.41,0
5/3/2007,34.41,34.41,34.41,34.41,0
5/4/2007,34.41,34.41,34.41,34.41,0
5/7/2007,34.41,34.41,34.41,34.41,0
5/8/2007,34.41,34.41,34.41,34.41,0
5/9/2007,34.41,34.41,34.41,34.41,0
5/10/2007,34.41,34.41,34.41,34.41,0
5/11/2007,33.41,33.41,33.41,33.41,200
5/14/2007,33.41,33.41,33.41,33.41,0
5/15/2007,33.41,33.41,33.41,33.41,0
5/16/2007,33.41,33.41,33.41,33.41,0
5/17/2007,33.41,33.41,33.41,33.41,0
5/18/2007,34.29,34.29,34.29,34.29,200
5/21/2007,34.46,34.46,34.46,34.46,200
5/22/2007,34.46,34.46,34.46,34.46,0
5/23/2007,34.92,34.92,34.89,34.89,7000
5/24/2007,34.7,34.7,34.7,34.7,1000
5/25/2007,34.7,34.7,34.7,34.7,0
5/29/2007,34.69,34.69,34.69,34.69,200
5/30/2007,34.69,34.69,34.69,34.69,0
5/31/2007,34.69,34.69,34.69,34.69,0
6/1/2007,35.22,35.22,35.11,35.11,1600
6/4/2007,35.11,35.11,35.11,35.11,0
6/5/2007,35.11,35.11,35.11,35.11,0
6/6/2007,35.11,35.11,35.11,35.11,0
6/7/2007,35.11,35.11,35.11,35.11,0
6/8/2007,33.37,33.65,33.23,33.65,1600
6/11/2007,33.65,34.02,33.65,34.02,400
6/12/2007,34.02,34.02,34.02,34.02,0
6/13/2007,33.77,33.77,33.77,33.77,200
6/14/2007,34.21,34.23,34.12,34.23,600
6/15/2007,34.64,34.68,34.64,34.68,1200
6/18/2007,34.68,34.68,34.68,34.68,0
6/19/2007,34.06,34.06,34,34,600
6/20/2007,34,34,34,34,0
6/21/2007,34,34,34,34,0
6/22/2007,33.21,33.21,33.21,33.21,1400
6/25/2007,32.97,32.97,32.97,32.97,2000
6/26/2007,33.25,33.25,33.25,33.25,0
6/27/2007,33.25,33.25,33.25,33.25,0
6/28/2007,33.25,33.25,33.25,33.25,0
6/29/2007,33.94,33.94,33.54,33.6,6200
7/2/2007,34.06,34.13,34.06,34.07,8400
7/3/2007,34.08,34.08,34.08,34.08,200
7/5/2007,34.08,34.08,34.08,34.08,0
7/6/2007,34.04,34.04,34.04,34.04,200
7/9/2007,34.28,34.28,34.28,34.28,2000
7/10/2007,34.28,34.28,34.28,34.28,0
7/11/2007,33.59,33.6,33.59,33.6,2800
7/12/2007,34.25,34.29,34.25,34.28,7600
7/13/2007,34.63,35.01,34.63,35.01,2200
7/16/2007,35.01,35.01,35.01,35.01,0
7/17/2007,35.07,35.07,35.07,35.07,6600
7/18/2007,34.49,34.49,34.08,34.23,82000
7/19/2007,34.23,34.23,34.23,34.23,0
7/20/2007,33.85,33.85,33.71,33.71,400
7/23/2007,34.28,34.3,34.23,34.3,38200
7/24/2007,33.76,33.76,33.27,33.27,30200
7/25/2007,33.79,33.79,33.17,33.17,11000
7/26/2007,33.14,33.14,32.01,32.04,243400
7/27/2007,32.02,32.27,31.51,31.51,25600
7/30/2007,31.54,31.95,31.5,31.95,12400
7/31/2007,32.29,32.29,31.55,31.55,3600
8/1/2007,31.76,31.76,31.35,31.35,1400
8/2/2007,32.46,33.14,32.37,33.14,30800
8/3/2007,33.14,33.14,33.14,33.14,0
8/6/2007,31.76,32.96,31.76,32.96,5200
8/7/2007,33.08,33.34,33.08,33.34,200
8/8/2007,33.81,34.17,33.81,34.17,2600
8/9/2007,33.18,33.18,32.94,32.94,4200
8/10/2007,32.09,32.44,32.09,32.44,2200
8/13/2007,32.41,32.41,32.41,32.41,8000
8/14/2007,32.08,32.08,31.53,31.53,9400
8/15/2007,31.51,32.02,31.51,32.02,2400
8/16/2007,30.56,30.6,30.3,30.33,1800
8/17/2007,31.24,31.65,31.24,31.65,800
8/20/2007,32.07,32.24,32.04,32.04,2800
8/21/2007,32.04,32.04,32.04,32.04,0
8/22/2007,32.1,32.11,32.03,32.03,2800
8/23/2007,32.4,32.4,32.34,32.35,2200
8/24/2007,32.22,32.22,32.22,32.22,200
8/27/2007,32.68,32.68,32.68,32.68,1000
8/28/2007,31.83,31.95,31.5,31.5,600
8/29/2007,31.5,31.5,31.5,31.5,0
8/30/2007,31.84,31.84,31.84,31.84,200
8/31/2007,32.13,32.49,32.13,32.49,1200
9/4/2007,32.62,32.62,32.62,32.62,400
9/5/2007,32.62,32.62,32.62,32.62,0
9/6/2007,32.06,32.22,32.06,32.22,400
9/7/2007,31.97,31.97,31.56,31.56,14200
9/10/2007,31.58,31.66,31.58,31.66,2400
9/11/2007,32,32.28,32,32.25,10200
9/12/2007,32.62,32.62,32.62,32.62,200
9/13/2007,32.86,32.86,32.86,32.86,400
9/14/2007,32.7,33.01,32.7,33.01,1400
9/17/2007,32.92,32.92,32.77,32.92,4400
9/18/2007,33.25,34.03,33.25,34.01,3000
9/19/2007,34.34,34.44,34.34,34.44,3600
9/20/2007,34.33,34.33,34.07,34.07,2800
9/21/2007,34.43,34.43,34.33,34.33,800
9/24/2007,34.06,34.06,34.06,34.06,800
9/25/2007,33.61,33.61,33.61,33.61,1000
9/26/2007,34.57,34.57,34.57,34.57,200
9/27/2007,34.61,34.62,34.61,34.62,1200
9/28/2007,34.62,34.62,34.62,34.62,0
10/1/2007,34.95,34.95,34.95,34.95,200
10/2/2007,34.95,34.95,34.95,34.95,0
10/3/2007,35.37,35.37,35.21,35.21,3200
10/4/2007,35.16,35.16,35.16,35.16,200
10/5/2007,35.38,35.55,35.32,35.55,13400
10/8/2007,35.46,35.46,35.32,35.33,17800
10/9/2007,35.33,35.33,35.33,35.33,0
10/10/2007,35.75,35.75,35.63,35.63,5600
10/11/2007,35.97,35.97,35.26,35.26,4200
10/12/2007,35.26,35.26,35.26,35.26,0
10/15/2007,35.95,35.95,35.22,35.22,11400
10/16/2007,35.15,35.15,35.09,35.09,600
10/17/2007,35.09,35.09,35.09,35.09,0
10/18/2007,35.09,35.09,35.09,35.09,0
10/19/2007,34.96,34.96,34.66,34.67,1000
10/22/2007,34.23,34.58,34.23,34.58,8000
10/23/2007,34.88,34.91,34.84,34.91,2000
10/24/2007,35.05,35.05,35.05,35.05,1600
10/25/2007,35.62,35.62,35.29,35.29,9200
10/26/2007,35.61,35.76,35.56,35.76,3600
10/29/2007,36.1,36.1,36.01,36.01,2200
10/30/2007,35.77,35.97,35.77,35.86,3000
10/31/2007,36,36.01,34.76,34.76,1200
11/1/2007,34.24,35.3,34.23,34.42,51200
11/2/2007,34.8,34.8,34.13,34.45,13600
11/5/2007,34.45,34.48,34.18,34.48,1000
11/6/2007,34.6,34.6,34.47,34.47,5800
11/7/2007,34.36,34.45,33.66,33.71,9600
11/8/2007,33.81,34.33,33.62,34.23,9200
11/9/2007,33.74,34.27,33.74,33.75,12000
11/12/2007,34.16,34.16,33.41,33.41,4000
11/13/2007,33.41,33.41,33.41,33.41,0
11/14/2007,34.61,34.7,34.37,34.39,1400
11/15/2007,34.35,34.75,34.08,34.09,3600
11/16/2007,34.09,34.09,34.09,34.09,0
11/19/2007,34.13,34.13,34.09,34.09,800
11/20/2007,34.27,34.27,33.31,33.57,3000
11/21/2007,33.92,34.05,33.91,34.05,800
11/23/2007,33.75,33.88,33.75,33.82,1000
11/26/2007,34.23,34.27,33.31,33.85,7800
11/27/2007,33.51,33.86,33.51,33.86,5000
11/28/2007,34.38,35.53,34.38,35.53,25200
11/29/2007,35.35,35.63,35.19,35.63,11800
11/30/2007,36.7,36.7,35.67,35.82,8200
12/3/2007,35.95,36.02,35.62,35.71,25200
12/4/2007,35.53,35.57,35.53,35.57,600
12/5/2007,35.79,36,35.71,35.93,11800
12/6/2007,36.15,36.57,36.11,36.57,2200
12/7/2007,36.81,37.12,36.59,36.59,13400
12/10/2007,36.93,37.18,36.9,37.08,11400
12/11/2007,37.17,37.21,35.59,35.7,91600
12/12/2007,36.93,36.93,35.68,35.77,161000
12/13/2007,36.09,36.09,35.77,36.05,7800
12/14/2007,35.97,35.97,35.57,35.59,5600
12/17/2007,35.24,35.34,34.67,34.67,75200
12/18/2007,34.92,35.07,34.16,34.44,9400
12/19/2007,34.78,35.09,34.78,34.84,3200
12/20/2007,35.15,35.15,35.15,35.15,600
12/21/2007,35.15,35.15,35.15,35.15,0
12/24/2007,36.12,36.12,36.02,36.02,8800
12/26/2007,36.28,36.28,35.92,36.06,2000
12/27/2007,35.6,35.6,35.6,35.6,1000
12/28/2007,36.68,36.68,35.06,35.26,5800
12/31/2007,34.85,34.85,34.84,34.84,3200
1/2/2008,34.3,34.3,33.58,33.58,12800
1/3/2008,33.92,33.95,33.55,33.55,9000
1/4/2008,33.15,33.22,32.67,32.67,5600
1/7/2008,33.01,33.67,33.01,33.41,22200
1/8/2008,33.87,34.42,33.52,33.52,3200
1/9/2008,33.45,33.91,33.2,33.91,1400
1/10/2008,33.82,34.42,33.69,34.29,30000
1/11/2008,33.11,33.12,32.88,32.99,2200
1/14/2008,32.78,32.89,32.56,32.56,4000
1/15/2008,32.27,32.27,31.58,31.58,4000
1/16/2008,31.68,31.84,31.4,31.44,6000
1/17/2008,31.58,31.6,30.38,30.44,32400
1/18/2008,30.77,30.77,29.42,29.79,3400
1/22/2008,27.55,29.15,27.55,29.11,52800
1/23/2008,27.85,29.94,27.66,29.87,79000
1/24/2008,29.72,30.12,29.7,29.9,5600
1/25/2008,30.4,30.4,29.15,29.15,6600
1/28/2008,29.25,29.83,29.25,29.83,7400
1/29/2008,30.2,30.2,29.9,30.12,17400
1/30/2008,29.85,31.33,29.71,29.73,64600
1/31/2008,29.4,30.82,29.4,30.51,17800
2/1/2008,30.79,31.43,30.79,31.37,51000
2/4/2008,31.32,31.32,30.72,30.82,37600
2/5/2008,30.21,30.24,29.6,29.68,24200
2/6/2008,29.66,29.68,29.1,29.1,9800
2/7/2008,29.02,29.98,29.02,29.86,8000
2/8/2008,29.81,29.81,29.36,29.46,10800
2/11/2008,30.15,30.15,29.37,30.07,1400
2/12/2008,30.41,30.81,30.4,30.4,63600
2/13/2008,30.74,30.89,30.74,30.89,1200
2/14/2008,30.92,30.92,30.22,30.22,6000
2/15/2008,30.2,30.39,30.2,30.38,6400
2/19/2008,30.58,30.58,30.27,30.5,6000
2/20/2008,29.95,30.25,29.8,30.25,66600
2/21/2008,30.59,30.59,29.94,29.94,13000
2/22/2008,29.87,30.05,29.71,30.05,9000
2/25/2008,30.7,30.78,30.41,30.78,16000
2/26/2008,31.04,31.57,31.04,31.57,3000
2/27/2008,31.53,31.63,31.31,31.47,11200
2/28/2008,31.17,31.17,30.9,30.97,1800
2/29/2008,30.32,30.37,29.61,29.74,7000
3/3/2008,29.49,29.54,29.45,29.45,4200
3/4/2008,29.75,29.88,29.46,29.79,3400
3/5/2008,30.42,30.42,30.13,30.16,5800
3/6/2008,29.95,30,29.49,29.49,24200
3/7/2008,29.18,29.18,28.78,28.93,7800
3/10/2008,28.77,29.24,28.66,28.66,15000
3/11/2008,29.42,29.76,29.16,29.76,32200
3/12/2008,30.09,30.09,29.59,29.59,28800
3/13/2008,29.06,29.7,28.62,29.7,48800
3/14/2008,30.87,30.87,28.42,28.61,21200
3/17/2008,28.35,28.63,28.31,28.39,12000
