Data, Open, High, Low, Close, Volume
12/3/2008,24.46,25.28,24.46,24.82,6500
12/4/2008,24.51,25.5,24.14,24.27,63300
12/5/2008,23.7,23.83,22.86,23.78,68700
12/8/2008,25.07,25.5,24.2,24.65,57300
12/9/2008,24.4,25.85,24.25,24.84,58000
12/10/2008,26.9,27.17,26.49,27,78900
12/11/2008,28.37,28.95,27.57,27.78,235200
12/12/2008,28.22,28.31,27.5,27.61,89000
12/15/2008,28.68,29.23,28,28.95,251800
12/16/2008,28.95,30.52,28.57,30.46,139700
12/17/2008,30.98,36.1,30.65,31,273100
12/18/2008,30.74,30.74,29.5,29.92,117800
12/19/2008,29.01,29.01,28.39,28.85,59600
12/22/2008,29.26,30.52,29.1,29.35,88400
12/23/2008,29.08,29.37,28.13,28.74,49700
12/24/2008,28.56,29.51,28.56,29.51,12100
12/26/2008,29.59,31.08,29.24,30.99,66200
12/29/2008,31.67,33.98,31.13,31.41,230500
12/30/2008,31.1,31.29,30.7,31.29,105600
12/31/2008,30.49,31.98,29.91,31.6,156400
1/2/2009,31.25,31.52,31,31.4,78700
1/5/2009,29.96,30.19,29,30.15,130500
1/6/2009,29.04,30.83,29.02,30.57,156300
1/7/2009,30.15,31.5,28.2,28.8,92300
1/8/2009,30,30.22,29.56,29.99,84700
1/9/2009,29.3,30.7,29.01,29.63,63100
1/12/2009,28.2,28.29,27.01,27.35,159700
1/13/2009,27.65,28,27.37,27.47,56500
1/14/2009,27.17,27.59,26.52,26.8,136400
1/15/2009,26.71,27.33,26.17,27.22,97100
1/16/2009,28.3,28.91,28.04,28.83,94900
1/20/2009,29.55,30.5,29.33,30.07,198500
1/21/2009,29.87,29.87,28.89,29.77,218700
1/22/2009,29.65,30.2,29.54,30.07,100600
1/23/2009,31.49,33.11,31.04,32.71,340100
1/26/2009,33.09,34.03,30.67,33.05,473700
1/27/2009,32.78,33,32.45,32.59,212600
1/28/2009,32.65,32.66,31.5,31.92,175000
1/29/2009,31.85,33.5,31.26,33.5,182200
