Data, Open, High, Low, Close, Volume
4/14/2011,39.31,39.31,39.1,39.16,19900
4/15/2011,39.13,39.14,39.13,39.14,300
4/18/2011,38.92,38.98,38.86,38.9,20000
4/19/2011,38.9,38.9,38.9,38.9,0
4/20/2011,39.43,39.47,39.34,39.41,20400
4/21/2011,39.48,39.69,39.46,39.69,11800
4/25/2011,39.69,39.73,39.55,39.55,30600
4/26/2011,39.7,39.71,39.61,39.61,5900
4/27/2011,39.74,39.74,39.74,39.74,200
4/28/2011,39.81,39.87,39.75,39.76,22900
4/29/2011,39.76,39.76,39.76,39.76,0
5/2/2011,40.01,40.01,40.01,40.01,1500
5/3/2011,39.97,39.97,39.97,39.97,1500
5/4/2011,40,40,40,40,1300
5/5/2011,40,40,40,40,0
5/6/2011,40.02,40.02,40.02,40.02,1000
5/9/2011,40.04,40.1,40.04,40.1,2200
5/10/2011,40.21,40.21,40.18,40.18,4500
5/11/2011,40.66,40.66,40.25,40.25,2400
5/12/2011,40.16,40.17,40.09,40.11,8200
5/13/2011,40.12,40.12,40.12,40.12,600
5/16/2011,40.03,40.03,39.99,39.99,10700
5/17/2011,39.9,40.13,39.8,40.13,19400
5/18/2011,40.16,40.16,40.12,40.12,6600
5/19/2011,40.09,40.11,40.09,40.11,4700
5/20/2011,40.11,40.11,40.11,40.11,0
5/23/2011,40.11,40.11,40.11,40.11,0
5/24/2011,40.11,40.11,40.11,40.11,0
5/25/2011,39.65,39.65,39.65,39.65,100
5/26/2011,39.65,39.65,39.65,39.65,0
5/27/2011,39.65,39.65,39.65,39.65,0
5/31/2011,39.65,39.65,39.65,39.65,0
6/1/2011,39.57,39.57,39.57,39.57,2000
6/2/2011,39.44,39.44,39.44,39.44,600
6/3/2011,39.38,39.38,39.38,39.38,400
6/6/2011,39.38,39.38,39.38,39.38,0
6/7/2011,39.38,39.38,39.38,39.38,0
6/8/2011,39.38,39.38,39.38,39.38,0
6/9/2011,39.38,39.38,39.38,39.38,0
6/10/2011,38.5,38.5,37.99,38.14,4800
6/13/2011,38.14,38.14,38.14,38.14,0
6/14/2011,38.27,38.41,38.27,38.41,6500
6/15/2011,39.38,39.38,38.18,38.18,700
6/16/2011,38.18,38.18,38.18,38.18,0
6/17/2011,37.51,37.51,36.98,37.4,1100
6/20/2011,37.4,37.4,37.4,37.4,0
6/21/2011,35.84,38.3,35.84,38.3,600
6/22/2011,38.3,38.3,38.3,38.3,0
6/23/2011,38.3,38.3,38.3,38.3,0
6/24/2011,38.3,38.3,38.3,38.3,0
6/27/2011,38.17,38.17,37.99,37.99,600
6/28/2011,37.99,37.99,37.99,37.99,0
6/29/2011,38.55,38.77,38.55,38.77,400
6/30/2011,39.59,39.65,39.59,39.65,2600
7/1/2011,39.67,39.75,39.52,39.75,18000
7/5/2011,39.77,39.92,39.72,39.85,600
7/6/2011,39.85,39.85,39.85,39.85,0
7/7/2011,40.22,40.34,40.2,40.34,1400
7/8/2011,40.16,40.16,40.1,40.1,1200
7/11/2011,39.51,39.57,39.38,39.38,10000
7/12/2011,39.36,39.36,39.36,39.36,100
7/13/2011,39.36,39.36,39.36,39.36,0
7/14/2011,39.77,39.77,39.77,39.77,1000
7/15/2011,39.77,39.77,39.77,39.77,0
7/18/2011,39.77,39.77,39.77,39.77,0
7/19/2011,39.77,39.77,39.77,39.77,0
7/20/2011,39.77,39.77,39.77,39.77,0
7/21/2011,39.77,39.77,39.77,39.77,0
7/22/2011,40.15,40.4,40.15,40.4,500
7/25/2011,40.32,40.32,40.25,40.25,1500
7/26/2011,40.18,40.19,40.15,40.19,400
7/27/2011,39.91,39.91,39.8,39.8,1000
7/28/2011,39.77,39.77,39.61,39.64,2400
7/29/2011,39.56,39.56,39.56,39.56,1000
8/1/2011,39.56,39.56,39.56,39.56,0
8/2/2011,39.56,39.56,39.56,39.56,0
8/3/2011,38.88,38.88,38.39,38.39,600
8/4/2011,38.25,38.25,37.44,37.53,8700
8/5/2011,37.53,37.53,37.53,37.53,0
8/8/2011,32.99,32.99,32.12,32.12,300
8/9/2011,34.65,34.65,34.65,34.65,200
8/10/2011,34.65,34.66,34.6,34.6,300
8/11/2011,34.6,34.6,34.6,34.6,0
8/12/2011,34.6,34.6,34.6,34.6,0
8/15/2011,35.59,36.44,35.59,36.27,6500
8/16/2011,33.08,35.97,33.08,35.85,5800
8/17/2011,36.41,36.41,36.41,36.41,800
8/18/2011,36.82,36.82,35.65,35.65,1600
8/19/2011,35.65,35.65,35.65,35.65,0
8/22/2011,36.03,36.03,35.25,35.25,600
8/23/2011,35.23,35.55,35.23,35.55,900
8/24/2011,36.29,36.29,35.13,35.33,2300
8/25/2011,35.08,35.08,35.04,35.04,1000
8/26/2011,35.04,35.04,35.04,35.04,0
8/29/2011,35.8,36.3,35.8,36.3,1300
8/30/2011,36.3,36.3,36.3,36.3,0
8/31/2011,37.15,37.48,37.15,37.48,1900
9/1/2011,37.2,37.37,37.2,37.35,1100
9/2/2011,36.94,36.94,36.78,36.82,4900
9/6/2011,34.46,36.01,34.46,36.01,1000
