Data, Open, High, Low, Close, Volume
11/25/2008,25.63,25.63,25.35,25.35,400
11/26/2008,25.29,25.32,24.83,25.13,5000
11/28/2008,24.37,24.44,24.2,24.21,39400
12/1/2008,24,24,23.9,23.9,6400
12/2/2008,24.37,24.38,24.3,24.31,2500
12/3/2008,24.1,24.11,24.08,24.09,900
12/4/2008,24.21,24.72,24.21,24.62,2200
12/5/2008,24.25,24.3,24.05,24.3,2400
12/8/2008,25.2,25.2,25.04,25.15,3100
12/9/2008,24.98,25.09,24.98,25.09,2400
12/10/2008,25.49,25.68,25.43,25.43,10100
12/11/2008,26.72,27.02,26.34,26.81,32400
12/12/2008,27.01,27.07,26.82,27,13400
12/15/2008,27.43,28.27,27.43,28.27,34300
12/16/2008,28.68,30,28.41,30,46400
12/17/2008,30.51,31.4,30.48,31.24,40700
12/18/2008,31.92,31.92,30.32,30.52,48600
12/19/2008,29.52,29.52,28.75,28.9,26000
12/22/2008,29.1,29.48,29.1,29.26,3100
12/23/2008,29.5,29.5,29.14,29.34,1800
12/24/2008,29.75,29.75,29.45,29.51,500
12/26/2008,29.6,29.84,29.6,29.77,7500
12/29/2008,30.47,30.76,29.47,29.47,13500
12/30/2008,29.91,30.13,29.84,29.84,10200
12/31/2008,29.55,29.55,29.08,29.49,14700
1/2/2009,29.07,29.4,28.79,29.18,10300
1/5/2009,27.83,28.03,27.63,27.67,26400
1/6/2009,26.84,27.52,26.82,27.44,19600
1/7/2009,27.91,28.17,27.69,27.78,13500
1/8/2009,28.35,28.4,28.09,28.21,5700
1/9/2009,27.34,27.6,27.15,27.15,7000
1/12/2009,26.86,26.93,26.58,26.78,7000
1/13/2009,26.1,26.27,25.98,26.11,27900
1/14/2009,25.88,26.08,25.77,25.99,5700
1/15/2009,25.7,25.97,25.55,25.86,6700
1/16/2009,26.75,26.75,26.33,26.65,9900
1/20/2009,25.31,25.31,24.94,24.94,48200
1/21/2009,25.01,25.34,24.74,25.34,6500
1/22/2009,25.12,25.4,25.06,25.4,5200
1/23/2009,24.71,25.32,24.63,25.32,5400
1/26/2009,25.88,26,25.78,25.78,5000
1/27/2009,26.21,26.21,25.89,26.11,12400
1/28/2009,26.28,26.33,26.15,26.15,11300
1/29/2009,26.8,26.8,23.95,25.21,20800
1/30/2009,24.67,24.94,24.49,24.49,7000
2/2/2009,24.25,24.87,24.25,24.58,3400
2/3/2009,25.06,25.44,24.94,25.38,4000
2/4/2009,24.85,24.85,24.61,24.68,11200
2/5/2009,24.47,24.81,24.47,24.54,1300
2/6/2009,24.73,25.17,24.73,25.14,7500
2/9/2009,25.63,25.63,25.37,25.37,4500
2/10/2009,25.3,25.3,24.76,24.76,5000
2/11/2009,24.88,24.88,24.66,24.84,11100
2/12/2009,24.43,24.67,24.21,24.67,9600
2/13/2009,24.72,24.91,24.7,24.89,2200
2/17/2009,24,24,23.58,23.8,24100
2/18/2009,23.61,23.61,23.39,23.6,10200
2/19/2009,24.3,24.33,23.9,23.99,9400
2/20/2009,23.64,24.75,23.64,24.57,16500
2/23/2009,24.42,24.52,24.15,24.15,7200
2/24/2009,24.18,24.76,24.18,24.62,2600
2/25/2009,24.52,24.52,24.15,24.16,4500
2/26/2009,24.42,24.42,24.2,24.2,9400
2/27/2009,23.94,24.25,23.81,24.06,8300
3/2/2009,23.75,23.83,23.55,23.59,9600
3/3/2009,23.73,23.73,23.45,23.61,4600
3/4/2009,23.54,23.94,23.54,23.94,2800
3/5/2009,23.43,23.63,23.43,23.53,23300
3/6/2009,24.18,24.19,23.9,23.9,14200
3/9/2009,23.71,24,23.67,23.91,16700
3/10/2009,24.52,24.57,23.95,24.08,9700
3/11/2009,24.52,24.72,24.35,24.64,5800
3/12/2009,24.53,25,24.24,24.99,20600
3/13/2009,24.83,25,24.8,24.98,19200
3/16/2009,25.35,25.38,25.11,25.11,47800
3/17/2009,25.09,25.2,24.97,25.2,16200
3/18/2009,25.8,27.1,25.64,26.96,42300
3/19/2009,27.86,28.13,27.66,27.94,48500
3/20/2009,27.52,27.74,27.25,27.33,12200
3/23/2009,27.33,27.84,27.21,27.84,21600
3/24/2009,27.29,27.48,26.97,26.99,7100
3/25/2009,27.03,27.66,27.03,27.5,15400
3/26/2009,27.57,27.59,27.18,27.24,9700
3/27/2009,26.45,26.45,26.2,26.28,14300
3/30/2009,25.84,25.94,25.6,25.94,26500
3/31/2009,26.35,26.43,26.1,26.22,4800
4/1/2009,26.14,26.19,25.92,26.05,5700
4/2/2009,26.78,27.03,26.78,26.82,5300
4/3/2009,26.88,27.06,26.81,27.06,3600
4/6/2009,27.02,27.02,26.6,26.81,2800
4/7/2009,26.26,26.31,26.13,26.31,24400
4/8/2009,26.16,26.16,26.04,26.15,5800
4/9/2009,25.88,25.88,25.72,25.8,2700
4/13/2009,25.71,26.67,25.71,26.67,16200
4/14/2009,26.18,26.31,26.12,26.28,4900
4/15/2009,25.7,26.08,25.7,26.08,7000
4/16/2009,26.01,26.01,25.76,25.76,600
4/17/2009,25.32,25.34,25.2,25.31,5000
4/20/2009,25.1,25.1,24.73,24.9,11700
4/21/2009,24.94,25.04,24.86,24.86,1600
4/22/2009,25.03,25.24,25.03,25.16,3800
4/23/2009,25.26,25.76,25.14,25.76,7700
4/24/2009,26.28,26.28,26.04,26.04,5300
4/27/2009,25.53,25.53,25.16,25.3,16600
4/28/2009,25.36,25.73,25.35,25.69,7000
4/29/2009,26.07,26.54,26.05,26.09,13400
4/30/2009,26,26.15,26,26.08,11300
5/1/2009,26.13,26.17,26.13,26.15,1000
5/4/2009,26.28,26.71,26.28,26.69,8500
5/5/2009,26.75,26.75,26.24,26.42,6700
5/6/2009,25.9,26.5,25.9,26.41,2800
5/7/2009,26.77,26.77,26.59,26.59,2300
5/8/2009,26.97,27.63,26.97,27.59,10900
5/11/2009,27.56,27.65,27.4,27.45,32600
5/12/2009,27.76,27.81,27.54,27.68,9100
5/13/2009,28.36,28.36,27.39,27.5,8800
5/14/2009,27.5,27.71,27.41,27.63,11000
5/15/2009,27.46,28.5,27,27.11,8000
5/18/2009,28.11,28.11,27.08,27.31,2600
5/19/2009,27.53,28.06,27.45,27.63,9100
5/20/2009,28,28.37,28,28.2,15900
5/21/2009,28.43,28.9,28.1,28.75,15900
5/22/2009,29.48,29.63,29.13,29.26,18800
5/26/2009,28.75,29.16,28.7,29.09,33000
5/27/2009,29.08,29.08,28.61,28.75,10400
5/28/2009,28.91,28.97,28.8,28.94,11100
5/29/2009,29.57,29.81,29.49,29.7,16300
6/1/2009,30.02,30.11,29.78,29.84,9700
6/2/2009,30.39,30.55,30.29,30.47,14700
6/3/2009,30.04,30.04,29.63,29.78,18700
6/4/2009,29.67,30,29.67,29.92,6000
