Data, Open, High, Low, Close, Volume
2/11/2010,9.99,10.37,9.99,10.37,8800
2/12/2010,10.02,10.24,10.02,10.24,5600
2/16/2010,11.01,11.15,10.86,11.13,172800
2/17/2010,11.26,11.37,11.22,11.37,146400
2/18/2010,11.38,11.45,11.38,11.43,14400
2/19/2010,11.53,11.76,11.47,11.72,76800
2/22/2010,11.88,11.88,11.69,11.73,180800
2/23/2010,11.69,11.72,11.24,11.24,276800
2/24/2010,11.38,11.63,11.32,11.59,145600
2/25/2010,11.09,11.65,11.01,11.63,124000
2/26/2010,11.66,11.69,11.39,11.63,362400
3/1/2010,11.78,12.24,11.78,12.24,372800
3/2/2010,12.42,12.63,12.37,12.51,296800
3/3/2010,12.65,12.86,12.57,12.66,235200
3/4/2010,12.72,12.8,12.54,12.68,132800
3/5/2010,12.88,13.23,12.82,13.2,388800
3/8/2010,13.22,13.34,13.2,13.29,132000
3/9/2010,13.17,13.54,13.17,13.33,259200
3/10/2010,13.33,13.66,13.32,13.63,405600
3/11/2010,13.45,13.84,13.34,13.82,372800
3/12/2010,14.02,14.02,13.64,13.91,238400
3/15/2010,13.88,13.93,13.5,13.84,254400
3/16/2010,13.96,14.29,13.85,14.29,239200
3/17/2010,14.43,14.77,14.43,14.6,284800
3/18/2010,14.61,14.67,14.38,14.41,116000
3/19/2010,13.94,14.55,13.87,13.94,351200
3/22/2010,13.68,14.5,13.67,14.45,180800
3/23/2010,14.48,14.82,14.31,14.81,142400
3/24/2010,14.62,14.69,14.43,14.43,132000
3/25/2010,14.76,14.81,14.12,14.14,128800
3/26/2010,14.26,14.4,13.91,14.07,204800
3/29/2010,14.29,14.44,14.24,14.44,104800
3/30/2010,14.57,14.69,14.3,14.47,93600
3/31/2010,14.37,14.61,14.21,14.21,243200
4/1/2010,14.54,14.8,14.33,14.65,153600
4/5/2010,14.84,15.35,14.8,15.34,185600
4/6/2010,15.16,15.66,15.16,15.58,271200
4/7/2010,15.46,15.53,15.06,15.25,265600
4/8/2010,15.08,15.27,14.79,15.18,196000
4/9/2010,15.24,15.6,15.04,15.59,210400
4/12/2010,15.64,15.71,15.52,15.67,168000
4/13/2010,15.61,15.86,15.45,15.85,284000
4/14/2010,16.12,16.57,16.05,16.57,192800
4/15/2010,16.5,16.75,16.45,16.54,206400
4/16/2010,16.38,16.52,15.63,15.93,520800
4/19/2010,15.77,16.1,15.25,15.78,302400
4/20/2010,16.01,16.41,15.88,16.4,182400
4/21/2010,16.42,16.63,16.31,16.59,251200
4/22/2010,16.17,17.22,16.01,17.17,420800
4/23/2010,17.24,17.7,17,17.63,397600
4/26/2010,17.62,17.88,17.38,17.43,388800
4/27/2010,17.21,17.52,16.15,16.2,483200
4/28/2010,16.45,16.56,16.08,16.31,684000
4/29/2010,16.69,17.13,16.5,17.02,208000
4/30/2010,17.09,17.22,16,16,360000
5/3/2010,16.25,16.81,16.2,16.75,311200
5/4/2010,16.08,16.08,15.13,15.34,594400
5/5/2010,14.94,15.47,14.55,14.83,432800
5/6/2010,14.61,15.03,11.33,13.39,495200
5/7/2010,13.11,13.47,12.01,12.36,856800
5/10/2010,13.93,14.27,13.73,14.24,372800
5/11/2010,13.81,14.85,13.72,14.39,336800
5/12/2010,14.6,15.39,14.59,15.39,360000
5/13/2010,15.28,15.57,14.79,14.91,535200
5/14/2010,14.64,14.64,13.57,13.85,784000
5/17/2010,14.09,14.35,12.93,13.96,445600
5/18/2010,14.45,14.48,13.22,13.31,394400
5/19/2010,13.14,13.48,12.35,12.95,411200
5/20/2010,11.97,12.13,11.26,11.26,805600
5/21/2010,10.7,11.98,10.61,11.8,654400
5/24/2010,11.64,12.06,11.42,11.44,636000
5/25/2010,10.65,11.44,10.13,11.4,358400
5/26/2010,11.54,12.2,11.37,11.48,386400
5/27/2010,12.27,12.78,12.08,12.77,596800
5/28/2010,12.7,12.77,12.17,12.38,1069600
6/1/2010,12.01,12.48,11.37,11.38,240800
6/2/2010,11.67,12.28,11.37,12.27,292000
6/3/2010,12.4,12.63,12.14,12.56,594400
6/4/2010,11.73,12.08,10.92,11.03,989600
6/7/2010,11.15,11.22,10.32,10.32,684800
6/8/2010,10.36,10.56,9.87,10.51,1170400
6/9/2010,10.73,11.3,10.48,10.61,601600
6/10/2010,11.24,11.63,11.12,11.61,888800
6/11/2010,11.39,12.01,11.36,11.99,743200
6/14/2010,12.4,12.7,12.08,12.16,412000
6/15/2010,12.43,13.06,12.35,13,231200
6/16/2010,12.77,13.1,12.65,12.88,179200
6/17/2010,13.05,13.05,12.48,12.77,649600
6/18/2010,12.82,12.92,12.61,12.72,66400
6/21/2010,13.23,13.26,12.31,12.46,202400
6/22/2010,12.61,12.76,11.62,11.67,179200
6/23/2010,11.61,11.91,11.2,11.64,109600
6/24/2010,11.35,11.47,10.96,10.96,83200
6/25/2010,10.83,11.47,10.66,11.36,264800
6/28/2010,11.4,11.53,11.1,11.24,66400
6/29/2010,10.7,10.72,9.91,10.06,1013600
6/30/2010,9.99,10.41,9.81,9.83,94400
7/1/2010,9.8,9.9,9.03,9.64,428800
7/2/2010,9.85,9.85,9.34,9.45,111200
7/6/2010,9.86,10.11,9.22,9.34,112000
7/7/2010,9.51,10.35,9.51,10.32,123200
7/8/2010,10.66,10.69,10.37,10.65,64000
7/9/2010,10.67,11,10.59,10.99,66400
7/12/2010,10.85,11.14,10.68,10.82,64000
7/13/2010,11.26,11.71,11.16,11.61,129600
7/14/2010,11.48,11.71,11.3,11.56,80000
7/15/2010,11.51,11.59,11.04,11.52,77600
7/16/2010,11.3,11.31,10.36,10.38,192800
7/19/2010,10.59,10.61,10.23,10.57,56800
7/20/2010,10.33,11.05,10.33,11.03,56800
7/21/2010,11.24,11.27,10.45,10.53,234400
7/22/2010,11.04,11.52,11.04,11.46,188800
7/23/2010,11.31,11.98,11.26,11.97,158400
7/26/2010,12.08,12.63,11.96,12.61,705600
7/27/2010,12.92,13.05,12.3,12.35,425600
7/28/2010,12.28,12.33,11.74,11.86,472800
7/29/2010,12.17,12.19,11.32,11.72,167200
7/30/2010,11.19,11.89,11.19,11.8,111200
8/2/2010,12.27,12.52,12.16,12.47,127200
8/3/2010,12.37,12.42,12.02,12.2,110400
8/4/2010,12.32,12.6,12.32,12.6,71200
8/5/2010,12.32,12.53,12.32,12.39,45600
8/6/2010,11.95,12.4,11.81,12.36,152000
8/9/2010,12.47,12.73,12.46,12.69,52800
8/10/2010,12.3,12.48,11.98,12.22,244000
8/11/2010,11.51,11.51,10.93,10.97,212800
8/12/2010,10.33,10.88,10.33,10.78,93600
8/13/2010,10.68,10.83,10.59,10.62,98400
8/16/2010,10.39,10.76,10.3,10.65,83200
8/17/2010,10.97,11.38,10.89,11.18,174400
8/18/2010,11.02,11.48,10.88,11.26,160800
8/19/2010,11.13,11.22,10.58,10.74,256000
8/20/2010,10.59,10.69,10.31,10.69,122400
8/23/2010,10.86,10.99,10.36,10.36,130400
8/24/2010,9.97,10.19,9.67,9.89,172800
8/25/2010,9.63,10.18,9.48,10.1,312000
8/26/2010,10.24,10.38,9.89,9.92,180800
8/27/2010,10.19,10.58,9.68,10.54,268800
8/30/2010,10.54,10.56,10,10.02,191200
8/31/2010,9.92,10.2,9.74,10,180800
9/1/2010,10.53,11.01,10.44,10.99,432000
9/2/2010,11.04,11.47,10.97,11.42,140000
9/3/2010,11.96,12.05,11.72,11.92,192800
9/7/2010,11.76,11.79,11.38,11.42,158400
9/8/2010,11.5,11.81,11.48,11.61,316000
9/9/2010,12.06,12.06,11.58,11.7,258400
9/10/2010,11.77,11.96,11.71,11.82,181600
9/13/2010,12.2,12.5,12.2,12.44,295200
9/14/2010,12.32,12.69,12.26,12.45,182400
9/15/2010,12.36,12.68,12.2,12.62,102400
9/16/2010,12.56,12.66,12.37,12.5,242400
9/17/2010,12.66,12.7,12.36,12.6,226400
9/20/2010,12.76,13.28,12.64,13.22,224000
9/21/2010,13.22,13.34,12.97,13.03,228000
9/22/2010,12.94,13.2,12.63,12.71,240800
9/23/2010,12.45,12.91,12.31,12.43,244000
9/24/2010,12.9,13.34,12.9,13.31,140800
9/27/2010,13.32,13.45,13.1,13.3,292000
9/28/2010,13.4,13.64,12.84,13.58,120800
9/29/2010,13.46,13.74,13.38,13.56,153600
9/30/2010,13.84,14.16,13.44,13.65,432800
10/1/2010,13.96,14.02,13.5,13.68,173600
10/4/2010,13.69,13.84,13.11,13.29,159200
10/5/2010,13.79,14.2,13.63,14.12,132000
10/6/2010,14.08,14.18,13.66,13.83,334400
10/7/2010,13.99,13.99,13.51,13.79,296800
10/8/2010,13.81,14.21,13.65,14.07,108000
10/11/2010,14.06,14.3,14.03,14.16,64800
10/12/2010,14.05,14.41,13.69,14.33,288000
10/13/2010,14.56,14.94,14.42,14.69,266400
10/14/2010,14.65,14.8,14.33,14.51,324800
10/15/2010,14.78,14.78,14.23,14.55,547200
10/18/2010,14.61,14.77,14.48,14.77,168800
10/19/2010,14.25,14.63,13.79,14.03,504800
10/20/2010,14.16,14.7,14.16,14.53,328000
10/21/2010,14.7,14.96,14.1,14.47,343200
10/22/2010,14.62,14.8,14.52,14.77,236000
10/25/2010,15.06,15.39,14.99,15.04,231200
10/26/2010,14.74,15.19,14.6,14.97,173600
10/27/2010,14.72,14.97,14.51,14.97,415200
10/28/2010,15.23,15.28,14.68,14.9,439200
10/29/2010,14.77,15.11,14.77,14.99,281600
11/1/2010,15.28,15.51,14.7,14.96,568800
11/2/2010,15.4,15.57,15.17,15.45,472800
11/3/2010,15.49,15.61,14.49,15.6,298400
11/4/2010,16.2,16.49,16.09,16.46,250400
11/5/2010,16.47,16.87,16.45,16.78,162400
11/8/2010,16.72,16.81,16.51,16.77,109600
11/9/2010,16.92,16.94,16.02,16.22,247200
11/10/2010,16.28,16.64,15.97,16.63,186400
11/11/2010,16.13,16.64,16.08,16.55,80800
11/12/2010,16.26,16.49,15.67,15.8,272800
11/15/2010,16.14,16.37,15.92,15.92,231200
11/16/2010,15.48,15.66,14.86,15.08,223200
11/17/2010,15.15,15.43,15.14,15.33,252000
11/18/2010,15.83,16.26,15.83,15.96,569600
11/19/2010,15.86,16.19,15.64,16.12,225600
11/22/2010,15.94,16.54,15.86,16.49,687200
11/23/2010,15.91,16.07,15.61,15.94,686400
11/24/2010,16.31,16.92,16.29,16.9,592800
11/26/2010,16.52,16.84,16.46,16.48,201600
11/29/2010,16.27,16.63,15.93,16.56,896000
11/30/2010,16.08,16.51,15.98,16.26,748800
12/1/2010,17.04,17.3,16.97,17.27,584800
12/2/2010,17.3,17.93,17.29,17.93,616800
12/3/2010,17.74,18.36,17.74,18.28,752000
12/6/2010,18.23,18.36,18.06,18.28,737600
12/7/2010,18.87,18.87,18.29,18.3,746400
12/8/2010,18.56,18.67,18.16,18.27,344000
12/9/2010,18.64,18.64,18.15,18.45,466400
12/10/2010,18.54,19.09,18.5,19.04,469600
12/13/2010,19.11,19.21,18.85,18.85,445600
12/14/2010,19.05,19.14,18.7,18.8,325600
12/15/2010,18.79,19.29,18.57,18.67,179200
12/16/2010,18.65,19.13,18.57,19.13,44000
12/17/2010,19.17,19.46,19,19.26,151200
12/20/2010,19.4,19.44,19.07,19.33,121600
12/21/2010,19.63,19.81,19.47,19.77,138400
12/22/2010,19.87,20.08,19.83,19.92,71200
