Data, Open, High, Low, Close, Volume
5/7/2010,26.39,26.39,25.49,25.49,500
5/10/2010,25.49,25.49,25.49,25.49,0
5/11/2010,25.49,25.49,25.49,25.49,0
5/12/2010,25.49,25.49,25.49,25.49,0
5/13/2010,29.56,29.56,29.47,29.47,1200
5/14/2010,28.79,28.79,27.72,27.72,900
5/17/2010,27.53,27.53,27.53,27.53,200
5/18/2010,27.87,27.87,27.73,27.73,1600
5/19/2010,27.73,27.73,27.73,27.73,0
5/20/2010,23.39,23.4,23.39,23.4,1000
5/21/2010,23.4,23.4,23.4,23.4,0
5/24/2010,23.4,23.4,23.4,23.4,0
5/25/2010,23.4,23.4,23.4,23.4,0
5/26/2010,23.4,23.4,23.4,23.4,0
5/27/2010,23.4,23.4,23.4,23.4,0
5/28/2010,26.44,26.56,26.06,26.06,2000
6/1/2010,26.06,26.06,26.06,26.06,0
6/2/2010,25.64,25.64,25.64,25.64,1400
6/3/2010,25.64,25.64,25.64,25.64,0
6/4/2010,25.64,25.64,25.64,25.64,0
6/7/2010,25.64,25.64,25.64,25.64,0
6/8/2010,25.64,25.64,25.64,25.64,0
6/9/2010,25.64,25.64,25.64,25.64,0
6/10/2010,26.88,27.03,26.88,27.03,1400
6/11/2010,27.03,27.03,27.03,27.03,0
6/14/2010,27.03,27.03,27.03,27.03,0
6/15/2010,27.03,27.03,27.03,27.03,0
6/16/2010,29.27,29.27,29.27,29.27,200
6/17/2010,29.08,29.08,29.08,29.08,1000
6/18/2010,29.2,29.2,29.2,29.2,1000
6/21/2010,30.44,30.44,30.44,30.44,300
6/22/2010,30.44,30.44,30.44,30.44,0
6/23/2010,28.61,28.61,28.29,28.29,6000
6/24/2010,28.29,28.29,28.29,28.29,0
6/25/2010,28.29,28.29,28.29,28.29,0
6/28/2010,28.29,28.29,28.29,28.29,0
6/29/2010,28.29,28.29,28.29,28.29,0
6/30/2010,25.89,25.89,24.77,24.99,5800
7/1/2010,24.78,24.78,23.47,24.35,1500
7/2/2010,24.35,24.35,24.35,24.35,0
7/6/2010,24.35,24.35,24.35,24.35,0
7/7/2010,24.35,24.35,24.35,24.35,0
7/8/2010,26.53,26.53,26.53,26.53,100
7/9/2010,26.53,26.53,26.53,26.53,0
7/12/2010,26.53,26.53,26.53,26.53,0
7/13/2010,27.38,27.38,27.38,27.38,100
7/14/2010,27.27,27.27,27.27,27.27,100
7/15/2010,27.27,27.27,27.27,27.27,0
7/16/2010,27.27,27.27,27.27,27.27,0
7/19/2010,27.27,27.27,27.27,27.27,0
7/20/2010,27.27,27.27,27.27,27.27,0
7/21/2010,27.27,27.27,27.27,27.27,0
7/22/2010,27.27,27.27,27.27,27.27,0
7/23/2010,27.27,27.27,27.27,27.27,0
7/26/2010,28.67,28.73,28.67,28.73,700
7/27/2010,28.73,28.73,28.73,28.73,0
7/28/2010,27.98,28.16,27.98,28.16,200
7/29/2010,27.64,27.64,27.64,27.64,700
7/30/2010,27.64,27.64,27.64,27.64,0
8/2/2010,29.16,29.16,29.06,29.06,300
8/3/2010,29.06,29.06,29.06,29.06,0
8/4/2010,29.4,29.5,29.4,29.5,700
8/5/2010,29.5,29.5,29.5,29.5,0
8/6/2010,29.5,29.5,29.5,29.5,0
8/9/2010,28.98,28.98,28.98,28.98,200
8/10/2010,28.69,28.69,28.69,28.69,200
8/11/2010,28.69,28.69,28.69,28.69,0
8/12/2010,28.69,28.69,28.69,28.69,0
8/13/2010,28.69,28.69,28.69,28.69,0
8/16/2010,28.69,28.69,28.69,28.69,0
8/17/2010,28.69,28.69,28.69,28.69,0
8/18/2010,28.69,28.69,28.69,28.69,0
8/19/2010,27.42,27.42,27.42,27.42,1000
8/20/2010,27.42,27.42,27.42,27.42,0
8/23/2010,27.42,27.42,27.42,27.42,0
8/24/2010,27.42,27.42,27.42,27.42,0
8/25/2010,24,24,24,24,500
8/26/2010,24,24,24,24,0
8/27/2010,24,24,24,24,0
8/30/2010,24,24,24,24,0
8/31/2010,24.65,24.65,24.65,24.65,200
9/1/2010,24.65,24.65,24.65,24.65,0
9/2/2010,26.51,26.51,26.51,26.51,600
9/3/2010,27.24,27.24,27.24,27.24,200
9/7/2010,27.24,27.24,27.24,27.24,0
9/8/2010,26.55,26.55,26.55,26.55,1600
9/9/2010,26.55,26.55,26.55,26.55,0
9/10/2010,26.55,26.55,26.55,26.55,0
9/13/2010,26.55,26.55,26.55,26.55,0
9/14/2010,26.55,26.55,26.55,26.55,0
9/15/2010,26.55,26.55,26.55,26.55,0
9/16/2010,26.55,26.55,26.55,26.55,0
9/17/2010,26.55,26.55,26.55,26.55,0
9/20/2010,26.55,26.55,26.55,26.55,0
9/21/2010,29.15,29.15,29.15,29.15,200
9/22/2010,29.55,29.55,29.55,29.55,200
9/23/2010,29.55,29.55,29.55,29.55,0
9/24/2010,29.55,29.55,29.55,29.55,0
9/27/2010,29.55,29.55,29.55,29.55,0
9/28/2010,29.55,29.55,29.55,29.55,0
9/29/2010,29.55,29.55,29.55,29.55,0
9/30/2010,29.55,29.55,29.55,29.55,0
10/1/2010,29.55,29.55,29.55,29.55,0
10/4/2010,30.81,30.81,30.73,30.77,2200
10/5/2010,30.77,30.77,30.77,30.77,0
10/6/2010,32.45,32.45,32.45,32.45,100
10/7/2010,32.7,32.7,31.85,31.85,700
10/8/2010,31.85,31.85,31.85,31.85,0
10/11/2010,31.85,31.85,31.85,31.85,0
10/12/2010,31.85,31.85,31.85,31.85,0
10/13/2010,31.85,31.85,31.85,31.85,0
10/14/2010,33.5,33.82,33.5,33.82,900
10/15/2010,33.82,33.82,33.82,33.82,0
10/18/2010,33.6,33.6,33.6,33.6,200
10/19/2010,33.6,33.6,33.6,33.6,0
10/20/2010,33.6,33.6,33.6,33.6,0
10/21/2010,34.5,34.5,33.61,33.61,2400
10/22/2010,33.61,33.61,33.61,33.61,0
10/25/2010,33.61,33.61,33.61,33.61,0
10/26/2010,33.61,33.61,33.61,33.61,0
10/27/2010,33.61,33.61,33.61,33.61,0
10/28/2010,33.61,33.61,33.61,33.61,0
10/29/2010,33.61,33.61,33.61,33.61,0
11/1/2010,35.67,35.85,35.67,35.83,1300
11/2/2010,36.4,36.43,36.4,36.43,1500
11/3/2010,36.1,36.1,36.1,36.1,200
11/4/2010,37.45,37.53,37.24,37.24,5800
11/5/2010,37.24,37.24,37.24,37.24,0
11/8/2010,37.05,37.07,37.05,37.07,1200
11/9/2010,38.05,38.1,38.05,38.1,700
11/10/2010,38.42,38.42,38.05,38.05,1600
11/11/2010,37.88,37.88,37.11,37.12,600
11/12/2010,36.3,36.35,36.06,36.35,2300
11/15/2010,36.35,36.35,36.35,36.35,0
11/16/2010,35.71,35.71,35.71,35.71,100
11/17/2010,35.71,35.71,35.71,35.71,0
11/18/2010,35.71,35.71,35.71,35.71,0
11/19/2010,38,38.22,38,38.22,2400
11/22/2010,38.03,38.03,37.77,37.77,600
11/23/2010,36.6,36.6,36.14,36.14,800
11/24/2010,37.02,38.51,37.02,38.51,900
11/26/2010,37.59,37.6,37.59,37.6,2000
11/29/2010,37.6,37.6,37.6,37.6,0
11/30/2010,37.6,37.6,37.6,37.6,0
12/1/2010,38.4,38.5,38.24,38.24,2100
