Data, Open, High, Low, Close, Volume
6/25/2009,6.7,7.2,6.7,7.17,429600
6/26/2009,7.11,7.21,7,7.13,2184000
6/29/2009,7.18,7.35,7.08,7.33,1448400
6/30/2009,7.33,7.39,6.99,7.16,2854800
7/1/2009,7.24,7.45,7.21,7.23,2006400
7/2/2009,6.95,6.95,6.63,6.64,4879200
7/6/2009,6.45,6.66,6.39,6.66,3762000
7/7/2009,6.62,6.64,6.24,6.24,4836000
7/8/2009,6.36,6.4,6.03,6.25,8304000
7/9/2009,6.36,6.43,6.22,6.29,7648800
7/10/2009,6.17,6.34,6.1,6.23,8533200
7/13/2009,6.3,6.69,6.15,6.68,7279200
7/14/2009,6.75,6.82,6.6,6.82,6450000
7/15/2009,7.07,7.45,7.04,7.4,6153600
7/16/2009,7.33,7.68,7.29,7.6,7732800
7/17/2009,7.58,7.64,7.46,7.59,4562400
7/20/2009,7.74,7.88,7.62,7.82,6199200
7/21/2009,8.02,8.03,7.66,7.95,7539600
7/22/2009,7.79,8.08,7.78,7.93,6272400
7/23/2009,7.96,8.57,7.95,8.46,9170400
7/24/2009,8.32,8.58,8.21,8.57,10021200
7/27/2009,8.54,8.66,8.39,8.64,7489200
7/28/2009,8.47,8.65,8.31,8.57,7746000
7/29/2009,8.4,8.53,8.29,8.45,9318000
7/30/2009,8.78,9.02,8.71,8.72,9314400
7/31/2009,8.73,8.94,8.65,8.74,9145200
8/3/2009,9.05,9.22,8.9,9.18,6600000
8/4/2009,9.07,9.31,9.02,9.27,5830800
8/5/2009,9.29,9.31,8.96,9.21,10428000
8/6/2009,9.32,9.35,8.92,9.03,11541600
8/7/2009,9.33,9.62,9.18,9.39,7340400
8/10/2009,9.27,9.4,9.14,9.33,7752000
8/11/2009,9.22,9.23,8.92,8.97,8121600
8/12/2009,8.93,9.48,8.93,9.28,11965200
8/13/2009,9.41,9.5,9.14,9.49,16785600
8/14/2009,9.5,9.5,8.97,9.27,12019200
8/17/2009,8.74,8.75,8.54,8.58,14023200
8/18/2009,8.65,8.88,8.6,8.81,8905200
8/19/2009,8.58,9.11,8.56,9.02,10280400
8/20/2009,9.04,9.36,9,9.31,8595600
8/21/2009,9.53,9.89,9.48,9.83,10252800
8/24/2009,9.96,10.13,9.74,9.83,10051200
8/25/2009,9.96,10.18,9.84,9.89,14274000
8/26/2009,9.81,10.04,9.72,9.89,13990800
8/27/2009,9.87,10.06,9.56,9.98,18550800
8/28/2009,10.21,10.24,9.76,9.95,14146800
8/31/2009,9.66,9.72,9.52,9.7,17211600
9/1/2009,9.56,9.91,9,9.04,22917600
9/2/2009,8.94,9.11,8.88,8.95,11230800
9/3/2009,9.1,9.2,8.89,9.15,8850000
9/4/2009,9.22,9.56,9.15,9.55,10544400
9/8/2009,9.83,9.84,9.65,9.8,10622400
9/9/2009,9.86,10.13,9.77,10.03,9070800
9/10/2009,10.04,10.36,9.89,10.34,10790400
9/11/2009,10.39,10.49,10.19,10.33,11022000
9/14/2009,10.07,10.53,10.07,10.5,9360000
9/15/2009,10.54,10.73,10.33,10.62,12813600
9/16/2009,10.72,11.1,10.62,11.09,11926800
9/17/2009,11.06,11.33,10.87,11.04,16054800
9/18/2009,11.2,11.2,10.97,11.07,14644800
9/21/2009,10.81,11.06,10.74,10.98,9687600
9/22/2009,11.18,11.26,11.03,11.18,9408000
9/23/2009,11.26,11.47,10.84,10.88,18160800
9/24/2009,10.97,11.03,10.4,10.53,16476000
9/25/2009,10.46,10.63,10.26,10.37,15382800
9/28/2009,10.48,10.99,10.48,10.91,10334400
9/29/2009,10.98,11.13,10.75,10.85,12580800
9/30/2009,10.94,10.96,10.4,10.71,23328000
10/1/2009,10.63,10.63,9.89,9.9,16333200
10/2/2009,9.62,9.93,9.61,9.79,14983200
10/5/2009,9.88,10.28,9.79,10.19,8251200
10/6/2009,10.42,10.81,10.41,10.64,12297600
10/7/2009,10.56,10.75,10.51,10.73,9213600
10/8/2009,10.96,11.13,10.83,10.98,12345600
10/9/2009,10.98,11.16,10.9,11.16,5526000
10/12/2009,11.33,11.42,11.17,11.3,4890000
10/13/2009,11.2,11.29,11.01,11.24,11366400
10/14/2009,11.62,11.84,11.48,11.82,13002000
10/15/2009,11.64,11.93,11.62,11.92,15142800
10/16/2009,11.64,11.78,11.45,11.67,15230400
10/19/2009,11.72,12.06,11.62,11.96,12868800
10/20/2009,12.01,12.01,11.59,11.78,14529600
10/21/2009,11.69,12.11,11.42,11.46,12949200
10/22/2009,11.43,11.9,11.21,11.78,12614400
10/23/2009,11.91,11.92,11.24,11.39,19198800
10/26/2009,11.42,11.77,10.92,10.99,14756400
10/27/2009,11.06,11.16,10.79,10.86,16232400
10/28/2009,10.78,10.87,10.22,10.25,16294800
10/29/2009,10.46,10.96,10.41,10.9,18680400
10/30/2009,10.82,10.89,9.92,9.97,36372000
11/2/2009,10.11,10.49,9.81,10.17,33415200
11/3/2009,10,10.31,9.95,10.27,25276800
11/4/2009,10.52,10.76,10.27,10.32,26068800
11/5/2009,10.56,10.92,10.5,10.91,12988800
11/6/2009,10.72,11.09,10.67,11.02,20893200
11/9/2009,11.27,11.76,11.23,11.76,13057200
11/10/2009,11.67,11.87,11.56,11.75,21399600
11/11/2009,11.99,12.16,11.77,11.94,25968000
11/12/2009,11.89,12.08,11.49,11.56,27567600
11/13/2009,11.67,11.91,11.49,11.77,11688000
11/16/2009,12.01,12.43,11.99,12.27,16164000
11/17/2009,12.19,12.33,12.05,12.32,12680400
11/18/2009,12.3,12.35,12.07,12.3,12505200
11/19/2009,12.05,12.06,11.59,11.82,12670800
11/20/2009,11.63,11.79,11.55,11.71,9762000
11/23/2009,12.11,12.39,12.06,12.15,13024800
11/24/2009,12.18,12.23,11.89,12.18,14802000
11/25/2009,12.24,12.35,12.13,12.31,10393200
11/27/2009,11.31,11.96,11.28,11.71,11476800
11/30/2009,11.67,11.89,11.53,11.84,19444800
12/1/2009,12.15,12.39,12.08,12.23,13972800
12/2/2009,12.26,12.5,12.14,12.26,16836000
12/3/2009,12.35,12.56,11.93,11.97,17140800
12/4/2009,12.44,12.61,11.85,12.16,27589200
12/7/2009,12.13,12.33,12,12.1,12609600
12/8/2009,11.87,11.91,11.6,11.72,13423200
12/9/2009,11.69,11.88,11.52,11.82,15295200
12/10/2009,12.05,12.18,11.98,12.03,11954400
12/11/2009,12.21,12.27,12.02,12.21,20917200
12/14/2009,12.44,12.48,12.27,12.43,12394800
12/15/2009,12.3,12.45,12.15,12.25,14175600
12/16/2009,12.42,12.52,12.24,12.31,17190000
12/17/2009,12.06,12.12,11.84,11.88,20589600
12/18/2009,12.06,12.1,11.77,12.07,16372800
12/21/2009,12.26,12.56,12.26,12.42,16105200
12/22/2009,12.52,12.65,12.47,12.57,7471200
12/23/2009,12.68,12.7,12.5,12.65,6967200
12/24/2009,12.73,12.86,12.73,12.85,3542400
12/28/2009,13.01,13.01,12.77,12.94,6537600
12/29/2009,13.02,13.02,12.84,12.85,6566400
12/30/2009,12.73,12.87,12.71,12.81,5082000
12/31/2009,12.92,12.92,12.45,12.45,4512000
1/4/2010,12.78,13.11,12.77,13.08,17098800
1/5/2010,13.07,13.22,12.94,13.19,18164400
1/6/2010,13.15,13.31,13.12,13.23,17986800
1/7/2010,13.15,13.43,13.04,13.39,12823200
1/8/2010,13.28,13.54,13.2,13.52,14898000
1/11/2010,13.7,13.72,13.41,13.57,17512800
1/12/2010,13.31,13.39,13.05,13.2,14700000
1/13/2010,13.3,13.64,13.1,13.54,19794000
1/14/2010,13.48,13.71,13.46,13.64,15726000
1/15/2010,13.58,13.6,13.03,13.19,30632400
1/19/2010,13.16,13.76,13.16,13.68,16890000
1/20/2010,13.4,13.4,12.94,13.27,25082400
1/21/2010,13.26,13.39,12.44,12.49,39502800
1/22/2010,12.33,12.46,11.63,11.68,42282000
1/25/2010,11.98,12.03,11.73,11.82,15117600
1/26/2010,11.69,12.06,11.6,11.68,16704000
1/27/2010,11.65,11.92,11.37,11.85,22020000
1/28/2010,11.97,11.98,11.23,11.44,19490400
1/29/2010,11.59,11.82,11.01,11.06,17454000
2/1/2010,11.31,11.58,11.28,11.58,15296400
2/2/2010,11.65,12.07,11.53,12.01,14816400
2/3/2010,11.85,12.02,11.72,11.83,11842800
2/4/2010,11.55,11.56,10.72,10.74,37137600
2/5/2010,10.76,10.86,10.16,10.81,42183600
2/8/2010,10.82,10.99,10.53,10.57,22023600
2/9/2010,10.93,11.23,10.67,10.96,32272800
2/10/2010,10.91,11.07,10.61,10.89,20918400
2/11/2010,10.84,11.27,10.66,11.22,18462000
2/12/2010,10.87,11.21,10.73,11.19,22329600
2/16/2010,11.46,11.77,11.32,11.73,17043600
2/17/2010,11.9,11.95,11.74,11.89,16849200
2/18/2010,11.84,12.18,11.83,12.11,16476000
2/19/2010,12.02,12.32,11.92,12.19,13776000
2/22/2010,12.32,12.32,12.08,12.17,18777600
2/23/2010,12.08,12.2,11.65,11.74,15042000
2/24/2010,11.84,12.11,11.76,12.07,16508400
2/25/2010,11.54,12.04,11.45,12.02,14755200
