Data, Open, High, Low, Close, Volume
5/7/2010,24.27,24.27,23.12,23.21,11300
5/10/2010,27.38,46.42,26.73,27.24,19800
5/11/2010,25.94,27.3,25.91,26.48,12500
5/12/2010,26.99,29,26.96,27.13,29900
5/13/2010,26.74,26.74,26.12,26.13,9100
5/14/2010,25.45,25.45,24.04,24.36,18600
5/17/2010,24.43,24.7,23.41,24.51,7100
5/18/2010,25.15,25.34,23.24,23.5,13400
5/19/2010,23.52,23.75,22.93,23.75,4000
5/20/2010,22.36,22.86,21.47,22.3,52200
5/21/2010,21.62,23.42,21.62,22.81,21300
5/24/2010,22.39,22.7,22.15,22.15,2600
5/25/2010,20.65,21.83,20.65,21.83,4600
5/26/2010,22.22,22.35,21.6,21.6,30400
5/27/2010,22.6,24.07,22.6,24.06,37800
5/28/2010,23.63,23.9,23.5,23.5,2000
6/1/2010,23.16,23.57,23.09,23.44,2500
6/2/2010,22.81,23.82,22.81,23.82,29800
6/3/2010,24.44,24.44,23.9,23.99,1800
6/4/2010,22.45,22.5,21.59,21.59,19600
6/7/2010,21.81,21.95,21.21,21.24,22600
6/8/2010,21.21,21.59,21.21,21.59,1800
6/9/2010,21.99,22.03,21.93,22.03,1300
6/10/2010,23.03,23.44,23.02,23.42,13700
6/11/2010,23.04,23.55,23.04,23.19,5700
6/14/2010,24.53,24.7,23.95,23.95,6200
6/15/2010,24.94,25.5,24.89,25.5,18300
6/16/2010,25.18,25.4,25.08,25.4,2400
6/17/2010,25.76,25.86,25.25,25.86,35600
6/18/2010,25.64,25.88,25.59,25.67,19200
6/21/2010,26.47,26.47,26.18,26.25,15500
6/22/2010,25.68,25.68,25,25.06,18100
6/23/2010,25.09,25.5,24.82,25.3,55500
6/24/2010,25.3,25.3,25.3,25.3,0
6/25/2010,24.2,24.2,23.5,24.16,1200
6/28/2010,24.21,24.74,24.21,24.74,900
6/29/2010,22.61,22.61,22.34,22.36,2900
6/30/2010,22.37,22.76,22,22,12800
7/1/2010,22.7,22.7,22.2,22.43,11300
7/2/2010,22.53,22.54,22.53,22.54,2200
7/6/2010,24.08,24.09,24.08,24.09,400
7/7/2010,24.45,25.01,24.3,25.01,5400
7/8/2010,25.01,25.01,25.01,25.01,0
7/9/2010,25.01,25.01,25.01,25.01,0
7/12/2010,25.51,25.51,25.43,25.44,2600
7/13/2010,26.75,26.77,26.75,26.77,200
7/14/2010,26.77,26.77,26.77,26.77,0
7/15/2010,26.77,26.77,26.77,26.77,0
7/16/2010,26.45,26.45,25.86,25.92,7300
7/19/2010,26.51,26.52,25.9,26.3,18900
7/20/2010,25.47,26.37,25.47,26.35,7100
7/21/2010,26.2,26.2,25.31,25.43,42500
7/22/2010,26.95,27.57,26.95,27.52,19500
7/23/2010,27.33,28.09,27.2,28.07,22700
7/26/2010,28.1,28.46,27.92,28.45,3200
7/27/2010,28.92,28.96,28.42,28.84,27100
7/28/2010,28.71,28.71,28.24,28.32,17200
7/29/2010,29.41,29.41,28.18,28.83,22200
7/30/2010,27.95,28.62,27.81,28.62,3300
8/2/2010,29.97,30.69,29.97,30.59,6400
8/3/2010,30.69,30.69,30.69,30.69,1000
8/4/2010,30.46,30.59,30.2,30.58,4100
8/5/2010,30.16,30.54,30.16,30.54,4900
8/6/2010,30.42,30.66,30.42,30.66,6000
8/9/2010,30.82,30.82,30.82,30.82,200
8/10/2010,29.76,30.59,29.46,30.45,3400
8/11/2010,28.12,28.12,27.64,27.64,8200
8/12/2010,27.08,27.4,27.06,27.2,400
8/13/2010,27.35,27.4,27.11,27.15,800
8/16/2010,27.59,27.62,27.28,27.4,1100
8/17/2010,28.31,28.31,28.31,28.31,100
8/18/2010,28.12,28.28,28.12,28.28,2100
8/19/2010,28.12,28.14,26.65,27.09,16000
8/20/2010,26.11,26.2,26.03,26.17,2300
8/23/2010,26.27,26.49,26.27,26.49,200
8/24/2010,25.25,25.56,24.98,25.27,6900
8/25/2010,24.58,25.2,24.58,25.19,1900
8/26/2010,25.99,25.99,25.32,25.32,500
8/27/2010,26.33,26.33,26.22,26.29,600
8/30/2010,25.84,25.84,25.49,25.49,10500
8/31/2010,25.57,25.92,25.57,25.58,7500
9/1/2010,27.09,27.79,27.09,27.74,8100
9/2/2010,27.7,28.15,27.7,28.15,4800
9/3/2010,28.46,28.8,28.46,28.76,1500
9/7/2010,27.64,27.74,27.63,27.63,3200
9/8/2010,28,28.55,28,28.2,11900
9/9/2010,28.93,28.99,28.61,28.77,10500
9/10/2010,28.81,28.96,28.81,28.89,3500
9/13/2010,29.77,30,29.73,29.98,13700
9/14/2010,29.79,30.72,29.78,30.67,14100
9/15/2010,30.25,30.48,30.09,30.48,6700
9/16/2010,30.27,30.44,30.18,30.44,4600
9/17/2010,29.89,29.95,29.89,29.95,1400
9/20/2010,30.79,31.08,30.79,31.08,2700
9/21/2010,31.28,31.7,30.67,31.18,24500
9/22/2010,31.58,31.58,31.05,31.29,3200
9/23/2010,30.41,30.75,30.29,30.34,3900
9/24/2010,31.64,32.42,31.64,32.42,1300
9/27/2010,32.27,32.27,31.89,31.93,1800
9/28/2010,31.3,32.06,31.21,32.06,2900
9/29/2010,32.12,32.15,31.88,31.98,4900
9/30/2010,32.58,32.6,32.5,32.6,1700
10/1/2010,32.6,32.6,32.1,32.46,10000
10/4/2010,32.01,32.03,31.4,31.4,2600
10/5/2010,32.66,32.81,32.65,32.65,400
10/6/2010,33.66,33.77,33.66,33.76,3000
10/7/2010,33.76,33.76,33.76,33.76,0
10/8/2010,33.96,33.97,33.96,33.97,600
10/11/2010,33.87,33.87,33.87,33.87,200
10/12/2010,33.32,33.85,33.32,33.85,2900
10/13/2010,34.81,35.36,34.81,35.1,3400
10/14/2010,35.1,35.1,35.1,35.1,0
10/15/2010,35.1,35.1,35.1,35.1,0
10/18/2010,34.92,35.24,34.92,35.06,1000
10/19/2010,33.48,33.48,33.24,33.29,3100
10/20/2010,33.99,35.12,33.99,34.9,1400
10/21/2010,35.42,35.48,34.77,34.88,2700
10/22/2010,34.83,34.92,34.83,34.91,1700
10/25/2010,34.91,34.91,34.91,34.91,0
10/26/2010,34.34,34.34,34.34,34.34,600
10/27/2010,33.86,33.86,33.86,33.86,1000
10/28/2010,34.41,34.41,34.41,34.41,300
10/29/2010,34.41,34.41,34.41,34.41,0
11/1/2010,34.85,34.85,34.85,34.85,200
11/2/2010,35.75,35.75,35.61,35.61,1200
11/3/2010,35.28,36,35.26,36,800
11/4/2010,37.61,37.61,37.61,37.61,100
11/5/2010,37.32,37.32,37.32,37.32,500
11/8/2010,36.37,36.52,36.12,36.52,1100
11/9/2010,36.28,36.28,36.28,36.28,100
11/10/2010,36.28,36.28,36.28,36.28,0
11/11/2010,34.9,34.9,34.9,34.9,200
11/12/2010,34.79,34.79,34.79,34.79,600
11/15/2010,34.79,34.79,34.79,34.79,0
11/16/2010,32.38,32.38,32.38,32.38,1000
11/17/2010,33.18,33.18,33.18,33.18,200
11/18/2010,34.46,34.46,34.46,34.46,200
11/19/2010,34.46,34.46,34.46,34.46,0
11/22/2010,33.89,33.89,33.3,33.74,2800
11/23/2010,32.15,32.25,31.66,31.68,10100
11/24/2010,31.68,31.68,31.68,31.68,0
11/26/2010,31.68,31.68,31.68,31.68,0
11/29/2010,31.68,31.68,31.68,31.68,0
11/30/2010,28.93,30.22,28.93,29.46,5000
12/1/2010,30.83,31.34,30.63,31.34,2200
12/2/2010,32.65,32.65,32.65,32.65,200
12/3/2010,32.91,33.24,32.91,33.24,1100
12/6/2010,32.82,32.82,32.82,32.82,1100
12/7/2010,34.25,34.25,33.36,33.36,1300
12/8/2010,33.36,33.36,33.36,33.36,0
12/9/2010,33.38,33.47,33.37,33.47,1200
12/10/2010,33.47,33.47,33.47,33.47,0
12/13/2010,34.82,34.82,34.82,34.82,200
12/14/2010,34.66,34.94,34.52,34.52,3700
12/15/2010,34.29,34.29,34.29,34.29,700
12/16/2010,34.29,34.29,34.29,34.29,0
12/17/2010,33.51,33.51,33.49,33.49,900
12/20/2010,33.92,33.92,33.88,33.88,400
12/21/2010,34.17,34.21,34.17,34.21,600
12/22/2010,34.18,34.22,34.18,34.21,1300
12/23/2010,34.03,34.2,34.03,34.2,1200
12/27/2010,33.67,33.87,33.5,33.87,15300
12/28/2010,33.88,33.88,33.88,33.88,800
12/29/2010,33.88,33.88,33.88,33.88,0
12/30/2010,34.14,34.14,34.14,34.14,900
12/31/2010,34.18,34.8,34.17,34.8,2300
1/3/2011,35.13,35.31,35,35.12,1800
1/4/2011,35.47,35.51,34.67,34.67,1500
1/5/2011,33.78,34.53,33.78,34.53,7400
1/6/2011,34.43,34.43,33.47,33.57,1700
1/7/2011,33.08,33.18,32.87,33.18,4800
1/10/2011,32.97,32.97,32.94,32.94,700
1/11/2011,33.23,33.52,33.23,33.48,2000
1/12/2011,33.48,33.48,33.48,33.48,0
1/13/2011,36.03,36.03,35.85,35.85,7100
1/14/2011,35.85,35.85,35.85,35.85,0
1/18/2011,36.81,36.83,36.8,36.8,6400
1/19/2011,36.75,36.75,36.4,36.58,2600
1/20/2011,35.34,35.87,35.14,35.87,1300
1/21/2011,36.76,36.76,36.73,36.73,900
1/24/2011,36.73,36.73,36.73,36.73,0
1/25/2011,36.53,36.56,36.53,36.56,900
1/26/2011,37.69,37.77,37.58,37.77,3000
1/27/2011,38.12,38.27,38.12,38.19,1200
1/28/2011,37.7,37.7,36.34,36.4,4300
1/31/2011,37.05,37.23,36.99,37.23,1500
2/1/2011,38.38,38.38,38.38,38.38,1000
