Data, Open, High, Low, Close, Volume
2/1/2007,55.51,55.51,55.51,55.51,600
2/2/2007,56.37,56.56,56.37,56.56,200
2/5/2007,56.79,56.79,56.79,56.79,100
2/6/2007,56.79,56.79,56.79,56.79,0
2/7/2007,58.78,58.78,58.68,58.68,800
2/8/2007,59.07,59.2,59.07,59.2,800
2/9/2007,59.44,59.53,58.72,59.01,4200
2/12/2007,58.97,59,58.97,59,300
2/13/2007,59.7,59.7,59.7,59.7,300
2/14/2007,60.77,60.77,60.37,60.37,2200
2/15/2007,59.73,59.89,59.73,59.85,6100
2/16/2007,59.4,59.64,59.38,59.64,5900
2/20/2007,59.81,59.81,59.81,59.81,200
2/21/2007,59.65,59.65,59.32,59.59,3600
2/22/2007,60.03,60.03,59.67,59.67,200
2/23/2007,60.78,60.78,60.78,60.78,200
2/26/2007,65.12,65.12,63.57,63.62,26000
2/27/2007,62.93,62.93,59.79,60.04,3600
2/28/2007,60.22,60.35,60.22,60.34,1900
3/1/2007,59.16,60.99,58.29,60.76,1900
3/2/2007,59.87,59.87,59.26,59.26,1100
3/5/2007,57.67,58.38,57.56,57.56,1000
3/6/2007,57.68,58.48,57.56,58.48,2200
3/7/2007,58.94,58.94,58.66,58.66,200
3/8/2007,59.19,59.49,58.85,58.85,1000
3/9/2007,59,59.38,59,59.12,1500
3/12/2007,59.16,60.16,59.16,60.16,500
3/13/2007,60.16,60.16,60.16,60.16,0
3/14/2007,59.07,59.07,59.05,59.05,1100
3/15/2007,59.47,60.48,59.47,60.48,600
3/16/2007,60.49,61.04,60.08,60.08,5100
3/19/2007,60.49,60.53,60.49,60.53,200
3/20/2007,61.92,62.68,61.92,62.68,900
3/21/2007,62.41,64.35,62.41,64.13,4600
3/22/2007,64.37,64.43,63.87,64.32,3400
3/23/2007,64.09,64.83,64.09,64.83,3300
3/26/2007,64.7,65.53,64.53,65.46,5400
3/27/2007,65.17,65.51,64.79,65.29,1500
3/28/2007,65.86,65.88,65.3,65.3,2300
3/29/2007,65.6,66,65.12,65.12,2700
3/30/2007,65.96,65.96,63.68,64.52,2100
4/2/2007,65.17,67.28,65.17,67.28,5900
4/3/2007,67.41,67.71,67.1,67.37,5800
4/4/2007,67.42,67.42,66.69,66.84,4300
4/5/2007,66.54,67.43,66.54,67.43,2200
4/9/2007,67.63,68.48,67.63,68.39,6600
4/10/2007,68.3,68.88,68.3,68.86,3200
4/11/2007,69.03,69.03,68.23,68.25,6400
4/12/2007,68.12,68.12,67.35,67.66,1900
4/13/2007,67.75,68.26,67.46,67.84,2300
4/16/2007,68.18,68.67,67.95,68.67,3400
4/17/2007,69.21,69.65,68.99,69.54,11400
4/18/2007,69.31,69.8,69.18,69.8,1200
4/19/2007,68.96,69.21,68.89,69.17,3300
4/20/2007,70.09,70.43,69.8,69.9,2600
4/23/2007,70.53,71.61,70.53,71.12,8200
4/24/2007,71.18,72.22,71.1,71.92,21100
4/25/2007,72.5,73.16,72.31,72.91,10600
4/26/2007,72.94,72.94,72.32,72.32,3700
4/27/2007,71.43,71.45,71,71.09,11800
4/30/2007,71.8,71.87,69.54,69.88,17500
5/1/2007,70.58,71.48,69.88,71.36,20800
5/2/2007,71.28,72.13,71.19,72.1,3900
5/3/2007,72.47,72.52,71.44,71.93,9400
5/4/2007,72.2,72.52,71.69,71.8,6100
5/7/2007,72.73,73.29,72.73,73.18,8300
5/8/2007,72.86,72.86,72.12,72.39,3600
5/9/2007,72.35,72.97,72.25,72.92,22900
5/10/2007,72.53,72.69,71.29,71.29,10400
5/11/2007,71.6,72.32,71.6,72.32,3600
5/14/2007,72.62,73.05,72.61,72.79,9900
5/15/2007,73.32,74.45,72.9,72.9,10100
5/16/2007,73.64,73.81,73.12,73.79,4300
5/17/2007,73.58,73.66,73.02,73.29,8100
5/18/2007,73.67,74.16,73.27,74.16,7500
5/21/2007,74.29,74.45,73.81,74.3,7200
5/22/2007,74.45,74.67,73.82,73.82,8300
5/23/2007,73.96,74.21,71.89,72.24,15500
5/24/2007,71.77,72.03,68.17,68.32,27900
5/25/2007,68.73,69.28,67.09,67.84,24600
5/29/2007,68.44,69.77,68.44,69.02,8300
5/30/2007,68.33,70.62,68.33,70.54,15400
5/31/2007,70.65,71.33,70.48,71.04,7300
6/1/2007,71.15,71.49,70.05,70.2,12200
6/4/2007,70.07,70.13,69.02,69.82,17900
6/5/2007,69.72,69.72,67.93,68.23,10400
6/6/2007,66.93,67.06,65.72,65.77,13700
6/7/2007,65.76,65.76,61.85,61.9,29500
6/8/2007,61.7,63.08,61.7,62.87,38600
6/11/2007,63.36,64.93,62.93,64.23,18000
6/12/2007,63.7,63.7,62.38,62.43,11500
6/13/2007,63.87,64.78,63.61,64.63,25500
6/14/2007,65.63,65.96,64.83,65.28,10600
6/15/2007,66.51,67.6,66.51,67.38,9700
6/18/2007,67.19,67.19,65.76,66.27,9700
6/19/2007,65.75,66.35,65.36,66.23,9600
6/20/2007,66.47,66.47,62.96,62.96,8400
6/21/2007,62.85,64.24,62.17,63.44,7500
6/22/2007,63.03,63.51,61.38,61.71,9300
6/25/2007,61.75,63.41,61.61,62.08,21100
6/26/2007,63.15,63.97,61.65,61.65,18300
6/27/2007,60.89,63.34,60.8,63.34,13700
6/28/2007,63.74,64.69,63.22,63.22,6100
6/29/2007,63.41,64.34,62.54,63.38,9300
7/2/2007,65.08,65.77,64.65,65.77,41500
7/3/2007,66.42,66.74,65.32,65.75,19700
7/5/2007,65.8,66.36,64.05,65.38,28100
7/6/2007,65.18,65.18,63.89,64.92,19500
7/9/2007,65.01,65.66,65.01,65.38,6200
7/10/2007,65.02,65.09,63.7,63.7,8600
7/11/2007,63.45,64.07,63.36,64.07,2900
7/12/2007,64.8,65.88,64.67,65.87,5200
7/13/2007,65.87,67.86,65.8,67.52,12700
