Data, Open, High, Low, Close, Volume
2/2/2007,305.08,305.08,305.08,305.08,0
2/5/2007,305.08,305.08,305.08,305.08,0
2/6/2007,312.81,312.98,312.81,312.94,200
2/7/2007,314.82,326.95,314.82,326.35,1200
2/8/2007,324.65,329.13,323.24,323.24,1800
2/9/2007,312.86,312.98,301.15,312.98,2200
2/12/2007,305.38,305.38,300.04,301.71,3700
2/13/2007,299.7,312.77,297.95,312.68,8000
2/14/2007,314.48,314.48,311.06,313.03,2400
2/15/2007,310.34,313.75,309.52,313.75,1100
2/16/2007,311.83,312.3,306.92,312.3,300
2/20/2007,307.47,316.61,307.39,315.38,2200
2/21/2007,312.17,313.5,311.45,313.5,2500
2/22/2007,313.8,313.8,309.48,309.99,10900
2/23/2007,307.09,307.09,299.14,299.14,5500
2/26/2007,301.71,301.71,290,295.81,4200
2/27/2007,290.47,290.47,270.69,270.69,16700
2/28/2007,281.07,288.21,281.07,285.82,13000
3/1/2007,267.41,279.75,264.88,279.75,200
3/2/2007,274.67,274.67,270.61,270.61,500
3/5/2007,258.86,260.53,247.5,247.76,5000
3/6/2007,256.3,264.42,255.44,262.79,4800
3/7/2007,263.77,263.77,256.73,256.77,1400
3/8/2007,263.9,268.9,263.9,263.9,2000
3/9/2007,270.95,270.95,266.42,270.18,500
3/12/2007,268.43,274.2,268.43,271.63,900
3/13/2007,264.2,264.29,256.09,256.09,900
3/14/2007,257.15,260.78,253.82,260.78,600
3/15/2007,263.6,265.48,263.6,265.48,500
3/16/2007,265.4,265.4,261.42,261.42,1200
3/19/2007,264.71,266.55,263.9,266.55,400
3/20/2007,264.84,268.13,264.84,268.13,400
3/21/2007,268.13,275.31,264.71,275.31,200
3/22/2007,277.14,277.14,273.98,275.56,300
3/23/2007,276.55,277.87,276.55,277.06,0
3/26/2007,270.78,270.78,266.34,268.22,1100
3/27/2007,266.47,266.47,260.57,261.85,300
3/28/2007,255.49,261.13,255.1,259.37,600
3/29/2007,261,261.51,258.61,261.51,100
3/30/2007,259.93,265.18,259.93,265.18,2100
4/2/2007,266.47,269.63,264.5,268.77,1600
4/3/2007,271.55,275.82,271.55,273.77,700
4/4/2007,270.57,270.87,268.56,270.87,1700
4/5/2007,272.1,272.1,271.81,271.81,100
4/9/2007,271.68,271.98,271.59,271.59,300
4/10/2007,273.47,275.31,271.46,271.46,700
4/11/2007,269.75,269.75,263.39,263.39,1200
4/12/2007,260.91,261.08,259.93,261.04,1000
4/13/2007,261.55,266.29,261.55,266.29,800
4/16/2007,271.16,271.21,266.17,267.96,300
4/17/2007,272.74,275.86,272.74,275.86,300
4/18/2007,276.33,276.33,274.37,274.37,100
4/19/2007,269.46,270.52,269.46,270.52,300
4/20/2007,274.24,274.92,272.74,272.74,500
4/23/2007,278.68,280.9,277.14,278.21,400
4/24/2007,278.21,278.21,273.77,275.73,200
4/25/2007,271.98,274.5,271.12,274.5,500
4/26/2007,275.09,278.73,275.09,276.25,100
4/27/2007,274.71,274.71,274.71,274.71,0
4/30/2007,273.39,273.39,265.35,265.35,300
5/1/2007,264.88,264.88,256.3,260.4,1000
5/2/2007,261.55,267.45,261.21,266,2500
5/3/2007,270.4,270.4,268.05,268.13,200
5/4/2007,267.58,267.58,262.92,262.92,400
5/7/2007,262.92,262.92,262.92,262.92,0
5/8/2007,262.66,262.66,262.15,262.15,200
5/9/2007,262.54,267.19,262.54,267.19,300
5/10/2007,265.48,266.21,260.7,260.7,300
5/11/2007,266.51,266.51,265.01,265.01,200
5/14/2007,268.13,268.13,263.65,263.65,700
5/15/2007,263.65,265.23,254.12,255.23,500
5/16/2007,256.09,256.09,247.97,249.51,500
5/17/2007,242.72,245.06,242.25,242.25,700
5/18/2007,239.64,241.05,234.94,235.37,1500
5/21/2007,237.72,244.34,236.78,240.79,600
5/22/2007,241.26,248.95,241.26,247.29,1000
5/23/2007,249.59,251.43,240.96,240.96,1500
5/24/2007,237.38,241.73,228.45,232.59,1900
5/25/2007,238.14,241.26,234.94,236.44,300
5/29/2007,252.67,253.27,247.76,252.03,4700
5/30/2007,252.67,266,252.67,266,4200
5/31/2007,268.56,269.03,262.79,263.56,1700
6/1/2007,266.76,267.41,260.91,263.82,1300
6/4/2007,267.75,267.88,265.78,267.06,500
6/5/2007,264.84,264.84,256.56,257.41,1000
6/6/2007,252.97,256.77,250.92,254.59,1700
6/7/2007,249.46,249.59,237.38,238.23,1900
6/8/2007,238.83,244.59,234.94,243.7,1500
6/11/2007,238.61,239.85,236.65,236.65,1700
6/12/2007,234.81,234.81,228.62,229.26,600
6/13/2007,232.85,239.13,231.99,237.63,1900
6/14/2007,237.12,239.85,233.45,234.77,1000
6/15/2007,238.02,242.25,238.02,239.26,500
6/18/2007,239.43,239.43,232.8,232.8,400
6/19/2007,228.19,233.96,228.19,233.96,1600
6/20/2007,229.34,229.34,224.09,224.09,300
6/21/2007,222.55,222.98,215.72,222.98,2600
6/22/2007,220.33,221.4,217.9,221.06,800
6/25/2007,219.61,220.29,212.98,212.98,1000
6/26/2007,211.75,214.26,210.14,211.92,1100
6/27/2007,209.8,221.46,209.8,221.46,4500
6/28/2007,223.2,224.84,219.42,219.64,1400
6/29/2007,219.86,223.5,215.87,216.95,600
7/2/2007,218.86,227.36,218.86,227.36,1100
7/3/2007,228.36,229.74,225.19,225.93,1000
7/5/2007,233.78,236.34,231.91,233.43,2100
7/6/2007,230.87,233.08,229.18,232.39,800
7/9/2007,231.48,231.48,229.92,230.66,200
7/10/2007,224.58,224.58,218.77,218.77,800
7/11/2007,216.82,217.73,213.83,216.91,1100
7/12/2007,218.64,223.33,218.64,223.33,2100
7/13/2007,223.24,229.01,223.11,228.44,1100
7/16/2007,230.05,232.43,226.8,226.8,3300
7/17/2007,226.54,227.45,222.72,223.89,700
7/18/2007,218.56,221.03,214,221.03,2400
7/19/2007,224.02,225.23,222.29,223.07,1200
7/20/2007,220.16,220.16,212.49,214.13,3900
7/23/2007,216.48,216.48,207.8,207.8,2900
7/24/2007,202.08,206.98,195.7,197.05,3200
7/25/2007,201.69,204.2,191.63,196.22,3000
7/26/2007,189.37,190.15,181.7,187.9,4900
7/27/2007,186.08,189.72,179.05,179.31,5200
7/30/2007,178.44,182.82,176.97,182.26,3900
7/31/2007,186.94,190.46,178.88,178.88,5000
8/1/2007,178.23,181.74,168.43,181.74,7800
8/2/2007,187.29,189.5,184.3,185.9,2100
8/3/2007,182.13,182.13,174.46,175.24,3400
8/6/2007,172.89,182.39,166.65,182.39,4100
8/7/2007,179.53,189.94,177.53,185.6,8600
8/8/2007,192.8,201.51,191.63,196.92,4900
8/9/2007,192.1,202.77,190.63,198,2400
8/10/2007,185.3,194.23,184.26,185.38,2800
8/13/2007,185.86,187.81,183.56,183.65,1500
8/14/2007,180.18,180.18,168.38,168.38,3200
8/15/2007,167.52,177.01,163.35,163.4,6500
8/16/2007,161.1,175.41,159.06,175.41,8100
8/17/2007,184.43,187.98,178.01,182.82,5500
8/20/2007,183.47,191.32,183.47,190.02,9000
8/21/2007,188.59,194.62,188.55,194.62,3900
8/22/2007,198.87,200.21,193.71,196.14,5500
8/23/2007,197.96,200.04,191.93,193.93,3700
8/24/2007,190.02,193.75,187.9,191.89,3400
8/27/2007,189.24,191.24,185.25,185.25,2900
8/28/2007,182.35,182.61,173.8,173.89,3800
8/29/2007,178.44,182.82,175.24,182.82,8800
8/30/2007,181.48,186.68,181.18,185.77,7800
8/31/2007,190.67,196.44,188.29,194.36,8800
9/4/2007,193.41,201.21,193.41,198.13,2600
9/5/2007,194.1,194.1,187.33,189.72,5300
9/6/2007,189.94,191.45,185.34,190.98,2400
9/7/2007,184.95,184.95,181.18,183.17,5400
9/10/2007,183.69,183.69,175.63,180.01,4500
9/11/2007,181.96,184.39,180.66,184.39,6600
9/12/2007,182.82,186.16,182.82,184.65,2000
9/13/2007,186.03,193.45,186.03,191.32,3800
9/14/2007,186.86,193.19,186.86,193.19,1500
9/17/2007,192.1,193.15,188.29,191.93,8100
9/18/2007,193.06,205.59,192.1,204.68,22000
9/19/2007,208.93,215,208.41,211.27,9600
9/20/2007,209.02,209.67,203.55,204.42,2300
9/21/2007,205.98,207.2,203.99,205.5,1200
9/24/2007,206.94,210.84,206.54,210.36,4800
9/25/2007,204.6,206.12,201.77,203.9,5200
9/26/2007,204.03,206.82,202.9,206.82,2000
9/27/2007,209.04,209.87,207.3,209.48,2800
9/28/2007,209.04,209.04,205.73,208.57,2200
10/1/2007,208.57,215.89,208.48,215.89,7200
10/2/2007,217.67,222.73,217.41,222.3,6300
10/3/2007,221.86,223.3,218.81,222.6,11200
10/4/2007,222.43,223.91,217.94,223.91,1500
10/5/2007,227.53,233.06,223.6,233.06,15000
