Data, Open, High, Low, Close, Volume
2/11/2010,19.69,20.82,19.68,20.82,10800
2/12/2010,20.49,21.31,20.49,21.31,9200
2/16/2010,22.2,22.58,21.64,22.58,18800
2/17/2010,22.98,23.19,22.73,23.05,54000
2/18/2010,23.07,23.57,22.87,23.57,88400
2/19/2010,23.34,24.05,23.3,23.76,110800
2/22/2010,24.15,24.15,23.72,23.91,142400
2/23/2010,23.93,23.93,22.91,23.15,307600
2/24/2010,23.37,23.89,23.3,23.64,125200
2/25/2010,22.74,23.71,22.52,23.71,102800
2/26/2010,23.8,23.81,23.18,23.49,146000
3/1/2010,24.2,25.08,24.2,25.04,318400
3/2/2010,25.36,25.95,25.33,25.64,98400
3/3/2010,25.98,26.43,25.68,25.92,101600
3/4/2010,26.26,26.35,25.78,26.27,264800
3/5/2010,26.77,27.99,26.56,27.86,158400
3/8/2010,27.86,28.26,27.83,28.12,73600
3/9/2010,27.82,28.93,27.82,28.33,108800
3/10/2010,28.6,29.49,28.51,29.07,886000
3/11/2010,28.61,29.44,28.24,29.31,526400
3/12/2010,29.49,29.49,28.86,29.25,676400
3/15/2010,29.22,29.32,28.35,29.01,249200
3/16/2010,29.38,29.74,28.87,29.74,445200
3/17/2010,29.97,30.74,29.97,30.3,330400
3/18/2010,30.24,30.66,29.85,30.04,452400
3/19/2010,28.83,30.27,28.52,28.83,578000
3/22/2010,28.24,30.24,28.06,30.06,612400
3/23/2010,30.31,31.24,29.78,31.21,423200
3/24/2010,30.69,31.04,30.14,30.14,636400
3/25/2010,30.99,31.56,29.55,29.61,638800
3/26/2010,30.01,30.49,29.24,29.51,688400
3/29/2010,30.01,30.31,29.62,30.06,336400
3/30/2010,30.26,30.76,29.66,30.25,640400
3/31/2010,30.05,30.84,29.56,29.56,957600
4/1/2010,30.31,30.67,29.44,30.26,1106800
4/5/2010,30.62,32.02,30.4,32.02,715200
4/6/2010,31.76,32.81,31.59,32.6,658400
4/7/2010,32.4,32.87,31.73,32.28,1091600
4/8/2010,31.96,32.71,31.3,32.36,547600
4/9/2010,32.42,32.81,31.8,32.74,392000
4/12/2010,32.83,33.38,32.64,33.15,494400
4/13/2010,32.97,33.49,32.41,33.39,649600
4/14/2010,34.04,35.58,33.86,35.58,447600
4/15/2010,35.6,36.12,35.42,35.89,391200
4/16/2010,35.82,35.91,33.73,34.51,1774800
4/19/2010,33.89,34.87,32.56,33.97,1104400
4/20/2010,34.56,35.37,34.09,35.36,639200
4/21/2010,35.56,36.21,35.13,36.1,520800
