Data, Open, High, Low, Close, Volume
2/1/2007,63.69,63.69,63.69,63.69,500
2/2/2007,64.84,64.84,64.84,64.84,2500
2/5/2007,66.15,66.15,65.33,65.73,2900
2/6/2007,64.71,65.11,63.9,65.1,2600
2/7/2007,66.07,67.18,65.52,67.18,3600
2/8/2007,65.42,65.42,65.42,65.42,1000
2/9/2007,67.66,67.66,64.3,64.3,9300
2/12/2007,63.63,63.63,63.63,63.63,100
2/13/2007,63.43,63.43,63.09,63.38,1700
2/14/2007,64.53,66.23,64.39,65.9,3500
2/15/2007,66.44,66.65,66.44,66.65,600
2/16/2007,66.37,66.44,66.26,66.26,12700
2/20/2007,64.63,66.56,64.63,66.27,5500
2/21/2007,65.12,65.38,65.12,65.38,1100
2/22/2007,68.11,68.7,67.56,68.39,14300
2/23/2007,68.94,69.32,68.76,68.96,6200
2/26/2007,68.78,68.78,68.1,68.61,2400
2/27/2007,66.39,67.1,63.75,63.85,18200
2/28/2007,64.66,64.66,63.44,63.93,11500
3/1/2007,60.39,63.3,60.39,62.53,5200
3/2/2007,62.12,62.12,60.28,60.39,21500
3/5/2007,60.51,61.02,59.1,59.1,4200
3/6/2007,60.87,61.59,60.34,61.33,11000
3/7/2007,61.22,61.22,60.49,60.49,14200
3/8/2007,61.7,62.55,61.7,62.05,6900
3/9/2007,63.83,63.83,61.68,62.55,3500
3/12/2007,63.64,64.21,63.56,63.77,2000
3/13/2007,63.21,63.21,61.27,61.34,10400
3/14/2007,61.2,61.7,60.16,61.35,21000
3/15/2007,62.05,62.05,61.08,61.63,25300
3/16/2007,60.57,61.15,60.57,60.88,24700
3/19/2007,61.31,61.31,60.39,60.39,4000
3/20/2007,60.43,61.06,60.43,61.02,600
3/21/2007,61.2,63.76,61,63.04,9400
3/22/2007,62.58,62.59,62.04,62.04,7000
3/23/2007,62.26,62.82,62.26,62.82,2400
3/26/2007,62.63,62.63,61.26,62.36,2100
3/27/2007,62.32,62.42,61.92,62.06,1700
3/28/2007,61.04,61.15,60.16,60.17,42900
3/29/2007,61.13,61.13,58.22,59.27,16000
3/30/2007,60.25,60.25,59.31,59.69,19600
4/2/2007,59.94,59.94,58.28,59.37,2700
4/3/2007,59.76,60.66,59.76,60.61,2300
4/4/2007,61.11,61.51,61.11,61.47,2600
4/5/2007,62.1,62.23,61.92,62.23,3000
4/9/2007,62.85,63.13,62.28,62.68,2200
4/10/2007,62.77,64.18,62.77,64.18,2700
4/11/2007,64.32,64.32,62.97,63.09,10700
4/12/2007,62.82,63.96,62.82,63.96,1100
4/13/2007,63.31,63.52,63.31,63.52,2400
4/16/2007,64.03,64.69,64.03,64.16,5900
4/17/2007,64.72,65.09,64.67,64.98,7600
4/18/2007,66.73,68.2,66.58,67.68,11300
4/19/2007,66.71,69.92,66.6,69.28,10000
4/20/2007,70.88,70.88,68.8,69.86,3500
4/23/2007,69.3,69.3,68.63,68.89,2700
4/24/2007,71.41,72.89,70.58,72.04,22100
4/25/2007,72.47,73.84,71.86,73.84,8300
4/26/2007,73.36,73.72,72.56,73.08,15200
4/27/2007,72.49,72.76,71.1,71.64,9900
4/30/2007,70.74,71.39,69.75,69.75,18000
5/1/2007,69.58,70.48,68.21,70.48,4600
5/2/2007,70.75,71.95,70.7,71.25,10000
5/3/2007,72.05,72.82,71.51,71.51,8700
5/4/2007,72.25,73.03,71.85,72.79,2900
5/7/2007,72.97,73.24,72.47,72.47,2400
5/8/2007,71.72,72.49,71.2,72.49,700
5/9/2007,72.7,75.42,72.7,75.36,4900
5/10/2007,74.9,75.64,72.11,72.81,14200
5/11/2007,73.83,74.77,73.22,74.77,13600
5/14/2007,75.32,75.49,73.43,73.86,9100
5/15/2007,73.33,73.89,72.06,72.19,10100
5/16/2007,71.98,72.41,70.88,72.41,4000
5/17/2007,72.47,72.47,71.58,71.58,2800
5/18/2007,72.94,72.94,71.21,72.07,3300
5/21/2007,72.32,73.92,71.59,71.67,7700
5/22/2007,72.38,73.73,72.3,73.11,6400
5/23/2007,72.65,72.75,70.87,70.87,6900
