Data, Open, High, Low, Close, Volume
2/2/2010,33.59,33.62,33.57,33.61,5800
2/3/2010,33.33,33.44,33.29,33.29,5000
2/4/2010,33.61,33.81,33.61,33.81,13800
2/5/2010,33.81,34.14,33.76,34.04,13600
2/8/2010,33.96,33.97,33.83,33.97,15800
2/9/2010,33.86,33.95,33.63,33.66,37400
2/10/2010,33.72,33.73,33.39,33.46,5600
2/11/2010,33.43,33.43,33.25,33.33,3200
2/12/2010,33.6,33.6,33.6,33.6,1800
2/16/2010,33.69,33.69,33.68,33.68,400
2/17/2010,33.57,33.57,33.29,33.29,22000
2/18/2010,33.22,33.24,33,33,4800
2/19/2010,33,33,33,33,0
2/22/2010,33,33,33,33,0
2/23/2010,33.13,33.57,33.13,33.57,69200
2/24/2010,33.52,33.68,33.52,33.57,5600
2/25/2010,33.88,33.88,33.72,33.83,69400
2/26/2010,33.95,34.07,33.95,34,2600
3/1/2010,33.95,34.06,33.91,33.98,174600
3/2/2010,33.88,34.02,33.86,34.02,26400
3/3/2010,33.93,33.99,33.86,33.99,2600
3/4/2010,33.9,34.04,33.9,34.04,1200
3/5/2010,33.76,33.76,33.67,33.73,3200
3/8/2010,33.61,33.61,33.61,33.61,7000
3/9/2010,33.65,33.72,33.62,33.72,4200
3/10/2010,33.57,33.57,33.52,33.55,7600
3/11/2010,33.53,33.53,33.53,33.53,400
3/12/2010,33.63,33.71,33.63,33.69,2200
3/15/2010,33.64,33.71,33.61,33.71,1800
3/16/2010,33.87,33.99,33.82,33.97,11600
3/17/2010,34.05,34.05,34.05,34.05,200
3/18/2010,34.05,34.05,34.05,34.05,0
3/19/2010,33.84,33.94,33.79,33.84,17200
3/22/2010,34.01,34.01,33.93,33.93,24000
3/23/2010,33.89,33.89,33.89,33.89,200
3/24/2010,33.52,33.52,33.09,33.18,18400
3/25/2010,33.11,33.11,32.95,32.96,1800
3/26/2010,32.9,33.1,32.9,33.1,40400
3/29/2010,32.99,33.04,32.99,33.03,2800
3/30/2010,33.03,33.03,33.03,33.03,0
3/31/2010,33.24,33.24,33.17,33.24,1400
4/1/2010,33.09,33.09,33.09,33.09,200
4/5/2010,32.61,32.61,32.4,32.49,17600
4/6/2010,32.74,32.74,32.66,32.67,13800
4/7/2010,32.83,33.11,32.83,33.11,4000
4/8/2010,33.2,33.25,33.03,33.03,13200
4/9/2010,32.89,33.08,32.89,33.08,4400
4/12/2010,33.19,33.24,33.19,33.24,1000
4/13/2010,33.46,33.46,33.35,33.4,3600
4/14/2010,33.4,33.4,33.4,33.4,0
4/15/2010,33.36,33.36,33.36,33.36,200
4/16/2010,33.49,33.76,33.49,33.71,9800
4/19/2010,33.69,33.69,33.57,33.57,1000
4/20/2010,33.57,33.57,33.55,33.55,7200
4/21/2010,33.79,33.82,33.79,33.82,4800
4/22/2010,33.91,33.91,33.66,33.68,25000
4/23/2010,33.52,33.52,33.45,33.48,4800
4/26/2010,33.66,33.66,33.54,33.54,9800
4/27/2010,33.78,34.22,33.78,34.19,34000
4/28/2010,33.96,33.97,33.6,33.78,72000
4/29/2010,33.74,33.95,33.74,33.95,3200
4/30/2010,34.21,34.37,34.21,34.32,46000
5/3/2010,34.11,34.14,34.11,34.14,19400
5/4/2010,34.56,34.67,34.53,34.66,5800
5/5/2010,35.01,35.13,34.77,34.77,8200
